"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","phylum","continentOcean","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","order","imagecode","infraspecificEpithet","typeStatus","class"
"24","2019-12-06 14:31:59-03","MBM","MBM","153531","S","Plantae","Asteraceae","Heterocondylus","vitalbae","Heterocondylus vitalbae","(DC.) R.M. King & H. Rob.","Hatschbach, G.; Cervi, A.C.; Silva, J.M.; Cervi, A.C.; Silva, J.M.","57017",NA,NA,NA,"Brazil","Espírito Santo","João Neiva","Rod. BR-101, 5km S de João Nieva","-40.3856010437012","-19.7574996948242",NA,NA,"MBM153531","16286","auto","Robinson, H.",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,"MBM153531",NA,NA,NA
"25","2019-12-06 14:23:51-03","MBM","MBM","159750","S","Plantae","Acanthaceae","Ruellia","bahiensis","Ruellia bahiensis","(Nees) Morong","Hatschbach, G.; Cervi, A.C.; Silva, J.M.; Cervi, A.C.; Silva, J.M.","58018","1992","10","13","Brazil","Espirito Santo","João Neiva","Rodovia BR-101, 5 Km S de João Neiva","-40.3856010437012","-19.7574996948242",NA,NA,"MBM159750","16286","auto","Wasshausen, D.C.","1993",NA,NA,NA,"Southern America",NA,NA,NA,NA,"MBM159750",NA,NA,NA
"26","2019-12-06 15:02:44-03","MBM","MBM","155220","S","Plantae","Malvaceae","Abutilon","rufivellum","Abutilon rufivellum","K. Schum.","Hatschbach, G.; Cervi, A.C.; Silva, J.M.; Cervi, A.C.; Silva, J.M.","58008",NA,NA,NA,"Brazil","Espírito Santo","João Neiva","Rod. BR-101, ca. 5km S de João Neiva","-40.3856010437012","-19.7574996948242",NA,NA,"MBM155220","16286","auto","Krapovickas, A.","1993",NA,NA,NA,"Southern America","Arbusto 3m, flores alvas. Base de paredões rochosos",NA,NA,NA,"MBM155220",NA,NA,NA
"27","2019-12-06 14:25:00-03","MBM","MBM","235552","S","Plantae","Annonaceae","Annona","cacans","Annona cacans","Warm.","Mello-Silva, R.; et al.; et al.","1573","1999","02","13","Brazil","Espírito Santo","João Neiva","Estação Biológica, Nova Lombardia, Limite norte","-40.3856010437012","-19.7574996948242",NA,NA,"MBM235552","16286","auto","Mello-Silva, R.",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,"MBM235552",NA,NA,NA
"28","2019-12-06 14:31:05-03","MBM","MBM","153540","S","Plantae","Asteraceae","Cololobus","hatschbachii","Cololobus hatschbachii","R.M.King & H. Rob.","Hatschbach, G.; Cervi, A.C.; Silva, J.M.; Cervi, A.C.; Silva, J.M.","58012","1992","10","13","Brazil","Espírito Santo","João Neiva","Rod. BR-101, 5-10km S de João Neiva","-40.3856010437012","-19.7574996948242",NA,NA,"MBM153540","16286","auto","Robinson, H.","1994",NA,NA,NA,"Southern America","Arbusto 1,50m, capítulos lilás. Paredões rochosos.",NA,NA,NA,"MBM153540",NA,"HOLOTYPE",NA
"29","2019-12-06 15:17:14-03","MBM","MBM","154815","S","Plantae","Pteridaceae","Doryopteris","collina","Doryopteris collina","(Raddi) J. Sm.","Hatschbach, G.; Cervi, A.C.; Silva, J.M.; Cervi, A.C.; Silva, J.M.","58016","1992","10","13","Brazil","Espírito Santo","João Neiva","Rod. BR-101, 5km S de João Neiva","-40.3856010437012","-19.7574996948242",NA,NA,"MBM154815","16286","auto","Smith, A.R.",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,"MBM154815",NA,NA,NA
"30","2020-03-09 08:20:34-03","UFPR","UPCB","87994","PreservedSpecimen","Plantae","Melastomataceae","Mouriri",NA,"Mouriri",NA,"Kollmann, L. et al.","10076","2007","10","04","Brasil","Espírito Santo","João Neiva","Alto Bergamo","-40.3856010437012","-19.7574996948242",NA,NA,"UPCB0023424","16286","auto",NA,NA,NA,NA,NA,NA,"Arvoreto 8m na meia sombra, frutos velhos..","355","355",NA,"UPCB0023424",NA,NA,NA
"31","2017-09-14 11:51:18-03","MBML","MBML-HERBARIO","32605",NA,"Plantae","Sapindaceae","Allophylus",NA,"Allophylus",NA,"L. Kollmann; A. P. Fontana & Kaio A. Brahim","10051","2007","10","04","Brasil","Espírito Santo","João Neiva","Alto Bergamo","-40.482167","-19.747722","40W28'55,8","19S44'51,8","MBML032605",NA,NA,NA,NA,NA,NA,NA,NA,"Arbusto 4m. Flores verdes, estames brancos.","145","145",NA,NA,NA,NA,NA
"32","2019-05-09 14:19:50-03","MBML","MBML-HERBARIO","32621",NA,"Plantae","Leguminosae Faboideae","Andira","fraxinifolia","Andira fraxinifolia",NA,"L. Kollmann; A. P. Fontana & Kaio A. Brahim","10050","2007","10","04","Brasil","Espírito Santo","João Neiva","Estrada de Alto Bergamo","-40.385278","-19.7575","40W23'7","19S45'27","MBML032621",NA,NA,"Robson D. Ribeiro/25-08-2009",NA,NA,NA,NA,NA,"Arvoreto 4m no sol. Frutos verdes e flores secas.","145","145",NA,"MBML032621",NA,NA,NA
"33","2019-08-12 16:59:19-03","MBML","MBML-HERBARIO","32283",NA,"Plantae","Araceae","Anthurium","cf. viridispathum","Anthurium cf. viridispathum",NA,"L. Kollmann; A. P. Fontana & Kaio A. Brahim","10069","2007","10","04","Brasil","Espírito Santo","João Neiva","Alto Bergamo","-40.481944","-19.7475","40W28'55","19S44'51","MBML032283",NA,NA,"R.T. Valadares/27-03-2018",NA,NA,NA,NA,NA,"Erva rupestre na meia sombra, espádice vináceo, brácteas verdes.","355","355",NA,"MBML032283",NA,NA,NA
"34","2019-08-12 16:59:19-03","MBML","MBML-HERBARIO","32608",NA,"Plantae","Aristolochiaceae","Aristolochia","hypoglauca","Aristolochia hypoglauca",NA,"L. Kollmann; A. P. Fontana & Kaio A. Brahim","10162","2007","10","04","Brasil","Espírito Santo","João Neiva","Alto Bergamo","-40.481944","-19.7475","40W28'55","19S44'51","MBML032608",NA,NA,"L.Kollmann/25-11-2008",NA,NA,NA,NA,NA,"Liana no sol. Flores com máculas vináceas.","35","35",NA,"MBML032608",NA,NA,NA
"35","2017-09-14 11:49:51-03","MBML","MBML-HERBARIO","32609",NA,"Plantae","Palmae","Bactris",NA,"Bactris",NA,"L. Kollmann; A. P. Fontana & Kaio A. Brahim","10163","2007","10","04","Brasil","Espírito Santo","João Neiva","Alto Bergamo","-40.482167","-19.747722","40W28'55,8","19S44'51,8","MBML032609",NA,NA,NA,NA,NA,NA,NA,NA,"Planta 3m na sombra. Frutos secos.","355","355",NA,NA,NA,NA,NA
"36","2019-07-30 16:22:58-03","MBML","MBML-HERBARIO","6816",NA,"Plantae","Palmae","Bactris","caryotifolia","Bactris caryotifolia",NA,"H. Q. Boudet Fernandes","3149","1994","09","07","Brasil","Espírito Santo","João Neiva","Alto Bérgamo","-40.481944","-19.7475","40W28'55","19S44'51","MBML006816",NA,NA,"H. Q. Boudet Fernandes/1994",NA,NA,NA,NA,NA,"Palmeira jovem, acaule, cespitosa, ca. 1,2m de altura, próxima ao jequitibá.",NA,NA,NA,NA,NA,NA,NA
"37","2019-08-12 16:59:19-03","MBML","MBML-HERBARIO","32289",NA,"Plantae","Begoniaceae","Begonia","callosa","Begonia callosa",NA,"L. Kollmann; A. P. Fontana & Kaio A. Brahim","10077","2007","10","04","Brasil","Espírito Santo","João Neiva","Alto Bergamo","-40.481944","-19.7475","40W28'55","19S44'51","MBML032289",NA,NA,"L. Kollmann/04-10-2007",NA,NA,NA,NA,NA,"Erva 2,50m no sol. Flores brancas.","355","355",NA,"MBML032289_1 MBML032289_2",NA,NA,NA
"38","2019-08-12 16:59:19-03","MBML","MBML-HERBARIO","32617",NA,"Plantae","Begoniaceae","Begonia","callosa","Begonia callosa",NA,"L. Kollmann; A. P. Fontana & Kaio A. Brahim","10071","2007","10","04","Brasil","Espírito Santo","João Neiva","Alto Bergamo","-40.481944","-19.7475","40W28'55","19S44'51","MBML032617",NA,NA,"L. Kollmann/04-10-2007",NA,NA,NA,NA,NA,"Erva 1,50m. Rupestre no sol, flores brancas, estames amarelos.","355","355",NA,"MBML032617_1 MBML032617_2",NA,NA,NA
"39","2017-09-14 11:43:03-03","MBML","MBML-HERBARIO","32606",NA,"Plantae","Blechnaceae","Blechnum","occidentale","Blechnum occidentale",NA,"L. Kollmann; A. P. Fontana & Kaio A. Brahim","10041","2007","10","04","Brasil","Espírito Santo","João Neiva","Alto Bergamo","-40.482167","-19.747722","40W28'55,8","19S44'51,8","MBML032606",NA,NA,"A.J. Arruda & A. Salino/XII-2008",NA,NA,NA,NA,NA,"Erva 6cm na sombra.","355","355",NA,"MBML032606",NA,NA,NA
"40","2017-09-14 11:47:32-03","MBML","MBML-HERBARIO","34801",NA,"Plantae","Marantaceae","Calathea",NA,"Calathea",NA,"L. Kollmann; A.P. Fontana","10756","2008","03","20","Brasil","Espírito Santo","João Neiva","Alto Bérgamo","-40.482167","-19.747722","40W28'55,8","19S44'51,8","MBML034801",NA,NA,NA,NA,NA,NA,NA,NA,"Erva na luz forte, brácteas verdes, flores amarelas. Floração em cultivo.",NA,NA,NA,NA,NA,NA,NA
"41","2020-02-19 14:09:50-03","MBML","MBML-HERBARIO","32626",NA,"Plantae","Melastomataceae","Clidemia","debilis","Clidemia debilis",NA,"L. Kollmann; A. P. Fontana & Kaio A. Brahim","10063","2007","10","04","Brasil","Espírito Santo","João Neiva","Alto Bergamo","-40.481944","-19.7475","40W28'55","19S44'51","MBML032626",NA,NA,"R. Goldenberg/2008",NA,NA,NA,NA,NA,"Arbusto 2m. Pétalas brancas, sépalas esbranquiçadas, estames vináceo-rosas, estilete branco.","355","355",NA,"MBML032626",NA,NA,NA
