"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","coordinatePrecision","geoFlag","occurrenceRemarks","infraspecificEpithet","continentOcean","class","order","relatedCatalogItem"
"105","2019-11-05 16:44:55-03","UFOP","OUPR","20092","PreservedSpecimen","Plantae","Asteraceae","Lepidaploa","lilacina","Lepidaploa lilacina","(Mart. ex DC.) H.Rob.","Almeida, G.; Dematteis, M.","2012",NA,NA,"Badini, J.","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Guaraciaba",NA,"-43.0074996948242","-20.57080078125",NA,NA,NA,NA,NA,"16300","auto","Mata. Erva. Flores azul-violáceas",NA,NA,NA,NA,NA
"106","2019-11-06 09:56:07-03","UFOP","OUPR","12850","PreservedSpecimen","Plantae","Lygodiaceae","Lygodium","hirtum","Lygodium hirtum","Kaulf.","Lisboa, M.A.","1972","06","23","Badini, J.","s.n.","1972","06","14","Brasil","Minas Gerais","Guaraciaba","Usina da Brecha","-43.0074996948242","-20.57080078125",NA,NA,NA,NA,NA,"16300","auto","Mata",NA,NA,NA,NA,NA
"107","2019-11-05 16:45:09-03","UFOP","OUPR","14965","PreservedSpecimen","Plantae","Asteraceae","Mikania","cardiophylla","Mikania cardiophylla","B.L.Rob.","Lisboa, M.A.","1972","06",NA,"s.col.","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Guaraciaba","Usina da Brecha","-43.0074996948242","-20.57080078125",NA,NA,NA,NA,NA,"16300","auto",NA,NA,NA,NA,NA,NA
"108","2019-11-06 09:57:36-03","UFOP","OUPR","22595","PreservedSpecimen","Plantae","Sapindaceae","Paullinia","rubiginosa","Paullinia rubiginosa","Cambess.","Badini, J.","1969","12",NA,"s.col.","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Guaraciaba",NA,"-43.0074996948242","-20.57080078125",NA,NA,NA,NA,NA,"16300","auto","Beira de estrada. Trepadeira. Flores amarelas",NA,NA,NA,NA,NA
"109","2019-11-06 09:57:19-03","UFOP","OUPR","5607","PreservedSpecimen","Plantae","Pteridaceae","Pteris","denticulata","Pteris denticulata","Sw.",NA,NA,NA,NA,"s.col.","s.n.","1972","06",NA,"Brasil","Minas Gerais","Guaraciaba",NA,"-43.0074996948242","-20.57080078125",NA,NA,NA,NA,NA,"16300","auto","Mata",NA,NA,NA,NA,NA
"110","2019-11-06 09:57:35-03","UFOP","OUPR","11928","PreservedSpecimen","Plantae","Salviniaceae","Salvinia","auriculata","Salvinia auriculata","Aubl.","Miranda, C.V.","2015","08","14","Badini, J.","s.n.","1970","08",NA,"Brasil","Minas Gerais","Guaraciaba","Rio","-43.0074996948242","-20.57080078125",NA,NA,NA,NA,NA,"16300","auto","Erva. Água doce",NA,NA,NA,NA,NA
"111","2019-11-06 09:57:35-03","UFOP","OUPR","11929","PreservedSpecimen","Plantae","Salviniaceae","Salvinia","auriculata","Salvinia auriculata","Aubl.","Miranda, C.V.","2015","08","14","Badini, J.","s.n.","1970","08",NA,"Brasil","Minas Gerais","Guaraciaba","Usina da Brecha, Rio","-43.0074996948242","-20.57080078125",NA,NA,NA,NA,NA,"16300","auto","Erva. Água doce",NA,NA,NA,NA,NA
"112","2019-11-06 09:55:40-03","UFOP","OUPR","19642","PreservedSpecimen","Plantae","Fabaceae","Senna","macrophylla","Senna macrophylla","(Kunth.) H.S.Irwin & Barneby","Roschel, M.B.","2000","06",NA,"Badini, J.","s.n.","1973","03","15","Brasil","Minas Gerais","Guaraciaba",NA,"-43.0074996948242","-20.57080078125",NA,NA,NA,NA,NA,"16300","auto","Mata. Trepadeira. Flores amarelas",NA,NA,NA,NA,NA
"113","2019-11-05 16:43:07-03","UFOP","OUPR","282","PreservedSpecimen","Plantae","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta","Mart.","Lisboa, M.A.","1971","11",NA,"Lisboa, M.A.","s.n.","1971","11",NA,"Brasil","Minas Gerais","Guaraciaba","Usina da Brecha","-43.0074996948242","-20.57080078125",NA,NA,NA,NA,NA,"16300","auto",NA,NA,NA,NA,NA,NA
"114","2019-11-06 09:57:49-03","UFOP","OUPR","14192","PreservedSpecimen","Plantae","Typhaceae","Typha","domingensis","Typha domingensis","Pers.","Badini, J.","1974","12","12","Badini, J.","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Guaraciaba",NA,"-43.0074996948242","-20.57080078125",NA,NA,NA,NA,NA,"16300","auto","Brejo. Erva. Flores havanas",NA,NA,NA,NA,NA
"115","2019-11-06 09:57:49-03","UFOP","OUPR","14193","PreservedSpecimen","Plantae","Typhaceae","Typha","domingensis","Typha domingensis","Pers.","Lisboa, M.A.","1974","12","14","Badini, J.","s.n.","1974","12","12","Brasil","Minas Gerais","Guaraciaba",NA,"-43.0074996948242","-20.57080078125",NA,NA,NA,NA,NA,"16300","auto","Brejos",NA,NA,NA,NA,NA
"116","2019-10-02 14:52:52-03","UFMG","BHCB","114182","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","citrifolium","Erythroxylum citrifolium","A.St.-Hil.",NA,NA,NA,NA,"Vidal, CV; Mansur, T","652","2007","11","12","Brasil","Minas Gerais","Guaraciaba","UHE Jurumirim, Fazenda Botelho.","-43.020694","-20.522583","-43.020694","-20.522583","BHCB022956",NA,"Dicotyledon",NA,NA,"Arbóreo; Floresta Semidecidual",NA,"Southern America",NA,NA,NA
"117","2019-10-02 14:59:40-03","UFMG","BHCB","114174","PreservedSpecimen","Plantae","Moraceae","Ficus","citrifolia","Ficus citrifolia","Mill.",NA,NA,NA,NA,"Vidal, CV; Mansur, T","s.n.","2007","11","12","Brasil","Minas Gerais","Guaraciaba","UHE Jurumirim. Fazenda Botelho., Floresta semidecidual.","-43.195833","-20.522583","-43.195833","-20.522583",NA,NA,"Dicotyledon",NA,NA,"Arbóreo.",NA,"Southern America",NA,NA,NA
"118","2019-10-02 15:01:53-03","UFMG","BHCB","114179","PreservedSpecimen","Plantae","Primulaceae","Myrsine","coriacea","Myrsine coriacea","(Sw.) R.Br. ex Roem. & Schult.",NA,NA,NA,NA,"Vidal, CV; Mansur, T","649","2007","11","12","Brasil","Minas Gerais","Guaraciaba","UHE Jurumirim. Fazenda Botelho.","-43.020694","-20.522583","-43.020694","-20.522583",NA,NA,"Dicotyledon",NA,NA,"Plantas do Brasil.; Arbóreo.; Floresta semidecidual.",NA,"Southern America",NA,NA,NA
"119","2019-10-02 14:52:41-03","UFMG","BHCB","87340","PreservedSpecimen","Plantae","Elaeocarpaceae","Sloanea","guianensis","Sloanea guianensis","(Aubl.) Benth.",NA,"2010","01",NA,"Tameirão Neto, E","3645","2003","10","20","Brasil","Minas Gerais","Guaraciaba","UHE Jurumirim","-43.0074996948242","-20.57080078125",NA,NA,"BHCB047442",NA,"Dicotyledon","16300","auto","Floresta Ciliar.; Arboreo",NA,"Southern America",NA,NA,NA
"120","2019-10-02 14:54:30-03","UFMG","BHCB","114177","PreservedSpecimen","Plantae","Fabaceae","Platypodium","elegans","Platypodium elegans","Vogel",NA,"2017","10","27","Vidal, CV; Mansur, T","647","2007","11","12","Brasil","Minas Gerais","Guaraciaba","UHE Jurumirim, Fazenda Botelho","-43.0074996948242","-20.57080078125",NA,NA,"BHCB044112",NA,"Dicotyledon","16300","auto","Árvore isolada no pasto",NA,"Southern America",NA,NA,NA
"121","2019-10-02 14:57:15-03","UFMG","BHCB","114183","PreservedSpecimen","Plantae","Melastomataceae","Miconia","prasina","Miconia prasina","(Sw.) DC.",NA,"2011","02","22","Vidal, CV; Mansur, T","653","2007","11","12","Brasil","Minas Gerais","Guaraciaba","UHE Jurumirim. Fazenda Botelho.","-43.0074996948242","-20.57080078125",NA,NA,"BHCB003088",NA,"Dicotyledon","16300","auto","Floresta semideicidual, arbóreo",NA,"Southern America",NA,NA,NA
