"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","phylum","imagecode","infraspecificEpithet","verbatimLongitude","verbatimLatitude","class","order","typeStatus","individualCount","relatedCatalogItem","sex"
"39","2019-09-27 18:04:48-03","UFES","VIES","9333","S","Plantae","Fabaceae","Inga","flagelliformis","Inga flagelliformis","(Vell.) Mart.","Chagas, A.P.","2013","07","10","Kollmann, L.J.C.; Bausen, E. & Andrade, A.E.","3490","2000","12","12",NA,"Brasil","Espírito Santo","Barra de São Francisco","Córrego do Engenho.","-40.8908004760742","-18.7549991607666","36480","VIES009333","auto",NA,NA,NA,NA,"VIES009333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-08-15 09:03:47-03","UESC","UESC","8513","S","Plantae","Malpighiaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Kollmann, L.","3529","2000","12","13",NA,"Brasil","Espírito Santo","Barra de São Francisco",NA,"-40.8908004760742","-18.7549991607666","36480","UESC0008513","auto",NA,NA,"Trepadeira na sombra.","Angiospermae",NA,NA,NA,NA,"Dicotyledoneae","Florideophycidae",NA,NA,NA,NA
"41","2019-08-15 09:03:52-03","UESC","UESC","18661","S","Plantae","Malpighiaceae","Lophopteris","floribunda","Lophopteris floribunda","W.R. Anderson & C.C. Davis","A.M.Amorim","2002",NA,NA,"Kollmann, L.","3267","2000","11","21",NA,"Brasil","Espírito Santo","Barra de São Francisco",NA,"-40.8908004760742","-18.7549991607666","36480","UESC0018661","auto","230","230","Trepadeira no sol.","Angiospermae",NA,NA,NA,NA,"Dicotyledoneae","Florideophycidae",NA,NA,NA,NA
"42","2019-08-15 09:03:52-03","UESC","UESC","18663","S","Plantae","Malpighiaceae","Lophopteris","floribunda","Lophopteris floribunda","W.R. Anderson & C.C. Davis","A.M.Amorim","2002",NA,NA,"Mendes, S.",NA,"1998","09","12",NA,"Brasil","Espírito Santo","Barra de São Francisco",NA,"-40.8908004760742","-18.7549991607666","36480","UESC0018663","auto",NA,NA,"Mata secundária.; Arbusto.","Angiospermae",NA,NA,NA,NA,"Dicotyledoneae","Florideophycidae",NA,NA,NA,NA
"43","2019-08-15 09:03:51-03","UESC","UESC","18618","S","Plantae","Malpighiaceae","Heteropterys","bicolor","Heteropterys bicolor","Adr. Juss.","A.M.Amorim","2001",NA,NA,"Kollmann, L.","3531","2000","12","13",NA,"Brasil","Espírito Santo","Barra de São Francisco",NA,"-40.8908004760742","-18.7549991607666","36480","UESC0018618","auto",NA,NA,"Trepadeira na sombra.","Angiospermae",NA,NA,NA,NA,"Dicotyledoneae","Florideophycidae",NA,NA,NA,NA
"44","2019-10-02 15:00:26-03","UFMG","BHCB","174025","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","guianensis","Myrcia guianensis","(Aubl.) DC.",NA,"2011",NA,NA,"Kollmann, L; Bausen, E; Andrade, AE","3346","2000","11","22","Southern America","Brasil","Espírito Santo","Barra de São Francisco",NA,"-40.8908004760742","-18.7549991607666","36480","BHCB019358","auto","230","230","Arbusto 3m. Frutos avermelhados, preto maduro.","Dicotyledon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2019-10-02 14:50:40-03","UFMG","BHCB","150168","PreservedSpecimen","Plantae","Asteraceae","Pluchea","sagittalis","Pluchea sagittalis","(Lam.) Cabrera",NA,"1990",NA,NA,"Pizziolo, RM","185","1984","07","11","Southern America","Brasil","Espírito Santo","Barra de São Francisco","Boa sorte","-40.8908004760742","-18.7549991607666","36480","BHCB003483","auto",NA,NA,"Arbusto de 1,5m, flores brancas, melíferas, solo amarelo.","Dicotyledon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2019-10-02 14:49:06-03","UFMG","BHCB","150224","PreservedSpecimen","Plantae","Asteraceae",NA,NA,NA,"Bercht. & J.Presl",NA,NA,NA,NA,"Piziolo, RM","200","1984","07","13","Southern America","Brasil","Espírito Santo","Barra de São Francisco","Boa sorte.","-40.8908004760742","-18.7549991607666","36480","BHCB003397","auto",NA,NA,"Arbusto de 7m, flores brancas, perfumadas, frutos jovens","Dicotyledon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2019-10-02 14:50:39-03","UFMG","BHCB","172247","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","oblonga","Piptocarpha oblonga","(Gardner) Baker",NA,"1990",NA,NA,"Piziolo, RM","181","1984","07","11","Southern America","Brasil","Espírito Santo","Barra de São Francisco","Boa Sorte","-40.8908004760742","-18.7549991607666","36480","BHCB016949","auto",NA,NA,"Arbusto de 4m, Flores brancas, solo escuro.","Dicotyledon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2019-10-02 14:51:04-03","UFMG","BHCB","150514","PreservedSpecimen","Plantae","Asteraceae","Vernonanthura","phosphorica","Vernonanthura phosphorica","(Vell.) H.Rob.",NA,"2010","09",NA,"Piziolo, RM","199","1988","07","17","Southern America","Brasil","Espírito Santo","Barra de São Francisco","Boa Sorte","-40.8908004760742","-18.7549991607666","36480","BHCB004839","auto",NA,NA,"Arbusto de 1m, flores brancas, frutos jovens, solo arenoso.; Arbusto de 1m, flores brancas, frutos jovens,; solo arenoso.","Dicotyledon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
