"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","individualCount"
"11","2020-03-10 08:29:41-03","UFV","VIC","31115","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Melaleuca","quinquinervia","Melaleuca quinquinervia",NA,NA,"Silva, C.J.; Pinheiro, A.L.","s.n.","2006","06","07",NA,"Brasil","Minas Gerais","São Geraldo","Monte Castelo","-42.834400177002","-20.9228000640869",NA,NA,NA,"Arbusto de ca 2,5 m, plantação comercial para produção de semnete","VIC031115","VIC031115",NA,NA,"12381","auto",NA,NA,NA,NA
"12","2020-03-10 08:29:41-03","UFV","VIC","30841","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Melaleuca","quinquinervia","Melaleuca quinquinervia",NA,NA,"Silva, C.J.","s.n.","2006","11","16",NA,"Brasil","Minas Gerais","São Geraldo","Monte Celeste","-42.834400177002","-20.9228000640869",NA,NA,NA,"Àrvore de ca 5 m de altura","VIC030841","VIC030841",NA,NA,"12381","auto",NA,NA,NA,NA
"13","2020-03-10 08:29:53-03","UFV","VIC","007126","PreservedSpecimen","Plantae",NA,NA,"Papilionoideae","Cajanus","cajans","Cajanus cajans","DC.",NA,"Silva, J.L.A.","s.n.","1981","06","03",NA,"Brasil","Minas Gerais","São Geraldo","Serra de São Geraldo","-42.834400177002","-20.9228000640869",NA,NA,NA,"Corola vermelha/amarela,cálice verde.","VIC007126","VIC007126",NA,NA,"12381","auto",NA,NA,NA,NA
"14","2020-03-10 08:29:53-03","UFV","VIC","7126","PreservedSpecimen","Plantae",NA,NA,"Papilionoideae","Cajanus","cajan","Cajanus cajan","(L.) Huth",NA,"Silva, J.L.A.","s.n.","1981","06","03",NA,"Brasil","Minas Gerais","São Geraldo","Serra de São Geraldo","-42.834400177002","-20.9228000640869",NA,NA,NA,"Corola vermelha/amarelada, cálice verde.","VIC007126","VIC007126",NA,NA,"12381","auto",NA,NA,NA,NA
"15","2020-03-10 08:29:46-03","UFV","VIC","16142","PreservedSpecimen","Plantae",NA,NA,"Orchidaceace","Octomeria","grandiflora","Octomeria grandiflora","Lindl.","Leoni, L.S.","Paula, C.C.","1143","1996","07","19",NA,"Brasil","Minas Gerais","São Geraldo","Serra de São Geraldo","-42.834400177002","-20.9228000640869",NA,NA,NA,"Epífita, tépalas amarelas, esciófila.","VIC016142","VIC016142","1997","08","12381","auto",NA,NA,NA,NA
"16","2020-03-10 08:29:47-03","UFV","VIC","16141","PreservedSpecimen","Plantae",NA,NA,"Orchidaceace","Ponera","striata","Ponera striata","Lindl.","Leoni, L.S.","Paula, C.C.","1141","1996","07","19",NA,"Brasil","Minas Gerais","São Geraldo","Serra de São Geraldo","-42.834400177002","-20.9228000640869",NA,NA,NA,"Epífita, tépalas creme com nervuras roxas.","VIC016141","VIC016141","1996","12","12381","auto","01",NA,NA,NA
"17","2020-03-10 08:27:39-03","UFV","VIC","26370","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Billbergia","lymanii","Billbergia lymanii","E. Pereira & Leme","Paula, C.C. de","Paula, C.C. de; Silva, R.R. da","s.n.","2002","03","12",NA,"Brasil","Minas Gerais","São Geraldo","Serra de São Geraldo","-42.834400177002","-20.9228000640869",NA,NA,NA,"Escapo róseo; brácteas escapais paleáceas; brácteas florais e sépalas rosa escuro; pétalas com o terço superior violeta e o restante branco arroseado","VIC026370","VIC026370","2002","03","12381","auto","12",NA,NA,NA
"18","2020-03-10 08:29:49-03","UFV","VIC","016144","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sophoronitis",NA,"Sophoronitis",NA,NA,"de Paula, C.C.","1150","1996","06","20",NA,"Brasil","Minas Gerais","São Geraldo","Serra de São Geraldo, Em jequitibá gigante.","-42.834400177002","-20.9228000640869",NA,NA,NA,"Epífita de tépalas vermelhas.","VIC016144","VIC016144",NA,NA,"12381","auto",NA,NA,NA,NA
"19","2020-03-10 08:27:38-03","UFV","VIC","015138","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","nudicaulis","Aechmea nudicaulis","(L.) Griseb.",NA,"de Paula, C.C.","1052","1995","10","22",NA,"Brasil","Minas Gerais","São Geraldo","Serra de São Geraldo, Jequitibá caido próximo a BR.","-42.834400177002","-20.9228000640869",NA,NA,NA,"Epífita de brácteas róseas de pétalas vermelhas.","VIC015138","VIC015138",NA,NA,"12381","auto",NA,NA,NA,NA
"20","2020-03-10 08:27:38-03","UFV","VIC","015137","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","nudicaulis","Aechmea nudicaulis","(L.) Griseb.",NA,"de Paula, C.C.","1051","1995","10","22",NA,"Brasil","Minas Gerais","São Geraldo","Serra de São Geraldo, Jequitibá caido próximo a BR.","-42.834400177002","-20.9228000640869",NA,NA,NA,"Epífita de brácteas róseas, pétalas vermelhas.","VIC015137","VIC015137",NA,NA,"12381","auto",NA,NA,NA,NA
"21","2020-03-10 08:27:38-03","UFV","VIC","016506","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","phanerophlebia","Aechmea phanerophlebia","Baker",NA,"de Paula, C.C.","1269","1996","11","15",NA,"Brasil","Minas Gerais","São Geraldo","Serra de São Geraldo, Vale do córrego Luzia rocha, em rocha.","-42.834400177002","-20.9228000640869",NA,NA,NA,"Saxicola ou epífita ,esciofíla, inflorescência rosa.","VIC016506","VIC016506",NA,NA,"12381","auto",NA,NA,NA,NA
