"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","genus","scientificName","minimumElevationInMeters","maximumElevationInMeters","specificEpithet","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","infraspecificEpithet","imagecode","phylum","continentOcean","class","order","typeStatus"
"1","2019-12-04 13:41:26-03","MCN-PUC-MINAS","HPUC-MG","CARP056","S","Plantae","Celastraceae","M.F.Vasconcelos","19-032","2019","01","14","Brasil","Minas Gerais","Virginópolis","margem esquerda do Rio Corrente Grande","-42.683333","-18.883333","42º41'W","18º53' S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-01-28 13:11:07-03","MCN-PUC-MINAS","HPUC-MG","ANG 5490","S","Plantae","Bromeliaceae","M.F. Vasconcelos","19-113",NA,NA,NA,"Brasil","Minas Gerais","Virginópolis","Margem esquerda do Rio Corrente Grande","-42.7","-18.883333","42°42'W","18°53'S","Billbergia","Billbergia","720","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-04 10:45:24-03","UFRJ","RFA","37121","Preservedecimen","Plantae","Dioscoreaceae","R.S. Couto; C.P. Bove, P. Baleeiro, A. Oliveira","206","2009","04","08","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Dioscorea","Dioscorea dodecaneura",NA,NA,"dodecaneura","Vell.","R.S. Couto","2009","04","08","19497","Ombrófila, trepadeira de folhas vinosas na face abaxial e variegada na face adaxial. Material estéril.","RFA23899","auto",NA,NA,NA,NA,NA,NA,NA
"4","2020-03-10 08:29:12-03","UFV","VIC","37773","PreservedSpecimen","Plantae","Mimosoideae","Batista, M.L.; Vieira, D.M.","s.n.","2011","11","24","Brasil","Minas Gerais","Virginópolis","Ás margens do Rio Corrente Grande.","-42.721944","-18.893333","-42.721944","-18.893333","Anadenanthera","Anadenanthera colubrina",NA,NA,"colubrina","(Vell.) Brenan","Batista, M.L.","2012","05","19",NA,"Árvore, c.a. de 10,5 metros de altura, com frutos, desprovida de acúleos.","VIC037773",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-03-10 08:29:12-03","UFV","VIC","37775","PreservedSpecimen","Plantae","Mimosoideae","Batista, M.L.; Vieira, D.M.","s.n.","2011","11","24","Brasil","Minas Gerais","Virginópolis","Às margens do Rio Corrente Grande.","-42.721944","-18.893333","-42.721944","-18.893333","Anadenanthera","Anadenanthera colubrina",NA,NA,"colubrina","(Vell.) Brenan","Batista, M.L.","2012","05","19",NA,"Árvore, c.a. de 10,5 metros de altura, com flores, desprovida de acúleos.","VIC037775",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-03-10 08:29:22-03","UFV","VIC","37795","PreservedSpecimen","Plantae","Mimosoideae","Batista, M.L.; Vieira, D.M.","s.n.","2011","11","24","Brasil","Minas Gerais","Virginópolis","Às margens do Rio Corrente Grande","-42.713611","-18.895556","-42.713611","-18.895556","Inga","Inga vera affinis",NA,NA,"vera","(DC.) T.D. Penn.","Batista, M.L.","2012","05","19",NA,"Árvore 6m alt., com flores.","VIC037795",NA,"affinis",NA,NA,NA,NA,NA,NA
"7","2020-03-10 08:26:36-03","UFV","VIC","26851","PreservedSpecimen","Plantae","Acanthaceae","Teixeira, E.W.","s.n.","2001","09","14","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Thunbergia","Thunbergia alata",NA,NA,"alata","Bojer ex Sims","Shimizu, G.H.","2008","02","01","19497","Planta rasteira, sem secreção e sem odor. Flor amarela.","VIC026851","auto",NA,"VIC026851",NA,NA,NA,NA,NA
"8","2020-03-10 08:28:41-03","UFV","VIC","25250","PreservedSpecimen","Plantae","Lamiaceae","Message, D.; Texeira, E.W.","s.n.","2000","10","14","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Leonurus","Leonurus sibiricus",NA,NA,"sibiricus","L.",NA,NA,NA,NA,"19497","Planta de 30 cm , cálice verde e corola lilás mesclada de branco.","VIC025250","auto",NA,NA,NA,NA,NA,NA,NA
"9","2020-03-10 08:27:23-03","UFV","VIC","26899","PreservedSpecimen","Plantae","Asteraceae","Teixeira, E.W.","s.n.","2001","09","14","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Vernonia","Vernonia scorpioides",NA,NA,"scorpioides","(Lam.) Pers.",NA,NA,NA,NA,"19497","Planta, c.a. de 1,0 metro de altura, sem secreção com odor forte. Flor roxa. Planta 02.","VIC026899","auto",NA,"VIC026899",NA,NA,NA,NA,NA
"10","2020-03-10 08:27:23-03","UFV","VIC","26898","PreservedSpecimen","Plantae","Asteraceae","Teixeira, E.W.","s.n.","2001","07","04","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Vernonia","Vernonia scorpioides",NA,NA,"scorpioides","(Lam.) Pers.",NA,NA,NA,NA,"19497","Planta de 1,8 metros de altura, com flor roxa, sem odor e sem secreção. Planta 01.","VIC026898","auto",NA,"VIC026898",NA,NA,NA,NA,NA
"11","2020-03-10 08:27:36-03","UFV","VIC","25260","PreservedSpecimen","Plantae","Boraginaceae","Message, D.; Teixeira, E.W.","s.n.","2000","11","10","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Cordia","Cordia",NA,NA,NA,NA,NA,NA,NA,NA,"19497","Arbusto de flor amarelo claro. Planta 05.","VIC025260","auto",NA,"VIC025260",NA,NA,NA,NA,NA
"12","2020-03-10 08:27:23-03","UFV","VIC","26172","PreservedSpecimen","Plantae","Asteraceae","Teixeira, E.W.","s.n.","2001","05","03","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Vernonia","Vernonia salzmannii",NA,NA,"salzmannii","DC.","Dematteis, M.","2007",NA,NA,"19497","Planta de c.a. de 1,6 metros de altura, sem odor e sem secreção. Flor roxa. Pl 03.","VIC026172","auto",NA,"VIC026172",NA,NA,NA,NA,NA
"13","2020-03-10 08:27:23-03","UFV","VIC","26903","PreservedSpecimen","Plantae","Asteraceae","Teixeira, E.W.; Message, D.","s.n.","2001","07","03","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Vernonia","Vernonia polyanthes",NA,NA,"polyanthes","Less.",NA,NA,NA,NA,"19497","Pl 08, c.a. de 1,6 metros de altura, sem odor, sem secreção, flor branca.","VIC026903","auto",NA,"VIC026903",NA,NA,NA,NA,NA
"14","2020-03-10 08:27:23-03","UFV","VIC","26902","PreservedSpecimen","Plantae","Asteraceae","Teixeira, E.W.","s.n.","2001","07","05","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Vernonia","Vernonia polyanthes",NA,NA,"polyanthes","Less.",NA,NA,NA,NA,"19497","Planta 01, sem secreção, sem odor, flor branca, c.a. de 3,0 metros de altura.","VIC026902","auto",NA,"VIC026902",NA,NA,NA,NA,NA
"15","2020-03-10 08:27:23-03","UFV","VIC","26901","PreservedSpecimen","Plantae","Asteraceae","Teixeira, E.W.","s.n.","2001","08","08","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Vernonia","Vernonia polyanthes",NA,NA,"polyanthes","Less.",NA,NA,NA,NA,"19497","Sem odor, sem secreção, flor branca, Pl-02.","VIC026901","auto",NA,"VIC026901",NA,NA,NA,NA,NA
"16","2020-03-10 08:27:23-03","UFV","VIC","26900","PreservedSpecimen","Plantae","Asteraceae","Teixeira, E.W.","s.n.","2001","08","09","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Vernonia","Vernonia polyanthes",NA,NA,"polyanthes","Less.",NA,NA,NA,NA,"19497","Planta 01, sem odor, sem secreção, flor branca.","VIC026900","auto",NA,"VIC026900",NA,NA,NA,NA,NA
"17","2020-03-10 08:30:17-03","UFV","VIC","26828","PreservedSpecimen","Plantae","Poaceae","Teixeira, E.W.; Neri, G.F.","s.n.","2001","06","08","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Melinis","Melinis minutiflora",NA,NA,"minutiflora","P. Beauv.","Longhi-Wagner, H.","2004","07","20","19497","C.a. de 60 cm de altura, sem odor e sem secreção. Flor vinho. Planta 04.","VIC026828","auto",NA,"VIC026828",NA,NA,NA,NA,NA
"18","2020-03-10 08:27:23-03","UFV","VIC","26896","PreservedSpecimen","Plantae","Asteraceae","Teixeira, E.W.","s.n.","2001","09","14","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Vernonia","Vernonia membranacea",NA,NA,"membranacea","Gardner",NA,NA,NA,NA,"19497","Planta com c.a. de 2,0 metros de altura, sem secreção e sem odor. Flor branca. Pl 01.","VIC026896","auto",NA,"VIC026896",NA,NA,NA,NA,NA
"19","2020-03-10 08:27:01-03","UFV","VIC","26889","PreservedSpecimen","Plantae","Asteraceae","Teixeira, E.W.","s.n.","2001","05","03","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Ageratum","Ageratum conyzoides",NA,NA,"conyzoides","L.",NA,NA,NA,NA,"19497","Odor suave, sem secreção, flor lilás. Planta de c.a. de 80 cm de altura. PL 07.","VIC026889","auto",NA,"VIC026889",NA,NA,NA,NA,NA
"20","2020-03-10 08:29:43-03","UFV","VIC","25262","PreservedSpecimen","Plantae","Myrtaceae","Message, D.","s.n.","2000","11","10","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Myrcia","Myrcia splendens",NA,NA,"splendens","(Sw.) DC.",NA,NA,NA,NA,"19497","Arbóreo de 2 a 3 m, planta 08","VIC025262","auto",NA,"VIC025262",NA,NA,NA,NA,NA
"21","2020-03-10 08:27:12-03","UFV","VIC","26888","PreservedSpecimen","Plantae","Asteraceae","Teixeira, E.W.","s.n.","2001","04","11","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Eupatorium","Eupatorium squalidum",NA,NA,"squalidum","DC.",NA,NA,NA,NA,"19497","Planta com 1,0 metro de altura, sem odor, sem secreção; flor branca. Pl 04.","VIC026888","auto",NA,"VIC026888",NA,NA,NA,NA,NA
"22","2020-03-10 08:27:01-03","UFV","VIC","26893","PreservedSpecimen","Plantae","Asteraceae","Teixeira, E.W.","s.n.","2001","05","03","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Ageratum","Ageratum fastigiatum",NA,NA,"fastigiatum","(Gardner) R.M. King & H. Rob.",NA,NA,NA,NA,"19497","Odor suave; sem secreção; flor branca; planta com c.a. de 80 cm de altura. Pl 01.","VIC026893","auto",NA,"VIC026893",NA,NA,NA,NA,NA
"23","2020-03-10 08:27:01-03","UFV","VIC","26926","PreservedSpecimen","Plantae","Asteraceae","Teixeira, E.W.; Neri, G.F.","s.n.","2001","06","08","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Ageratum","Ageratum fastigiatum",NA,NA,"fastigiatum","(Gardner) R.M. King & H. Rob.","Esteves, R.L.","2004","07","24","19497","Planta sem odor e sem secreção de flor roxa. Planta 05.","VIC026926","auto",NA,"VIC026926",NA,NA,NA,NA,NA
"24","2020-03-10 08:26:49-03","UFV","VIC","26850","PreservedSpecimen","Plantae","Apocynaceae","Teixeira, E.W.","s.n.","2001","08","09","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19497","Planta com cerca de 4,0 metros de altura, com odor suave e secreção. Flor branca. Planta 02.","VIC026850","auto",NA,"VIC026850",NA,NA,NA,NA,NA
"25","2020-03-10 08:26:49-03","UFV","VIC","26819","PreservedSpecimen","Plantae","Apocynaceae","Teixeira, E.W.","s.n.","2001","09","14","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19497","Planta com cerca de 1,5 metros de altura, com secreção, sem odor. Flor branca. Planta 06.","VIC026819","auto",NA,"VIC026819",NA,NA,NA,NA,NA
"26","2020-03-10 08:26:49-03","UFV","VIC","25248","PreservedSpecimen","Plantae","Apocynaceae","Message, D.; Teixeira, E.W.","s.n.","2000","10","14","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19497","Árvore latescente com c.a. de 3,0 metros de altura. Muito frequente. Flores brancas aromáticas. Pl-03.","VIC025248","auto",NA,"VIC025248",NA,NA,NA,NA,NA
"27","2020-03-10 08:30:59-03","UFV","VIC","26872","PreservedSpecimen","Plantae","Verbenaceae","Teixeira, E.W.","s.n.","2001","09","14","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Lantana","Lantana fucata",NA,NA,"fucata","Lindl","Salimena, F.R.","2007","04",NA,"19497","Planta de +- 1,0 m de altura, sem secreção, com odor forte. Flor roxa. Planta 05","VIC026872","auto",NA,"VIC026872",NA,NA,NA,NA,NA
"28","2020-03-10 08:30:59-03","UFV","VIC","26870","PreservedSpecimen","Plantae","Verbenaceae","Teixeira, E.W.","s.n.","2001","07","04","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Lantana","Lantana fucata",NA,NA,"fucata","Lindl","Salimena, F.R.","2007","04",NA,"19497","Planta ca. De 1,5m de altura de flor roxa, sem odor e sem secreção","VIC026870","auto",NA,"VIC026870",NA,NA,NA,NA,NA
"29","2020-03-10 08:30:59-03","UFV","VIC","25251","PreservedSpecimen","Plantae","Verbenaceae","Message, D.; Teixeira, E.W.","s.n.","2000","10","14","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Lantana","Lantana fucata",NA,NA,"fucata","Lindl","Salimena, F.R.","2001","04",NA,"19497","Porte arbustivo. Flores rosas, aromáticas e com interior do tubo da corola de coloração amarela. Muito frequente. PL-04","VIC025251","auto",NA,"VIC025251",NA,NA,NA,NA,NA
"30","2020-03-10 08:27:01-03","UFV","VIC","26878","PreservedSpecimen","Plantae","Asteraceae","Teixeira, E.W.; Neri, G.F.","s.n.","2001","04","11","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Alomia","Alomia fastigiata",NA,NA,"fastigiata","Benth.",NA,NA,NA,NA,"19497","Sem odor, secreção no caule; flor lilás. Pl 03.","VIC026878","auto",NA,"VIC026878",NA,NA,NA,NA,NA
"31","2020-03-10 08:30:34-03","UFV","VIC","26855","PreservedSpecimen","Plantae","Rubiaceae","Teixeira, É.W.; Neri, G.F.","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Mitracarpus","Mitracarpus",NA,NA,NA,NA,NA,NA,NA,NA,"19497","Planta de cerca de 1 m, sem odor e sem secreção, flor branca planta 03","VIC026855","auto",NA,"VIC026855",NA,NA,NA,NA,NA
"32","2020-03-10 08:28:48-03","UFV","VIC","25261","PreservedSpecimen","Plantae","Loranthaceae","Message, D.; Teixeira, E.W.","s.n.","2000","11","10","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Struthanthus","Struthanthus marginatus",NA,NA,"marginatus","Mart.","Reif, C.","2005","06",NA,"19497","Cipó de flor bege. Planta 01.","VIC025261","auto",NA,NA,NA,NA,NA,NA,NA
"33","2020-03-10 08:29:22-03","UFV","VIC","25563","PreservedSpecimen","Plantae","Mimosoideae","Teixeira, E.W.","s.n.","2001","02","02","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Mimosa","Mimosa",NA,NA,NA,NA,"Borges, L.M.; Lewis, G.P.","2007","07","20","19497","Arbusto ca. de 80 cm de altura, sem secreção, sem odor. Flor lilás. Pl 03.","VIC025563","auto",NA,"VIC025563",NA,NA,NA,NA,NA
"34","2020-03-10 08:28:28-03","UFV","VIC","25558","PreservedSpecimen","Plantae","Euphorbiaceae","Teixeira, E.W.","s.n.","2001","01","03","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Croton","Croton floribundus",NA,NA,"floribundus","Spreng.","Riina, R.","2013","09",NA,"19497","Planta com c.a. de 1,5 metros de altura. Flor brege. PL 08.","VIC025558","auto",NA,"VIC025558",NA,NA,NA,NA,NA
"35","2020-03-10 08:28:39-03","UFV","VIC","26831","PreservedSpecimen","Plantae","Lamiaceae","Teixeira, É.; Neri, G.F.","s.n.","2001","04","11","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19497","Sem odor sem secreção flor lilás 1 m,PL- 02","VIC026831","auto",NA,NA,NA,NA,NA,NA,NA
"36","2020-03-10 08:30:34-03","UFV","VIC","26854","PreservedSpecimen","Plantae","Rubiaceae","Teixeira, É.W.","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Mitracarpus","Mitracarpus",NA,NA,NA,NA,NA,NA,NA,NA,"19497","Sem odor , sem secreção, flor branca, 1 m de altura parcela 04","VIC026854","auto",NA,"VIC026854",NA,NA,NA,NA,NA
"37","2020-03-10 08:28:39-03","UFV","VIC","26830","PreservedSpecimen","Plantae","Lamiaceae","Teixeira, É.","s.n.","2001","03","06","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19497","Odorforte sem secreção, flor lilás 0,8 m de altura. PL - 01","VIC026830","auto",NA,NA,NA,NA,NA,NA,NA
"38","2020-03-10 08:30:59-03","UFV","VIC","25574","PreservedSpecimen","Plantae","Verbenaceae","Teixeira, E.W.","s.n.","2001","01","03","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Stachytarpheta","Stachytarpheta",NA,NA,NA,"Vahl",NA,NA,NA,NA,"19497","Planta ca. de 50cm de altura de flor lilás sem odor e sem secreção.","VIC025574","auto",NA,"VIC025574",NA,NA,NA,NA,NA
"39","2020-03-10 08:30:59-03","UFV","VIC","25573","PreservedSpecimen","Plantae","Verbenaceae","Teixeira, E.W.","s.n.","2001","02","02","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Stachytarpheta","Stachytarpheta",NA,NA,NA,"Vahl",NA,NA,NA,NA,"19497","Planta ca. de 60cm de altura de flor roxa sem odor e sem secreção.","VIC025573","auto",NA,"VIC025573",NA,NA,NA,NA,NA
"40","2020-03-10 08:30:59-03","UFV","VIC","25264","PreservedSpecimen","Plantae","Verbenaceae","Message, D.; Teixeira, E.W.","s.n.","2000","11","10","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Lantana","Lantana camara",NA,NA,"camara","L.","Salimena, F.R.","2001","09",NA,"19497","Arbusto. Flor lilás. Planta 04","VIC025264","auto",NA,"VIC025264",NA,NA,NA,NA,NA
"41","2020-03-10 08:30:59-03","UFV","VIC","25572","PreservedSpecimen","Plantae","Verbenaceae","Teixeira, E.W.","s.n.","2000","12","12","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Stachytarpheta","Stachytarpheta",NA,NA,NA,"Vahl",NA,NA,NA,NA,"19497","Planta ca. de 50cm de altura de flor roxa sem odor e sem secreção.","VIC025572","auto",NA,"VIC025572",NA,NA,NA,NA,NA
"42","2020-03-10 08:30:02-03","UFV","VIC","26836","PreservedSpecimen","Plantae","Papilionoideae","Teixeira, E.W.","s.n.","2001","05","03","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Phaseolus","Phaseolus vulgaris",NA,NA,"vulgaris","L.",NA,NA,NA,NA,"19497","Sem odor, sem secreção, flor branca, 20 cm de altura, Pl-05.","VIC026836","auto",NA,"VIC026836",NA,NA,NA,NA,NA
"43","2020-03-10 08:30:52-03","UFV","VIC","025566","PreservedSpecimen","Plantae","Sterculiaceae","Teixeira, É.W.","s.n.","2000","12","07","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Waltheria","Waltheria",NA,NA,NA,NA,NA,NA,NA,NA,"19497","Planta de cerca de 1 m, flor branca sem odor e sem secreção.","VIC025566","auto",NA,NA,NA,NA,NA,NA,NA
"44","2020-03-10 08:30:59-03","UFV","VIC","026871","PreservedSpecimen","Plantae","Verbenaceae","Teixeira, É.W.","s.n.","2001","09","14","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Lantana","Lantana camara",NA,NA,"camara","L.",NA,NA,NA,NA,"19497","Planta de cerca de 1.5 m de altura ,sem secreção com odor forte, flor laranja e amarela, planta n°04.","VIC026871","auto",NA,"VIC026871",NA,NA,NA,NA,NA
"45","2020-03-10 08:30:59-03","UFV","VIC","025571","PreservedSpecimen","Plantae","Verbenaceae","Teixeira, É.W.","s.n.","2001","01","03","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Lantana","Lantana camara",NA,NA,"camara","L.",NA,NA,NA,NA,"19497","Planta de cerca de 80 cm de altura. Flor vermelha amarelada sem secreção. PL 01.","VIC025571","auto",NA,"VIC025571",NA,NA,NA,NA,NA
"46","2020-03-10 08:30:59-03","UFV","VIC","25263","PreservedSpecimen","Plantae","Verbenaceae","Message, D.; Teixeira, E.W.","s.n.","2000","11","10","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Stachytarpheta","Stachytarpheta",NA,NA,NA,"Vahl",NA,NA,NA,NA,"19497","Arbusto pequeno.","VIC025263","auto",NA,"VIC025263",NA,NA,NA,NA,NA
"47","2020-03-10 08:30:59-03","UFV","VIC","025263","PreservedSpecimen","Plantae","Verbenaceae","Message, D.; Teixeira, É.","s.n.","2000","11","10","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Stachytarpheta","Stachytarpheta",NA,NA,NA,"Vahl",NA,NA,NA,NA,"19497","Arbusto pequeno, planta 07.","VIC025263","auto",NA,"VIC025263",NA,NA,NA,NA,NA
"48","2020-03-10 08:30:59-03","UFV","VIC","026876","PreservedSpecimen","Plantae","Verbenaceae","Teixeira, É.","s.n.","2001","08","09","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Lantana","Lantana",NA,NA,NA,NA,NA,NA,NA,NA,"19497","Planta de cerca de 80 cm, sem secreção, com odor forte, flor roxa, planta 03.","VIC026876","auto",NA,NA,NA,NA,NA,NA,NA
"49","2020-03-10 08:27:12-03","UFV","VIC","26886","PreservedSpecimen","Plantae","Asteraceae","Teixeira, E.W.","s.n.","2001","03","06","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Eupatorium","Eupatorium squalidum",NA,NA,"squalidum","DC.",NA,NA,NA,NA,"19497","Planta com c.a. de 80 cm de altura, sem odor, sem secreção; flor lilás. Pl 02.","VIC026886","auto",NA,"VIC026886",NA,NA,NA,NA,NA
"50","2020-03-10 08:30:59-03","UFV","VIC","026875","PreservedSpecimen","Plantae","Verbenaceae","Teixeira, É.; Neri, G.F.","s.n.","2001","06","08","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Lantana","Lantana",NA,NA,NA,NA,NA,NA,NA,NA,"19497","Planta de cerca de 60 cm de altura, se odor e sem secreção, flor lilás planta,01.","VIC026875","auto",NA,NA,NA,NA,NA,NA,NA
"51","2020-03-10 08:28:44-03","UFV","VIC","26833","PreservedSpecimen","Plantae","Lauraceae","Teixteixeira, É.","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Nectandra","Nectandra rigida",NA,NA,"rigida","(H.B.K.) Nees",NA,NA,NA,NA,"19497","Odor forte com secreção flor branca, 3 m de altura pi 06.","VIC026833","auto",NA,NA,NA,NA,NA,NA,NA
"52","2020-03-10 08:29:57-03","UFV","VIC","25565","PreservedSpecimen","Plantae","Papilionoideae","Teixeira, E.W.","s.n.","2000","12","07","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Desmodium","Desmodium incanum",NA,NA,"incanum","DC.","Lima, L.C.P.","2009","07",NA,"19497","Planta rasteira, c.a. de 10 cm de altura. Flor roxa. PL 07.","VIC025565","auto",NA,"VIC025565",NA,NA,NA,NA,NA
"53","2020-03-10 08:27:03-03","UFV","VIC","26925","PreservedSpecimen","Plantae","Asteraceae","Teixeira, E.W.; Neri, G.F.","s.n.","2001","06","08","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Baccharis","Baccharis genistelloides crispa",NA,NA,"genistelloides","(Spreng.) Joch. Müll.","Schneider, A.A.","2009","01",NA,"19497","Planta com c.a. de 50 cm de altura, sem odor e sem secreção. Flor branca (botão). Planta 02.","VIC026925","auto","crispa","VIC026925",NA,NA,NA,NA,NA
"54","2020-03-10 08:27:01-03","UFV","VIC","25552","PreservedSpecimen","Plantae","Asteraceae","Teixeira, E.W.","s.n.","2001","02","02","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Baccharis","Baccharis",NA,NA,NA,NA,NA,NA,NA,NA,"19497","Arbórea, c.a. de 2,0 metros de altura sem secreção, sem odor. Flor branca. Pl 02.","VIC025552","auto",NA,"VIC025552",NA,NA,NA,NA,NA
"55","2020-03-10 08:27:01-03","UFV","VIC","25554","PreservedSpecimen","Plantae","Asteraceae","Teixeira, E.W.","s.n.","2001","02","09","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Baccharis","Baccharis",NA,NA,NA,NA,NA,NA,NA,NA,"19497","Arbórea, c.a. de 2,0 metros de altura, sem secreção, sem odor. Flor bege. Pl 01.","VIC025554","auto",NA,"VIC025554",NA,NA,NA,NA,NA
"56","2020-03-10 08:27:03-03","UFV","VIC","26918","PreservedSpecimen","Plantae","Asteraceae","Teixeira, E.W.","s.n.","2001","03","06","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Baccharis","Baccharis dracunculifolia",NA,NA,"dracunculifolia","DC.",NA,NA,NA,NA,"19497","Sem odor, sem secreção; flor branca. Planta com c.a. de 1,6 metros de altura. Pl 03.","VIC026918","auto",NA,"VIC026918",NA,NA,NA,NA,NA
