"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","recordNumber","continentOcean","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","imagecode","infraspecificEpithet","class","order"
"41","2020-03-10 08:29:43-03","UFV","VIC","10543","PreservedSpecimen","Plantae",NA,"Nyctaginaceae","Guapira","opposita","Guapira opposita",NA,"Vieira, M.F.","1988","10","09","Brasil","Minas Gerais","Ervália","Fazenda das Oliveiras, Propriedade de Maurício Ferreira fernandes, serra do Congo a 7 km do Careço.","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"(Vell) Reitz",NA,NA,NA,"614",NA,"19783","árvore de 6 m, flores verdes quando evelhencem ficam avermelhadas","VIC010543","auto",NA,NA,NA,NA
"42","2020-03-10 08:27:47-03","UFV","VIC","10541","PreservedSpecimen","Plantae",NA,"Cactaceae","Hatiora","salicornioides","Hatiora salicornioides","Zappi, D.C.; Machado, M.","Vieira, M.F.","1988","10","09","Brasil","Minas Gerais","Ervália","Fazenda das Oliveiras, Propriedade de Maurício Ferreira Fernandes, serra do Gongo, À 7,0 Km do Careço (arraial).","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"(Haw.) Britton & Rose","2004","07","19","612",NA,"19783","Planta epífita, flores amarelas, local úmido e sombreado.","VIC010541","auto","VIC010541",NA,NA,NA
"43","2020-03-10 08:28:36-03","UFV","VIC","10558","PreservedSpecimen","Plantae",NA,"Gesneriaceae","Nematanthus","lanceolatus","Nematanthus lanceolatus","Chautems, A.","Vieira, M.F.","1998","10","30","Brasil","Minas Gerais","Ervália","Fazenda das Oliveiras, Propriedade de Mauricio Ferreira Fernandes. Serra do Gongo a 7 km do careço.","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"(Poir) Chautems","2004","02",NA,"629",NA,"19783","Arbusto escandente com raizea adventícias, flores de corolação maravilha.","VIC010558","auto",NA,NA,NA,NA
"44","2020-03-10 08:30:47-03","UFV","VIC","010557","PreservedSpecimen","Plantae",NA,"Solanaceae","Aureliana","fasciculata","Aureliana fasciculata",NA,"Vieira, M.F.","1988","10","30","Brasil","Minas Gerais","Ervália","Fazenda das Oliveiras, Propriedade de Maurico Fernandes, serra do Gongo, a 7 km do Careço.","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"(Vell) Sendtn",NA,NA,NA,"s.n.",NA,"19783","Arvoreta de cerca de 3 m, corola branco esverdeada.","VIC010557","auto","VIC010557",NA,NA,NA
"45","2020-03-10 08:29:55-03","UFV","VIC","23599","PreservedSpecimen","Plantae",NA,"Papilionoideae","Crotalaria",NA,"Crotalaria","Mendonça-Filho, C.V.","Paula, C.C. de","1999","07","02","Brasil","Minas Gerais","Ervália","Margem da Represa dos Cataguases/Leopoldina, À c.a. de 200 metros da barragem.","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,NA,"2000","04","12","s.n.",NA,"19783","Heliófila, plantas isoladas no pasto de brachiaria.","VIC023599","auto","VIC023599",NA,NA,NA
"46","2020-03-10 08:29:32-03","UFV","VIC","30136","PreservedSpecimen","Plantae",NA,"Moraceae","Dorstenia","arifolia","Dorstenia arifolia",NA,"Araújo, L.M.","2006","01","26","Brasil","Minas Gerais","Ervália","Mata do condominio Maria Carolina","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"Lam.",NA,NA,NA,"s.n.",NA,"19783","Plantas herbáceas, altura variando entre 40 a 50 cm; rizoma subterrâneo o parcialmente aéreo, cenanto de cor violácea; área com declividade acentuada; local sombreado, com serrapilheira abundante.","VIC030136","auto","VIC030136",NA,NA,NA
"47","2020-03-10 08:29:32-03","UFV","VIC","30137","PreservedSpecimen","Plantae",NA,"Moraceae","Dorstenia","arifolia","Dorstenia arifolia",NA,"Araújo, L.M.","2006","01","26","Brasil","Minas Gerais","Ervália","Mata do condominio Maria Carolina","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"Lam.",NA,NA,NA,"s.n.",NA,"19783","Plantas herbáceas, altura variando entre 40 a 50 cm; rizoma subterrâneo ou parcialmente aéreo, cenanto de cor violácea; área com declividade acentuada; local sombreado, com serrapilheira abumdante.","VIC030137","auto","VIC030137",NA,NA,NA
"48","2020-03-10 08:29:32-03","UFV","VIC","30138","PreservedSpecimen","Plantae",NA,"Moraceae","Dorstenia","arifolia","Dorstenia arifolia",NA,"Araújo, L.M.","2006","01","26","Brasil","Minas Gerais","Ervália","Mata do condominio Maria Carolina","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"Lam.",NA,NA,NA,"s.n.",NA,"19783","Plantas herbáceas, altura variando entre 40 a 50 cm; rizoma subterrâneo ou parcialmente aéreo, cenanto de cor violácea; área com declividade acentuada; local sombreado, com serrapilheira abumdante.","VIC030138","auto","VIC030138",NA,NA,NA
"49","2020-03-10 08:30:49-03","UFV","VIC","008417","PreservedSpecimen","Plantae",NA,"Solanaceae","Solanum","megachiton","Solanum megachiton",NA,"Drummond, O.; et al.","1945","01","17","Brasil","Minas Gerais","Ervália","Na base da serra do Brigadeiro","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"Mart",NA,NA,NA,"s.n.",NA,"19783","Até 2 m de altura, flores alvas com listras azuis por dentro das pétalas na mata.","VIC008417","auto","VIC008417",NA,NA,NA
"50","2020-03-10 08:27:39-03","UFV","VIC","15676","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Billbergia","euphemiae","Billbergia euphemiae","Paula, C.C. de","Paula, C.C. de","1995","12","08","Brasil","Minas Gerais","Ervália","Parque Estadual da Serra do Brigadeiro, Cabeceira do Rio Casca a ca de 1100 m de altitude","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"E. Morren","1996","11","21","1058",NA,"19783","Epífita com inflorescência e brácteas rpséas e flores roxas esciófila","VIC015676","auto","VIC015676",NA,NA,NA
