"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","individualCount","class"
"23","2019-10-09 11:09:52-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Ayapanopsis","oblongifolia",NA,"Ayapanopsis oblongifolia","(Gardner) R.M.King & H.Rob.","Roque, N","2008","Miranda Silva, EB; Nunes, TS; Silva-Castro, MM","1023","2007","08","28","Southern America","Brasil","Minas Gerais","Guanhães","estrada para Sabinópolis - MG 259, km 813","-43.035833","-18.6875","-43.035833","-18.6875",NA,"ca. 2 m alt. Folhas membranáceas. Capítulos róseos.",NA,NA,"306","306",NA,NA,"04",NA,NA,NA
"24","2019-07-11 08:48:38-03","ESALQ","ESA","134844","S","Plantae",NA,NA,"Orchidaceae","Hoffmannseggella","guanhanensis",NA,"Hoffmannseggella guanhanensis","Campacci","Campacci, M.A.",NA,"Campos, D.V.","RVL 1155","2007","04","01",NA,"Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,NA,"ESA134844",NA,NA,NA,"43982","auto",NA,NA,NA,NA
"25","2019-07-11 08:48:38-03","ESALQ","ESA","134842","S","Plantae",NA,NA,"Orchidaceae","Hoffmannseggella","vasconcelosiana",NA,"Hoffmannseggella vasconcelosiana","Campacci","Campacci, M.A.",NA,"Leitão, R.V.","1819","2010","10","01",NA,"Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,NA,"ESA134842",NA,NA,NA,"43982","auto",NA,NA,NA,NA
"26","2020-02-13 14:10:04-03","MN","R","33123","S","Plantae",NA,NA,"Fabaceae","Erythrina","falcata",NA,"Erythrina falcata","Benth.",NA,NA,"Mello Barreto, H.L.","5424","1933","08","29",NA,"Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,"Jardim Botânico de Bello Horizonte",NA,NA,NA,NA,"43982","auto",NA,NA,NA,NA
"27","2015-07-02 14:00:58-03","JBP","HPL","10556","S","Plantae",NA,NA,"Asteraceae","Vernonanthura","discolor",NA,"Vernonanthura discolor","(Spreng.) H. Rob.","V.C.Souza","2011","R. Tsuji","2228","2007","09","27",NA,"Brasil","MG","Guanhães","Coletado nas proximidades do município de Guanhães (em beira de estrada, lado direito; propriedade particular).","-42.9325","-18.775",NA,NA,NA,NA,NA,NA,NA,NA,"43982","auto","02","16",NA,NA
"28","2020-03-10 08:29:12-03","UFV","VIC","34988","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Albizia","polycephala",NA,"Albizia polycephala","(Benth.) Killip","Fernandes, J.M.","2009","Fernandes, J.M.","943","2009","02","05",NA,"Brasil","Minas Gerais","Guanhães","Parque Estadual da Serra da Candonga, Floresta Estacional Semidecidual.","-42.953333","-18.875","-42.953333","-18.875",NA,"Árvore, c.a. de 8,0 metros de altura; flores com filetes brancos, frutos desenvolvidos, secos.","VIC034988","VIC034988",NA,NA,NA,NA,"02","05",NA,NA
"29","2020-03-10 08:29:20-03","UFV","VIC","34834","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Inga","striata",NA,"Inga striata","Benth.","Fernandes, J.M.","2009","Fernandes, J.M.","945","2009","02","05",NA,"Brasil","Minas Gerais","Guanhães","Parque Estadual Serra da Candonga, Floresta Estacional Semidecidual.","-42.953333","-18.875","-42.953333","-18.875",NA,"Árvore, c.a. de 10 metros de altura; frutos secos e comidos por pássaros.","VIC034834","VIC034834",NA,NA,NA,NA,"02","05",NA,NA
"30","2020-03-10 08:29:20-03","UFV","VIC","36606","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Inga","subnuda","subnuda","Inga subnuda subnuda",NA,"Fernandes, J.M.","1009","Fernandes, J.M.","949","2009","02","05",NA,"Brasil","Minas Gerais","Guanhães","Parque Estadual Serra da Candonga","-42.949917","-18.884028","-42.949917","-18.884028",NA,"Árvore de 13 m de altura. Frutos maduros e verdes.","VIC036606",NA,NA,NA,NA,NA,"02","05",NA,NA
"31","2020-03-10 08:29:30-03","UFV","VIC","35955","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Senegalia","tenuifolia",NA,"Senegalia tenuifolia","(L.) Britton & Rose","Terra, V.","2011","Fernandes, J.M.","946","2009","02","05",NA,"Brasil","Minas Gerais","Guanhães","Parque Estadual da Serra da Candonga","-42.9324989318848","-18.7749996185303",NA,NA,NA,"Liana escandente. Frutos verdes.","VIC035955","VIC035955",NA,NA,"43982","auto","02","20",NA,NA
"32","2020-03-10 08:28:05-03","UFV","VIC","19203","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Maytenus","evonymoides",NA,"Maytenus evonymoides","Reissek","Carvalho-Okano, R.M. de",NA,"Costa, L.V.; Atalla, N.C.","s.n.","1992","10","24",NA,"Brasil","Minas Gerais","Guanhães","Subosque de eucalipto.","-42.9324989318848","-18.7749996185303",NA,NA,NA,"Arbóreo, c.a. de 5,0 metros de altura. CENIBRA, Projeto Corrente Canoas II.","VIC019203","VIC019203",NA,NA,"43982","auto",NA,NA,NA,NA
"33","2019-11-06 09:56:10-03","UFOP","OUPR","1807","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","orbicularis",NA,"Diplusodon orbicularis","Koehne","Cavalcanti, T.B.","2001","Silva, W.M.","s.n.","1976","04","21",NA,"Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,"Arbusto, flores purpúreas. Campo",NA,NA,NA,NA,"43982","auto","11",NA,NA,NA
"34","2019-10-02 14:53:29-03","UFMG","BHCB","68431","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Andira","fraxinifolia",NA,"Andira fraxinifolia","Benth.",NA,NA,"Aquino, C; Nunes, LG","s.n.","2001","12","01","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Dores de Guanhães. Quinquim.",NA,"-19.05",NA,"-19.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-10-02 14:55:18-03","UFMG","BHCB","68435","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lauraceae","Aniba","firmula",NA,"Aniba firmula","(Nees & Mart.) Mez",NA,NA,"Aquino, C; Nunes, LG","s.n.","2001","12","01","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Dores de Guanhães. Fortuna II.",NA,"-19.05",NA,"-19.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-10-02 14:48:22-03","UFMG","BHCB","68439","PreservedSpecimen","Plantae","Dicotyledon",NA,"Annonaceae",NA,NA,NA,NA,NA,NA,NA,"Aquino, C; Nunes, LG","s.n.","2001","12","01","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Dores de Guanhães. Fortuna II.",NA,"-19.05",NA,"-19.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-10-02 15:02:56-03","UFMG","BHCB","68430","PreservedSpecimen","Plantae","Dicotyledon",NA,"Salicaceae","Banara","serrata",NA,"Banara serrata","(Vell.) Warb.",NA,NA,"Aquino, C; Nunes, LG","s.n.","2001","12","01","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Dores de Guanhães. Pirapitinga.",NA,"-19.05",NA,"-19.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-10-02 14:59:39-03","UFMG","BHCB","135418","PreservedSpecimen","Plantae","Dicotyledon",NA,"Moraceae","Brosimum","glaziovii",NA,"Brosimum glaziovii","Taub.",NA,NA,"Mendes, MS; Pena, FSR","s.n.","2006",NA,NA,"Southern America","Brasil","Minas Gerais","Dores de Guanhães","Reservatório da PCH Funil.","-42.888611","-19.073056","-42.888611","-19.073056",NA,"Floresta Estacional semidecidual",NA,NA,"595","595",NA,NA,NA,NA,NA,NA
"39","2019-10-02 15:03:34-03","UFMG","BHCB","68428","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Brunfelsia","clandestina",NA,"Brunfelsia clandestina","Plowman",NA,"2015","Aquino, C; Nunes, LG","s.n.","2001","12","01","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Dores de Guanhães. Fortuna.","-42.916667","-19.05","-42.916667","-19.05",NA,NA,"BHCB038256",NA,NA,NA,NA,NA,"12","28",NA,NA
"40","2019-10-02 14:55:20-03","UFMG","BHCB","68434","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lauraceae","Endlicheria","paniculata",NA,"Endlicheria paniculata","(Spreng.) J.F.Macbr.",NA,NA,"Aquino, C; Nunes, LG","s.n.","2001","12","01","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Dores de Guanhães. Monjolo.",NA,"-19.05",NA,"-19.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-10-02 15:00:05-03","UFMG","BHCB","68442","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","flavescens",NA,"Eugenia flavescens","DC.",NA,"2019","Aquino, C; Nunes, LG","s.n.","2001","12","01","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Dores de Guanhães. Monjolo.",NA,"-19.05",NA,"-19.05",NA,NA,NA,NA,NA,NA,NA,NA,"04",NA,NA,NA
"42","2019-10-02 15:00:08-03","UFMG","BHCB","135419","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","neoformosa",NA,"Eugenia neoformosa","Sobral",NA,NA,"Mendes, MS; Pena, FSR","s.n.","2006",NA,NA,"Southern America","Brasil","Minas Gerais","Dores de Guanhães","Reservatório da PCH Funil.","-42.888611","-19.073056","-42.888611","-19.073056",NA,"Floresta Estacional semidecidual",NA,NA,"595","595",NA,NA,NA,NA,NA,NA
"43","2019-10-02 15:00:10-03","UFMG","BHCB","68443","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","pluriflora",NA,"Eugenia pluriflora","DC.",NA,"2019","Aquino, C; Nunes, LG","s.n.","2001","12","01","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Dores de Guanhães. Sumidouro.",NA,"-19.05",NA,"-19.05",NA,NA,NA,NA,NA,NA,NA,NA,"04",NA,NA,NA
"44","2019-10-02 14:52:57-03","UFMG","BHCB","68426","PreservedSpecimen","Plantae","Dicotyledon",NA,"Euphorbiaceae",NA,NA,NA,NA,NA,NA,NA,"Aquino, C; Nunes, LG","s.n.","2001","12","01","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Dores de Guanhães. Senhora do Porto.",NA,"-19.05",NA,"-19.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2019-10-02 14:52:11-03","UFMG","BHCB","68436","PreservedSpecimen","Plantae","Dicotyledon",NA,"Chrysobalanaceae","Hirtella","glandulosa",NA,"Hirtella glandulosa","Spreng.",NA,NA,"Aquino, C; Nunes, LG","s.n.","2001","12","01","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Dores de Guanhães. Quinquim.",NA,"-19.05",NA,"-19.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2019-10-02 15:04:54-03","UFMG","BHCB","68437","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lantana",NA,NA,"Lantana",NA,NA,NA,"Aquino, C; Nunes, LG","s.n.","2001","12","01","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Dores de Guanhães.",NA,"-19.05",NA,"-19.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2019-10-02 14:54:10-03","UFMG","BHCB","135416","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Lonchocarpus","guillemineanus",NA,"Lonchocarpus guillemineanus","(Tul.) Malme",NA,NA,"Mendes, MS; Pena, FSR","s.n.","2006",NA,NA,"Southern America","Brasil","Minas Gerais","Dores de Guanhães","Reservatório da PCH Funil.","-42.888611","-19.073056","-42.888611","-19.073056",NA,"Floresta Estacional semidecidual",NA,NA,"595","595",NA,NA,NA,NA,NA,NA
"48","2019-10-02 14:54:15-03","UFMG","BHCB","135417","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Machaerium","stipitatum",NA,"Machaerium stipitatum","(DC.) Vogel",NA,NA,"Mendes, MS; Pena, FSR","s.n.","2006",NA,NA,"Southern America","Brasil","Minas Gerais","Dores de Guanhães","Reservatório da PCH Funil.","-42.888611","-19.073056","-42.888611","-19.073056",NA,"Floresta Estacional semidecidual",NA,NA,"595","595",NA,NA,NA,NA,NA,NA
"49","2019-10-02 15:03:08-03","UFMG","BHCB","68433","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapindaceae","Matayba","juglandifolia",NA,"Matayba juglandifolia","(Cambess.) Radlk.",NA,NA,"Aquino, C; Nunes, LG","s.n.","2001","12","01","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Dores de Guanhães. Jacaré.",NA,"-19.05",NA,"-19.05",NA,"Plantas do Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2019-10-02 14:53:17-03","UFMG","BHCB","135415","PreservedSpecimen","Plantae","Dicotyledon",NA,"Euphorbiaceae","Micrandra","elata",NA,"Micrandra elata","(Didr.) Müll.Arg.",NA,NA,"Mendes, MS; Pena, FSR","s.n.","2006",NA,NA,"Southern America","Brasil","Minas Gerais","Dores de Guanhães","Reservatório da PCH Funil.","-42.888611","-19.073056","-42.888611","-19.073056",NA,"Floresta Estacional semidecidual",NA,NA,"595","595",NA,NA,NA,NA,NA,NA
"51","2019-10-02 15:03:17-03","UFMG","BHCB","68432","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapotaceae","Micropholis","gardneriana",NA,"Micropholis gardneriana","(A.DC.) Pierre",NA,NA,"Aquino, C; Nunes, LG","s.n.","2001","12","01","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Dores de Guanhães. Monjolo.",NA,"-19.05",NA,"-19.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2019-10-02 15:00:21-03","UFMG","BHCB","68440","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Myrcia",NA,NA,"Myrcia","DC.",NA,NA,"Aquino, C; Nunes, LG","s.n.","2001","12","01","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Dores de Guanhães. Retiro.",NA,"-19.05",NA,"-19.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2019-10-02 15:00:28-03","UFMG","BHCB","68441","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Myrcia","lacunosa",NA,"Myrcia lacunosa","(O.Berg) N.Silveira",NA,"2019","Aquino, C; Nunes, LG","s.n.","2001","12","01","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Dores de Guanhães. Pirapitinga.",NA,"-19.05",NA,"-19.05",NA,NA,"BHCB050474",NA,NA,NA,NA,NA,"04",NA,NA,NA
