"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","order","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode"
"82","2020-03-10 08:30:54-03","UFV","VIC","40609","PreservedSpecimen","Plantae",NA,NA,"Tiliaceae","Triumfetta","bartramia","Triumfetta bartramia","L.",NA,NA,NA,NA,NA,"s.n.","2002","03","28",NA,"Brasil","Minas Gerais","Paula Cândido","Sítio Bom Jardim, Apiários da Mesmel, estrada Viçosa-Paula Cândido","-42.9803009033203","-20.8742008209229","13722","Arbusto rasteiro, com flores amarelas, sem odor","auto",NA,NA,NA,NA,NA,"VIC040609",NA
"83","2020-03-10 08:30:49-03","UFV","VIC","040627","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","americanum","Solanum americanum","Miller.",NA,NA,NA,NA,NA,"17","2001","12","13",NA,"Brasil","Minas Gerais","Paula Cândido","Sitio Bom Jardim- Apiários do Mesmel","-42.9803009033203","-20.8742008209229","13722","Arbusto pequeno, flores abertas brancas, pontas amarelas e de frutos de formato arrendondado, frutos carnosos.","auto",NA,NA,NA,NA,NA,"VIC040627",NA
"84","2020-03-10 08:30:49-03","UFV","VIC","040626","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","lycocarpum","Solanum lycocarpum","A St Hill",NA,NA,NA,NA,NA,"44","2002","02","14",NA,"Brasil","Minas Gerais","Paula Cândido","Sitio Bom Jardim- Apiários do Mesmel","-42.9803009033203","-20.8742008209229","13722","Árvore de pequeno porte, flores roxas e grandes.","auto",NA,NA,NA,NA,NA,"VIC040626",NA
"85","2020-03-10 08:28:56-03","UFV","VIC","40629","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia",NA,"Pavonia",NA,NA,NA,NA,NA,"Coleta n°18","18","2001","12","13",NA,"Brasil","Minas Gerais","Paula Cândido","Sitio Bom Jardim- Apiários do Mesmel","-42.9803009033203","-20.8742008209229","13722","Arbusto de flores grandes amarelas, sem odor.","auto",NA,NA,NA,NA,NA,"VIC040629","VIC040629"
"86","2020-03-10 08:27:35-03","UFV","VIC","40593","PreservedSpecimen","Plantae",NA,NA,"Bombacaceae","Chorisia","speciosa","Chorisia speciosa","A. St.-Hil.",NA,NA,NA,NA,"Sem Coletor","51","2002","02","28",NA,"Brasil","Minas Gerais","Paula Cândido","Sitio Bom Jardim, Ápiarios do Mesmel,1,8 km da estrada Viçosa- Paula cândido.","-42.9803009033203","-20.8742008209229","13722","Árvore de mais ou menos 20 m.flores brancas grandes com presença de abelhas.","auto",NA,NA,NA,NA,NA,"VIC040593","VIC040593"
"87","2020-03-10 08:28:11-03","UFV","VIC","40600","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea",NA,"Ipomoea",NA,NA,NA,NA,NA,"Ramos; Cordeiro; Deambrozi","42","2002","02","14",NA,"Brasil","Minas Gerais","Paula Cândido","Sitio Bom Jardim, Apiários do Mesmel, 1,8 km da estrada Viçosa Paula Cândido.","-42.9803009033203","-20.8742008209229","13722","Cipó, flores azuis em forma de cálice, sem odor.","auto",NA,NA,NA,NA,NA,"VIC040600","VIC040600"
"88","2020-03-10 08:30:19-03","UFV","VIC","040602","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","notatum","Paspalum notatum","A. H. Liogier ex Flüggé",NA,NA,NA,NA,NA,"30","2002","01","10",NA,"Brasil","Minas Gerais","Paula Cândido","Sítio Bom Jardim, Apiários do Mesmel, 1,8 Km da estrada Viçosa-Paula Cândido","-42.9803009033203","-20.8742008209229","13722","Grama, com presença de abelhas com ferrão e sem ferrão. Sem odor","auto",NA,NA,NA,NA,NA,"VIC040602","VIC040602"
"89","2020-03-10 08:26:45-03","UFV","VIC","40591","PreservedSpecimen","Plantae",NA,NA,"Anacardiaceae","Schinus","terebinthifolia","Schinus terebinthifolia","Raddi",NA,NA,NA,NA,NA,"21","2001","12","13",NA,"Brasil","Minas Gerais","Paula Cândido","Sitio Bom Jardim, Apiários do Mesmel, 1,8 km da estrada viçosa- Paula Cândido, Km 12,5.","-42.9803009033203","-20.8742008209229","13722","Árvore de mais ou menos 5 metros com flores brancas, folhas de formato ovalado, co cheiro forte.","auto",NA,NA,NA,NA,NA,"VIC040591","VIC040591"
"90","2020-03-10 08:30:59-03","UFV","VIC","040610","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Lantana",NA,"Lantana",NA,NA,NA,NA,NA,NA,"10","2001","12","13",NA,"Brasil","Minas Gerais","Paula Cândido","Sitio Bom Jardim- Apiários do Mesmel, 1,8 km estrada Viçosa a Paula Cândido, km 12,5.","-42.9803009033203","-20.8742008209229","13722","Arbusto com flores roxas, folhas rugosas grandes.","auto",NA,NA,NA,NA,NA,"VIC040610",NA
"91","2020-03-10 08:28:56-03","UFV","VIC","40604","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Sida",NA,"Sida",NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Paula Cândido","Sitio Bom Jardim- Apiários Mesmel","-42.9803009033203","-20.8742008209229","13722","Arbusto de flores grandes amarelas.","auto",NA,NA,NA,NA,NA,"VIC040604","VIC040604"
