"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","day","coordinatePrecision","geoFlag","monthIdentified","dayIdentified"
"11","2020-03-10 08:27:00-03","UFV","VIC","5437","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Achyrocline","satureioides",NA,"Achyrocline satureioides","(Lam.) DC.","Coons, M.P.","Coons, M.P.","785","1978","07",NA,"Brasil","Minas Gerais","Alto do Rio Doce","Vila Abreus, Pasto de bovinos. Solo vermelho, argiloso e roxo, pobre.",NA,NA,NA,NA,NA,NA,NA,"Subarbusto, c.a. de 1,0 metro de altura; flores amarelas. Invasoras nos pastos e aos lados das estradas.","VIC005437","VIC005437","1978","23",NA,NA,"07","23"
"12","2020-03-10 08:26:39-03","UFV","VIC","6654","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Amaranthus","lividus",NA,"Amaranthus lividus","L.","Coons, M.P.","Coons, M.P.","769","1978","07",NA,"Brasil","Minas Gerais","Alto do Rio Doce","Vila Abreus, Rua para o novo ginásio.",NA,NA,NA,NA,NA,NA,NA,"Beirada da rua. Erva decumbente com caule pigmentado.","VIC006654","VIC006654","1978","23",NA,NA,"12","10"
"13","2020-03-10 08:26:39-03","UFV","VIC","6655","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Amaranthus","lividus",NA,"Amaranthus lividus","L.","Coons, M.P.","Coons, M.P.","782","1978","07",NA,"Brasil","Minas Gerais","Alto do Rio Doce","Vila Abreus, Perímetro da Vila. Propriedade do Sr. Antônio Cardoso.",NA,NA,NA,NA,NA,NA,NA,"Ervas em ceva. C.a. de 97,5 cm de altura. Eixo principal cortado e os ramos secundários bem desenvolvidos. Decumbente com caule pigmentado.","VIC006655","VIC006655","1978","23",NA,NA,"12","10"
"14","2020-03-10 08:26:40-03","UFV","VIC","6092","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Amaranthus","spinosus",NA,"Amaranthus spinosus","L.","Coons, M.P.","Coons, M.P.","767","1978","07",NA,"Brasil","Minas Gerais","Alto do Rio Doce","Vila Abreus, Ao lado de terreno para jardim.",NA,NA,NA,NA,NA,NA,NA,"Ervas invasoras.","VIC006092","VIC006092",NA,"23",NA,NA,NA,NA
"15","2020-03-10 08:26:40-03","UFV","VIC","6745","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Amaranthus","spinosus",NA,"Amaranthus spinosus","L.","Coons, M.P.","Coons, M.P.","768","1978","07",NA,"Brasil","Minas Gerais","Alto do Rio Doce","Vila Abreus, Ao lado de terreno para jardim.",NA,NA,NA,NA,NA,NA,NA,"Ervas invasoras.","VIC006745","VIC006745",NA,"23",NA,NA,NA,NA
"16","2020-03-10 08:26:40-03","UFV","VIC","6746","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Amaranthus","spinosus",NA,"Amaranthus spinosus","L.","Coons, M.P.","Coons, M.P.","784","1978","07",NA,"Brasil","Minas Gerais","Alto do Rio Doce","Vila Abreus, Propriedade do Sr. Antônio Cardoso.",NA,NA,NA,NA,NA,NA,NA,"Em ceva.","VIC006746","VIC006746","1978","23",NA,NA,"07","23"
"17","2020-03-10 08:29:17-03","UFV","VIC","37772","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Inga",NA,NA,"Inga","(Vell.) Mart.","Batista, M.L.","Batista, M.L.; Vieira, D.M.","s.n.","2011","09",NA,"Brasil","Minas Gerais","Alto Rio Doce","Estrada de terra.","-43.421667","-21.049167","-43.421667","-21.049167",NA,NA,NA,"Árvore, c.a. de 6,5 metros de altura, com flores.","VIC037772",NA,"2012","14",NA,NA,"05","20"
"18","2020-03-10 08:28:10-03","UFV","VIC","24806","PreservedSpecimen","Plantae",NA,NA,"Commelinaceae","Commelina","benghalensis",NA,"Commelina benghalensis","L.","Barreto, R.C.","Pereira, A.A.","s.n.","2000","05",NA,"Brasil","Minas Gerais","Alto Rio Doce","Fazenda Brejetuba, de proriedade do Sr. André de Mattos","-43.4113998413086","-21.0258007049561",NA,NA,NA,NA,NA,"A matriz (segmentos de ramos) foi coletada na procedênica supra citada, em 22/10/1999 e cultivada em vasos, em casa de vegetação da UFV. Folhas de cor verde clara, com pilosidade esbranquiçada. Flores com duas pétalas iguais em forma e","VIC024806","VIC024806","2000","23","18968","auto","06","03"
"19","2019-12-06 15:05:01-03","MBM","MBM","405192","S","Plantae",NA,NA,"Melastomataceae","Miconia","albicans",NA,"Miconia albicans","(Sw.) Triana",NA,"Wendt, T.; Oliveira, C.L.; Oliveira, C.L.","11","1985","08","Southern America","Brazil","Minas Gerais","Alto Rio Doce","a 12 km do Desterro do Melo","-43.4113998413086","-21.0258007049561",NA,NA,NA,NA,NA,NA,"MBM405192","MBM405192",NA,"24","18968","auto",NA,NA
"20","2019-05-02 10:54:22-03","IBt","SP-BRYOPHYTA","133527","S","Plantae",NA,NA,"Lejeuneaceae","Schiffneriolejeunea","sp.",NA,"Schiffneriolejeunea sp.",NA,NA,"Vital, D.M.","8883","1980","04","Southern America","BRASIL","Minas Gerais","Alto Rio Doce","Parque Florestal do Rio Doce","-42.616667","-19.75","-42.616667","-19.75","200","200",NA,"sobre tronco de árvore viva, nos bordos da lagoa Don Helvécio","SP070253",NA,NA,"14",NA,NA,NA,NA
"21","2019-05-02 10:55:44-03","IBt","SP-BRYOPHYTA","148499","S","Plantae",NA,NA,"Sematophyllaceae","Sematophyllum","sp.",NA,"Sematophyllum sp.",NA,NA,"Vital, D.M.","8884","1980","04","Southern America","BRASIL","Minas Gerais","Alto Rio Doce","Parque Florestal do Rio Doce","-43.4113998413086","-21.0258007049561",NA,NA,NA,NA,NA,"Sobre tronco de árvore viva nas bordas da lagoa","SP075874",NA,NA,"14","18968","auto",NA,NA
"22","2019-05-02 10:52:32-03","IBt","SP-BRYOPHYTA","148500","S","Plantae",NA,NA,"Calymperaceae","Calymperes","sp.",NA,"Calymperes sp.",NA,NA,"Vital, D.M.","8885","1980","04","Southern America","BRASIL","Minas Gerais","Alto Rio Doce","Parque Florestal do Rio Doce","-43.4113998413086","-21.0258007049561",NA,NA,NA,NA,NA,"Sobre tronco de árvore viva nas bordas da lagoa","SP075875",NA,NA,"14","18968","auto",NA,NA
"23","2019-05-02 10:53:55-03","IBt","SP-BRYOPHYTA","133526","S","Plantae",NA,NA,"Lejeuneaceae","Cololejeunea","sp.",NA,"Cololejeunea sp.",NA,NA,"Vital, D.M.","8882","1980","04","Southern America","BRASIL","Minas Gerais","Alto Rio Doce","Parque Florestal do Rio Doce","-43.4113998413086","-21.0258007049561",NA,NA,"200","200",NA,"sobre tronco fino de Mimosoideae","SP070252",NA,NA,"13","18968","auto",NA,NA
"24","2019-05-02 10:54:54-03","IBt","SP-BRYOPHYTA","148501","S","Plantae",NA,NA,"Orthotrichaceae","Indeterminado",NA,NA,"Indeterminado",NA,NA,"Vital, D.M.","8886","1980","04","Southern America","BRASIL","Minas Gerais","Alto Rio Doce","Parque Florestal do Rio Doce","-43.4113998413086","-21.0258007049561",NA,NA,NA,NA,NA,"Sobre tronco de árvore viva nas bordas da lagoa","SP075876",NA,NA,"14","18968","auto",NA,NA
"25","2020-02-18 15:44:00-03","UFRB","HURB","7511","PreservedSpecimen","Plantae",NA,NA,"Commelinaceae","Commelina","benghalensis",NA,"Commelina benghalensis","L.","R.C.Barreto","Pereira, A.A.",NA,"2000","05",NA,"Brasil","Minas Gerais","Alto do Rio Doce","Fazenda Brejetuba, de propriedae do Sr. André de Matos;",NA,NA,NA,NA,NA,NA,NA,NA,"HURB000007511",NA,NA,"23",NA,NA,NA,NA
"26","2016-09-19 15:44:56-03","UnB","UB","190170","S","Plantae","Dicotyledoneae",NA,"Euphorbiaceae","Mabea","fistulifera",NA,"Mabea fistulifera","Mart.","Emmerick, M","Magalhães, M","5063","1949","06","Southern America","Brasil","Minas Gerais","Alto Rio Doce",NA,"-43.4113998413086","-21.0258007049561",NA,NA,NA,NA,NA,"Árvore 5-8m.",NA,NA,"1977","14","18968","auto","02","02"
"27","2017-10-03 17:00:14-03","UnB","UB","177162","S","Plantae","Dicotyledoneae",NA,"Rubiaceae","Psychotria","hastisepala",NA,"Psychotria hastisepala","Müll.Arg.","Delprete, PG","Magalhães, M","5140","1949","06","Southern America","Brasil","Minas Gerais","Alto Rio Doce","Cipotanea","-43.4113998413086","-21.0258007049561",NA,NA,NA,NA,NA,"Arbusto 1-2m. Flor amarela.; Floresta secundária",NA,NA,"2008","14","18968","auto",NA,NA
"28","2017-03-27 17:51:25-03","UnB","UB","172876","S","Plantae","Dicotyledoneae",NA,"Solanaceae","Solanum",NA,NA,"Solanum",NA,NA,"Magalhães, M","5142","1949","06","Southern America","Brasil","Minas Gerais","Alto Rio Doce","Fazenda Chopotó.","-43.4113998413086","-21.0258007049561",NA,NA,NA,NA,NA,"Arbusto 2m.; Área devastada, floresta.",NA,NA,NA,"09","18968","auto",NA,NA
"29","2017-01-18 16:28:15-02","UnB","UB",NA,"S","Plantae","Monocotyledonae",NA,"Orchidaceae","Encyclia","patens",NA,"Encyclia patens","Hook.","Meneguzzo, TEC","Magalhães, M","5139","1949","06","Southern America","Brasil","Minas Gerais","Alto Rio Doce","Margem do Rio Chopotó","-43.4113998413086","-21.0258007049561",NA,NA,NA,NA,NA,"Epífita","UB0018097","UB0018097","2009","11","18968","auto","03","11"
"30","2016-09-19 15:48:08-03","UnB","UB","22570","S","Plantae","Dicotyledoneae",NA,"Fabaceae","Lonchocarpus","campestris",NA,"Lonchocarpus campestris","Mart. ex Benth.","Azevedo-Tozzi, AMG","Magalhães, M","5019","1949","06","Southern America","Brasil","Minas Gerais","Alto Rio Doce",NA,"-43.4113998413086","-21.0258007049561",NA,NA,NA,NA,NA,"Árvore 10-12m; .",NA,NA,"1991","12","18968","auto",NA,NA
"31","2016-09-19 16:29:00-03","UnB","UB",NA,"S","Plantae","Monocotyledonae",NA,"Orchidaceae","Mesadenella","cuspidata",NA,"Mesadenella cuspidata","(Lindl.) Garay","Smidt, EC","Magalhães, M","5147","1949","06","Southern America","Brasil","Minas Gerais","Alto Rio Doce","Fazenda Chopotó","-43.4113998413086","-21.0258007049561",NA,NA,NA,NA,NA,"Terrestre; Nas clareiras da floresta secundária","UB0018875","UB0018875","2002","14","18968","auto","05",NA
"32","2019-11-21 10:01:34-03","IBt","SP","361728","S","Plantae",NA,NA,"Asteraceae","Vernonanthura","phosphorica",NA,"Vernonanthura phosphorica","(Vell.) H.Rob.","Simão Bianchini, R; Souza-Buturi, FO","Vidal, J","I-254","1944","07",NA,"Brasil","Minas Gerais","Alto Rio Doce",NA,"-43.4113998413086","-21.0258007049561",NA,NA,"855","855",NA,NA,NA,NA,"2016",NA,"18968","auto","06","20"
