"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","geoFlag","phylum","class","order","scientificNameAuthorship","yearIdentified","monthIdentified","recordNumber","dayIdentified","continentOcean","verbatimLatitude","preparationType","barcode","imagecode","infraspecificEpithet","typeStatus","previousCatalogNumber","relatedCatalogItem"
"2884","2019-11-06 09:55:53-03","UFOP","OUPR","7029","PreservedSpecimen","Plantae","Lacistemataceae","Lacistema","pubescens","Lacistema pubescens","Silva, J.L.","Silva, J.L.","1997","06","28","Brasil","Minas Gerais","Mariana","Padre Viegas","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,NA,NA,"auto",NA,NA,NA,"Mart.","1997","06","s.n.","28",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2885","2019-11-06 09:57:34-03","UFOP","OUPR","7025","PreservedSpecimen","Plantae","Salicaceae","Casearia","sylvestris","Casearia sylvestris","Silva, J.L.","Silva, J.L.","1997","07","24","Brasil","Minas Gerais","Mariana","Padre Viegas","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,NA,"Arbusto. Mata.","auto",NA,NA,NA,"Sw.","1997","07","s.n.","24",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2886","2019-11-06 09:55:53-03","UFOP","OUPR","7028","PreservedSpecimen","Plantae","Lacistemataceae","Lacistema","polystachyum","Lacistema polystachyum","Silva, J.L.","Silva, J.L.","1997","06","28","Brasil","Minas Gerais","Mariana","Padre Viegas","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,NA,"Arbusto. Mata","auto",NA,NA,NA,"Schnizl.","1997","06","s.n.","28",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2887","2019-11-06 09:55:53-03","UFOP","OUPR","7026","PreservedSpecimen","Plantae","Lacistemataceae","Lacistema","grandifolium","Lacistema grandifolium","Silva, J.L.","Silva, J.L.","1997","06","28","Brasil","Minas Gerais","Mariana","Padre Viegas","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,NA,"Arbusto, flores pálidas. Capoeira","auto",NA,NA,NA,"Schnizl.","1997","06","s.n.","28",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2888","2019-11-06 09:56:39-03","UFOP","OUPR","7030","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","antonia","Marlierea antonia",NA,"Silva, J.L.","1997","11","18","Brasil","Minas Gerais","Mariana","Padre Viegas, Mata","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,NA,"Árvore","auto",NA,NA,NA,"(O.Berg) D.Legrand",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2889","2019-11-06 09:56:04-03","UFOP","OUPR","10646","PreservedSpecimen","Plantae","Lindsaeaceae","Lindsaea","stricta","Lindsaea stricta stricta","Salino, A.","Badini, J.","1977","05","17","Brasil","Minas Gerais","Mariana","Padre Viegas, Sumidouro","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,NA,"Erva. Capoeira","auto",NA,NA,NA,"(Sw.) Dryand.","2013","04","s.n.","17",NA,NA,NA,NA,NA,"stricta",NA,NA,NA
"2890","2019-11-06 09:56:36-03","UFOP","OUPR",NA,"PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Pirani, J.R.","Badini, J.","1977","05","18","Brasil","Minas Gerais","Mariana","Padre Viegas, Sumidouro","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,NA,"Mata. Árvore, flores pálidas","auto",NA,NA,NA,"Vahl","1986",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2891","2019-11-06 09:55:18-03","UFOP","OUPR","17113","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","esculenta","Manihot esculenta","Badini, J.","Badini, J.","1977","05","15","Brasil","Minas Gerais","Mariana","Padre Viegas, = Sumidouro","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,NA,"Arbusto, flor amarelada. Terreno cultivado","auto",NA,NA,NA,"Crantz","1977","05","s.n.","30",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2892","2019-11-05 16:43:01-03","UFOP","OUPR","318","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","hirsuta","Mandevilla hirsuta","Morokawa, R.","Badini, J.","1977","05","18","Brasil","Minas Gerais","Mariana","Padre Viegas, Sumidouro.","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,NA,"Trepadeira, flores róseas. Mata.","auto",NA,NA,NA,"(Rich.) K.Schum.","2008","01","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2893","2019-11-06 09:57:36-03","UFOP","OUPR","6552","PreservedSpecimen","Plantae","Sapindaceae","Paullinia","carpopoda","Paullinia carpopoda","Silva, J.L.","Craig, J.; Roschel, M.B.","1996","11","05","Brasil","Minas Gerais","Mariana","Paiol, Samarco Mineração","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,NA,"Capoeira. Arbusto trepador. Frutos vermelhos","auto",NA,NA,NA,"Cambess.","1996","11","s.n.","07",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2894","2019-11-05 16:46:44-03","UFOP","OUPR","20274","PreservedSpecimen","Plantae","Chrysobalanaceae","Hirtella","floribunda","Hirtella floribunda","Scalon, V.R.","Messias, M.C.T.B.","2006","02","02","Brasil","Minas Gerais","Mariana","Parque do Itacolomi","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,NA,"Árvore ~ 10 m, em frutos verdes. Mata","auto",NA,NA,NA,"Cham. & Schltdl.","2009","11","s.n.","03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2895","2019-11-06 10:13:52-03","UFOP","OUPR","19288","PreservedSpecimen","Plantae","Ericaceae","Agarista","pulchella","Agarista pulchella",NA,"Messias, M.C.T.B.","2006","02","03","Brasil","Minas Gerais","Mariana","Parque do Itacolomi. margend do Mainart","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,NA,"Arbusto. Mata ripária","auto",NA,NA,NA,"G.Don.",NA,NA,"1104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2896","2019-11-06 09:57:35-03","UFOP","OUPR","20284","PreservedSpecimen","Plantae","Santalaceae","Phoradendron","crassifolium","Phoradendron crassifolium","Caires, C.S.","Messias, M.C.T.B.","2006","02","03","Brasil","Minas Gerais","Mariana","Parque do Itacolomi, Margens córrego Domingas","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,NA,"Arbusto parasita, flores amarelas, sobre Vochysiaceae. Mata riparia","auto",NA,NA,NA,"(Pohl ex DC.) Eichler","2009","05","1072","10",NA,NA,NA,NA,NA,NA,NA,NA,NA
