"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","infraspecificEpithet","typeStatus","class","individualCount","relatedCatalogItem"
"344","2017-09-14 11:51:30-03","MBML","MBML-HERBARIO","5906",NA,"Plantae",NA,NA,"Sapotaceae","Chrysophyllum",NA,"Chrysophyllum",NA,"Cláudia E. Carneiro/Abril-2000",NA,"J. M. L. Gomes; et al","1172","1990","05","31",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica, Morro da Vargem","-40.376944","-19.889444","40W22'37","19S53'22",NA,"Árvore 12m de altura, DAP 25cm, casca lisa, marrom acinzentada, frutos marrons.","MBML005906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"345","2017-09-14 11:51:30-03","MBML","MBML-HERBARIO","5944",NA,"Plantae",NA,NA,"Sapotaceae","Chrysophyllum",NA,"Chrysophyllum",NA,NA,NA,"H. Q. Boudet Fernandes; et al","2921","1990","05","26",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica, Morro da Vargem","-40.376944","-19.889444","40W22'37","19S53'22",NA,"Arbusto ca. 4m, ramos com indumento castanho, botões florais e frutos jovens verdes.","MBML005944",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"346","2017-09-14 11:45:49-03","MBML","MBML-HERBARIO","5993",NA,"Plantae",NA,NA,"Gramineae","Chusquea","ramosissima","Chusquea ramosissima",NA,"F.M. Ferreira/01-10-2009",NA,"J. M. L. Gomes; et al","1181","1990","05","31",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica, Morro da Vargem","-40.376944","-19.889444","40W22'37","19S53'22",NA,"Arbustiva, caule ca. 4m. Entrenós até ca. 18cm. Estéril.","MBML005993","MBML005993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"347","2018-03-14 14:30:15-03","MBML","MBML-HERBARIO","24270",NA,"Plantae",NA,NA,"Orchidaceae","Cleistes","libonii","Cleistes libonii",NA,"E.R. Pansarin/20-01-2009",NA,"L. Kollmann; et al","7754","2005","05","06",NA,"Brasil","Espírito Santo","Ibiraçu","Lombardia, divisa Sta Teresa/Ibiraçu,. Pedra, terreno de Ilário Sfalcine","-40.604167","-19.780556","40W36'15","19S46'50",NA,"Erva 1m no sol. Flores lilás, coluna branca, anteras lilás, calo branco.","MBML024270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"348","2017-09-14 11:50:36-03","MBML","MBML-HERBARIO","5942",NA,"Plantae",NA,NA,"Ranunculaceae","Clematis","dioica","Clematis dioica",NA,"H. Q. Boudet Fernandes/1990",NA,"H. Q. Boudet Fernandes; et al","2923","1990","05","26",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica, Morro da Vargem","-40.376944","-19.889444","40W22'37","19S53'22",NA,"Trepadeira, flores masculinas brancas. Muito aromaticas.","MBML005942",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"349","2020-02-19 14:09:50-03","MBML","MBML-HERBARIO","40677",NA,"Plantae",NA,NA,"Melastomataceae","Clidemia","capilliflora","Clidemia capilliflora",NA,"R. Goldenberg/2011",NA,"A. P. Fontana; K. A. Brahim & S.L. Machado","2792","2007","02","07",NA,"Brasil","Espírito Santo","Ibiraçu","APA Goiapaba-açu. Piabas, prop. de Francisco Tófoli. Floresta Ombrófila Densa, mata de encosta.","-40.478889","-19.865833","40W28'44","19S51'57",NA,"Arbusto de ca 2m. Na sombra. Flores verdes","MBML040677","MBML040677","689","689",NA,NA,NA,NA,NA,NA,NA,NA,NA
"350","2018-03-14 14:29:47-03","MBML","MBML-HERBARIO","24018",NA,"Plantae",NA,NA,"Guttiferae","Clusia","intermedia","Clusia intermedia",NA,"A.P. Fontana/20-VIII-2007",NA,"L. Kollmann; et al","7738","2005","05","06",NA,"Brasil","Espírito Santo","Ibiraçu","Lombardia, divisa Sta. Teresa/Ibiraçu","-40.369444","-19.831944","40W22'10","19S49'55",NA,"Arbusto 2m no sol. Flores amarelas.","MBML024018","MBML024018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"351","2017-09-14 11:45:58-03","MBML","MBML-HERBARIO","5923",NA,"Plantae",NA,NA,"Guttiferae","Clusia","spiritu-sanctensis","Clusia spiritu-sanctensis",NA,"O. J. Pereira/1990",NA,"J. M. L. Gomes; et al","1143","1990","05","26",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica, Morro da Vargem","-40.376944","-19.889444","40W22'37","19S53'22",NA,"Arbusto 6m de altura, estéril.","MBML005923","MBML005923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"352","2018-03-14 14:29:35-03","MBML","MBML-HERBARIO","24285",NA,"Plantae",NA,NA,"Compositae","Cololobus","rupestris","Cololobus rupestris",NA,"A.P. Fontana/14-V-2013",NA,"L. Kollmann; et al","7736","2005","05","06",NA,"Brasil","Espírito Santo","Ibiraçu","Lombardia","-40.369444","-19.831944","40W22'10","19S49'55",NA,"Erva 1m, ruspestre no sol. Flores lilás.","MBML024285","MBML024285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"353","2017-09-14 11:45:14-03","MBML","MBML-HERBARIO","40237",NA,"Plantae",NA,NA,"Euphorbiaceae","Croton",NA,"Croton",NA,NA,NA,"A. P. Fontana; K.A. Brahim & S.L. Machado","2804","2007","02","07",NA,"Brasil","Espírito Santo","Ibiraçu","APA Goiapaba-açu. Piabas, prop. de Francisco Tófoli. Floresta Ombrófila Densa, mata de encosta.","-40.478889","-19.865833","40W28'44","19S51'57",NA,"Arbusto escandente, flores brancas. Frutos verdes","MBML040237",NA,"689","689",NA,NA,NA,NA,NA,NA,NA,NA,NA
"354","2017-09-14 11:45:14-03","MBML","MBML-HERBARIO","5985",NA,"Plantae",NA,NA,"Euphorbiaceae","Croton",NA,"Croton",NA,NA,NA,"H. Q. Boudet Fernandes; et al","2972","1990","05","28",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica, Morro da Vargem","-40.376944","-19.889444","40W22'37","19S53'22",NA,"Arbusto 1,6m de altura. Folhas acinzentadas inferiormente. Inflorescência castanho-clara.","MBML005985","MBML005985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"355","2017-09-14 11:43:23-03","MBML","MBML-HERBARIO","49060",NA,"Plantae",NA,NA,"Bromeliaceae","Cryptanthus",NA,"Cryptanthus",NA,NA,NA,"A. P. Fontana; L.Kollmann, C.N. de Fraga, H. Cavalcante, M. Lemes e R.Gribel","7854","2013","04","11",NA,"Brasil","Espírito Santo","Ibiraçu","Rodovia ES164, Km7, próximo a Affonso Penha I","-41.035","-19.667222","41W2'6","19S40'2",NA,"Terrestre na sombra. Folhas marrons e verdes. Flores com base das sépalas negras e pétalas verdes. Floresceu em cultivo em 10/10/13 à 31/10/13.","MBML049060","MBML049060","159","159",NA,NA,NA,NA,NA,NA,NA,NA,NA
"356","2017-09-14 11:51:25-03","MBML","MBML-HERBARIO","5961",NA,"Plantae",NA,NA,"Sapindaceae","Cupania","crassifolia","Cupania crassifolia",NA,"Pedro Acevedo/1991",NA,"J. M. L. Gomes; et al","1190","1990","05","31",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica, Morro da Vargem","-40.376944","-19.889444","40W22'37","19S53'22",NA,"Árvore 15m de altura, DAP 15cm, flor amarelo-claro esverdeada, pétalas brancas.","MBML005961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"357","2017-09-14 11:44:37-03","MBML","MBML-HERBARIO","5949",NA,"Plantae",NA,NA,"Cyatheaceae","Cyathea","microdonta","Cyathea microdonta",NA,"in dupl.: Lana Sylvestre/1997",NA,"H. Q. Boudet Fernandes; et al","2986","1990","05","29",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica, Morro da Vargem","-40.376944","-19.889444","40W22'37","19S53'22",NA,"Samambaia arbustiva ca. 1,5m, caule 20cm de altura, fronde com escamas castanho-claras. Esporângios castanhos.","MBML005949","MBML005949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"358","2017-09-14 11:49:11-03","MBML","MBML-HERBARIO","12776",NA,"Plantae",NA,NA,"Orchidaceae","Cyrtopodium","glutiniferum","Cyrtopodium glutiniferum",NA,"Fraga/09-11-2002",NA,"C. N. de Fraga; et al","481","1999","08","21",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica Mosteiro Zem Morro da Vargem","-40.376944","-19.889444","40W22'37","19S53'22",NA,"Vegetação rupestre. Mata Atlântica. Terrestre em solo raso, sobre rocha, escapo de ca. 1,50m, flores amarelas.","MBML012776",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"359","2017-09-14 11:45:15-03","MBML","MBML-HERBARIO","5907",NA,"Plantae",NA,NA,"Euphorbiaceae","Dactylostemon",NA,"Dactylostemon",NA,NA,NA,"J. M. L. Gomes; et al","1177","1990","05","31",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica, Morro da Vargem","-40.376944","-19.889444","40W22'37","19S53'22",NA,"Arbusto 4m, DAP 10cm, frutos maduros marrons.","MBML005907","MBML005907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
