"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","infraspecificEpithet","typeStatus","class","individualCount","relatedCatalogItem"
"148","2019-09-27 18:03:51-03","UFES","VIES","5075","S","Plantae",NA,NA,"Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum","(Less.) G. Sancho","Teles, A.M.","2015","Fernandes, H.Q.B.","2993","1990","05","29",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005075","VIES005075",NA,NA,"13709","auto","08",NA,NA,NA,NA,NA,NA
"149","2019-09-27 18:03:58-03","UFES","VIES","5086","S","Plantae",NA,NA,"Blechnaceae","Blechnum","brasiliensis","Blechnum brasiliensis","Desv.","Fernandes, H.Q.B.","1990","Fernandes, H.Q.B.","2989","1990","05","29",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005086","VIES005086",NA,NA,"13709","auto","05","29",NA,NA,NA,NA,NA
"150","2019-09-27 18:03:58-03","UFES","VIES","5088","S","Plantae",NA,NA,"Blechnaceae","Blechnum",NA,"Blechnum",NA,"Fernandes, H.Q.B.","1990","Fernandes, H.Q.B.","2987","1990","05","29",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005088","VIES005088",NA,NA,"13709","auto","05","29",NA,NA,NA,NA,NA
"151","2019-09-27 18:06:08-03","UFES","VIES","5089","S","Plantae",NA,NA,"Pteridaceae","Notholaena",NA,"Notholaena",NA,"Fernandes, H.Q.B.","1990","Fernandes, H.Q.B.","2979","1990","05","29",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005089","VIES005089",NA,NA,"13709","auto","05","29",NA,NA,NA,NA,NA
"152","2019-06-27 10:25:22-03","UFES","VIES","5113","S","Plantae",NA,NA,"Lamiaceae","Ocimum",NA,"Ocimum",NA,NA,NA,"Gomes, J.M.L.; Fernandes, H.Q.B. & Martins, A.L.","1144","1990","05","26",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005113","VIES005113",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"153","2019-09-27 18:03:53-03","UFES","VIES","5059","S","Plantae",NA,NA,"Begoniaceae","Begonia","santoslimae","Begonia santoslimae","Brade","Kollmann, L.J.C.","2007","Fernandes, H.Q.B.","2959","1990","05","28",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005059","VIES005059",NA,NA,"13709","auto","04","04",NA,NA,NA,NA,NA
"154","2019-06-27 10:25:18-03","UFES","VIES","5138","S","Plantae",NA,NA,"Gesneriaceae","Paliavana","prasinata","Paliavana prasinata","(Ker Gawl.) Benth.","Pereira, O.J.","1990","Gomes, J.M.L.; Fernandes, H.Q.B. & Martins, A.L.","1139","1990","05","26",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005138","VIES005138",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"155","2019-06-27 10:25:12-03","UFES","VIES","5096","S","Plantae",NA,NA,"Fabaceae","Parapiptadenia","pterosperma","Parapiptadenia pterosperma","(Benth.) Brenan","Tamashiro, J.Y.","1990","Fernandes, H.Q.B.","2956","1990","05","28",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005096","VIES005096",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"156","2019-09-27 18:05:58-03","UFES","VIES","5146","S","Plantae",NA,NA,"Poaceae","Parodiolyra","micrantha","Parodiolyra micrantha","(Kunth) Davidse & Zuloaga","Oliveira, R.P.","2003","Fernandes, H.Q.B.","2931","1990","05","26",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005146","VIES005146",NA,NA,"13709","auto","11",NA,NA,NA,NA,NA,NA
"157","2019-06-27 10:26:47-03","UFES","VIES","5339","S","Plantae",NA,NA,"Sapindaceae","Paullinia","marginata","Paullinia marginata","Casar.","Somner, G.V.","1990","Fernandes, H.Q.B.","2952","1990","05","28",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005339","VIES005339",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"158","2019-09-27 18:03:45-03","UFES","VIES","5167","S","Plantae",NA,NA,"Asteraceae","Baccharis","serrulata","Baccharis serrulata","(Lam.) Pers.","Teles, A.M.","2015","Gomes, J.M.L.","1200","1990","06","01",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005167","VIES005167",NA,NA,"13709","auto","08",NA,NA,NA,NA,NA,NA
"159","2019-09-27 18:05:17-03","UFES","VIES","5074","S","Plantae",NA,NA,"Malvaceae","Pavonia","malacophylla","Pavonia malacophylla","(Link & Otto) Garcke","Bovini, M.G.","2006","Gomes, J.M.L.","1196","1990","05","31",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005074","VIES005074",NA,NA,"13709","auto","08",NA,NA,NA,NA,NA,NA
"160","2019-09-27 18:05:17-03","UFES","VIES","5079","S","Plantae",NA,NA,"Malvaceae","Pavonia","malacophylla","Pavonia malacophylla","(Link & Otto) Garcke","Bovini, M.G.","2006","Fernandes, H.Q.B.","2941","1990","05","27",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005079","VIES005079",NA,NA,"13709","auto","08",NA,NA,NA,NA,NA,NA
"161","2019-09-27 18:03:45-03","UFES","VIES","5076","S","Plantae",NA,NA,"Asteraceae","Baccharis","dracunculifolia","Baccharis dracunculifolia","DC.","Teles, A.M.","2015","Fernandes, H.Q.B.","2994","1990","05","29",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005076","VIES005076",NA,NA,"13709","auto","08",NA,NA,NA,NA,NA,NA
"162","2019-09-27 18:03:45-03","UFES","VIES","5064","S","Plantae",NA,NA,"Asteraceae","Baccharis","calvescens","Baccharis calvescens","DC.","Teles, A.M.","2015","Fernandes, H.Q.B.","2977","1990","05","28",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005064","VIES005064",NA,NA,"13709","auto","08",NA,NA,NA,NA,NA,NA
"163","2019-06-27 10:25:12-03","UFES","VIES","5120","S","Plantae",NA,NA,"Fabaceae","Piptadenia","adiantoides","Piptadenia adiantoides","(Spreng.) J.F.Macbr.","Fernandes, H.Q.B.","1990","Fernandes, H.Q.B.","2926","1990","05","26",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005120","VIES005120",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"164","2019-06-27 10:26:52-03","UFES","VIES","5151","S","Plantae",NA,NA,"Sapotaceae","Pouteria","reticulata","Pouteria reticulata","(Engl.) Eyma",NA,NA,"Gomes, J.M.L.","1172","1990","05","30",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005151","VIES005151",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"165","2019-06-27 10:26:38-03","UFES","VIES","5118","S","Plantae",NA,NA,"Rubiaceae","Psychotria","carthagenensis","Psychotria carthagenensis","Jacq.","Rodrigues, R.R.","1990","Fernandes, H.Q.B.","2924","1990","05","26",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005118","VIES005118",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"166","2019-06-27 10:23:48-03","UFES","VIES","29907","S","Plantae",NA,NA,"Acanthaceae","Ruellia",NA,"Ruellia",NA,NA,NA,"Aoyama, E.M.; Indriunas, A.","147","2014","03","12",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES029907","VIES029907",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"167","2019-06-27 10:26:49-03","UFES","VIES","5117","S","Plantae",NA,NA,"Sapotaceae",NA,NA,NA,NA,NA,NA,"Fernandes, H.Q.B.","2921","1990","05","26",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005117","VIES005117",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"168","2019-06-27 10:26:54-03","UFES","VIES","5087","S","Plantae",NA,NA,"Selaginellaceae","Selaginella","convoluta","Selaginella convoluta","(Arn.) Spring","Sylvestre, L.","2002","Fernandes, H.Q.B.","2978","1990","05","28",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005087","VIES005087",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"169","2019-09-27 18:04:58-03","UFES","VIES","5062","S","Plantae",NA,NA,"Fabaceae","Senna","pendula","Senna pendula","(Humb.& Bonpl.ex Willd.) H.S.Irwin & Barneby","Lima, H.C. de","2008","Fernandes, H.Q.B.","2982","1990","05","28",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005062","VIES005062",NA,NA,"13709","auto","08","22",NA,NA,NA,NA,NA
"170","2019-06-27 10:26:07-03","UFES","VIES","5163","S","Plantae",NA,NA,"Orchidaceae","Sobralia","sessilis","Sobralia sessilis","Lindl.","Fraga, C.N.",NA,"Fernandes, H.Q.B.","2966","1990","05","28",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005163","VIES005163",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"171","2019-06-27 10:26:34-03","UFES","VIES","5166","S","Plantae",NA,NA,"Rubiaceae","Alseis","floribunda","Alseis floribunda","Schott","Pereira, O.J.","1990","Fernandes, H.Q.B.","2992","1990","05","29",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005166","VIES005166",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"172","2019-06-27 10:25:21-03","UFES","VIES","5067","S","Plantae",NA,NA,"Lamiaceae","Aegiphila","integrifolia","Aegiphila integrifolia","(Jacq.) Moldenke",NA,"2013","Fernandes, H.Q.B.","2981","1990","05","29",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005067","VIES005067 VIES005067_1",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"173","2019-09-27 18:04:32-03","UFES","VIES","5154","S","Plantae",NA,NA,"Euphorbiaceae","Actinostemon","klotzschii","Actinostemon klotzschii","(Didr.) Pax","Cordeiro, I.","2006","Gomes, J.M.L.","1177","1990","05","31",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005154","VIES005154",NA,NA,"13709","auto","09",NA,NA,NA,NA,NA,NA
"174","2019-06-27 10:25:34-03","UFES","VIES","5098","S","Plantae",NA,NA,"Malvaceae","Triplochlamys","multiflora","Triplochlamys multiflora","(A. St.-Hil.) Ulbr.","Gomes, J.M.L.","1990","Fernandes, H.Q.B.","2954","1990","05","28",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005098","VIES005098",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"175","2019-06-27 10:25:34-03","UFES","VIES","5077","S","Plantae",NA,NA,"Malvaceae","Triumfetta",NA,"Triumfetta",NA,NA,NA,"Gomes, J.M.L.; Fernandes, H.Q.B.; Martins, A.L.; Armando, M. & Borges Filho, O.F.","1201","1990","06","01",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005077","VIES005077",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"176","2019-09-27 18:05:19-03","UFES","VIES","5078","S","Plantae",NA,NA,"Malvaceae","Triumfetta",NA,"Triumfetta",NA,"Gonçalez, V.M.","2015","Gomes, J.M.L.; Fernandes, H.Q.B.; Martins, A.L. & Venturim, A.C.","1148","1990","05","27",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005078","VIES005078",NA,NA,"13709","auto","01","19",NA,NA,NA,NA,NA
"177","2019-06-27 10:25:34-03","UFES","VIES","5070","S","Plantae",NA,NA,"Malvaceae","Urena",NA,"Urena",NA,NA,NA,"Gomes, J.M.L.","1160","1990","05","29",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005070","VIES005070",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"178","2019-06-27 10:25:21-03","UFES","VIES","5072","S","Plantae",NA,NA,"Hypericaceae","Vismia","brasiliensis","Vismia brasiliensis","Choisy","Pereira, O.J.","1990","Fernandes, H.Q.B.","2922","1990","05","26",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005072","VIES005072",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"179","2019-06-27 10:24:15-03","UFES","VIES","5156","S","Plantae",NA,NA,"Bignoniaceae","Zeyheria","tuberculosa","Zeyheria tuberculosa","(Vell.) Bureau ex Verl.","Fernandes, H.Q.B.","1990","Gomes, J.M.L.","1195","1990","05","31",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005156","VIES005156",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"180","2019-06-27 10:25:52-03","UFES","VIES","5155","S","Plantae",NA,NA,"Myrtaceae","Eugenia","pruniformis","Eugenia pruniformis","Cambess.","Sobral, M.","1998","Gomes, J.M.L.; Fernandes, H.Q.B.; Martins, A.L.; Moreira, L.M.P. de & Baptistotte, C.","1174","1990","05","31",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Biológica Morro da Vargem.","-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005155","VIES005155",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"181","2019-09-27 18:03:42-03","UFES","VIES","5169","S","Plantae",NA,NA,"Aristolochiaceae","Aristolochia","labiata","Aristolochia labiata","Willd.","Freitas, J.","2013","Gomes, J.M.L.; Fernandes, H.B.Q.; Martins, A.L. & Armando, M.","1198","1990","06","01",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica do Morro da Vargem.","-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005169","VIES005169",NA,NA,"13709","auto","07","08",NA,NA,NA,NA,NA
"182","2019-09-27 18:03:51-03","UFES","VIES","27659","S","Plantae",NA,NA,"Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum","(Less.) G. Sancho","Teles, A.M.","2014","Fernandes, H.Q.B.; Gomes, J.M.L.; Martins, A.L.; et al.","2993","1990","05",NA,NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica do Morro da Vargem.","-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES027659","VIES027659",NA,NA,"13709","auto","08",NA,NA,NA,NA,NA,NA
"183","2019-06-27 10:25:45-03","UFES","VIES","5109","S","Plantae",NA,NA,"Moraceae","Ficus","gomelleira","Ficus gomelleira","Kunth","Fernandes, H.Q.B.","1990","Gomes, J.M.L.; Fernandes, H.Q.B. & Martins, A.L.","1164","1990","05","29",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica Morro da Vargem.","-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005109","VIES005109",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"184","2019-09-27 18:05:24-03","UFES","VIES","5068","S","Plantae",NA,NA,"Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.","Goldenberg, R.","1996","Gomes, J.M.L.; et al.","1147","1990","05","27",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica Morro da Vargem.","-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005068","VIES005068",NA,NA,"13709","auto","07",NA,NA,NA,NA,NA,NA
"185","2019-09-27 18:05:17-03","UFES","VIES","5105","S","Plantae",NA,NA,"Malvaceae","Pavonia","multiflora","Pavonia multiflora","A.St.-Hil.","Esteves, G.L.","1996","Gomes, J.M.L.","1180","1990","05","31",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica Morro da Vargem.","-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005105","VIES005105",NA,NA,"13709","auto","10","10",NA,NA,NA,NA,NA
"186","2019-06-27 10:27:00-03","UFES","VIES","5126","S","Plantae",NA,NA,"Urticaceae","Urera",NA,"Urera",NA,NA,NA,"Gomes, J.M.L.","1159","1990","05","27",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica Morro da Vargem.","-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005126","VIES005126",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"187","2019-09-27 18:05:24-03","UFES","VIES","5135","S","Plantae",NA,NA,"Melastomataceae","Miconia",NA,"Miconia",NA,"Goldenberg, R.","1996","Fernandes, H.Q.B.; et al.","2934","1990","05","27",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica Morro da Vargem.","-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005135","VIES005135",NA,NA,"13709","auto","07",NA,NA,NA,NA,NA,NA
"188","2019-09-27 18:06:05-03","UFES","VIES","5149","S","Plantae",NA,NA,"Primulaceae","Myrsine","coriacea","Myrsine coriacea","(Sw.) R.Br. ex Roem. & Schult.","Freitas, M.F.","1999","Gomes, J.M.L.; Fernandes, H.Q.B.; Martins, A.L. & Venturim, A.C.","1149","1990","05","27",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica Morro da Vargem.","-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005149","VIES005149 VIES005149_1",NA,NA,"13709","auto","08","11",NA,NA,NA,NA,NA
"189","2019-09-27 18:05:58-03","UFES","VIES","5159","S","Plantae",NA,NA,"Poaceae","Aulonemia","soderstromii","Aulonemia soderstromii","P.L. Viana, Filg. & Judz.","Viana, P.L.","2010","Gomes, J.M.L.; Fernandes, H.Q.B.; Martins, A.L.; Moreira, L.M.P. de & Baptistotte, C.","1187","1990","05","31",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica Morro da Vargem.","-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005159","VIES005159",NA,NA,"13709","auto","12",NA,NA,NA,NA,NA,NA
"190","2019-09-27 18:06:17-03","UFES","VIES","5153","S","Plantae",NA,NA,"Rubiaceae","Psychotria","mapourioides","Psychotria mapourioides","DC.","Anunciação, E.A.","2001","Gomes, J.M.L.","1173","1990","05","31",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica Morro da Vargem.","-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005153","VIES005153",NA,NA,"13709","auto","03","12",NA,NA,NA,NA,NA
"191","2019-06-27 10:24:03-03","UFES","VIES","5128","S","Plantae",NA,NA,"Arecaceae","Bactris","caryotifolia","Bactris caryotifolia","Mart.","Fernandes, H.Q.B.","1990","Gomes, J.M.L.; et al.","1150","1990","05","27",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica Morro da Vargem.","-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005128","VIES005128",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"192","2019-09-27 18:05:26-03","UFES","VIES","5069","S","Plantae",NA,NA,"Melastomataceae","Tibouchina","multiflora","Tibouchina multiflora","Cogn.","Albertasse, P.","2004","Fernandes, H.Q.B.","2988","1990","05","29",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica Morro da Vargem.","-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005069","VIES005069",NA,NA,"13709","auto","03","15",NA,NA,NA,NA,NA
"193","2019-09-27 18:03:40-03","UFES","VIES","5390","S","Plantae",NA,NA,"Araceae","Anthurium","xanthophylloides","Anthurium xanthophylloides","G.M.Barroso","Nadruz, M.A.C.","2000","Fernandes, H.Q.B.","2961","1990","05","28",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica Morro da Vargem.","-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005390","VIES005390",NA,NA,"13709","auto","02","10",NA,NA,NA,NA,NA
"194","2019-06-27 10:24:28-03","UFES","VIES","5141","S","Plantae",NA,NA,"Cannabaceae","Celtis","iguanaea","Celtis iguanaea","(Jacq.) Sarg.","Rodrigues, R.R.","1990","Gomes, J.M.L.","1146","1990","05","27",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica Morro da Vargem.","-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005141","VIES005141",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"195","2019-06-27 10:25:07-03","UFES","VIES","5100","S","Plantae",NA,NA,"Fabaceae","Inga","unica","Inga unica","Barneby & J.W.Grimes",NA,NA,"Gomes, J.M.L.","1131","1990","05","26",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica Morro da Vargem.","-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005100","VIES005100",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"196","2019-09-27 18:03:37-03","UFES","VIES","5162","S","Plantae",NA,NA,"Araceae","Anthurium","olfersianum","Anthurium olfersianum","Kunth","Nadruz, M.A.C.","2000","Fernandes, H.Q.B.","2962","1990","05","28",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica Morro da Vargem.","-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005162","VIES005162",NA,NA,"13709","auto","02","11",NA,NA,NA,NA,NA
"197","2019-06-27 10:27:00-03","UFES","VIES","5139","S","Plantae",NA,NA,"Urticaceae","Cecropia","pachystachya","Cecropia pachystachya","Trécul","Fernandes, H.Q.B.","1990","Fernandes, H.Q.B.; Gomes, J.M.L. & Martins, A.L.","2985","1990","05","29",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica Morro da Vargem.","-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005139","VIES005139",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"198","2019-09-27 18:03:40-03","UFES","VIES","5173","S","Plantae",NA,NA,"Araceae","Philodendron","recurvifolium","Philodendron recurvifolium","Schott","Mayo, S.","1992","Fernandes, H.Q.B.","2964","1990","05","28",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica Morro da Vargem.","-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005173","VIES005173",NA,NA,"13709","auto","10","16",NA,NA,NA,NA,NA
"199","2019-09-27 18:03:34-03","UFES","VIES","5071","S","Plantae",NA,NA,"Apocynaceae","Oxypetalum","banksii","Oxypetalum banksii banksii",NA,"Fontella, J.","2004","Gomes, J.M.L.","1166","1990","05","29",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica Morro da Vargem.","-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005071","VIES005071",NA,NA,"13709","auto","01","14","banksii",NA,NA,NA,NA
"200","2019-06-27 10:25:46-03","UFES","VIES","5171","S","Plantae",NA,NA,"Moraceae","Sorocea","bonplandii","Sorocea bonplandii","(Baill.) W.C.Burger et al.","Machado, A.F.P.","2011","Gomes, J.M.L.; Fernandes, H.Q.B.; Martins, A.L. & Venturim, A.C.","1157","1990","05","27",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica Morro da Vargem.","-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005171","VIES005171",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"201","2019-06-27 10:24:55-03","UFES","VIES","5107","S","Plantae",NA,NA,"Fabaceae",NA,NA,NA,NA,NA,NA,"Gomes, J.M.L.","1165","1990","05","29",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica Morro da Vargem.","-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005107","VIES005107",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"202","2019-06-27 10:25:13-03","UFES","VIES","5057","S","Plantae",NA,NA,"Fabaceae","Racosperma","auriculiforme","Racosperma auriculiforme","(A. Cunn. ex Benth.) Pedley","L.A. Silva","2018","Gomes, J.M.L.; Fernandes, H.Q.B. & Martins, A.L.","1162","1990","05","29",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica Morro da Vargem.","-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005057","VIES005057",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"203","2019-09-27 18:05:05-03","UFES","VIES","5164","S","Plantae",NA,NA,"Iridaceae","Neomarica","northiana","Neomarica northiana","(Schneev.) Sprague","Gomes, J.M.L.","1990","Fernandes, H.Q.B.","2970","1990","05","28",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica Morro da Vargem.","-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005164","VIES005164",NA,NA,"13709","auto","10","03",NA,NA,NA,NA,NA
"204","2019-09-27 18:03:42-03","UFES","VIES","5127","S","Plantae",NA,NA,"Arecaceae","Bactris","vulgaris","Bactris vulgaris","Barb.Rodr.","Fernandes, H.Q.B.","1994","Gomes, J.M.L.; Fernandes, H.Q.B.; Martins, A.L. & Venturim, A.C.","1153","1990","05","27",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica Morro da Vargem.","-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005127","VIES005127",NA,NA,"13709","auto","02","21",NA,NA,NA,NA,NA
"205","2019-06-27 10:24:56-03","UFES","VIES","5058","S","Plantae",NA,NA,"Fabaceae","Acacia","mangium","Acacia mangium","Willd.","Martins, A.L.","1990","Gomes, J.M.L.; Fernandes, H.Q.B. & Martins, A.L.","1163","1990","05","29",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica Morro da Vargem.","-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005058","VIES005058 VIES005058_1",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
