"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","scientificName","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","specificEpithet","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","phylum","continentOcean","verbatimLongitude","verbatimLatitude","order","minimumElevationInMeters","maximumElevationInMeters","preparationType","individualCount","typeStatus"
"30","2019-05-02 10:53:30-03","IBt","SP-BRYOPHYTA","182338","S","Plantae","Frullaniaceae","Frullania","Frullania sp.","Yano, O.; Pirani, J.R.","7264","1983","05","26","BRASIL","Minas Gerais","Tocantins","praça do Rosario","-43.017778","-21.175",NA,"sobre tronco de Ficus","SP083405",NA,NA,"sp.",NA,NA,NA,NA,NA,NA,"Southern America","-43.017778","-21.175",NA,"360","360",NA,NA,NA
"31","2019-05-02 10:53:30-03","IBt","SP-BRYOPHYTA","182338","S","Plantae","Frullaniaceae","Frullania","Frullania sp.","Yano, O.; Pirani, J.R.","7264","1983","05","26","BRASIL","Minas Gerais","Tocantins","praça do Rosario","-43.017778","-21.175",NA,"sobre tronco de Ficus","SP083405",NA,NA,"sp.",NA,NA,NA,NA,NA,NA,"Southern America","-43.017778","-21.175",NA,"360","360",NA,NA,NA
"32","2019-06-27 15:43:18-03","Cenargen","CEN","69288","S","Plantae","Solanaceae","Melananthus","Melananthus","José Floriano Barêa Pastore","2490","2008","01","16","Brasil","MG","TOCANTINS","Estrada de terra entre trevo de Conceição do Tocantins e Paranã.","-47.385833","-12.225555",NA,"Campo limpo úmido aparentando que em outra época do ano deveria estar enxarcado. Presença de murunduns. Afloramento de rochas em alguns trechos. Erva. Flores antropurpurea. Doação do Herbário da Universidade Estadual de Feira de S","CEN00069288","CEN00069288",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-47.385833","-12.225555",NA,"481","481","Exsicatas","1",NA
"33","2019-06-27 15:42:13-03","Cenargen","CEN","69289","S","Plantae","Polygalaceae","Polygala","Polygala pseudovariabilis","José Floriano Barêa Pastore","2491","2008","01","16","Brasil","MG","TOCANTINS","Estrada de terra entre trevo de Conceição do Tocantins e Paranã.","-47.385833","-12.225555",NA,"Campo limpo úmido aparentando que em outra época do ano deveria estar enxarcado. Presença de murunduns. Afloramento de rochas em alguns trechos. Erva ereta. Flores amarelas. Doação do Herbário da Universidade Estadual de Feira de","CEN00069289","CEN00069289",NA,"pseudovariabilis","Chodat",NA,NA,NA,NA,NA,NA,"-47.385833","-12.225555",NA,"481","481","Exsicatas","1",NA
"34","2018-10-26 12:00:35-03","Cenargen","CEN","26162","S","Plantae","Orchidaceae","Cyrtopodium","Cyrtopodium paludicolum","João Aguiar Nogueira Batista","691","1997","02","18","Brasil","MG","TOCANTINS","Área à esquerda da pista, cerca de 124 km após Porto Nacional, na estrada para Natividade.","-43.0177993774414","-21.1749992370605","11821","Em campo limpo úmido na borda de Mata Ciliar úmida. Área não queimada. Cobertura graminosa densa e alta. Comum. Em plena floração. Flora do Brasil - Estado do Tocantins.","CEN00026162","CEN00026162 CEN00026162_1","auto","paludicolum","Hoehne","J. A. N. Batista","1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Exsicatas","2",NA
"35","2019-06-24 08:13:00-03","IAC","IAC","34266","S","Plantae","Lythraceae","Cuphea","Cuphea carthagenensis","A.O. Scariot et al.","365","1989","02","07","Brasil","Minas Gerais","Tocantins","Rodovia BR-40 - Uba, Km 66","-43.083333","-21.183333",NA,"21o 11#?# S, 43o 05#?# W",NA,NA,NA,"carthagenensis","(Jacq.) J.F.Macbr.","T.B. Cavalcanti","1989","03","20",NA,NA,"-43.083333","-21.183333",NA,NA,NA,NA,NA,NA
"36","2019-02-27 14:03:42-03","UFSJ","HUFSJ","3548","S","Plantae","Verbenaceae","Lantana","Lantana","Sobral, M","14826","2012","03","11","Brasil","Minas Gerais","Tocantins","MG-447","-43.063528","-21.229722",NA,"Arbusto 2-2,5 m, bastante ramificado, em resto de mata à beira da estrada; flores com corolas roxo-claras e a fauce amarela.","HUFSJ003548","HUFSJ003548_v00 HUFSJ003548_v01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-43.063528","-21.229722",NA,NA,NA,NA,NA,NA
"37","2019-02-27 14:02:08-03","UFSJ","HUFSJ","3547","S","Plantae","Fabaceae","Macroptilium","Macroptilium","Sobral, M","14825","2012","03","11","Brasil","Minas Gerais","Tocantins","MG-447","-43.063528","-21.229722",NA,"Erva rastejante, em campo alterado à beira da estrada; flores púrpura-escuras.","HUFSJ003547","HUFSJ003547_v00 HUFSJ003547_v01 HUFSJ003547_v02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-43.063528","-21.229722",NA,NA,NA,NA,NA,NA
"38","2019-02-27 14:02:09-03","UFSJ","HUFSJ","3550","S","Plantae","Fabaceae","Mimosa","Mimosa","Sobral, M","14828","2012","03","11","Brasil","Minas Gerais","Tocantins","MG-447","-43.063528","-21.229722",NA,"Erva em campo alterado à beira da estrada; flores róseo-claras.","HUFSJ003550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-43.063528","-21.229722",NA,NA,NA,NA,NA,NA
"39","2019-02-27 14:02:21-03","UFSJ","HUFSJ","3549","S","Plantae","Malpighiaceae","Stigmaphyllon","Stigmaphyllon","Sobral, M","14827","2012","03","11","Brasil","Minas Gerais","Tocantins","MG-447","-43.063528","-21.229722",NA,"Trepadeira em resto de mata à beira da estrada; flores amarelas.","HUFSJ003549","HUFSJ003549_v00 HUFSJ003549_v01 HUFSJ003549_v02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-43.063528","-21.229722",NA,NA,NA,NA,NA,NA
"40","2014-09-23 10:57:38-03","G","G","G00388873","S","Plantae","Fabaceae","Bauhinia","Bauhinia viridiflora","Ducke, A.","15597","1915","01","02","Brazil","Minas Gerais","Tocantins",NA,"-43.0125","-21.17722222",NA,"Coordinate uncertainty: Precision undefined Image URL: No picture available on the institution's web site","G00388873",NA,NA,"viridiflora","Ducke","Wunderlin, R. P.","1984","01","01",NA,"AMERIQUE DU SUD","-43.0125","-21.17722222",NA,NA,NA,NA,NA,"ISOTYPUS of Bauhinia viridiflora Ducke"
