"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","infraspecificEpithet","class"
"81","2020-03-04 11:49:48-03","UFRJ","RFA","25928","Preservedecimen","Plantae",NA,NA,"Myrtaceae","Marlierea","tomentosa","Marlierea tomentosa","Cambess.","Alexandre Quinet",NA,"2000","12","10",NA,"Brasil","Minas Gerais","São Pedro dos Ferros",NA,"-42.523333","-20.201944",NA,NA,"Árvore, 3 m de altura, 8 cm de DAP, flores brancas, folha verde discolor, rara no local.","RFA42103",NA,NA,"42º31'24''W","20º12'7''S","460","460","G. M. Barroso","2001","12","20",NA,NA
"82","2020-03-04 11:50:13-03","UFRJ","RFA","26118","Preservedecimen","Plantae",NA,NA,"Sapindaceae","Matayba","mollis","Matayba mollis","Radlk.","F. M. B. Pereira",NA,"2000","12","16",NA,"Brasil","Minas Gerais","São Pedro dos Ferros","Fazenda Sossego","-42.525556","-20.209722",NA,NA,"Árvore, 6m de altura, 13cm de DAP, folha verde, fruto preto, flor amarela, rara no local","RFA29461",NA,NA,"42º31'32''W","20º12'35''S","480","480","G. V. Sommer","2010","04","08",NA,NA
"83","2020-03-04 11:49:42-03","UFRJ","RFA","25948","Preservedecimen","Plantae",NA,NA,"Melastomataceae",NA,NA,NA,NA,"Alexandre Quinet",NA,"2000","12","11",NA,"Brasil","Minas Gerais","São Pedro dos Ferros",NA,"-42.532778","-20.2075",NA,NA,"Arbusto, 4m de altura, 11cm de DAP, flores brancas, folhas verde discolo, rara no local, mata de encosta dobre o solo argiloso, luminosidade intensa","RFA41298",NA,NA,"42º31'58''W","20º12'27''S","545","545",NA,NA,NA,NA,NA,NA
"84","2020-03-04 11:49:43-03","UFRJ","RFA","26106","Preservedecimen","Plantae",NA,NA,"Meliaceae",NA,NA,NA,NA,"F. M. de B. Pereira",NA,"2000","12","15",NA,"Brasil","Minas Gerais","São Pedro dos Ferros","Fazenda Sossego.","-42.519722","-20.208056",NA,NA,"Árvore, 7m de altura, 18cm de DAP, folha verde, flor branca, comum no local.","RFA41577",NA,NA,"42º31'11''W","20º12'29''S","565","565",NA,NA,NA,NA,NA,NA
"85","2020-03-04 11:48:21-03","UFRJ","RFA","25937","Preservedecimen","Plantae",NA,NA,"Acanthaceae","Mendoncia","puberula","Mendoncia puberula","Mart.","Alexandre Quinet",NA,"2000","12","10",NA,"Brasil","Minas Gerais","São Pedro dos Ferros",NA,"-42.526111","-20.200556",NA,NA,"Trepadeira, flores, brancas, folha verde discolor, rara no local.","RFA32232",NA,NA,"42º31'34''W","20º12'2''S","500","500","A. Quinet","2001","09","14",NA,NA
"86","2020-03-04 11:49:42-03","UFRJ","RFA","26083","Preservedecimen","Plantae",NA,NA,"Melastomataceae","Miconia",NA,"Miconia",NA,"F. M. de B. Pereira",NA,"2000","12","14",NA,"Brasil","Minas Gerais","São Pedro dos Ferros","Fazenda Sossego.","-42.5275","-22.2025",NA,NA,"Arbusto, 4m de altura, 10cm de DAP, folha verde, flor branca, abundante no local.","RFA41195",NA,NA,"42º31'39''W","22º12'9''S","482","482",NA,NA,NA,NA,NA,NA
"87","2020-03-04 11:48:32-03","UFRJ","RFA","26064","Preservedecimen","Plantae",NA,NA,"Araceae","Monstera","adansonii","Monstera adansonii klotzschiana","(Schott) Madison","F. M. B. Pereira","21064","2000","12","13",NA,"Brasil","Minas Gerais","São Pedro dos Ferros","Fazenda Sossego","-42.513611","-22.2",NA,NA,"Epífeta, 5m de altura, 18cm de DAP, folha verde, fruto branco, flor branca","RFA32453",NA,NA,"42º30'49''W","22º12'0''S","376","376","M. Nadruz","2001","03","12","klotzschiana",NA
"88","2020-03-04 11:49:48-03","UFRJ","RFA","26089","Preservedecimen","Plantae",NA,NA,"Myrtaceae","Myrcia",NA,"Myrcia",NA,"F.M.B. Pereira",NA,"2000","12","14",NA,"Brasil","Minas Gerais","São Pedro dos Ferros","Fazenda Sossego","-42.525278","-22.205278",NA,NA,"Arbusto, 3 m de altura, 6 cm de DAP, folha verde, flor verde, comum no local","RFA42096",NA,NA,"42º31'31''W","22º12'19''S","464","464",NA,NA,NA,NA,NA,NA
"89","2020-03-04 11:49:48-03","UFRJ","RFA","26076","Preservedecimen","Plantae",NA,NA,"Myrtaceae","Myrcia",NA,"Myrcia",NA,"F.M.B. Pereira",NA,"2000","12","13",NA,"Brasil","Minas Gerais","São Pedro dos Ferros","Fazenda Sossego","-42.524444","-22.192778",NA,NA,"Arbusto 4 m de altura; 9 cm de DAP; folha verde; fruto verde, comum no local","RFA39071",NA,NA,"42º31'28''W","22º11'34''S","559","559",NA,NA,NA,NA,NA,NA
"90","2020-03-04 11:49:48-03","UFRJ","RFA","26078","Preservedecimen","Plantae",NA,NA,"Myrtaceae","Myrcia",NA,"Myrcia",NA,"F.M.B. Pereira",NA,"2000","12","13",NA,"Brasil","Minas Gerais","São Pedro dos Ferros","Fazenda Sussego","-42.522778","-22.193889",NA,NA,"Árvore 18 m de altura. DAP: 19 cm; folha verde; fruto preto; flor branca, rara no local","RFA42255",NA,NA,"42º31'22''W","22º11'38''S","560","560",NA,NA,NA,NA,NA,NA
