"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","individualCount","scientificNameAuthorship","identifiedBy","yearIdentified","recordNumber","year","month","day","continentOcean","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","monthIdentified","dayIdentified","relatedCatalogItem","typeStatus"
"896","2019-10-02 15:08:01-03","UFMG","BHCB","157474","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Orchidaceae","Scaphyglottis","modesta","Scaphyglottis modesta","Souza, FS","Brasil","Minas Gerais","Barão de Cocais","Serra do Garimpo, Morraria do Cambotas, Fazenda Garimpo e Recreio, campo rupestre.","-43.521111","-19.878333",NA,"Rupícola com flores esverdeadas com máculas roxas nas pétalas e sépalas, coluna roxa",NA,NA,"(Rchb) Schltr.",NA,NA,"1603","2012","03","28","Southern America","-43.521111","-19.878333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"897","2019-10-02 14:49:03-03","UFMG","BHCB","165489","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Araliaceae","Schefflera","vinosa","Schefflera vinosa","Souza, FS; Tomich, S; Miranda, E; Machado, TM","Brasil","Minas Gerais","Barão de Cocais","Mina do Baú, Litotipo: Canga: fragmento de rocha cimentados por limonita.","-43.5775","-20.018333",NA,"Arbusto em Campo Rupestre Ferruginoso Arbustivo, frutos imaturos verdes. Projeto Lacunas do Conhecimento.",NA,NA,"(Cham. & Schltdl.) Frodin & Fiaschi",NA,NA,"2482","2013","02","07","Southern America","-43.5775","-20.018333",NA,NA,NA,"1134","1134",NA,NA,NA,NA,NA
"898","2019-10-02 14:49:03-03","UFMG","BHCB","167661","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Araliaceae","Schefflera","vinosa","Schefflera vinosa","Miranda, E; Tomich, S; Machado, TM; Souza, FS","Brasil","Minas Gerais","Barão de Cocais","Mina do Baú, Litotipo: Canga; fragmentos de rocha cimentados por limonita.","-43.5775","-20.018333",NA,"Árvore em Campo Rupestre Ferruginoso Arbustivo. Projeto Lacunas do Conhecimento.",NA,NA,"(Cham. & Schltdl.) Frodin & Fiaschi",NA,NA,"466","2013","02","07","Southern America","-43.5775","-20.018333",NA,NA,NA,"1134","1134",NA,NA,NA,NA,NA
"899","2020-02-07 18:35:47-03","UFMG","BHCB","75892","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Araliaceae","Schefflera","vinosa","Schefflera vinosa","Oliveira, AM; Stehmann, JR; Mota, RC da","Brasil","Minas Gerais","Barão de Cocais","Mina do Brucutu - CVRD. Mirante.","-43.376389","-19.851944",NA,"Arbórea, em canga couraçada; botões marrons.",NA,NA,"(Cham. & Schltdl.) Frodin & Fiaschi",NA,NA,"175","2002","12","16","Southern America","-43.376389","-19.851944",NA,NA,NA,"1063","1063",NA,NA,NA,NA,NA
"900","2020-01-14 18:07:52-03","UFMG","BHCB","199878","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Anacardiaceae","Schinus","terebinthifolius","Schinus terebinthifolius","Rezende, SG","Brasil","Minas Gerais","Barão de Cocais","Cocais","-43.396111","-19.827222",NA,"Árvore; Floresta Estacional Semidecidual em Estágio Inicial de Regeneração",NA,NA,"Raddi",NA,NA,"7004","2018","10","30","Southern America","-43.396111","-19.827222",NA,"BHCB199878",NA,"660","660",NA,NA,NA,NA,NA
"901","2020-01-14 18:07:52-03","UFMG","BHCB","199879","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Anacardiaceae","Schinus","terebinthifolius","Schinus terebinthifolius","Rezende, SG","Brasil","Minas Gerais","Barão de Cocais","Cocais","-43.392222","-19.841667",NA,"Árvore; Floresta Estacional Semidecidual em Estágio Inicial de Regeneração",NA,NA,"Raddi",NA,NA,"7005","2019","04","09","Southern America","-43.392222","-19.841667",NA,"BHCB199879",NA,"720","720",NA,NA,NA,NA,NA
"902","2020-01-14 18:07:52-03","UFMG","BHCB","199880","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Anacardiaceae","Schinus","terebinthifolius","Schinus terebinthifolius","Rezende, SG","Brasil","Minas Gerais","Barão de Cocais","Cocais","-43.399722","-19.838333",NA,"Árvore; Floresta Estacional Semidecidual em Estágio Médio de Regeneração",NA,NA,"Raddi",NA,NA,"7006","2019","04","03","Southern America","-43.399722","-19.838333",NA,"BHCB199880",NA,"710","710",NA,NA,NA,NA,NA
"903","2020-01-14 18:08:27-03","UFMG","BHCB","200255","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Solanaceae","Schwenckia","americana","Schwenckia americana","Rezende, SG","Brasil","Minas Gerais","Barão de Cocais","Cocais","-43.377778","-19.847778",NA,"Erva; Campo Rupestre sobre Quartzito Arbustivo",NA,NA,"Rooyen ex L.",NA,NA,"7324","2019","04","24","Southern America","-43.377778","-19.847778",NA,"BHCB200255",NA,"890","890",NA,NA,NA,NA,NA
"904","2020-01-14 18:08:27-03","UFMG","BHCB","200256","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Solanaceae","Schwenckia","americana","Schwenckia americana","Rezende, SG","Brasil","Minas Gerais","Barão de Cocais","Cocais","-43.376944","-19.846667",NA,"Erva; Campo Rupestre sobre Quartzito Herbáceo",NA,NA,"Rooyen ex L.",NA,NA,"7325","2019","04","09","Southern America","-43.376944","-19.846667",NA,"BHCB200256",NA,"860","860",NA,NA,NA,NA,NA
"905","2020-01-14 18:08:27-03","UFMG","BHCB","200257","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Solanaceae","Schwenckia","americana","Schwenckia americana","Rezende, SG","Brasil","Minas Gerais","Barão de Cocais","Cocais","-43.378333","-19.848056",NA,"Erva; Campo Rupestre sobre Quartzito Herbáceo",NA,NA,"Rooyen ex L.",NA,NA,"7326","2019","04","09","Southern America","-43.378333","-19.848056",NA,"BHCB200257",NA,"910","910",NA,NA,NA,NA,NA
