"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","yearIdentified","typeStatus","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","class","previousCatalogNumber","infraspecificEpithet","individualCount","relatedCatalogItem"
"21","2019-12-16 17:46:54-03","NYBG","NYBG","1019417","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Tabebuia",NA,"Tabebuia",NA,"V. de F. Mansano","07-442","2007","11","02","South America","Brazil","Espírito Santo","Santa Maria de Jetibá","Estrada para Garrafão.","-40.8544","-20.0711",NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1282259 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01019417","NY01019417",NA,NA,NA,NA,"-40.8544","-20.0711","842","842",NA,NA,NA,NA,NA,NA,NA
"22","2020-02-04 14:16:40-03","UNESP-IBB","BOTU","33650","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Triumfetta","rhomboidea","Triumfetta rhomboidea","Jacq.","Lorecini, T.S.","314","2009","07","04",NA,"Brasil","Espírito Santo","Santa maria de Jetibá","Sítio Renascer","-40.816667","-20.15",NA,NA,NA,"BOTU033650",NA,NA,"Lorencini, T.S.","2009",NA,"40°49'00w","20°09'00s",NA,NA,"09","17",NA,NA,NA,NA,NA
"23","2020-02-04 14:16:40-03","UNESP-IBB","BOTU","33656","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Triumfetta","rhomboidea","Triumfetta rhomboidea","Jacq.","Lorecini, T.S.","47","2008","09","06",NA,"Brasil","Espírito Santo","Santa Maria de Jetibá","Sítio Renascer","-40.816667","-20.15",NA,NA,NA,"BOTU033656",NA,NA,"Lorencini, T.S.","2009",NA,"40°49'00w","20°08'60s",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-02-04 14:16:40-03","UNESP-IBB","BOTU","33657","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Triumfetta","rhomboidea","Triumfetta rhomboidea","Jacq.","Lorecini, T.S.","191","2009","02","08",NA,"Brasil","Espírito Santo","Santa Maria de Jetibá","Sítio Renascer","-40.816667","-20.15",NA,NA,NA,"BOTU033657",NA,NA,"Lorencini, T.S.","2009",NA,"40°49'00w","20°08'60s",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-02-04 14:17:01-03","UNESP-IBB","BOTU","27662","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Beadlea",NA,"Beadlea",NA,"Berger, M.V.S.","7","2002","10","02",NA,"Brasil","Espírito Santo","Santa Maria de Jetiba","Distrito do Garrafão, Pedra do Garrafão","-40.7461013793945","-20.040599822998","31867",NA,NA,"BOTU027662",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-02-04 14:17:05-03","UNESP-IBB","BOTU","27645","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Prescottia",NA,"Prescottia",NA,"Berger, M.V.S.","86","2003","03","22",NA,"Brasil","Espírito Santo","Santa Maria de Jetibá","Distrito do Garrafão, Pedra do Garrafão, Trilha da Árovre Caída","-40.7461013793945","-20.040599822998","31867",NA,NA,"BOTU027645",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-02-04 14:17:02-03","UNESP-IBB","BOTU","27658","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Malaxis",NA,"Malaxis",NA,"Berger, M.V.S.","79","2003","04","21",NA,"Brasil","Espírito Santo","Santa Maria de Jetibá","Distrito do Garrafão, Pedra do Garrafão, Trilha do Córrego Pastilha, entrada pelo pasto, final da trilha.","-40.7461013793945","-20.040599822998","31867",NA,NA,"BOTU027658",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-02-03 10:31:37-03","UNESP-IBB","BOTU","33818","PreservedSpecimen","Plantae",NA,NA,"Fabaceae",NA,NA,NA,NA,"Kollmann, L.","13134","2016","03","03",NA,"Brasil","Espírito Santo","Santa Maria de Jetibá","Rio nove","-40.649444","-19.981111",NA,NA,NA,"BOTU033818",NA,NA,NA,NA,NA,"40°38'58w","19°58'52s",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-02-03 10:31:37-03","UNESP-IBB","BOTU","33820","PreservedSpecimen","Plantae",NA,NA,"Fabaceae",NA,NA,NA,NA,"Kollmann, L.","13139","2016","03","03",NA,"Brasil","Espírito Santo","Santa Maria de Jetibá","Rio nove","-40.649444","-19.981111",NA,NA,NA,"BOTU033820",NA,NA,NA,NA,NA,"40°38'58w","19°58'52s",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-02-04 14:16:58-03","UNESP-IBB","BOTU","27778","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae",NA,NA,NA,NA,"Berger, M.V.S.","69","2003","03","22",NA,"Brasil","Espírito Santo","Santa Maria de Jetiba","Trilha do Cipó, Pedra do Garrafão, Distrito do Garrafão, propriedade de João Schultz","-40.7461013793945","-20.040599822998","31867",NA,NA,"BOTU027778",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
