"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLatitude","verbatimLatitude","decimalLongitude","verbatimLongitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","barcode","coordinatePrecision","geoFlag","identifiedBy","infraspecificEpithet"
"45","2019-11-07 11:13:49-03","UFMG","BHCB-SL","93566","PreservedSpecimen","Plantae",NA,"Anemiaceae","Anemia","luetzelburgii","Anemia luetzelburgii","Rosenst.","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","52","2005","08","13","América","Brasil","Minas Gerais","Dores de Guanhães","Rio Guanhães., Floresta Estacional Semidecidual","-19.037472","-19.037472","-42.924556","-42.924556","505","505","Terrestre, em beira de trilha, no interior de mata","2005","08",NA,NA,NA,NA,"Almeida, TE; Salino, A",NA
"46","2019-11-07 11:18:13-03","UFMG","BHCB-SL","93577","PreservedSpecimen","Plantae",NA,"Polypodiaceae","Campyloneurum","decurrens","Campyloneurum decurrens","(Raddi) C.Presl","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","63","2005","08","14","América","Brasil","Minas Gerais","Dores de Guanhães","Rio Guanhães., Floresta Estacional Semidecidual.","-19.003694","-19.003694","-42.945556","-42.945556","500","500","Rupícola em riacho no interior de mata","2005","08",NA,NA,NA,NA,"Almeida, TE; Salino, A",NA
"47","2019-11-07 11:18:17-03","UFMG","BHCB-SL","93575","PreservedSpecimen","Plantae",NA,"Polypodiaceae","Campyloneurum","nitidum","Campyloneurum nitidum","(Kaulf.) C.Presl","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","61","2005","08","14","América","Brasil","Minas Gerais","Dores de Guanhães","Rio Guanhães., Floresta Estacional Semidecidual.","-19.003694","-19.003694","-42.945556","-42.945556","500","500","Rupícola, em riacho, no interior de mata","2005","08",NA,NA,NA,NA,"Almeida, TE",NA
"48","2019-11-07 11:21:24-03","UFMG","BHCB-SL","93600","PreservedSpecimen","Plantae",NA,"Thelypteridaceae","Christella","hispidula","Christella hispidula","(Decne.) Holttum","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","86","2005","08","16","América","Brasil","Minas Gerais","Dores de Guanhães","Rio Guanhães., Floresta Estacional Semidecidual","-19.070639","-19.070639","-42.873111","-42.873111","550","550","Terrestre, na beira de córrego, no interior de mata","2005","08",NA,NA,NA,NA,"Almeida, TE; Salino, A",NA
"49","2020-03-04 20:43:09-03","UFMG","BHCB-SL","93580","PreservedSpecimen","Plantae",NA,"Dryopteridaceae","Ctenitis","submarginalis","Ctenitis submarginalis tenuifolia","(C.Presl) R.S.Viveros","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","66","2005","08","14","América","Brasil","Minas Gerais","Dores de Guanhães","Rio Guanhães.","-19.003694","-19.003694","-42.945556","-42.945556","500","500","Terrestre, no interior de mata. Beira de trilha","2015","11",NA,NA,NA,NA,"Viveros, RS","tenuifolia"
"50","2019-11-07 11:15:46-03","UFMG","BHCB-SL","93574","PreservedSpecimen","Plantae",NA,"Cyatheaceae","Cyathea","axillaris","Cyathea axillaris","(Fée) Lellinger","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","60","2005","08","14","América","Brasil","Minas Gerais","Dores de Guanhães","Margem do Rio Guanhães","-19.003694","-19.003694","-42.945556","-42.945556","500","500","Terrestre em barranco, à beira de córrego, no interior de mata com muito bambu","2010","10",NA,NA,NA,NA,"Salino, A",NA
"51","2020-03-04 20:43:45-03","UFMG","BHCB-SL","93578","PreservedSpecimen","Plantae",NA,"Thelypteridaceae","Cyclosorus","interruptus","Cyclosorus interruptus","(Willd.) Ito","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","64","2005","08","14","América","Brasil","Minas Gerais","Dores de Guanhães","Rio Guanhães., Floresta Estacional Semidecidual","-19.003694","-19.003694","-42.945556","-42.945556","500","500","Terrestre, em brejo, em área aberta","2005","08",NA,NA,NA,NA,"Almeida, TE; Salino, A",NA
"52","2019-11-07 11:19:42-03","UFMG","BHCB-SL","93585","PreservedSpecimen","Plantae",NA,"Pteridaceae","Doryopteris","collina","Doryopteris collina","(Raddi) J.Sm.","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","71","2005","08","14","América","Brasil","Minas Gerais","Dores de Guanhães","Rio Guanhães.","-19.003694","-19.003694","-42.945556","-42.945556","500","500","Rupícola, em paredão rochoso granítico, próximo ao rio Guanhães","2005","08",NA,NA,NA,NA,"Almeida, TE; Salino, A",NA
"53","2019-11-07 11:19:50-03","UFMG","BHCB-SL","93598","PreservedSpecimen","Plantae",NA,"Pteridaceae","Hemionitis","tomentosa","Hemionitis tomentosa","(Lam.) Raddi","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","84","2005","08","16","América","Brasil","Minas Gerais","Dores de Guanhães","Rio Guanhães.","-19.070639","-19.070639","-42.873111","-42.873111","550","550","Rupícola, na beira de córrego, no interior de mata","2005","08",NA,NA,NA,NA,"Almeida, TE",NA
"54","2019-11-07 11:16:40-03","UFMG","BHCB-SL","93570","PreservedSpecimen","Plantae",NA,"Dryopteridaceae","Lastreopsis","acuta","Lastreopsis acuta","(Hook.) Tindale","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","56","2005","08","13","América","Brasil","Minas Gerais","Dores de Guanhães","Rio Guanhães., Floresta Estacional Semidecidual.","-1.037497","-1.037497","-42.924556","-42.924556","505","505","Terrestre, à beira de trilha, no interior de mata","2005","08",NA,NA,NA,NA,"Almeida, TE; Salino, A",NA
