"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","specificEpithet","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","class","previousCatalogNumber","typeStatus","infraspecificEpithet","individualCount","relatedCatalogItem"
"1227","2020-03-10 08:27:55-03","UFV","VIC","041966","PreservedSpecimen","Plantae",NA,NA,"Caesalpinioideae","Chamaecrista","Chamaecrista nictitans","Siqueira, L.C. de","824","2013","05","20",NA,"Brasil","Minas Gerais","Araponga","PESB, Estrada da portaria Araponga.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,"Herbácea de 30 cm, flores amarelo claro. Presença de frutos verdes imaturos e frutos desenvolvidos.","VIC041966","VIC041966","nictitans","(L.) Moench",NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"1228","2020-03-10 08:29:56-03","UFV","VIC","042069","PreservedSpecimen","Plantae",NA,NA,"Papilionoideae","Dalbergia","Dalbergia frutescens frutescens","Siqueira, L.C. de","814","2013","05","02",NA,"Brasil","Minas Gerais","Araponga","PESB, Estrada da portaria Araponga.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,"Liana escandente de cerca de 5 m, frutos verdes imaturos.","VIC042069","VIC042069","frutescens",NA,NA,NA,NA,"16385","auto",NA,NA,NA,NA,"frutescens",NA,NA
"1229","2020-03-10 08:30:00-03","UFV","VIC","041931","PreservedSpecimen","Plantae",NA,NA,"Papilionoideae","Machaerium","Machaerium acutifolium","Siqueira, L.C. de","837","2013","06","05",NA,"Brasil","Minas Gerais","Araponga","PESB, Estrada da portaria Araponga.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,"Presença de frutos verde imaturos.Final de periodo de frutificação.","VIC041931","VIC041931","acutifolium","Vogel",NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"1230","2020-03-10 08:27:55-03","UFV","VIC","041967","PreservedSpecimen","Plantae",NA,NA,"Caesalpinioideae","Chamaecrista","Chamaecrista nictitans","Siqueira, L.C. de","771","2012","12","15",NA,"Brasil","Minas Gerais","Araponga","PESB, Estrada da portaria Araponga.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,"Herbácea de flores amarelas,caule avermelhado, presença de frutos imaturos.","VIC041967","VIC041967","nictitans","(L.) Moench",NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"1231","2020-03-10 08:30:00-03","UFV","VIC","041929","PreservedSpecimen","Plantae",NA,NA,"Papilionoideae","Machaerium","Machaerium acutifolium","Siqueira, L.C. de","622","2011","08","17",NA,"Brasil","Minas Gerais","Araponga","PESB, Estrada da portaria Araponga.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,"Árvore de cerca de 3.5 m, com frutos verdes imaturos.","VIC041929","VIC041929","acutifolium","Vogel",NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"1232","2020-03-10 08:27:58-03","UFV","VIC","042108","PreservedSpecimen","Plantae",NA,NA,"Caesalpinioideae","Senna","Senna cernua","Siqueira, L.C. de","775","2012","12","15",NA,"Brasil","Minas Gerais","Araponga","PESB, Estrada da Portaria Araponga.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,"Arbusto de 50 cm,flores amarelo ouro escuro. Presença de muitas formigas grandes no nectário.","VIC042108","VIC042108","cernua","(Balb.) H.S. Irwin & Barneby",NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"1233","2020-03-10 08:29:57-03","UFV","VIC","041924","PreservedSpecimen","Plantae",NA,NA,"Papilionoideae","Desmodium","Desmodium affine","Siqueira, L.C. de","768","2012","12","15",NA,"Brasil","Minas Gerais","Araponga","PESB, Estrada da portaria Araponga, próximo a casa do Brás.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,"Herbácea, inflorescência de cor rosa.","VIC041924","VIC041924","affine","Schltdl.",NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"1234","2020-03-10 08:29:53-03","UFV","VIC","041950","PreservedSpecimen","Plantae",NA,NA,"Papilionoideae","Cajanus","Cajanus cajan","Siqueira, L.C. de","861","2013","07","23",NA,"Brasil","Minas Gerais","Araponga","PESB, Estrada da portaria Araponga,próximo a escola.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,"Arbusto de 1,5 m, frutos imaturos. Flores amarelas com vermelho.","VIC041950","VIC041950","cajan","(L.) Huth",NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"1235","2020-03-10 08:27:58-03","UFV","VIC","037930","PreservedSpecimen","Plantae",NA,NA,"Caesalpinioideae","Senna","Senna macranthera","Siqueira, L.C. de; Araújo Silva, A.","634","2012","02","14",NA,"Brasil","Minas Gerais","Araponga","PESB, Estrada da portaria de fervedouro , em direção a sede do lado direito.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,"Árvore de cerca de 4.5 m de altura,presença de flor amarela.","VIC037930","VIC037930","macranthera","(DC. ex Collad.) H.S. Irwin & Barneby",NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"1236","2020-03-10 08:29:57-03","UFV","VIC","041925","PreservedSpecimen","Plantae",NA,NA,"Papilionoideae","Desmodium","Desmodium affine","Siqueira, L.C. de; Araújo Silva, A.","638","2012","02","14",NA,"Brasil","Minas Gerais","Araponga","PESB, Estrada da portaria Fervedouro.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,"Herbácea, inflorescência de cor rosa clara.","VIC041925","VIC041925","affine","Schltdl.",NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"1237","2020-03-10 08:30:00-03","UFV","VIC","041933","PreservedSpecimen","Plantae",NA,NA,"Papilionoideae","Machaerium","Machaerium nyctitans","Siqueira, L.C. de","852","2013","07","22",NA,"Brasil","Minas Gerais","Araponga","PESB, Estrada da portaria Fervedouro.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,"Árvore de 8,5 m, frutos vermelhos imaturos.","VIC041933","VIC041933","nyctitans","(Vell.) Benth.",NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"1238","2020-03-10 08:29:55-03","UFV","VIC","041943","PreservedSpecimen","Plantae",NA,NA,"Papilionoideae","Crotalaria","Crotalaria breviflora","Siqueira, L.C. de; Bessa, J.","601","2011","07","27",NA,"Brasil","Minas Gerais","Araponga","PESB, Estrada da portaria Fervedouro.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,"Herbácea,flores amarelas, fruto .","VIC041943","VIC041943","breviflora","DC.",NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"1239","2020-03-10 08:29:57-03","UFV","VIC","042086","PreservedSpecimen","Plantae",NA,NA,"Papilionoideae","Desmodium","Desmodium leiocarpum","Siqueira, L.C. de","670","2012","03","06",NA,"Brasil","Minas Gerais","Araponga","PESB, Estrada da portaria Fervedouro.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,"Arbusto 2 m. Presença de frutos. Flores rosa claro, quando velhas ficam liláse depois passam para azul.","VIC042086","VIC042086","leiocarpum","(Spreng.) G. Don",NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"1240","2020-03-10 08:29:55-03","UFV","VIC","041944","PreservedSpecimen","Plantae",NA,NA,"Papilionoideae","Crotalaria","Crotalaria breviflora","Siqueira, L.C. de","870","2013","07","30",NA,"Brasil","Minas Gerais","Araponga","PESB, Estrada da portaria Fervedouro.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,"Herbácea 50 cm, flores amarelas.","VIC041944","VIC041944","breviflora","DC.",NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"1241","2020-03-10 08:29:57-03","UFV","VIC","041922","PreservedSpecimen","Plantae",NA,NA,"Papilionoideae","Desmodium","Desmodium adscendens","Siqueira, L.C. de; Araújo Silva, A.","626","2012","02","14",NA,"Brasil","Minas Gerais","Araponga","PESB, Estrada da portaria Fervedouro.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,"Herbácea. Prostrada, inflorescência de cor rosa .","VIC041922","VIC041922","adscendens","(Sw.) DC.",NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"1242","2020-03-10 08:29:57-03","UFV","VIC","041927","PreservedSpecimen","Plantae",NA,NA,"Papilionoideae","Desmodium","Desmodium uncinatum","Siqueira, L.C. de","647","2012","02","25",NA,"Brasil","Minas Gerais","Araponga","PESB, Estrada da portaria Fervedouro.Próximo a Ermida.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,"Herbácea 90 cm, inflorescência de cor rosa clara.","VIC041927","VIC041927","uncinatum","(Jacq.) DC.",NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"1243","2020-03-10 08:29:57-03","UFV","VIC","041926","PreservedSpecimen","Plantae",NA,NA,"Papilionoideae","Desmodium","Desmodium affine","Siqueira, L.C. de","646","2012","02","25",NA,"Brasil","Minas Gerais","Araponga","PESB, Estrada da portaria Fervedouro.Próximo a Sanitário.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,"Herbácea, inflorescência de cor rosa clara.","VIC041926","VIC041926","affine","Schltdl.",NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"1244","2020-03-10 08:28:00-03","UFV","VIC","037935","PreservedSpecimen","Plantae",NA,NA,"Caesalpinioideae","Senna","Senna multijuga","Siqueira, L.C. de","693","2012","04","24",NA,"Brasil","Minas Gerais","Araponga","PESB, Estrada depois de Estevão Araújo, próximo a beira de rio.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,"Árvore de cerca de 4 m, presença de muitas flores amarelas, pico de floração.","VIC037935","VIC037935","multijuga","(Rich.) H.S. Irwin & Barneby",NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"1245","2020-03-10 08:29:58-03","UFV","VIC","041720","PreservedSpecimen","Plantae",NA,NA,"Papilionoideae","Lablab","Lablab purpureus","Siqueira, L.C. de","623","2011","08","01",NA,"Brasil","Minas Gerais","Araponga","PESB, Estrada direção Araonga para portaria Araponga, na curva dos eucaliptos.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,"Trepadeira, casca de fruto com pintas pretas,semente marrom clara.","VIC041720","VIC041720","purpureus","(L.) Sweet",NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"1246","2020-03-10 08:27:58-03","UFV","VIC","037928","PreservedSpecimen","Plantae",NA,NA,"Caesalpinioideae","Senna","Senna macranthera","Siqueira, L.C. de","685","2012","03","16",NA,"Brasil","Minas Gerais","Araponga","PESB, Estrada direção Araponga/portaria Araponga lado direito.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,"Árvore de cerca de 4 m de altura, presença de flores amarelas.","VIC037928","VIC037928","macranthera","(Collad.) H. S. Irwin & Barneby",NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"1247","2020-03-10 08:28:00-03","UFV","VIC","037931","PreservedSpecimen","Plantae",NA,NA,"Caesalpinioideae","Senna","Senna multijuga","Siqueira, L.C. de; Araújo Silva, A.","640","2012","02","14",NA,"Brasil","Minas Gerais","Araponga","PESB, Estrada do parque direção Araponga/portaria Araponga lado esquerdo.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,"Árvore de cerca de 4 m, presença de fruto verde.","VIC037931","VIC037931","multijuga","(Rich.) H.S. Irwin & Barneby",NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"1248","2020-03-10 08:29:12-03","UFV","VIC","041862","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Albizia","Albizia polycephala","Siqueira, L.C. de; Daloz, J.R.","790","2012","12","18",NA,"Brasil","Minas Gerais","Araponga","PESB, Estrada em direção a fazenda do Brigadeiro.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,"Árvore de cerca de 18 m de altura, pico de floração, flores creme.","VIC041862","VIC041862","polycephala","(Benth.) Killip",NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"1249","2020-03-10 08:29:27-03","UFV","VIC","041957","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Piptadenia","Piptadenia micracantha","Siqueira, L.C. de; Batista, M.L.","689","2012","04","19",NA,"Brasil","Minas Gerais","Araponga","PESB, Estrada para Ervália.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,"Escandente, coleta realizada em barranco de flores vermelho escuro.","VIC041957","VIC041957","micracantha","Benth.",NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
