"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","infraspecificEpithet","individualCount","class"
"55","2019-11-06 09:56:16-03","UFOP","OUPR","23060","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Gossypium",NA,"Gossypium",NA,"Badini, J.","Badini, J.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Arbusto. Flores amarelas. Beira de estrada.",NA,NA,"1972","12","14401","auto","14",NA,NA,NA
"56","2019-11-06 09:56:16-03","UFOP","OUPR","23067","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Gossypium","barbadense","Gossypium barbadense","L.","Badini, J.","Badini, J.","s.n.","1969","03",NA,NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Arbusto. Flor amarela. Terreno cultivado.",NA,NA,"1969","03","14401","auto",NA,NA,NA,NA
"57","2019-11-06 09:55:48-03","UFOP","OUPR","14089","PreservedSpecimen","Plantae",NA,NA,"Heliconiaceae","Heliconia","spathocircinata","Heliconia spathocircinata","Aristeg.",NA,"Badini, J.; Silva, J.L.","s.n.","1971","12","27",NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Beira de corrego . Arbusto. Bracteas avermelhdas. Corola amarela esverdeada",NA,NA,"1986","01","14401","auto",NA,NA,NA,NA
"58","2019-11-06 09:56:14-03","UFOP","OUPR","24133","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","intermedia","Heteropterys intermedia","(A.Juss.) Griseb.","Peron, M.V.","Peron, M.V.; Silva, J.L.","s.n.","1987","02","13",NA,"Brasil","Minas Gerais","Acaiaca","Trevo","-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Arbusto escadente, flores amarelas, sem glândulas. Beira de córrego",NA,NA,"1987","02","14401","auto","13",NA,NA,NA
"59","2019-11-05 16:43:01-03","UFOP","OUPR","8056","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Himatanthus","lancifolius","Himatanthus lancifolius","(Müll.Arg.) Woodson",NA,"Badini, J.","s.n.","1972","11","09",NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Árvore, flores brancas. Mata.",NA,NA,NA,NA,"14401","auto",NA,NA,NA,NA
"60","2019-11-06 09:57:33-03","UFOP","OUPR",NA,"PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Hortia","brasiliana","Hortia brasiliana","Vand. ex DC.",NA,"Badini, J.; Zurlo, M.A.","s.n.","1974","04","19",NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Árvore, flores róseas com pelos brancos na parte interna da corola. Mata.",NA,NA,NA,NA,"14401","auto",NA,NA,NA,NA
"61","2019-11-06 09:55:32-03","UFOP","OUPR","19568","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Hymenaea","courbaril","Hymenaea courbaril","L.",NA,"Badini, J.","s.n.","1975","10","28",NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Árvore. Flores brancas. Beira de estrada.",NA,NA,NA,NA,"14401","auto",NA,NA,NA,NA
"62","2019-11-06 09:55:55-03","UFOP","OUPR","17656","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptidendron","asperrimum","Hyptidendron asperrimum","(Spreng.) Harley","Roschel, M.B.","Badini, J.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Árvore. Flores violáceas. Beira de estrada.",NA,NA,"2000","05","14401","auto",NA,NA,NA,NA
"63","2019-11-05 16:42:33-03","UFOP","OUPR","139","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Iresine","diffusa","Iresine diffusa","Humb. & Bonpl. ex Willd.",NA,"Badini, J.","s.n.","1973","11","15",NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Subarbusto escandente. Beira de rio.",NA,NA,NA,NA,"14401","auto",NA,NA,NA,NA
"64","2019-11-06 09:56:07-03","UFOP","OUPR","12835","PreservedSpecimen","Plantae",NA,NA,"Lygodiaceae","Lygodium","volubile","Lygodium volubile","Sw.","Badini, J.","Badini, J.","s.n.","1976","06","12",NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Trepadeira. Beira de estrada",NA,NA,"1976","06","14401","auto","26",NA,NA,NA
