"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","year","month","day","continentOcean","locality","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","typeStatus","relatedCatalogItem"
"457","2019-10-02 14:56:42-03","UFMG","BHCB","188018","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Melastomataceae","Cambessedesia","hilariana","Cambessedesia hilariana","(Kunth) DC.",NA,"2017","Meyer, PB; Brina, AE; Paula, NL de","Brasil","Minas Gerais","Itabira","-43.806525","-19.818367",NA,NA,"Erva terrícola com aproximadamente 40 cm. Corola amarela.Indivíduo isolado, População esparsa.; Campo Ruprestre sobre Quartzito",NA,"3012","2017","03","30","Southern America","Serra dos Alves","-43.806525","-19.818367",NA,"BHCB188018",NA,NA,NA,NA,"04","12",NA,NA
"458","2019-10-02 14:49:08-03","UFMG","BHCB","188011","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Asteraceae",NA,NA,NA,"Bercht. & J.Presl",NA,"2017","Meyer, PB; Brina, AE; Paula, NL de","Brasil","Minas Gerais","Itabira","-43.840911","-19.816836",NA,NA,"Arbusto com aproximadamente 1,3. Flores róseas. População isolada,pequena, com aproximadamente 3 indivíduos.; Campo Ruprestre sobre Quartzito",NA,"3005","2017","03","30","Southern America","Serra dos Alves","-43.840911","-19.816836",NA,"BHCB188011",NA,NA,NA,NA,"04","12",NA,NA
"459","2019-10-02 15:06:24-03","UFMG","BHCB","190138","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Cyperaceae","Cryptangium","minarum","Cryptangium minarum","(Nees) Boeckeler",NA,"2017","Meyer, PB","Brasil","Minas Gerais","Itabira","-43.800669","-19.793261",NA,NA,"Erva com aprox. 1,0 m. Flores castanhas. População isolada.; Campo Rupestre sobre Quartzito.",NA,"3082","2017","06","22","Southern America","Serra dos Alves","-43.800669","-19.793261",NA,"BHCB190138",NA,NA,"1243","1243","06","22",NA,NA
"460","2019-10-02 15:08:09-03","UFMG","BHCB","190129","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Poaceae","Apochloa","euprepes","Apochloa euprepes","(Renvoize) Zuloaga & Morrone",NA,"2017","Meyer, PB","Brasil","Minas Gerais","Itabira","-43.806103","-19.792711",NA,NA,"Erva. Inflorescências esverdeadas.; Campo Rupestre sobre Quartzito.",NA,"3073","2017","06","22","Southern America","Serra dos Alves","-43.806103","-19.792711",NA,"BHCB190129",NA,NA,"1290","1290","06","22",NA,NA
"461","2019-10-02 15:09:05-03","UFMG","BHCB","190139","PreservedSpecimen","Plantae","Polypodiopsida",NA,NA,"Polypodiaceae","Pleopeltis","minarum","Pleopeltis minarum","(Weath.) Salino",NA,"2017","Meyer, PB","Brasil","Minas Gerais","Itabira","-43.806103","-19.792711",NA,NA,"Erva com aprox. 0,4 m. População isolada.; Campo Rupestre sobre Quartzito.",NA,"3083","2017","06","22","Southern America","Serra dos Alves","-43.806103","-19.792711",NA,"BHCB190139",NA,NA,"1290","1290","06","22",NA,NA
"462","2020-03-16 20:33:00-03","UFMG","BHCB","195003","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Fabaceae","Aeschynomene",NA,"Aeschynomene",NA,NA,NA,"Paucar, JOA; Moura, IO; Siriani-Oliveira, S; Silva, APRO","Brasil","Minas Gerais","Itabira","-43.443889","-19.6",NA,NA,"Prensado em álcool. Disciplina Taxonomia de campo_2019; Trepadeira; Floresta Estacional Semidecidual.",NA,"186","2019","03","23","Southern America","Parque Estadual Mata do Limoeiro, Borda da trilha para a Cahoeira do Paredão","-43.443889","-19.6",NA,"BHCB195003",NA,NA,"591","591",NA,NA,NA,NA
"463","2019-10-02 15:01:06-03","UFMG","BHCB","188026","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Orobanchaceae","Agalinis","angustifolia","Agalinis angustifolia","(Mart.) D'Arcy",NA,"2017","Meyer, PB; Brina, AE; Paula, NL de","Brasil","Minas Gerais","Itabira","-43.824067","-19.825658",NA,NA,"Subarbusto, com aproximadamente 50 cm. Flores magenta.; Campo Ruprestre sobre Quartzito",NA,"3020","2017","03","30","Southern America","Serra dos Alves","-43.824067","-19.825658",NA,"BHCB188026",NA,NA,NA,NA,"04","12",NA,NA
"464","2019-10-02 15:01:06-03","UFMG","BHCB","197670","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Orobanchaceae","Agalinis",NA,"Agalinis",NA,NA,NA,"Ferreira, VL; Araujo, FF; Marques, GM; Moreira, VA","Brasil","Minas Gerais","Itabira","-43.992778","-19.548611",NA,NA,"Floresta estacional semidecidual.",NA,"204","2019","03","25","Southern America","Parque Estadual Mata do Limoeiro, Ipoema. Trilha da cachoeira do derrubado.","-43.992778","-19.548611",NA,"BHCB197670",NA,NA,"715","715",NA,NA,NA,NA
"465","2019-11-14 18:37:02-03","UFMG","BHCB","196862","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Orobanchaceae","Agalinis","angustifolia","Agalinis angustifolia","(Mart.) D'Arcy",NA,"2019","Vilas Boas, T; Magalhães, RA","Brasil","Minas Gerais","Itabira","-43.488528","-19.557278",NA,NA,"Campo Rupestre",NA,"168","2019","03","28","Southern America","Morro redondo, Distrito de Ipoema","-43.488528","-19.557278",NA,"BHCB196862",NA,NA,"1150","1150","06","20",NA,NA
"466","2019-10-02 15:01:06-03","UFMG","BHCB","197649","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Orobanchaceae","Agalinis","angustifolia","Agalinis angustifolia","(Mart.) D'Arcy",NA,NA,"Ferreira, VL; Araujo, FF; Marques, GM; Moreira, VA","Brasil","Minas Gerais","Itabira","-43.992778","-19.548611",NA,NA,"Floresta estacional semidecidual.",NA,"246","2019","03","25","Southern America","Parque Estadual Mata do Limoeiro, Ipoema. Trilha da cachoeira do derrubado.","-43.992778","-19.548611",NA,"BHCB197649",NA,NA,"715","715",NA,NA,NA,NA
"467","2019-10-02 14:52:44-03","UFMG","BHCB","195461","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Ericaceae","Agarista","coriifolia","Agarista coriifolia","(Thunb.) Hook. ex Nied.",NA,NA,"Quaresma, AS","Brasil","Minas Gerais","Itabira","-43.460833","-19.461389",NA,NA,"Campo rupestre quatzítico.",NA,"875","2017","06","20","Southern America","Serra dos Alves","-43.460833","-19.461389",NA,"BHCB195461",NA,NA,"98","101",NA,NA,NA,NA
"468","2019-10-02 14:52:44-03","UFMG","BHCB","195462","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Ericaceae","Agarista","coriifolia","Agarista coriifolia","(Thunb.) Hook. ex Nied.",NA,NA,"Quaresma, AS","Brasil","Minas Gerais","Itabira","-43.460833","-19.461389",NA,NA,"Campo rupestre quatzítico.",NA,"875","2017","06","20","Southern America","Serra dos Alves","-43.460833","-19.461389",NA,"BHCB195462",NA,NA,"98","101",NA,NA,NA,NA
"469","2019-11-14 18:36:40-03","UFMG","BHCB","196856","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Ericaceae","Agarista","coriifolia","Agarista coriifolia","(Thunb.) Hook. ex Nied.",NA,"2019","Vilas Boas, T; Salim, ISH; Magalhães, RA","Brasil","Minas Gerais","Itabira","-43.488528","-19.557278",NA,NA,"Campo Rupestre",NA,"165","2019","03","28","Southern America","Morro redondo, Distrito de Ipoema","-43.488528","-19.557278",NA,"BHCB196856",NA,NA,"1150","1150","06","20",NA,NA
"470","2019-10-02 14:52:44-03","UFMG","BHCB","197603","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Ericaceae","Agarista","glaberrima","Agarista glaberrima","(Sleumer) Judd",NA,NA,"Ferreira, VL; Araujo, FF; Marques, GM; Moreira, VA","Brasil","Minas Gerais","Itabira","-43.489167","-19.555",NA,NA,"Campo Rupestre",NA,"260","2019","03","28","Southern America","Serra dos Alves, Ipoema. Trilha Morro do redondo. Borda da estrada","-43.489167","-19.555",NA,"BHCB197603",NA,NA,"1162","1162",NA,NA,NA,NA
"471","2019-10-02 14:49:13-03","UFMG","BHCB","197574","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Asteraceae","Ageratum","fastigiatum","Ageratum fastigiatum","Benth.",NA,NA,"Ferreira, VL; Araujo, FF; Marques, GM; Moreira, VA","Brasil","Minas Gerais","Itabira","-43.488333","-19.556389",NA,NA,"Campo Rupestre",NA,"244","2019","03","28","Southern America","Serra dos Alves, Ipoema. Trilha Morro do redondo. Borda da estrada","-43.488333","-19.556389",NA,"BHCB197574",NA,NA,"1158","1158",NA,NA,NA,NA
"472","2019-10-02 14:49:15-03","UFMG","BHCB","190454","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Asteraceae","Aldama",NA,"Aldama",NA,NA,"2018","Quaresma, AS; Meyer, PB","Brasil","Minas Gerais","Itabira","-43.470747","-19.477722",NA,NA,"Campo rupestre quatzítico.",NA,"831","2017","06","21","Southern America","Serra dos Alves","-43.470747","-19.477722",NA,"BHCB190454",NA,NA,NA,NA,"08","22",NA,NA
"473","2019-11-14 18:37:03-03","UFMG","BHCB","196732","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Rubiaceae","Alibertia","edulis","Alibertia edulis","(Rich.) A.Rich.",NA,"2019","Magalhães, RA; Salim, ISH; Vilas Boas, T","Brasil","Minas Gerais","Itabira","-43.435361","-19.588333",NA,NA,"Área antropizada",NA,"90","2019","03","23","Southern America","Parque Estadual da Mata do Limoeiro, Distrito de Ipoema","-43.435361","-19.588333",NA,"BHCB196732",NA,NA,"650","650","06","20",NA,NA
"474","2019-11-14 18:37:03-03","UFMG","BHCB","196733","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Rubiaceae","Alibertia","edulis","Alibertia edulis","(Rich.) A.Rich.",NA,"2019","Magalhães, RA; Salim, ISH; Vilas Boas, T","Brasil","Minas Gerais","Itabira","-43.435611","-19.5875",NA,NA,"Área antropizada",NA,"92","2019","03","23","Southern America","Parque Estadual da Mata do Limoeiro, Distrito de Ipoema","-43.435611","-19.5875",NA,"BHCB196733",NA,NA,"650","650","06","20",NA,NA
"475","2020-01-28 18:42:55-03","UFMG","BHCB","185637","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Amaranthaceae","Alternanthera","brasiliana","Alternanthera brasiliana","(L.) Kuntze",NA,NA,"Tameirão Neto, E; Campos, RDL","Brasil","Minas Gerais","Itabira","-43.319672","-19.656647",NA,NA,"Floração.; Herbáceo, 0,2m alt. Flores brancas.; Solo encharcado. Floresta estacional semidecidual.",NA,"5544","2014","01","23","Southern America",NA,"-43.319672","-19.656647",NA,"BHCB185637","BHCB185637",NA,"883","883",NA,NA,NA,NA
"476","2020-01-28 18:42:55-03","UFMG","BHCB","196777","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Amaranthaceae",NA,NA,NA,"A.Juss.",NA,"2019","Vilas Boas, T; Salim, ISH; Magalhães, RA","Brasil","Minas Gerais","Itabira","-43.4385","-19.599417",NA,NA,"Mata Secundária.",NA,"85","2019","03","26","Southern America","Parque Estadual da Mata do Limoeiro, Distrito de Ipoema.","-43.4385","-19.599417",NA,"BHCB196777","BHCB196777",NA,"650","650","06","20",NA,NA
"477","2019-10-02 14:51:19-03","UFMG","BHCB","185687","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Bignoniaceae","Amphilophium","paniculatum","Amphilophium paniculatum","(L.) Kunth",NA,NA,"Tameirão Neto, E; Campos, RDL","Brasil","Minas Gerais","Itabira","-43.255483","-19.662475",NA,NA,"Escandente; Floração; Trilha da Adutora, flor branca; Floresta estacional semidecidual",NA,"5594","2014","01","27","Southern America",NA,"-43.255483","-19.662475",NA,"BHCB185687",NA,NA,NA,NA,NA,NA,NA,NA
"478","2020-03-16 20:34:11-03","UFMG","BHCB","195098","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Orchidaceae","Anathallis",NA,"Anathallis",NA,NA,NA,"Paucar, JOA; Siriani-Oliveira, S; Silva, APRO; Moura, IO","Brasil","Minas Gerais","Itabira","-43.470278","-19.490833",NA,NA,"Prensado em álcool. Disciplina Taxonomia de campo_2019; Trepadeira; Mata ripária",NA,"204","2019","03","27","Southern America","Serra dos Alves, Cachoeira dos Cristais","-43.470278","-19.490833",NA,"BHCB195098",NA,NA,"947","947",NA,NA,NA,NA
"479","2019-11-14 18:36:40-03","UFMG","BHCB","196720","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Fabaceae","Andira","ormosioides","Andira ormosioides","Benth.",NA,"2019","Vilas Boas, T; Salim, ISH; Magalhães, RA","Brasil","Minas Gerais","Itabira","-43.436528","-19.588056",NA,NA,"Mata Secundária",NA,"21","2019","03","23","Southern America","Parque Estadual da Mata do Limoeiro, Distrito de Ipoema","-43.436528","-19.588056",NA,"BHCB196720",NA,NA,"650","650","06","20",NA,NA
"480","2020-02-07 18:36:32-03","UFMG","BHCB","73663","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Poaceae","Andropogon","leucostachyus","Andropogon leucostachyus","Kunth",NA,NA,"Oliveira, AM; Stehmann, JR; Viana, PL","Brasil","Minas Gerais","Itabira","-43.260167","-19.647833",NA,NA,"Erva ruderal.",NA,"78","2002","06","28","Southern America","Corrêa - CVRD.","-43.260167","-19.647833",NA,NA,NA,NA,"3012","3012",NA,NA,NA,NA
"481","2019-10-02 14:55:18-03","UFMG","BHCB","185716","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Lauraceae","Aniba","firmula","Aniba firmula","(Nees & Mart.) Mez",NA,"2016","Vidal, CV; Vasconcelos, FB","Brasil","Minas Gerais","Itabira","-43.261406","-19.612928",NA,NA,"Arbóreo; Frutificação; Fruto verde, altura 6m; Floresta estacional semidecidual",NA,"1235","2014","04","26","Southern America",NA,"-43.261406","-19.612928",NA,"BHCB185716",NA,NA,NA,NA,"02","12",NA,NA
"482","2019-11-14 18:36:02-03","UFMG","BHCB","196716","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Annonaceae","Annona","dolabripetala","Annona dolabripetala","Raddi",NA,"2019","Vilas Boas, T; Salim, ISH; Magalhães, RA","Brasil","Minas Gerais","Itabira","-43.437083","-19.587889",NA,NA,"Mata Secundária",NA,"20","2019","03","23","Southern America","Parque Estadual da Mata do Limoeiro, Distrito de Ipoema","-43.437083","-19.587889",NA,"BHCB196716",NA,NA,"650","650","06","20",NA,NA
"483","2019-11-14 18:37:40-03","UFMG","BHCB","196745","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Araceae","Anthurium","intermedium","Anthurium intermedium","Kunth",NA,"2019","Magalhães, RA; Salim, ISH; Vilas Boas, T","Brasil","Minas Gerais","Itabira","-43.45125","-19.585083",NA,NA,"Inflorescencia não estava em antese, espata verde, espadice vinaceo, pedunculo verde para rosaceo; Mata Secundária",NA,"93","2019","03","24","Southern America","Parque Estadual da Mata do Limoeiro, Distrito de Ipoema","-43.45125","-19.585083",NA,"BHCB196745",NA,NA,"650","650","06","20",NA,NA
"484","2019-11-14 18:37:40-03","UFMG","BHCB","196848","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Araceae","Anthurium","minarum","Anthurium minarum","Sakur. & Mayo",NA,"2019","Vilas Boas, T; Magalhães, RA","Brasil","Minas Gerais","Itabira","-43.488306","-19.554667",NA,NA,"Cerrado rupestre",NA,"151","2019","03","28","Southern America","Morro redondo, Distrito de Ipoema","-43.488306","-19.554667",NA,"BHCB196848",NA,NA,"1150","1150","06","20",NA,NA
"485","2019-10-02 14:48:01-03","UFMG","BHCB","185736","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Acanthaceae","Aphelandra","longiflora","Aphelandra longiflora","Lindl.",NA,NA,"Barros, AM; Souza, DT","Brasil","Minas Gerais","Itabira","-43.314364","-19.670208",NA,NA,"Arbustivo/Subarbustivo; Floração; Subbosque de floresta, flores vermelhas, altura 0,8m; Floresta estacional semidecidual",NA,"s.n.","2014","06","27","Southern America",NA,"-43.314364","-19.670208",NA,"BHCB185736",NA,NA,NA,NA,NA,NA,NA,NA
"486","2019-10-02 15:08:09-03","UFMG","BHCB","190127","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Poaceae","Apochloa","chnoodes","Apochloa chnoodes","(Trin.) Zuloaga & Morrone",NA,"2017","Meyer, PB","Brasil","Minas Gerais","Itabira","-43.806103","-19.792711",NA,NA,"Erva. Inflorescências arroxeadas.; Campo Rupestre sobre Quartzito.",NA,"3071","2017","06","22","Southern America","Serra dos Alves","-43.806103","-19.792711",NA,"BHCB190127",NA,NA,"1290","1290","06","22",NA,NA
"487","2019-10-02 15:08:09-03","UFMG","BHCB","190128","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Poaceae","Apochloa","euprepes","Apochloa euprepes","(Renvoize) Zuloaga & Morrone",NA,"2017","Meyer, PB","Brasil","Minas Gerais","Itabira","-43.806103","-19.792711",NA,NA,"Erva. Inflorescências esverdeadas.; Campo Rupestre sobre Quartzito.",NA,"3072","2017","06","22","Southern America","Serra dos Alves","-43.806103","-19.792711",NA,"BHCB190128",NA,NA,"1290","1290","06","22",NA,NA
"488","2020-02-07 18:36:32-03","UFMG","BHCB","73669","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Poaceae","Aristida","setifolia","Aristida setifolia","Kunth",NA,NA,"Oliveira, AM; Stehmann, JR; Viana, PL","Brasil","Minas Gerais","Itabira","-43.260167","-19.647833",NA,NA,"Erva ruderal.",NA,"84","2002","06","28","Southern America","Corrêa - CVRD.","-43.260167","-19.647833",NA,NA,NA,NA,"3012","3012",NA,NA,NA,NA
"489","2019-11-14 18:36:02-03","UFMG","BHCB","196849","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Aristolochiaceae","Aristolochia","marianensis","Aristolochia marianensis","Ahumada",NA,"2019","Vilas Boas, T; Magalhães, RA","Brasil","Minas Gerais","Itabira","-43.486444","-19.556583",NA,NA,"Campo Rupestre",NA,"142","2019","03","28","Southern America","Morro redondo, Distrito de Ipoema","-43.486444","-19.556583",NA,"BHCB196849",NA,NA,"1150","1150","06","20",NA,NA
"490","2019-10-02 14:49:05-03","UFMG","BHCB","197573","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Aristolochiaceae","Aristolochia","smilacina","Aristolochia smilacina","(Klotzsch) Duch.",NA,NA,"Ferreira, VL; Araujo, FF; Marques, GM; Moreira, VA","Brasil","Minas Gerais","Itabira","-43.489167","-19.556389",NA,NA,"Campo Rupestre",NA,"230","2019","03","28","Southern America","Serra dos Alves, Ipoema. Trilha Morro do redondo. Trilha da Igreja","-43.489167","-19.556389",NA,"BHCB197573",NA,NA,"1134","1134",NA,NA,NA,NA
"491","2020-03-16 20:32:59-03","UFMG","BHCB","194988","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Bignoniaceae","Arrabidaea",NA,"Arrabidaea","DC.",NA,NA,"Paucar, JOA; Moura, IO; Siriani-Oliveira, S; Silva, APRO","Brasil","Minas Gerais","Itabira","-43.447222","-19.587778",NA,NA,"Prensado em álcool. Disciplina Taxonomia de campo_2019; Trepadeira, Gavinha não ramificada, inflorescência em tirso; Floresta Estacional Semidecidual.",NA,"171","2019","03","23","Southern America","Parque Estadual Mata do Limoeiro, Borda da trilha para a Cahoeira do Paredão","-43.447222","-19.587778",NA,"BHCB194988",NA,NA,"638","638",NA,NA,NA,NA
"492","2019-10-02 14:49:15-03","UFMG","BHCB","186163","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Asteraceae","Aspilia",NA,"Aspilia","Thouars",NA,NA,"Gontijo, FD","Brasil","Minas Gerais","Itabira","-43.240528","-19.548642",NA,NA,"Arbustivo/Subarbustivo; Floração; Flores amarelas. Altura 1,2m. Sobre rocha (afloramento).; Afloramento rochoso gnaisse",NA,"534","2014","11","19","Southern America",NA,"-43.240528","-19.548642",NA,"BHCB186163",NA,NA,NA,NA,NA,NA,NA,NA
"493","2019-12-23 17:48:52-03","UFMG","BHCB","196779","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Asteraceae",NA,NA,NA,"Bercht. & J.Presl",NA,"2019","Vilas Boas, T; Magalhães, RA","Brasil","Minas Gerais","Itabira","-43.436667","-19.600389",NA,NA,"Área antropizada",NA,"69","2019","03","26","Southern America","Parque Estadual da Mata do Limoeiro, Distrito de Ipoema","-43.436667","-19.600389",NA,"BHCB196779",NA,NA,"650","650","06","20",NA,NA
"494","2019-12-23 17:48:52-03","UFMG","BHCB","196819","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Asteraceae",NA,NA,NA,"Bercht. & J.Presl",NA,"2019","Vilas Boas, T; Salim, ISH; Magalhães, RA","Brasil","Minas Gerais","Itabira","-43.460778","-19.498694",NA,NA,"Área antropizada",NA,"100","2019","03","27","Southern America","Serra dos Alves, Distrito de Senhora do Carmo","-43.460778","-19.498694",NA,"BHCB196819",NA,NA,"780","780","06","20",NA,NA
"495","2020-03-16 20:34:12-03","UFMG","BHCB","195031","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Poaceae","Aulonemia",NA,"Aulonemia",NA,NA,"2019","Silva, APRO; Paucar, JOA; Siriani-Oliveira, S; Moura, IO","Brasil","Minas Gerais","Itabira","-43.454722","-19.587222",NA,NA,"Prensado em álcool. Disciplina Taxonomia de campo_2019; Herbácea; Candeial",NA,"2","2019","03","25","Southern America","Parque Estadual Mata do Limoeiro, Borda da trilha para a cachoeira do Derrubado e Gruta do Limoeiro","-43.454722","-19.587222",NA,"BHCB195031",NA,NA,"638","638","03","25",NA,NA
"496","2020-03-16 20:34:12-03","UFMG","BHCB","195050","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Poaceae","Aulonemia",NA,"Aulonemia",NA,NA,"2019","Silva, APRO; Paucar, JOA; Siriani-Oliveira, S; Moura, IO","Brasil","Minas Gerais","Itabira","-43.459167","-19.586111",NA,NA,"Prensado em álcool. Disciplina Taxonomia de campo_2019; Herbácea; Cerrado rupestre",NA,"21","2019","03","25","Southern America","Parque Estadual Mata do Limoeiro, Borda da trilha para a cachoeira do Derrubado e Gruta do Limoeiro","-43.459167","-19.586111",NA,"BHCB195050",NA,NA,"645","645","03","25",NA,NA
"497","2019-12-23 17:48:52-03","UFMG","BHCB","196778","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Asteraceae","Baccharis",NA,"Baccharis","L.",NA,"2019","Vilas Boas, T; Salim, ISH; Magalhães, RA","Brasil","Minas Gerais","Itabira","-43.436444","-19.6005",NA,NA,"Área antropizada",NA,"66","2019","03","26","Southern America","Parque Estadual da Mata do Limoeiro, Distrito de Ipoema","-43.436444","-19.6005",NA,"BHCB196778",NA,NA,"650","650","06","20",NA,NA
"498","2019-10-02 14:49:21-03","UFMG","BHCB","197575","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Asteraceae","Baccharis",NA,"Baccharis","L.",NA,NA,"Ferreira, VL; Araujo, FF; Marques, GM; Moreira, VA","Brasil","Minas Gerais","Itabira","-43.486389","-19.556944",NA,NA,"Campo Rupestre",NA,"378","2019","03","28","Southern America","Serra dos Alves, Ipoema. Trilha Morro do redondo. Trilha da Igreja","-43.486389","-19.556944",NA,"BHCB197575",NA,NA,"1156","1156",NA,NA,NA,NA
"499","2019-10-02 14:49:21-03","UFMG","BHCB","190444","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Asteraceae","Baccharis","calvescens","Baccharis calvescens","DC.",NA,"2019","Quaresma, AS; Meyer, PB","Brasil","Minas Gerais","Itabira","-43.470747","-19.477722",NA,NA,"Campo rupestre quatzítico.",NA,"819","2017","06","21","Southern America","Serra dos Alves","-43.470747","-19.477722",NA,"BHCB190444",NA,NA,NA,NA,"06","19",NA,NA
"500","2019-10-02 14:49:26-03","UFMG","BHCB","195444","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Asteraceae","Baccharis","minutiflora","Baccharis minutiflora","Mart.",NA,NA,"Quaresma, AS","Brasil","Minas Gerais","Itabira","-43.478056","-19.469167",NA,NA,"Campo rupestre quatzítico.",NA,"860","2017","06","22","Southern America","Serra dos Alves","-43.478056","-19.469167",NA,"BHCB195444",NA,NA,"122","128",NA,NA,NA,NA
"501","2019-10-02 14:49:26-03","UFMG","BHCB","197577","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Asteraceae","Baccharis","myricifolia","Baccharis myricifolia","DC.",NA,NA,"Ferreira, VL; Araujo, FF; Marques, GM; Moreira, VA","Brasil","Minas Gerais","Itabira","-43.486389","-19.556944",NA,NA,"Campo Rupestre",NA,"390","2019","03","28","Southern America","Serra dos Alves, Ipoema. Trilha Morro do redondo. Borda da estrada","-43.486389","-19.556944",NA,"BHCB197577",NA,NA,"1156","1156",NA,NA,NA,NA
"502","2019-10-02 14:49:27-03","UFMG","BHCB","195445","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Asteraceae","Baccharis","platypoda","Baccharis platypoda","DC.",NA,NA,"Quaresma, AS","Brasil","Minas Gerais","Itabira","-43.460833","-19.461389",NA,NA,"Campo rupestre quatzítico.",NA,"862","2017","06","20","Southern America","Serra dos Alves","-43.460833","-19.461389",NA,"BHCB195445",NA,NA,"98","101",NA,NA,NA,NA
"503","2019-10-02 14:49:27-03","UFMG","BHCB","195446","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Asteraceae","Baccharis","platypoda","Baccharis platypoda","DC.",NA,NA,"Quaresma, AS","Brasil","Minas Gerais","Itabira","-43.478056","-19.469167",NA,NA,"Campo rupestre quatzítico.",NA,"861","2017","06","22","Southern America","Serra dos Alves","-43.478056","-19.469167",NA,"BHCB195446",NA,NA,"122","128",NA,NA,NA,NA
"504","2019-10-02 14:49:27-03","UFMG","BHCB","197580","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Asteraceae","Baccharis","platypoda","Baccharis platypoda","DC.",NA,NA,"Ferreira, VL; Araujo, FF; Marques, GM; Moreira, VA","Brasil","Minas Gerais","Itabira","-43.467222","-19.492222",NA,NA,"Campo Rupestre",NA,"233","2019","03","28","Southern America","Serra dos Alves, Ipoema. Trilha Morro do redondo. Trilha da Igreja","-43.467222","-19.492222",NA,"BHCB197580",NA,NA,"640","640",NA,NA,NA,NA
"505","2019-10-02 14:49:29-03","UFMG","BHCB","190445","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Asteraceae","Baccharis","reticularia","Baccharis reticularia","DC.",NA,"2019","Quaresma, AS; Meyer, PB","Brasil","Minas Gerais","Itabira","-43.470747","-19.477722",NA,NA,"Campo rupestre quatzítico.",NA,"820","2017","06","21","Southern America","Serra dos Alves","-43.470747","-19.477722",NA,"BHCB190445",NA,NA,NA,NA,"03","19",NA,NA
"506","2019-10-02 14:49:29-03","UFMG","BHCB","73671","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Asteraceae","Baccharis","retusa","Baccharis retusa","DC.",NA,"2011","Oliveira, AM; Stehmann, JR; Viana, PL","Brasil","Minas Gerais","Itabira","-43.260278","-19.648056",NA,NA,"Plantas do Brasil. Arbusto. Flores creme.; Arbusto com flores creme.",NA,"86","2002","06","28","Southern America","Corrêa - CVRD.","-43.260278","-19.648056",NA,"BHCB009427",NA,NA,"3012","3012","06","27",NA,NA
