"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","year","month","day","continentOcean","locality","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","typeStatus","relatedCatalogItem"
"1542","2019-11-07 11:18:55-03","UFMG","BHCB-SL","101206","PreservedSpecimen","Plantae",NA,NA,NA,"Polypodiaceae","Pleopeltis","astrolepis","Pleopeltis astrolepis","(Liebm.) E.Fourn.","Almeida, TE","2006","Almeida, TE; Souza, DT","Brasil","Minas Gerais","Itabira","-43.492889","-19.578778",NA,NA,"Epífita a 2m de altura, em mata ciliar",NA,"296","2006","08","02","América","Serra da Cachoeira Alta, Distrito de Ipoema. Floresta Estacional Semidecidual Montana e Matas de Galeria.","-43.492889","-19.578778",NA,NA,NA,NA,"916","916","08",NA,NA,NA
"1543","2020-03-04 20:43:34-03","UFMG","BHCB-SL","197560","PreservedSpecimen","Plantae",NA,NA,NA,"Polypodiaceae","Pleopeltis","astrolepis","Pleopeltis astrolepis","(Liebm.) E.Fourn.","Salino, A; Salino, A","2019","Ferreira, VL; Araujo, FF; Marques, GM; Moreira, VA","Brasil","Minas Gerais","Itabira",NA,"-19.928056",NA,NA,"Trepadeira; Floresta estacional semidecidual.",NA,"218","2019","03","23","América","Parque Estadual Mata do Limoeiro, Ipoema. Trilha da cachoeira do derrubado. Coletada no barranco.","-43588","-19.928056",NA,"BHCB197560",NA,NA,"733","733","05",NA,NA,NA
"1544","2019-11-07 11:18:59-03","UFMG","BHCB-SL","101218","PreservedSpecimen","Plantae",NA,NA,NA,"Polypodiaceae","Pleopeltis","hirsutissima","Pleopeltis hirsutissima","(Raddi) de la Sota","Salino, A","2010","Almeida, TE; Souza, DT","Brasil","Minas Gerais","Itabira","-43.492889","-19.578778",NA,NA,"Terrestre em borda de mata",NA,"308","2006","08","02","América","Serra da Cachoeira Alta, Distrito de Ipoema. Floresta Estacional Semidecidual Montana e Matas de Galeria.","-43.492889","-19.578778",NA,NA,NA,NA,"916","916","08",NA,NA,NA
"1545","2020-03-04 20:43:34-03","UFMG","BHCB-SL","197561","PreservedSpecimen","Plantae",NA,NA,NA,"Polypodiaceae","Pleopeltis","hirsutissima","Pleopeltis hirsutissima","(Raddi) de la Sota","Salino, A",NA,"Moreira, VA; Araujo, FF; Marques, GM; Ferreira, VL","Brasil","Minas Gerais","Itabira","-43.465278","-19.493611",NA,NA,"Borda da trilha; Floresta estacional semidecidual.",NA,"74","2019","03","27","América","Serra dos Alves, Ipoema. Trilha dos Cristais.","-43.465278","-19.493611",NA,"BHCB197561",NA,NA,"889","889",NA,NA,NA,NA
"1546","2019-12-19 16:20:48-03","UFMG","BHCB-SL","196757","PreservedSpecimen","Plantae",NA,NA,NA,"Dryopteridaceae","Polybotrya","speciosa","Polybotrya speciosa","Schott","Salino, A",NA,"Vilas Boas, T; Salim, ISH; Magalhães, RA","Brasil","Minas Gerais","Itabira","-43.460222","-19.587806",NA,NA,"Cerrado rupestre",NA,"46","2019","03","25","América","Parque Estadual da Mata do Limoeiro, Distrito de Ipoema","-43.460222","-19.587806",NA,"BHCB196757",NA,NA,NA,NA,NA,NA,NA,NA
"1547","2019-12-19 16:20:56-03","UFMG","BHCB-SL","196767","PreservedSpecimen","Plantae",NA,NA,NA,"Pteridaceae",NA,NA,NA,NA,"Salino, A; Salino, A","2019","Vilas Boas, T; Magalhães, RA","Brasil","Minas Gerais","Itabira","-43.460222","-19.587806",NA,NA,"Mata Secundária",NA,"37","2019","03","25","América","Parque Estadual da Mata do Limoeiro, Distrito de Ipoema","-43.460222","-19.587806",NA,"BHCB196767",NA,NA,"650","650","06","20",NA,NA
"1548","2019-11-07 11:20:13-03","UFMG","BHCB-SL","101202","PreservedSpecimen","Plantae",NA,NA,NA,"Pteridaceae","Pteris","plumula","Pteris plumula","Desv.","Viana, PL; Salino, A","2006","Almeida, TE; Souza, DT","Brasil","Minas Gerais","Itabira","-43.492972","-19.578778",NA,NA,"Terrestre, próximo ao poço da Cachoeira Alta",NA,"292","2006","08","02","América","Distrito de Ipoema. Serra da Cachoeira Alta.","-43.492972","-19.578778",NA,NA,NA,NA,"916","916","10",NA,NA,NA
"1549","2019-12-19 16:21:03-03","UFMG","BHCB-SL","196773","PreservedSpecimen","Plantae",NA,NA,NA,"Selaginellaceae","Selaginella",NA,"Selaginella","L.A.Góes","Salino, A",NA,"Vilas Boas, T; Magalhães, RA","Brasil","Minas Gerais","Itabira","-43.460222","-19.587806",NA,NA,"Mata Secundária",NA,"39","2019","03","25","América","Parque Estadual da Mata do Limoeiro, Distrito de Ipoema","-43.460222","-19.587806",NA,"BHCB196773",NA,NA,"650","650",NA,NA,NA,NA
"1550","2019-12-19 16:21:03-03","UFMG","BHCB-SL","198025","PreservedSpecimen","Plantae",NA,NA,NA,"Selaginellaceae","Selaginella","flexuosa","Selaginella flexuosa","Spring","Salino, A",NA,"Moura, IO; Paucar, JOA; Siriani-Oliveira, S; Silva, APRO","Brasil","Minas Gerais","Itabira","-43.454167","-19.585833",NA,NA,"Rupícola. Zona rupícola. Prensado em álcool. Disciplina Taxonomia de Campo_2019.",NA,"275","2019","03","24","América","Parque Estadual da Mata do Limoeiro, Paredão rochoso na beira do rio.","-43.454167","-19.585833",NA,"BHCB195025",NA,NA,"608","608",NA,NA,NA,NA
"1551","2019-11-07 11:20:38-03","UFMG","BHCB-SL","101216","PreservedSpecimen","Plantae",NA,NA,NA,"Selaginellaceae","Selaginella","marginata","Selaginella marginata","(Humb. & Bonpl. ex Willd.) Spring","Heringer, G","2011","Almeida, TE; Souza, DT","Brasil","Minas Gerais","Itabira","-43.492889","-19.578778",NA,NA,"Rupícola e terrestre, em borda de mata, próximo ao poço da Cachoeira Alta",NA,"306","2006",NA,NA,"América","Distrito de Ipoema., Serra da Cachoeira Alta. Floresta Estacional Semidecidual Montana e Matas de Galeria.","-43.492889","-19.578778",NA,NA,NA,NA,"91","91","02",NA,NA,NA
"1552","2019-12-19 16:21:03-03","UFMG","BHCB-SL","196772","PreservedSpecimen","Plantae",NA,NA,NA,"Selaginellaceae","Selaginella","marginata","Selaginella marginata","(Humb. & Bonpl. ex Willd.) Spring","Salino, A",NA,"Vilas Boas, T; Salim, ISH; Magalhães, RA","Brasil","Minas Gerais","Itabira","-43.460222","-19.587806",NA,NA,"Mata Secundária",NA,"28","2019","03","25","América","Parque Estadual da Mata do Limoeiro, Distrito de Ipoema","-43.460222","-19.587806",NA,"BHCB196772",NA,NA,"650","650",NA,NA,NA,NA
"1553","2019-12-19 16:21:03-03","UFMG","BHCB-SL","196774","PreservedSpecimen","Plantae",NA,NA,NA,"Selaginellaceae","Selaginella","vestiens","Selaginella vestiens","Baker","Salino, A; Salino, A","2019","Vilas Boas, T; Salim, ISH","Brasil","Minas Gerais","Itabira","-43.460222","-19.587806",NA,NA,"Mata Secundária",NA,"51","2019","03","25","América","Parque Estadual da Mata do Limoeiro, Distrito de Ipoema","-43.460222","-19.587806",NA,"BHCB196774",NA,NA,"650","650","06","20",NA,NA
