"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","identifiedBy","recordNumber","year","month","day","barcode","yearIdentified","imagecode","locality","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","infraspecificEpithet","continentOcean"
"58","2020-03-10 08:28:12-03","UFV","VIC","11769","PreservedSpecimen","Plantae",NA,NA,NA,"Cruciferae",NA,NA,NA,NA,"Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Erva comestível de flores brancas.","auto",NA,"177","1992","09","10","VIC011769",NA,"VIC011769","Vila Belchior",NA,NA,NA,NA,NA,NA
"59","2020-03-10 08:30:07-03","UFV","VIC","11615","PreservedSpecimen","Plantae",NA,NA,NA,"Phytolaccaceae","Phytolacca","thyrsiflora","Phytolacca thyrsiflora","Fenzl","Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Arbusto de 1,5 m, flores vinosos.","auto",NA,"354","1992","08","03","VIC011615",NA,"VIC011615","Vila Belchior",NA,NA,NA,NA,NA,NA
"60","2020-03-10 08:29:32-03","UFV","VIC","12158","PreservedSpecimen","Plantae",NA,NA,NA,"Moraceae","Dorstenia","arifolia","Dorstenia arifolia","Lam.","Carvalho, A. .F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Erva até 60cm, base das folhas roxas, raízes finas.","auto",NA,"257","1992","11","24","VIC012158",NA,"VIC012158","Vila Belchior",NA,NA,NA,NA,NA,NA
"61","2020-03-10 08:28:28-03","UFV","VIC","12155","PreservedSpecimen","Plantae",NA,NA,NA,"Euphorbiaceae","Croton",NA,"Croton","L.","Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Arbusto com cerca de 10 cm de altura. Folhas aromáticas, flores brancas.","auto",NA,"254","1992","11","24","VIC012155",NA,"VIC012155","Vila Belchior",NA,NA,NA,NA,NA,NA
"62","2020-03-10 08:29:10-03","UFV","VIC","12156","PreservedSpecimen","Plantae",NA,NA,NA,"Menispermaceae",NA,NA,NA,NA,"Carvalho A.F.;","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Cipó sem folha flores amarelas","auto",NA,"255","1992","11","24","VIC012156",NA,"VIC012156","Vila Belchior",NA,NA,NA,NA,NA,NA
"63","2020-03-10 08:26:43-03","UFV","VIC","012160","PreservedSpecimen","Plantae",NA,NA,NA,"Amaryllidaceae","Griffinia","espiritensis","Griffinia espiritensis","Ravenna.","Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Erva de cerca de 30 cm ,flores lilases, um bulbo semelhante a cebola.","auto","Amaral, R.N.","259","1992","11","24","VIC012160","2018","VIC012160","Vila Belchior",NA,NA,"04","05",NA,NA
"64","2020-03-10 08:29:50-03","UFV","VIC","12159","PreservedSpecimen","Plantae",NA,NA,NA,"Oxalidaceae","Oxalis",NA,"Oxalis",NA,"Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Erva de 30 cm a 1 m , flores amarelas, lugar sombreado.","auto",NA,"258","1992","11","24","VIC012159",NA,"VIC012159","Vila Belchior",NA,NA,NA,NA,NA,NA
"65","2019-08-27 13:28:30-03","IAP","PACA-AGP","102806","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Caryophyllales","Amaranthaceae","Hebanthe","eriantha","Hebanthe eriantha","(Poir.) Pedersen","C.F. Andre","Brasil","MG","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Flores brancas a creme;&nf;Herbário VIC, Voçosa, Br, número: 23720 Habitat: sub-bosque Hábito: Cipó","auto","M.S. Marchioretto","635","1999","08","15","PACA102806",NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","2019-11-21 14:48:34-03","UFJF","CESJ","33978","PreservedSpecimen","Plantae","Angiosperma",NA,NA,"Verbenaceae","Stachytarpheta","cayennensis","Stachytarpheta cayennensis","(Rich.) Vahl","A.F. Carvalho","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,NA,"auto","S.C.Ferreira","179","1992","09","10","CESJ033978","2001",NA,"Erva, ca. 60 cm alt., flores roxas.",NA,NA,"11",NA,NA,"América do Sul"
"67","2019-08-20 10:14:09-03","UNICAMP","UEC","203518","S","Plantae","Magnoliopsida",NA,NA,"Fabaceae","Machaerium","villosum","Machaerium villosum","Vogel","Salino, A","Brazil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"flor, Árvore de 7m de alt., folhas cartáceas, inflorescência marrom.; Floresta Ciliar","auto",NA,"3920","1998","02","03","UEC190342",NA,"UEC190342","Granada, área de inundação da usina Hidreletrica de Granada, às margens do Rio Mátipo",NA,NA,NA,NA,NA,NA
"68","2019-08-20 10:12:07-03","UNICAMP","UEC","140259","S","Plantae","Magnoliopsida",NA,NA,"Fabaceae","Apuleia","leiocarpa","Apuleia leiocarpa","(Vogel) J.F.Macbr.","Salino, A","Brazil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"fruto, Árvore de 8m de altura, folhas cartáceas, fruto maduro castanho escuro. BHCB 40578","auto",NA,"3922","1998","02","03","UEC023511",NA,NA,"Granada, Área de inundação da Usina Hidroelétrica de Granada, ás margens do Rio Mápito",NA,NA,NA,NA,NA,NA
"69","2019-08-20 10:13:01-03","UNICAMP","UEC","156341","S","Plantae","Magnoliopsida",NA,NA,"Fabaceae","Crotalaria","longirostrata","Crotalaria longirostrata","Hook. & Arn.","Carvalho, AF","Brazil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Planta de +- 2,0 m de altura, sementes vindas da Austrália. Comestível. Flores amarelas.","auto","Flores, A","34","1992","08","03","UEC062049","2005","UEC062049","Rua José de Oliveira, casa nº 32",NA,NA,NA,NA,NA,NA
"70","2019-12-06 14:44:21-03","MBM","MBM","274639","S","Plantae",NA,NA,NA,"Euphorbiaceae","Bia","sellowiana","Bia sellowiana","Klotzsch","Salino, A.","Brazil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Trepadeira com tricomas urticantes, com folhas cartáceas, flores creme, frutos imaturos verdes, cobertos por tricomas urticantes. Floresta ciliar","auto","Cordeiro, I.","4126","1998","03","28","MBM274639","2009","MBM274639","Área de inundação da Usina Hidrelétrica de Granada, ás margens do Rio Matipó.",NA,NA,"04",NA,NA,"Southern America"
"71","2019-12-06 14:27:55-03","MBM","MBM","276902","S","Plantae",NA,NA,NA,"Araceae","Monstera","adansonii","Monstera adansonii","Schott","Motta, R.C.","Brazil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,NA,"auto","Gonçalves, E.G.","1579","2002","06","05","MBM276902",NA,"MBM276902","Granada",NA,NA,NA,NA,NA,"Southern America"
"72","2019-12-06 15:08:20-03","MBM","MBM","227916","S","Plantae",NA,NA,NA,"Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","Salino, A.","Brazil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,NA,"auto","Kawasaki, M.L.","3921","1998","02","03","MBM227916",NA,"MBM227916","Granada",NA,NA,NA,NA,NA,"Southern America"
"73","2019-12-06 14:28:03-03","MBM","MBM","276904","S","Plantae",NA,NA,NA,"Araceae","Philodendron","speciosum","Philodendron speciosum","Schott","Mota, R.C.","Brazil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,NA,"auto","Gonçalves, E.G.","1580","2002","06","05","MBM276904",NA,"MBM276904","Granada",NA,NA,NA,NA,NA,"Southern America"
"74","2019-12-06 14:35:48-03","MBM","MBM","233829","S","Plantae",NA,NA,NA,"Bignoniaceae","Lundia","corymbifera","Lundia corymbifera","(Vahl) Sandw.","Salino, A.","Brazil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,NA,"auto","Lohmann, L.G.","3925","1998","02","03","MBM233829",NA,"MBM233829","Rio Mátipo",NA,NA,NA,NA,NA,"Southern America"
"75","2019-12-06 14:35:35-03","MBM","MBM","233835","S","Plantae",NA,NA,NA,"Bignoniaceae","Arrabidaea","poeppigii","Arrabidaea poeppigii","(DC.) Sandw.","Salino, A.","Brazil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,NA,"auto","Lohmann, L.G.","3926","1998","02","03","MBM233835",NA,"MBM233835","Rio Matipo",NA,NA,NA,NA,NA,"Southern America"
"76","2019-12-06 14:35:35-03","MBM","MBM","233837","S","Plantae",NA,NA,NA,"Bignoniaceae","Arrabidaea","pubescens","Arrabidaea pubescens","(L.) A. Gentry","Salino, A.","Brazil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,NA,"auto","Lohmann, L.G.","3927","1998","02","03","MBM233837",NA,"MBM233837","Rio Mátipo",NA,NA,NA,NA,NA,"Southern America"
"77","2019-12-06 14:42:32-03","MBM","MBM","255723","S","Plantae",NA,NA,NA,"Dioscoreaceae","Dioscorea","laxiflora","Dioscorea laxiflora","Mart.","Carmo, M.","Brazil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,NA,"auto","Kirizawa, M.; et al.","s.n.","1940","05","29","MBM255723",NA,"MBM255723","Vermelho Velho",NA,NA,NA,NA,NA,"Southern America"
