"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","day","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","individualCount","typeStatus"
"21","2020-02-13 14:13:23-03","MN","R","42490","S","Plantae",NA,NA,"Salicaceae",NA,NA,NA,NA,NA,NA,"Vidal, J.","I 170","1944","07",NA,"Brasil","Minas Gerais","Alto Rio Dôce",NA,"-43.4113998413086","-21.0258007049561",NA,NA,"855","855",NA,NA,NA,NA,NA,NA,"18968","auto",NA,NA,NA,NA,NA
"22","2020-02-13 14:08:17-03","MN","R","230427","S","Plantae",NA,NA,"Cannaceae","Canna","paniculata",NA,"Canna paniculata","Ruiz & Pav.","Lourenço, A.R.","Lourenço, A.R.","18 107 Pavan, D.","2016","04",NA,"Brasil","Minas Gerais","Rio Doce","BR 120, ponte sobre o Rio Doce, próximo ao centro do município, Rio Doce","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,NA,"R010061183","R010061183",NA,"01","14517","auto",NA,NA,NA,NA,NA
"23","2020-02-13 14:09:23-03","MN","R","171459","S","Plantae",NA,NA,"Fabaceae","Bauhinia","longifolia",NA,"Bauhinia longifolia","(Bong.) Steud.","Vaz, A.M.S.F.","Mello Filho, L.E.; et al.","3798","1973","02",NA,"Brasil","Minas Gerais","Rio Doce","Parque Florestal do Rio Doce","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,NA,NA,NA,"1999","15","14517","auto","07",NA,NA,NA,NA
"24","2019-02-15 11:36:43-02","IPA","IPA","59466","S","Plantae","Plantae",NA,"Commelinaceae","Commelina","benghalensis",NA,"Commelina benghalensis","L.","Roxana Barreto","Pereira, A.A.","s.n.","2000","05","Southern America","Brasil","Minas Gerais","Alto Rio Doce","Fazenda Brejetuba, propriedade do Sr. André Mattos.","-43.4113998413086","-21.0258007049561",NA,NA,NA,NA,NA,"Folhas de cor verde clara, com pilosidade esbranquiçada. Flores com as duas pétalas iguais em forma e cor azul arroxeada e uma pétalas diferente e de cor esbranquiçada. Produziu muitas flores e sementes nas condições de cultivo.","IPA0059466",NA,"2000","23","18968","auto","06","12",NA,NA,NA
"25","2020-03-10 08:27:00-03","UFV","VIC","5437","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Achyrocline","satureioides",NA,"Achyrocline satureioides","(Lam.) DC.","Coons, M.P.","Coons, M.P.","785","1978","07",NA,"Brasil","Minas Gerais","Alto do Rio Doce","Vila Abreus, Pasto de bovinos. Solo vermelho, argiloso e roxo, pobre.",NA,NA,NA,NA,NA,NA,NA,"Subarbusto, c.a. de 1,0 metro de altura; flores amarelas. Invasoras nos pastos e aos lados das estradas.","VIC005437","VIC005437","1978","23",NA,NA,"07","23",NA,NA,NA
"26","2020-03-10 08:30:41-03","UFV","VIC","18291","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Allophylus","edulis",NA,"Allophylus edulis","(St.Hil.) Radlk.",NA,"Silva, A.F. da","1606","1989","09",NA,"Brasil","Minas Gerais","Parque Estadual do Rio Doce",NA,NA,NA,NA,NA,NA,NA,NA,"Árvore de até 6m de altura, com frutos maduros","VIC018291","VIC018291",NA,"22",NA,NA,NA,NA,NA,NA,NA
"27","2020-03-10 08:30:41-03","UFV","VIC","24074","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Allophylus","edulis",NA,"Allophylus edulis","(St.Hil.) Radlk.","Coelho, R.L.S.","Valente, G.E.; Pedralli, G.; Marques, C.A.","428","1999","12",NA,"Brasil","Minas Gerais","Parque Estadual do Rio Doce","à margem do rio próximo ao Aeroporto",NA,NA,NA,NA,NA,NA,NA,"Arbusto com ca de 2,0 m de altura, em sub-bosque. Frutos maduros vermelhos.","VIC024074","VIC024074","2014","11",NA,NA,"04","24",NA,NA,NA
"28","2020-03-10 08:26:39-03","UFV","VIC","6654","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Amaranthus","lividus",NA,"Amaranthus lividus","L.","Coons, M.P.","Coons, M.P.","769","1978","07",NA,"Brasil","Minas Gerais","Alto do Rio Doce","Vila Abreus, Rua para o novo ginásio.",NA,NA,NA,NA,NA,NA,NA,"Beirada da rua. Erva decumbente com caule pigmentado.","VIC006654","VIC006654","1978","23",NA,NA,"12","10",NA,NA,NA
"29","2020-03-10 08:26:39-03","UFV","VIC","6655","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Amaranthus","lividus",NA,"Amaranthus lividus","L.","Coons, M.P.","Coons, M.P.","782","1978","07",NA,"Brasil","Minas Gerais","Alto do Rio Doce","Vila Abreus, Perímetro da Vila. Propriedade do Sr. Antônio Cardoso.",NA,NA,NA,NA,NA,NA,NA,"Ervas em ceva. C.a. de 97,5 cm de altura. Eixo principal cortado e os ramos secundários bem desenvolvidos. Decumbente com caule pigmentado.","VIC006655","VIC006655","1978","23",NA,NA,"12","10",NA,NA,NA
"30","2020-03-10 08:26:40-03","UFV","VIC","6092","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Amaranthus","spinosus",NA,"Amaranthus spinosus","L.","Coons, M.P.","Coons, M.P.","767","1978","07",NA,"Brasil","Minas Gerais","Alto do Rio Doce","Vila Abreus, Ao lado de terreno para jardim.",NA,NA,NA,NA,NA,NA,NA,"Ervas invasoras.","VIC006092","VIC006092",NA,"23",NA,NA,NA,NA,NA,NA,NA
"31","2020-03-10 08:26:40-03","UFV","VIC","6745","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Amaranthus","spinosus",NA,"Amaranthus spinosus","L.","Coons, M.P.","Coons, M.P.","768","1978","07",NA,"Brasil","Minas Gerais","Alto do Rio Doce","Vila Abreus, Ao lado de terreno para jardim.",NA,NA,NA,NA,NA,NA,NA,"Ervas invasoras.","VIC006745","VIC006745",NA,"23",NA,NA,NA,NA,NA,NA,NA
"32","2020-03-10 08:26:40-03","UFV","VIC","6746","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Amaranthus","spinosus",NA,"Amaranthus spinosus","L.","Coons, M.P.","Coons, M.P.","784","1978","07",NA,"Brasil","Minas Gerais","Alto do Rio Doce","Vila Abreus, Propriedade do Sr. Antônio Cardoso.",NA,NA,NA,NA,NA,NA,NA,"Em ceva.","VIC006746","VIC006746","1978","23",NA,NA,"07","23",NA,NA,NA
"33","2020-03-10 08:27:39-03","UFV","VIC","16298","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Billbergia","iridifolia",NA,"Billbergia iridifolia","(Nees & Mart.) Lindl.","Paula, C.C. de","Valente, G. .E.","224","1996","08",NA,"Brasil","Minas Gerais","Parque Estadual do Rio Doce","trilha da mumbaça",NA,NA,NA,NA,NA,NA,NA,"Epífita de interior de mata, local sombreado e úmido. Inflorescência cor de rosa.","VIC016298","VIC016298","1996","30",NA,NA,"10","10",NA,NA,NA
"34","2020-03-10 08:29:17-03","UFV","VIC","37772","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Inga",NA,NA,"Inga","(Vell.) Mart.","Batista, M.L.","Batista, M.L.; Vieira, D.M.","s.n.","2011","09",NA,"Brasil","Minas Gerais","Alto Rio Doce","Estrada de terra.","-43.421667","-21.049167","-43.421667","-21.049167",NA,NA,NA,"Árvore, c.a. de 6,5 metros de altura, com flores.","VIC037772",NA,"2012","14",NA,NA,"05","20",NA,NA,NA
"35","2020-03-10 08:30:42-03","UFV","VIC","19223","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Paullinia",NA,NA,"Paullinia",NA,NA,"Bortoluzzi, RLda C; Braz, D.M.; Bovini, M.G.; Neto, JS da S; Carvalho-Okano, R.M.","s.n.","1997","05",NA,"Brasil","Minas Gerais","Parque Estadual do Rio Doce","Trilha da Campolina",NA,NA,NA,NA,NA,NA,NA,"Planta trepadeira com flores branco-esverdeadas e vináceas. Sobre árvore com ca 5m de altura, à beira da estrada","VIC019223","VIC019223",NA,"15",NA,NA,NA,NA,NA,NA,NA
