"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","identifiedBy","yearIdentified","monthIdentified","recordNumber","year","month","day","continentOcean","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","dayIdentified","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","typeStatus","relatedCatalogItem"
"1","2019-06-10 10:10:58-03","FZB-BH","CVJBFZB","2134","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Brasiliorchis","marginata","Brasiliorchis marginata","(Lindl.) R.B.Singer et al.","Eugenio Tameirão;","Brasil","Minas Gerais","Joanesia","Usina Porto Estrela","-42.6786003112793","-19.1721992492676","21197","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:58-03","FZB-BH","CVJBFZB","2149","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Brasiliorchis","marginata","Brasiliorchis marginata","(Lindl.) R.B.Singer et al.","Eugenio Tameirão;","Brasil","Minas Gerais","Joanesia","Usina Porto Estrela","-42.6786003112793","-19.1721992492676","21197","2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2154","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Epidendrum","cf. nocturnum","Epidendrum cf. nocturnum","Jacq.","Eugênio Tameirão;","Brasil","Minas Gerais","Joanesia","Usina Porto Estrela","-42.6786003112793","-19.1721992492676","21197",NA,"254","auto","Rubens Custódio Mota","2008","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2147","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Erycina","pumilio","Erycina pumilio","(Rchb.f.) N.H.Williams & M.W.Chase","Eugênio Tameirão;","Brasil","Minas Gerais","Joanesia","Usina Porto Estrela","-42.6786003112793","-19.1721992492676","21197","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2142","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Erycina","pumilio","Erycina pumilio","(Rchb.f.) N.H.Williams & M.W.Chase","Eugênio Tameirão;","Brasil","Minas Gerais","Joanesia","Usina Porto Estrela","-42.6786003112793","-19.1721992492676","21197","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2153","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Heterotaxis","valenzuelana","Heterotaxis valenzuelana","(A.Rich.) Ojeda & Carnevali.","Eugênio Tameirão;","Brasil","Minas Gerais","Joanesia","Usina Porto Estrela","-42.6786003112793","-19.1721992492676","21197","1","254","auto","Rubens Custódio Mota","2008","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2118","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Laelia","gloriosa","Laelia gloriosa","(Rchb.f.) L.O.Williams","Eugênio Tameirão;","Brasil","Minas Gerais","Joanesia","Usina Porto Estrela","-42.6786003112793","-19.1721992492676","21197","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2146","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Leptotes","bicolor","Leptotes bicolor","Lindl.","Eugenio Tameirão;","Brasil","Minas Gerais","Joanesia","Usina Porto Estrela","-42.6786003112793","-19.1721992492676","21197","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2141","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Octomeria","sp.","Octomeria sp.","Lindl.","Eugênio Tameirão;","Brasil","Minas Gerais","Joanesia","Usina Porto Estrela","-42.6786003112793","-19.1721992492676","21197","2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2139","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Schombocattleya","y calimaniana","Schombocattleya y calimaniana","L.C.Menezes","Eugênio Tameirão;","Brasil","Minas Gerais","Joanesia","Usina Porto Estrela","-42.6786003112793","-19.1721992492676","21197","2","254","auto","Carlos Alberto Ferreira Júnior","2016","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2122","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Trichocentrum","cf. fuscum","Trichocentrum cf. fuscum","Lindl.","Eugênio Tameirão;","Brasil","Minas Gerais","Joanesia","Usina Porto Estrela","-42.6786003112793","-19.1721992492676","21197",NA,"254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-12-16 17:27:30-03","NYBG","NYBG","02704119","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabales","Fabaceae","Platypodium","elegans","Platypodium elegans","Vogel","Neves, D. M.","Brazil","Minas Gerais","Joanésia","5km west of Joanesia.","-42.748333","-19.147778",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2990754 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"1429","2013","07","06","South America","-42.748333","-19.147778","sheet","NY02704119","NY02704119",NA,NA,NA,NA,NA,NA
"13","2020-02-03 10:31:05-03","UNESP-IBB","BOTU","31431","PreservedSpecimen","Plantae",NA,NA,NA,"Erythroxylaceae","Erythroxylum","campestre","Erythroxylum campestre","A.St.-Hil.","Tameirão Neto, E.","Brasil","Minas Gerais","Joanésia","Rio Santo Antônio, UHE Porto Estrela.","-42.6786003112793","-19.1721992492676","21197",NA,NA,"auto","Amaral Jr., A.","1999","01","978","1993","11","03",NA,NA,NA,NA,"BOTU031431",NA,"27",NA,NA,NA,NA,NA
"14","2019-07-11 08:54:55-03","ESALQ","ESA","33785","S","Plantae","Magnoliophyta",NA,NA,"Moraceae","Ficus","glabra","Ficus glabra","Vellozo","Neto, E. T. França, G. S.","Brasil","Minas Gerais","Joanésia",NA,"-42.6786003112793","-19.1721992492676","21197",NA,NA,"auto","Carauta, J.P.P.","1994","12","s/n","1993","10",NA,NA,NA,NA,NA,"ESA033785",NA,NA,NA,NA,NA,NA,NA
"15","2019-08-20 10:14:00-03","UNICAMP","UEC","98833","S","Plantae","Magnoliopsida",NA,NA,"Fabaceae","Machaerium",NA,"Machaerium","Pers.","Tameirão Neto, E; França, GS","Brazil","Minas Gerais","Joanésia","UHE Porto Estrela, rio Santo Antônio.","-42.6786003112793","-19.1721992492676","21197",NA,"fruto, Floresta ciliar. Arbóreo.","auto",NA,NA,NA,"1805","1993","11","03",NA,NA,NA,NA,"UEC199455","UEC199455",NA,NA,NA,NA,NA,NA
"16","2019-08-20 10:14:00-03","UNICAMP","UEC","98831","S","Plantae","Magnoliopsida",NA,NA,"Fabaceae","Machaerium",NA,"Machaerium","Pers.","Tameirão Neto, E; França, GS","Brazil","Minas Gerais","Joanésia","UHE Porto Estrela, rio Santo Antônio.","-42.6786003112793","-19.1721992492676","21197",NA,"flor, Floresta ciliar. Arbóreo.","auto",NA,NA,NA,"1806","1993","11","03",NA,NA,NA,NA,"UEC199451","UEC199451",NA,NA,NA,NA,NA,NA
"17","2019-12-06 15:07:10-03","MBM","MBM","199163","S","Plantae",NA,NA,NA,"Moraceae","Ficus","eximia","Ficus eximia","Schott","Neto, E.T.; et al.; et al.","Brazil","Minas Gerais","Joanésia","Joanésia","-42.6786003112793","-19.1721992492676","21197",NA,"Mata ciliar. Arbóreo","auto","Mendonça-Souza, L.R.","2005","10","s.n.",NA,NA,NA,"Southern America",NA,NA,NA,"MBM199163","MBM199163",NA,NA,NA,NA,NA,NA
"18","2019-12-06 14:46:41-03","MBM","MBM","271667","S","Plantae",NA,NA,NA,"Fabaceae","Calliandra","harrisii","Calliandra harrisii","(Lindl.) Benth.","Trameirão Neto, E.","Brazil","Minas Gerais","Joanésia","Porto Estrela, Rio Santo Antônio","-42.6786003112793","-19.1721992492676","21197",NA,NA,"auto","Ribas, O.S.",NA,NA,"3282","2000","08","20","Southern America",NA,NA,NA,"MBM271667","MBM271667",NA,NA,NA,NA,NA,NA
"19","2019-12-06 15:10:46-03","MBM","MBM","27933","S","Plantae",NA,NA,NA,"Olacaceae","Ximenia","americana","Ximenia americana americana","L.","Trameirão Neto, E.; et al.; et al.","Brazil","Minas Gerais","Joanésia","Rio Santo Antônio, Porto Estrela","-42.6786003112793","-19.1721992492676","21197",NA,NA,"auto","Lombardi, J.A.",NA,NA,"2813",NA,NA,NA,"Southern America",NA,NA,NA,"MBM027933","MBM027933",NA,"americana",NA,NA,NA,NA
"20","2019-10-02 14:52:59-03","UFMG","BHCB","138174","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Euphorbiaceae","Acalypha","brasiliensis","Acalypha brasiliensis","Müll.Arg.","Rezende, SG; et al.","Brasil","Minas Gerais","Joanésia",NA,"-42.788889","-19.160833",NA,NA,"Arbóreo; Floresta Estacional Semidecidual em Estágio Médio de Regeneração",NA,NA,"2016","12","3455","2009","09","20","Southern America","-42.788889","-19.160833",NA,"BHCB039751",NA,"01",NA,"380","450",NA,NA
"21","2019-10-02 15:02:05-03","UFMG","BHCB","147286","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Rubiaceae",NA,NA,NA,NA,"Mansur, T","Brasil","Minas Gerais","Joanésia","Rio Santo Antônio, PHC Ouro Fino","-43.333333","-19.285",NA,NA,"Floresta estacional semidecidual.",NA,NA,NA,NA,"44","2009","09","15","Southern America","-43.333333","-19.285",NA,"BHCB012129",NA,NA,NA,NA,NA,NA,NA
"22","2019-10-02 14:49:03-03","UFMG","BHCB","138161","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Aristolochiaceae","Aristolochia","elegans","Aristolochia elegans","Mast.","Rezende, SG; et al.","Brasil","Minas Gerais","Joanésia",NA,"-42.788889","-19.160833",NA,NA,"Cipó.; Floresta Estacional Semidecidual em Estágio Médio de Regeneração.",NA,NA,"2013","11","3442","2009","09","20","Southern America","-42.788889","-19.160833",NA,"BHCB011283",NA,"13",NA,"380","450",NA,NA
"23","2019-10-02 15:00:51-03","UFMG","BHCB","138190","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Nyctaginaceae","Bougainvillea","glabra","Bougainvillea glabra","Choisy","Rezende, SG","Brasil","Minas Gerais","Joanésia",NA,"-42.788889","-19.160833",NA,NA,"Arbóreo; Floresta Estacional Semidecidual em Estágio Médio de Regeneração",NA,NA,NA,NA,"3471","2009","09","20","Southern America","-42.788889","-19.160833",NA,"BHCB047145",NA,NA,NA,"380","450",NA,NA
"24","2019-10-02 15:08:14-03","UFMG","BHCB","138191","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Poaceae","Chusquea",NA,"Chusquea",NA,"Rezende, SG","Brasil","Minas Gerais","Joanésia",NA,"-42.788889","-20.575",NA,NA,"Cipó; Floresta Estacional em Estágio Médio de Regeneração",NA,NA,NA,NA,"3472","2009","09","20","Southern America","-42.788889","-20.575",NA,NA,NA,NA,NA,"380","450",NA,NA
"25","2019-10-02 14:56:45-03","UFMG","BHCB","147273","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Melastomataceae","Clidemia","urceolata","Clidemia urceolata","DC.","Mansur, T","Brasil","Minas Gerais","Joanésia","PHC Ouro Fino, Rio Santo Antônio","-43.333333","-19.285",NA,NA,"Floresta Estacional Semidecidual",NA,NA,"2018","05","32","2009","09","15","Southern America","-43.333333","-19.285",NA,"BHCB004356",NA,NA,NA,NA,NA,NA,NA
"26","2019-10-02 15:02:17-03","UFMG","BHCB","147285","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Rubiaceae","Cordiera","elliptica","Cordiera elliptica","(Cham.) Kuntze","Mansur, T","Brasil","Minas Gerais","Joanésia","Rio Santo Antônio., PHC Ouro Fino.","-43.333333","-19.285",NA,NA,"Floresta estacional semidecidual.",NA,NA,NA,NA,"43","2009","09","15","Southern America","-43.333333","-19.285",NA,"BHCB012128",NA,NA,NA,NA,NA,NA,NA
"27","2019-10-02 15:00:10-03","UFMG","BHCB","147278","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Myrtaceae","Eugenia","pauciflora","Eugenia pauciflora","DC.","Mansur, T","Brasil","Minas Gerais","Joanésia","PHC Ouro Fino, Rio Santo Antônio","-43.333333","-19.285",NA,NA,"Floresta estacional semidecidual.",NA,NA,NA,NA,"36","2009","09","15","Southern America","-43.333333","-19.285",NA,"BHCB015637",NA,NA,NA,NA,NA,NA,NA
"28","2019-10-02 15:00:10-03","UFMG","BHCB","147277","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","Mansur, T","Brasil","Minas Gerais","Joanésia","PHC Ouro Fino, Rio Santo Antônio.","-43.333333","-19.285",NA,NA,"Floresta estacional semidecidual.",NA,NA,NA,NA,"35","2009","09","15","Southern America","-43.333333","-19.285",NA,"BHCB015645",NA,NA,NA,NA,NA,NA,NA
"29","2019-10-02 14:52:02-03","UFMG","BHCB","138169","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Celastraceae","Maytenus","brasiliensis","Maytenus brasiliensis","Mart.","Rezende, SG; et al.","Brasil","Minas Gerais","Joanésia",NA,"-42.788889","-19.160833",NA,NA,"Arbóreo; Floresta Estacional Semidecidual em Estágio Médio de Regeneração",NA,NA,"2015","09","3450","2009","09","20","Southern America","-42.788889","-19.160833",NA,"BHCB034640",NA,NA,NA,"380","450",NA,NA
"30","2019-10-02 15:00:26-03","UFMG","BHCB","147279","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Myrtaceae","Myrcia","fenzliana","Myrcia fenzliana","O.Berg","Mansur, T","Brasil","Minas Gerais","Joanésia","PHC Ouro Fino, Rio Santo Antônio.","-43.333333","-19.285",NA,NA,"Floresta estacional semidecidual.",NA,NA,NA,NA,"37","2009","09","15","Southern America","-43.333333","-19.285",NA,"BHCB015640",NA,NA,NA,NA,NA,NA,NA
"31","2019-10-02 15:00:36-03","UFMG","BHCB","147284","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Myrtaceae","Myrcia","splendens","Myrcia splendens","(Sw.) DC.","Mansur, T","Brasil","Minas Gerais","Joanésia","PHC Ouro Fino, Rio Santo Antônio","-43.333333","-19.285",NA,NA,"Floresta estacional semidecidual.",NA,NA,NA,NA,"42","2009","09","15","Southern America","-43.333333","-19.285",NA,"BHCB015642",NA,NA,NA,NA,NA,NA,NA
"32","2019-10-02 14:59:47-03","UFMG","BHCB","147280","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Myrtaceae",NA,NA,NA,NA,"Mansur, T","Brasil","Minas Gerais","Joanésia","PHC Ouro Fino, Rio Santo Antônio","-43.333333","-19.285",NA,NA,"Floresta estacional semidecidual.",NA,NA,NA,NA,"38","2009","09","15","Southern America","-43.333333","-19.285",NA,"BHCB015626",NA,NA,NA,NA,NA,NA,NA
"33","2019-10-02 14:59:47-03","UFMG","BHCB","147282","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Myrtaceae",NA,NA,NA,NA,"Mansur, T","Brasil","Minas Gerais","Joanésia","PHC Ouro Fino, Rio Santo Antônio","-43.333333","-19.285",NA,NA,"Floresta estacional semidecidual.",NA,NA,NA,NA,"40","2009","09","15","Southern America","-43.333333","-19.285",NA,"BHCB015629",NA,NA,NA,NA,NA,NA,NA
"34","2019-10-02 14:55:25-03","UFMG","BHCB","147263","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Lauraceae","Ocotea","lancifolia","Ocotea lancifolia","(Schott) Mez","Mansur, T","Brasil","Minas Gerais","Joanésia","PHC Ouro Fino, Rio Santo Antônio","-43.333333","-19.285",NA,NA,"Floresta estacional semidecidual",NA,NA,NA,NA,"22","2009","09","15","Southern America","-43.333333","-19.285",NA,"BHCB022351",NA,NA,NA,NA,NA,NA,NA
