"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","specificEpithet","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","typeStatus","dayIdentified","previousCatalogNumber","individualCount","class","infraspecificEpithet","relatedCatalogItem"
"21","2019-12-16 18:20:15-03","NYBG","NYBG","02104709","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","Leandra diffusa","R. Goldenberg","1522","2011","02","06","South America","Brazil","Espírito Santo","São Roque do Canaã","Alto Misterioso","-40.46109","-19.48259","-40.46109","-19.48259",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568146 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02104709","NY02104709","diffusa","Cogn.","F. A. Michelangeli","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-12-16 18:20:15-03","NYBG","NYBG","02098838","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","Leandra fallax","F. A. Michelangeli","1601","2011","02","06","South America","Brazil","Espírito Santo","São Roque do Canaã","Trail to Alto Misterioso, W of Jacutinga, at edge of coffee plantation","-40.7699","-19.80385","-40.7699","-19.80385","1000","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568292 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02098838","NY02098838","fallax","(Cham.) Cogn.","M. Reginato","2011","02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-12-16 18:20:15-03","NYBG","NYBG","2423178","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","Leandra fallax","R. Goldenberg","2146","2015","04","30","South America","Brazil","Espírito Santo","São Roque do Canaã","Alto Misterioso.","-40.6568984985352","-19.738899230957",NA,NA,NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685459 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02423178","NY02423178","fallax","(Cham.) Cogn.",NA,NA,NA,"14641","auto",NA,NA,NA,NA,NA,NA,NA
"24","2019-12-16 18:20:15-03","NYBG","NYBG","02104731","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","Leandra fontanae","M. Reginato","1190","2011","02","06","South America","Brazil","Espírito Santo","São Roque do Canaã","Alto Misterioso","-40.46109","-19.48259","-40.46109","-19.48259",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2085063 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02104731","NY02104731","fontanae","Reginato & R.Goldenb.",NA,"2013",NA,NA,NA,"paratype",NA,NA,NA,NA,NA,NA
"25","2019-12-16 18:20:15-03","NYBG","NYBG","2423179","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","Leandra fontanae","R. Goldenberg","2145","2015","04","30","South America","Brazil","Espírito Santo","São Roque do Canaã","Alto Misterioso.","-40.6568984985352","-19.738899230957",NA,NA,NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685460 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02423179","NY02423179","fontanae","Reginato & R.Goldenb.",NA,NA,NA,"14641","auto",NA,NA,NA,NA,NA,NA,NA
"26","2019-12-16 18:20:16-03","NYBG","NYBG","01874715","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","Leandra foveolata","A. P. Fontana","1719","2005","09","16","South America","Brazil","Espírito Santo","São Roque do Canaã","Alto Misterioso, trilha subida.","-40.77047","-19.80328","-40.77047","-19.80328","1050","1050","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2704128 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01874715","NY01874715","foveolata","Cogn.","M. Reginato; F. A. Michelangeli","2015","08",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-12-16 18:20:16-03","NYBG","NYBG","01874717","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","Leandra foveolata","A. P. Fontana","1749","2005","10","02","South America","Brazil","Espírito Santo","São Roque do Canaã","Alto Misterioso, trilha nascente.","-40.77047","-19.80328","-40.77047","-19.80328","1050","1050","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2704139 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01874717","NY01874717","foveolata","Cogn.","M. Reginato; F. A. Michelangeli","2015","08",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-12-16 18:20:16-03","NYBG","NYBG","01874726","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","Leandra foveolata","L. J.-C. Kollmann","10104","2007","11","05","South America","Brazil","Espírito Santo","São Roque de Canaã","Alto Misterioso",NA,NA,NA,NA,"900","900","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2704172 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01874726","NY01874726","foveolata","Cogn.","M. Reginato; F. A. Michelangeli","2015","08",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-12-16 18:20:16-03","NYBG","NYBG","01874723","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","Leandra foveolata","L. J.-C. Kollmann","10101","2007","11","05","South America","Brazil","Espírito Santo","São Roque de Canaã","Alto Misterioso","-40.46109","-19.48259","-40.46109","-19.48259","800","800","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2704164 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01874723","NY01874723","foveolata","Cogn.","M. Reginato; F. A. Michelangeli","2015","08",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-12-16 18:20:16-03","NYBG","NYBG","01874724","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","Leandra foveolata","L. J.-C. Kollmann","8307","2005","09","16","South America","Brazil","Espírito Santo","São Roque do Canaã","Alto Misterioso","-40.46109","-19.48259","-40.46109","-19.48259",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2704168 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01874724","NY01874724","foveolata","Cogn.","M. Reginato; F. A. Michelangeli","2015","08",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-12-16 18:20:16-03","NYBG","NYBG","02098910","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","Leandra foveolata","M. Reginato","1193","2011","02","06","South America","Brazil","Espírito Santo","São Roque do Canaã","Alto Misterioso","-40.46109","-19.48259","-40.46109","-19.48259",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568309 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02098910","NY02098910","foveolata","Cogn.","M. Reginato","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-12-16 18:20:16-03","NYBG","NYBG","2423193","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","Leandra hirta","R. Goldenberg","2162","2015","05","11","South America","Brazil","Espírito Santo","São Roque do Canaã","Mata na entrada da trilha para o Alto Misterioso.","-40.6568984985352","-19.738899230957",NA,NA,NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685476 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02423193","NY02423193","hirta","Raddi",NA,NA,NA,"14641","auto",NA,NA,NA,NA,NA,NA,NA
"33","2019-12-16 18:20:16-03","NYBG","NYBG","02104727","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","Leandra hirta","M. Reginato","1192","2011","02","06","South America","Brazil","Espírito Santo","São Roque do Canaã","Alto Misterioso","-40.46109","-19.48259","-40.46109","-19.48259",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2085065 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02104727","NY02104727","hirta","Raddi","M. Reginato","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
