"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","continentOcean","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","dayIdentified","typeStatus","minimumElevationInMeters","maximumElevationInMeters","class"
"83","2019-10-02 14:51:12-03","UFMG","BHCB","68455","PreservedSpecimen","Plantae","Dicotyledon",NA,"Begoniaceae","Begonia","convolvulacea","Begonia convolvulacea","(Klotzsch) A.DC.",NA,NA,NA,"Oliveira, JE","1948","09","11","Brasil","Minas Gerais","Coronel Fabriciano","Parque Florestal.","-42.6288986206055","-19.5186004638672","21443",NA,"Mata. Herbácea, muito freqüente, flor alva","auto","s.n.","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","2019-10-02 14:55:10-03","UFMG","BHCB","52453","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lamiaceae","Hyptis","mutabilis","Hyptis mutabilis","(Rich.) Briq.",NA,NA,NA,"Costa, LV",NA,NA,NA,"Brasil","Minas Gerais","Coronel Fabriciano","PCH Cachoeira Grande.","-42.6288986206055","-19.5186004638672","21443",NA,NA,"auto","s.n.","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","2019-10-02 15:06:17-03","UFMG","BHCB","52457","PreservedSpecimen","Plantae","Monocotyledon",NA,"Commelinaceae","Tradescantia","zanonia","Tradescantia zanonia","(L.) Sw.",NA,"2013","03","Costa, LV","2000","04",NA,"Brasil","Minas Gerais","Coronel Fabriciano","PCH Cachoeira Grande.","-42.6288986206055","-19.5186004638672","21443",NA,"Erva","auto","s.n.","Southern America",NA,NA,NA,"BHCB005619",NA,"01",NA,NA,NA,NA
"86","2019-10-02 14:54:15-03","UFMG","BHCB","52454","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Machaerium","salzmannii","Machaerium salzmannii","Benth.",NA,"2011",NA,"Costa, LV",NA,NA,NA,"Brasil","Minas Gerais","Coronel Fabriciano","PCH Cachoeira Grande.","-42.6288986206055","-19.5186004638672","21443",NA,"Borda de mata.","auto","s.n.","Southern America",NA,NA,NA,"BHCB046513",NA,NA,NA,NA,NA,NA
"87","2017-09-14 11:43:15-03","MBML","MBML-HERBARIO","49990",NA,"Plantae",NA,NA,"Bromeliaceae","Alcantarea","lurida","Alcantarea lurida",NA,NA,NA,NA,"E. Leme; B.R. Silva","2000","05","25","Brasil","Minas Gerais","Coronel Fabriciano","Em direção a Baraúnas","-42.6288986206055","-19.5186004638672","21443",NA,"Rupícola a beira da estrada. Fl. Cult. I/2007","auto","4898",NA,NA,NA,NA,"MBML049990","MBML049990_1 MBML049990_2",NA,"ISOTIPO","400","400",NA
"88","2020-01-31 11:23:56-03","CVRD","CVRD","9260","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Vernonanthura","brasiliana","Vernonanthura brasiliana","(Less.) H.Rob.","Harold Robinson","2006","11","Reis, R.","2005","07","27","BRASIL","MG","Coronel Fabriciano","Estrada EFVM","-42.6288986206055","-19.5186004638672","21443",NA,"EFVM <ll>dwc_commonname:</ll> Assapeixe roxo","auto","94","América do Sul",NA,NA,NA,"CVRD009260",NA,"07",NA,NA,NA,"Magnoliopsida"
"89","2020-01-31 13:35:23-03","CVRD","CVRD","9405","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Sidastrum","micranthum","Sidastrum micranthum","(A.St.-Hil) Fryxell","Victor M. Gonçalez","2011","11","Reis, R.","2005","07","27","BRASIL","MG","Coronel Fabriciano","Linha 1","-42.6288986206055","-19.5186004638672","21443",NA,"<ll>dwc_commonname:</ll> Guaxumba de corda","auto","96","América do Sul",NA,NA,NA,"CVRD009405",NA,"01",NA,NA,NA,"Magnoliopsida"
"90","2020-03-09 10:32:42-03","CVRD","CVRD","9406","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Plantaginaceae","Stemodia","hyptoides","Stemodia hyptoides","Cham. & Schltdl.","André Vito Scatigna","2016","02","Reis, R.","2005","07","27","BRASIL","MG","Coronel Fabriciano","Linha 3, area C","-42.6288986206055","-19.5186004638672","21443",NA,"<ll>dwc_commonname:</ll> Hortelão brava","auto","95","América do Sul",NA,NA,NA,"CVRD009406",NA,"25",NA,NA,NA,"Magnoliopsida"
"91","2019-07-24 16:26:38-03","SMITHSONIAN","US","1902349","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Vriesea","scalaris","Vriesea scalaris","E. Morren",NA,NA,NA,"M. B. Foster & R. Foster","1940","07","25","Brazil","Minas Gerais","Coronel Fabriciano",NA,"-42.6288986206055","-19.5186004638672","21443",NA,"<a href=http://n2t.net/ark:/65665/3f99eb7bb-b611-448f-815e-d9a237275a73 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto","734","South America - Neotropics",NA,NA,NA,NA,NA,NA,NA,"400","400","Monocotyledonae"
"92","2019-11-07 11:17:38-03","UFMG","BHCB-SL","45225","PreservedSpecimen","Plantae",NA,NA,"Hymenophyllaceae","Vandenboschia","radicans","Vandenboschia radicans","(Sw.) Copel.","Salino, A","2010","09","Oliveira, JE","1948","09","10","Brasil","Minas Gerais","Coronel Fabriciano",NA,"-42.6288986206055","-19.5186004638672","21443",NA,"Epífita na mata.","auto","s.n.","América",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","2017-03-27 17:54:00-03","UnB","UB",NA,"S","Plantae","Monocotyledonae",NA,"Poaceae","Gynerium",NA,"Gynerium",NA,NA,NA,NA,"Heringer, EP; et al.","1974","10","10","Brasil","Minas Gerais","Coronel Fabriciano","Parque Estadual do Rio Doce","-42.6288986206055","-19.5186004638672","21443",NA,"Planta 3m. Folha inflorescências como de uma cana de açúcar","auto","14037","Southern America",NA,NA,NA,"UB0020509","UB0020509",NA,NA,NA,NA,NA
"94","2017-03-27 17:54:00-03","UnB","UB",NA,"S","Plantae","Monocotyledonae",NA,"Poaceae","Gynerium",NA,"Gynerium",NA,NA,NA,NA,"Heringer, EP; et al.","1974","10","10","Brasil","Minas Gerais","Coronel Fabriciano","Parque Estadual do Rio Doce","-42.6288986206055","-19.5186004638672","21443",NA,"Planta 3m. Folha inflorescências como de uma cana de açúcar","auto","14037","Southern America",NA,NA,NA,"UB0020510","UB0020510",NA,NA,NA,NA,NA
