"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","scientificNameAuthorship","year","month","day","continentOcean","locality","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","dayIdentified","class","typeStatus","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","relatedCatalogItem"
"30","2019-11-06 09:55:16-03","UFOP","OUPR","6725","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Mabea","fistulifera","Mabea fistulifera","Zurlo, M.A.","1978","05","Zurlo, M.A.","s.n.","Brasil","Minas Gerais","Manhuaçu","-42.0335998535156","-20.2581005096436","32626",NA,"Árvore. Beira de estrada","auto","Mart.","1978","05","15",NA,NA,NA,NA,NA,NA,NA,"23",NA,NA,NA,NA,NA,NA
"31","2019-11-06 09:55:35-03","UFOP","OUPR","5938","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","schomburgkii","Mimosa schomburgkii",NA,NA,NA,"Roschel, M.B.","s.n.","Brasil","Minas Gerais","Manhuaçú","-42.0335998535156","-20.2581005096436","32626",NA,"Árvore. Mata.","auto","Benth.","1996","04","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-11-06 09:55:37-03","UFOP","OUPR","5939","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Poincianella","pluviosa","Poincianella pluviosa peltophoroides","Lewis, G.P.","2013",NA,"Roschel, M.B.","s.n.","Brasil","Minas Gerais","Manhuaçu","-42.0335998535156","-20.2581005096436","32626",NA,"Mata. Árvore","auto","(Benth.) L.P.Queiroz","1996","04","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"peltophoroides",NA
"33","2019-11-06 09:55:48-03","UFOP","OUPR","10797","PreservedSpecimen","Plantae",NA,NA,"Hemidictyaceae","Hemidictyum","marginatum","Hemidictyum marginatum","Sylvestre, L.S.","1999","12","Campos, A.","s.n.","Brasil","Minas Gerais","Manhuaçu","-42.0335998535156","-20.2581005096436","32626",NA,NA,"auto","(L.) C.Presl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-11-05 16:46:16-03","UFOP","OUPR","1093","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","acutifolia","Jacaranda acutifolia",NA,NA,NA,"Lisboa, C.E.; Lisboa, M.A.","s.n.","Brasil","Minas Gerais","Manhuaçu","-42.0335998535156","-20.2581005096436","32626",NA,NA,"auto","Bonpl.","1976","11","01",NA,"Restaurante Barrigão Realeza.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-11-06 09:55:16-03","UFOP","OUPR","6752","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Mabea","fistulifera","Mabea fistulifera","Zurlo, M.A.","1978","05","Zurlo, M.A.","s.n.","Brasil","Minas Gerais","Manhuaçu","-42.0335998535156","-20.2581005096436","32626",NA,"Árvore. Beira de estrada","auto","Mart.","1978","05","15",NA,"Realeza",NA,NA,NA,NA,NA,"23",NA,NA,NA,NA,NA,NA
"36","2019-10-14 11:12:19-03","UCS","HUCS","1352","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Melastomataceae","Marcetia","taxifolia","Marcetia taxifolia","Hatschbach, G.","1985","07","Hatschbach, G.","49394","Brasil","Minas Gerais","Manhhuaçu",NA,NA,NA,NA,"arbusto 1m, petalas alvas , anteras amarelas; paredões rochosos",NA,"(A. St.-Hil.) DC.","1985","06","14",NA,"arredores",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-10-14 11:07:54-03","UCS","HUCS","01566","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Mikania","sessilifolia","Mikania sessilifolia","Hatschbach, G.","1985","07","Hatschbach, G.","49392","Brasil","Minas Gerais","Manhuaçu","-42.0335998535156","-20.2581005096436","32626",NA,NA,"auto","DC.","1985","06","14",NA,"Arredores",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-10-14 11:10:25-03","UCS","HUCS","9348","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Rubiaceae","Guettarda","viburnoides","Guettarda viburnoides","Smith, S.F.","1990",NA,"Hatschbach, G.; Silva, J.M.","48591","Brasil","Minas Gerais","Manhuaçu","-42.0335998535156","-20.2581005096436","32626",NA,"Arbusto 3 m; Mata pluvial","auto","Cham. & Schlecht","1984","12","04",NA,"Rod. BR 262",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-12-20 08:51:00-03","FURB","FURB","56654","PreservedSpecimen","Plantae",NA,NA,"Polytrichaceae","Polytrichum",NA,"Polytrichum","Camara, P.E.","2009","04","Salles, A.E.H.","4187","Brasil","Minas Gerais","Manhuaçu","-42.0335998535156","-20.2581005096436","32626",NA,"flor cor de palha","auto",NA,"2006","04","18",NA,"Mata Sossego.",NA,NA,NA,"FURB56654","FURB56654",NA,NA,NA,NA,NA,NA,NA
