"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","identifiedBy","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean","phylum","preparationType","individualCount"
"73","2019-12-06 15:14:25-03","MBM","MBM","420856","S","Plantae","Poaceae","Digitaria",NA,"Digitaria",NA,"Cafofo, E.; Felitto, G.; Felitto, G.","s.n.","2018","10","10","Brazil","Minas Gerais","Santa Cruz do Escalvado",NA,"-42.893333","-20.260278",NA,NA,"MBM420856",NA,NA,NA,NA,NA,NA,"-42.893333","-20.260278","340","340","Southern America",NA,NA,NA
"74","2019-12-06 14:38:24-03","MBM","MBM","418883","S","Plantae","Caryophyllaceae","Drymaria","cordata","Drymaria cordata","(L.) Willd. ex Roem. & Schult.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1143","2019","02","01","Brazil","Minas Gerais","Santa Cruz do Escalvado",NA,"-42.826111","-20.177222",NA,NA,"MBM418883",NA,"Marinero, F.",NA,"2019","05","16","-42.826111","-20.177222","280","280","Southern America",NA,NA,NA
"75","2019-12-06 14:41:34-03","MBM","MBM","421432","S","Plantae","Cyperaceae","Eleocharis","nana","Eleocharis nana","Kunth","Felitto, G.; Cafofo, E.; Cafofo, E.","s.n.","2018","09","01","Brazil","Minas Gerais","Santa Cruz do Escalvado",NA,"-42.894167","-20.260278",NA,NA,"MBM421432",NA,"Felitto, G.",NA,NA,NA,NA,"-42.894167","-20.260278","335","335","Southern America",NA,NA,NA
"76","2019-12-06 15:14:30-03","MBM","MBM","418681","S","Plantae","Poaceae","Eleusine","indica","Eleusine indica","(L.) Gaertn.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","939","2018","10","14","Brazil","Minas Gerais","Santa Cruz do Escalvado","Rio Doce","-42.918333","-20.269444",NA,NA,"MBM418681",NA,"Cordeiro, J.",NA,"2018","10","29","-42.918333","-20.269444","370","370","Southern America",NA,NA,NA
"77","2019-12-06 15:14:33-03","MBM","MBM","421431","S","Plantae","Poaceae","Eragrostis","lugens","Eragrostis lugens","Nees","Felitto, G.; Cafofo, E.; Cafofo, E.","s.n.","2018","09","01","Brazil","Minas Gerais","Santa Cruz do Escalvado",NA,"-42.894167","-20.260278",NA,NA,"MBM421431",NA,"Felitto, G.",NA,NA,NA,NA,"-42.894167","-20.260278","336","336","Southern America",NA,NA,NA
"78","2019-12-06 14:45:00-03","MBM","MBM","422213","S","Plantae","Euphorbiaceae","Euphorbia","hyssopifolia","Euphorbia hyssopifolia","L.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","896","2018","10","16","Brazil","Minas Gerais","Santa Cruz do Escalvado","Beira de estrada","-42.797778","-20.139167",NA,NA,"MBM422213",NA,"Cordeiro, J.",NA,"2019","05","15","-42.797778","-20.139167","294","294","Southern America",NA,NA,NA
"79","2019-12-06 14:41:40-03","MBM","MBM","418696","S","Plantae","Cyperaceae","Fuirena","umbellata","Fuirena umbellata","Rottb.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","954","2018","10","15","Brazil","Minas Gerais","Santa Cruz do Escalvado","Rio Doce","-42.8725","-20.236944",NA,NA,"MBM418696",NA,"Marinero, F.",NA,"2019","03","19","-42.8725","-20.236944","344","344","Southern America",NA,NA,NA
"80","2019-12-06 14:45:03-03","MBM","MBM","421429","S","Plantae","Euphorbiaceae","Gymnanthes","schottiana","Gymnanthes schottiana","Müll. Arg.","Felitto, G.; Cafofo, E.; Cafofo, E.","s.n.","2018","09","01","Brazil","Minas Gerais","Santa Cruz do Escalvado",NA,"-42.894167","-20.260278",NA,NA,"MBM421429",NA,"Felitto, G.",NA,NA,NA,NA,"-42.894167","-20.260278","340","340","Southern America",NA,NA,NA
"81","2019-12-06 14:36:34-03","MBM","MBM","418706","S","Plantae","Boraginaceae","Heliotropium","indicum","Heliotropium indicum","L.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","964","2018","10","17","Brazil","Minas Gerais","Santa Cruz do Escalvado",NA,"-42.826111","-20.177222",NA,NA,"MBM418706",NA,"Marinero, F.",NA,"2019","05","03","-42.826111","-20.177222","280","280","Southern America",NA,NA,NA
"82","2019-12-06 15:14:42-03","MBM","MBM","418685","S","Plantae","Poaceae","Hyparrhenia","rufa","Hyparrhenia rufa","(Nees) Stapf","Marinero, F.; Nardin, E.C.; Nardin, E.C.","943","2018","10","14","Brazil","Minas Gerais","Santa Cruz do Escalvado","Rio Doce","-42.901667","-20.26",NA,NA,"MBM418685",NA,"Marinero, F.",NA,"2018","10","30","-42.901667","-20.26","360","360","Southern America",NA,NA,NA
"83","2019-10-02 15:08:21-03","UFMG","BHCB","147283","PreservedSpecimen","Plantae","Poaceae","Hymenachne","pernambucensis","Hymenachne pernambucensis","(Spreng.) Zuloaga","Tameirão Neto, E","s.n.","2009","11","26","Brasil","Minas Gerais","Santa Cruz do Escalvado","UHE Candonga, Rio Doce.","-43.426944","-20.346389",NA,"Herbáceo emergente.","BHCB035448",NA,NA,NA,"2012","10",NA,"-43.426944","-20.346389",NA,NA,"Southern America","Monocotyledon",NA,NA
"84","2019-10-02 15:01:03-03","UFMG","BHCB","147290","PreservedSpecimen","Plantae","Onagraceae","Ludwigia",NA,"Ludwigia","L.","Tameirão Neto, E","s.n.","2007","09","10","Brasil","Minas Gerais","Santa Cruz do Escalvado","UHE Candonga. Rio Doce.","-43.426944","-20.346389",NA,"Macrófita aquática, subarbustiva","BHCB046964",NA,NA,NA,NA,NA,NA,"-43.426944","-20.346389",NA,NA,"Southern America","Dicotyledon",NA,NA
"85","2019-10-02 15:08:29-03","UFMG","BHCB","147297","PreservedSpecimen","Plantae","Poaceae","Panicum","aquaticum","Panicum aquaticum","Poir.","Tameirão Neto, E","s.n.","2008","11","21","Brasil","Minas Gerais","Santa Cruz do Escalvado","UHE Candonga, Rio Doce.","-42.8138999938965","-20.2360992431641","14334","Macrófita aquática, emergente",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America","Monocotyledon",NA,NA
"86","2019-10-02 15:08:03-03","UFMG","BHCB","74872","PreservedSpecimen","Plantae","Orchidaceae","Trichocentrum","fuscum","Trichocentrum fuscum","Lindl.","Tameirão Neto, E","3392","2001","05","15","Brasil","Minas Gerais","Santa Cruz do Escalvado","UHE Candonga, Rio Doce.","-42.8138999938965","-20.2360992431641","14334","floresta ciliar. Epífita. Rio Doce",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America","Monocotyledon",NA,NA
"87","2019-06-27 15:31:10-03","Cenargen","CEN","55508","S","Plantae","Cactaceae","Pereskia","grandifolia","Pereskia grandifolia","Haw.","Inês Cordeiro","1662","1997","10","17","Brasil","MG","SANTA CRUZ DO ESCALVADO","Estrada São Sebastião do Soberbo a Santana do Escalvado, próx. a Pedra do Escalvado, pasto encapoeirado.","-42.8138999938965","-20.2360992431641","14334","Pétalas rosa-escuras brilhantes. Doação do Instituto de Botânica - SP. São Paulo.","CEN00055508","auto","A. G. Christo","CEN00055508","2010","01",NA,NA,NA,NA,NA,NA,NA,"Exsicatas","1"
"88","2019-01-25 15:39:08-02","IAC","IAC","45223","S","Plantae","Cactaceae","Pereskia","grandifolia","Pereskia grandifolia","Haw.","I. Cordeiro","1662","1997","10","17","Brasil","Minas Gerais","Santa Cruz do Escalvado","Vila de São Sebastião do Soberbo, estrada de São Sebastião do Soberbo a Santa Cruz do Escalvado, próximo a Pedra do Escalvado","-42.8756","-20.2383",NA,NA,NA,NA,"A.M. Calvente",NA,"2004","03","17","-42.8756","-20.2383",NA,NA,NA,NA,NA,NA
