"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","class","order","identifiedBy","locality","imagecode"
"81","2019-12-19 09:39:01-03","UFVJM","HDJF","5854","PreservedSpecimen","Plantae","Dicotyledoneae","Fabaceae","Apuleia",NA,"Apuleia",NA,"2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","318","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005854",NA,NA,"Machado, ELM","Zona Rural","HDJF005854_01"
"82","2019-09-13 12:00:28-03","UFVJM","HDJF","5917","PreservedSpecimen","Plantae","Dicotyledoneae","Primulaceae","Myrsine","gardneriana","Myrsine gardneriana","DC.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","770","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005917",NA,NA,"Machado, ELM","Zona Rural","HDJF005917_01"
"83","2019-09-13 11:59:58-03","UFVJM","HDJF","5964","PreservedSpecimen","Plantae","Dicotyledoneae","Malvaceae","Eriotheca","macrophylla","Eriotheca macrophylla","(K.Schum.) A.Robyns","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","s.n.","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005964",NA,NA,"Machado, ELM","Zona Rural",NA
"84","2019-09-13 11:59:58-03","UFVJM","HDJF","5952","PreservedSpecimen","Plantae","Dicotyledoneae","Malvaceae","Eriotheca","macrophylla","Eriotheca macrophylla","(K.Schum.) A.Robyns","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","2186","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005952",NA,NA,"Machado, ELM","Zona Rural","HDJF005952_01"
"85","2019-12-19 09:39:05-03","UFVJM","HDJF","5867","PreservedSpecimen","Plantae","Dicotyledoneae","Lamiaceae","Hyptidendron","asperrimum","Hyptidendron asperrimum","(Epling) Harley","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","1488","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005867",NA,NA,"Machado, ELM","Zona Rural","HDJF005867_01"
"86","2019-09-13 12:00:40-03","UFVJM","HDJF","5912","PreservedSpecimen","Plantae","Dicotyledoneae","Vochysiaceae","Qualea","megalocarpa","Qualea megalocarpa","Stafleu","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","1953","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005912",NA,NA,"Machado, ELM","Zona Rural","HDJF005912_01"
"87","2019-12-19 09:39:02-03","UFVJM","HDJF","5856","PreservedSpecimen","Plantae","Dicotyledoneae","Fabaceae","Inga","marginata","Inga marginata","Willd.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","1213","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005856",NA,NA,"Machado, ELM","Zona Rural","HDJF005856_01"
"88","2019-12-19 09:39:02-03","UFVJM","HDJF","5865","PreservedSpecimen","Plantae","Dicotyledoneae","Fabaceae","Inga","marginata","Inga marginata","Willd.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","1762","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005865",NA,NA,"Machado, ELM","Zona Rural","HDJF005865_01"
"89","2019-09-13 12:00:18-03","UFVJM","HDJF","5963","PreservedSpecimen","Plantae","Dicotyledoneae","Myrtaceae","Myrcia","splendens","Myrcia splendens","(Sw.) DC.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","s.n.","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005963",NA,NA,"Machado, ELM","Zona Rural",NA
"90","2019-09-13 12:00:18-03","UFVJM","HDJF","5951","PreservedSpecimen","Plantae","Dicotyledoneae","Myrtaceae","Myrcia","splendens","Myrcia splendens","(Sw.) DC.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","45","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005951",NA,NA,"Machado, ELM","Zona Rural","HDJF005951_01"
"91","2019-12-19 09:39:05-03","UFVJM","HDJF","5890","PreservedSpecimen","Plantae","Dicotyledoneae","Lacistemataceae","Lacistema","pubescens","Lacistema pubescens","Mart.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","438","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005890",NA,NA,"Machado, ELM","Zona Rural","HDJF005890_01"
"92","2019-09-13 11:59:02-03","UFVJM","HDJF","5937","PreservedSpecimen","Plantae","Dicotyledoneae","Anacardiaceae","Astronium","fraxinifolium","Astronium fraxinifolium","Schott","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","287","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005937",NA,NA,"Machado, ELM","Zona Rural",NA
"93","2019-12-19 09:39:14-03","UFVJM","HDJF","5894","PreservedSpecimen","Plantae","Dicotyledoneae","Myrtaceae","Myrcia","hebepetala","Myrcia hebepetala","DC.",NA,NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","964","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005894",NA,NA,NA,"Zona Rural","HDJF005894_01"
"94","2019-09-13 12:00:30-03","UFVJM","HDJF","5924","PreservedSpecimen","Plantae","Dicotyledoneae","Proteaceae","Roupala","montana","Roupala montana","Aubl.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","1850","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005924",NA,NA,"Machado, ELM","Zona Rural","HDJF005924_01"
"95","2019-12-19 09:39:14-03","UFVJM","HDJF","6109","PreservedSpecimen","Plantae","Dicotyledoneae","Myrtaceae","Myrcia","fenzliana","Myrcia fenzliana","O. Berg","2013",NA,NA,"Santos, LAG; Machado, ELM; Otoni, TJO","565","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF006109",NA,NA,"Machado, ELM","Zona Rural",NA
"96","2019-12-19 09:39:10-03","UFVJM","HDJF","5868","PreservedSpecimen","Plantae","Dicotyledoneae","Melastomataceae","Leandra","melastomoides","Leandra melastomoides","Raddi","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","1259","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005868",NA,NA,"Machado, ELM","Zona Rural","HDJF005868_01"
"97","2019-09-13 11:59:32-03","UFVJM","HDJF","5961","PreservedSpecimen","Plantae","Dicotyledoneae","Ebenaceae","Diospyros","lasiocalyx","Diospyros lasiocalyx","(Mart.) B.Walln.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","s.n.","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005961",NA,NA,"Machado, ELM","Zona Rural",NA
"98","2019-09-13 11:59:32-03","UFVJM","HDJF","5949","PreservedSpecimen","Plantae","Dicotyledoneae","Ebenaceae","Diospyros","lasiocalyx","Diospyros lasiocalyx","(Mart.) B.Walln.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","606","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005949",NA,NA,"Machado, ELM","Zona Rural","HDJF005949_01"
"99","2019-09-13 12:00:04-03","UFVJM","HDJF","5948","PreservedSpecimen","Plantae","Dicotyledoneae","Melastomataceae","Pleroma","arboreum","Pleroma arboreum","Gardner","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","2034","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005948",NA,NA,"Machado, ELM","Zona Rural",NA
"100","2019-09-13 12:00:34-03","UFVJM","HDJF","5933","PreservedSpecimen","Plantae","Dicotyledoneae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","A.H.L. Juss.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","674","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005933",NA,NA,"Machado, ELM","Zona Rural","HDJF005933_01"
"101","2019-09-13 12:00:30-03","UFVJM","HDJF","5950","PreservedSpecimen","Plantae","Dicotyledoneae","Rubiaceae","Bathysa","cuspidata","Bathysa cuspidata","(A.St.-Hil.) Hook. f. ex K. Schum.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","1988","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005950",NA,NA,"Machado, ELM","Zona Rural",NA
"102","2019-09-13 12:00:30-03","UFVJM","HDJF","5962","PreservedSpecimen","Plantae","Dicotyledoneae","Rubiaceae","Bathysa","cuspidata","Bathysa cuspidata","(A.St.-Hil.) Hook. f. ex K. Schum.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","s.n.","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005962",NA,NA,"Machado, ELM","Zona Rural",NA
"103","2019-12-19 09:39:18-03","UFVJM","HDJF","6108","PreservedSpecimen","Plantae","Dicotyledoneae","Polygonaceae","Triplaris","gardneriana","Triplaris gardneriana","Wedd.","2013",NA,NA,"Santos, LAG; Machado, ELM; Otoni, TJO","1147","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF006108",NA,NA,"Machado, ELM","Zona Rural","HDJF006108_01"
"104","2019-09-13 11:59:41-03","UFVJM","HDJF","5905","PreservedSpecimen","Plantae","Dicotyledoneae","Fabaceae","Dalbergia","villosa","Dalbergia villosa","Benth.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","130","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005905",NA,NA,"Machado, ELM","Zona Rural","HDJF005905_01"
"105","2019-12-19 09:39:02-03","UFVJM","HDJF","5877","PreservedSpecimen","Plantae","Dicotyledoneae","Fabaceae","Dalbergia","frutescens","Dalbergia frutescens","(Vell.) Britton","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","1001","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005877",NA,NA,"Machado, ELM","Zona Rural","HDJF005877_01"
"106","2019-09-13 11:59:41-03","UFVJM","HDJF","5946","PreservedSpecimen","Plantae","Dicotyledoneae","Fabaceae","Dahlstedtia","muehlbergiana","Dahlstedtia muehlbergiana","(Hassl.) M.J.Silva & A.M.G. Azevedo","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","1154","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005946",NA,NA,"Machado, ELM","Zona Rural",NA
"107","2019-12-19 09:38:48-03","UFVJM","HDJF","6111","PreservedSpecimen","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Santos, LAG; Machado, ELM; Otoni, TJO","605","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF006111",NA,NA,NA,"Zona Rural","HDJF006111_01"
"108","2019-09-13 11:59:00-03","UFVJM","HDJF","5907","PreservedSpecimen","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","67","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005907",NA,NA,NA,"Zona Rural","HDJF005907_01"
"109","2019-12-19 09:38:48-03","UFVJM","HDJF","5882","PreservedSpecimen","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","702","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005882",NA,NA,"Henrich, JE; Goldblatt, P","Zona Rural","HDJF005882_01"
"110","2019-12-19 09:38:48-03","UFVJM","HDJF","5866","PreservedSpecimen","Plantae",NA,NA,NA,NA,NA,NA,"2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","742","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005866",NA,NA,"Machado, ELM","Zona Rural","HDJF005866_01"
"111","2019-09-13 12:00:07-03","UFVJM","HDJF","5931","PreservedSpecimen","Plantae","Dicotyledoneae","Meliaceae","Trichilia","emarginata","Trichilia emarginata","(Turcz.) C.DC.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","799","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005931",NA,NA,"Machado, ELM","Zona Rural","HDJF005931_01"
