"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","recordedBy","recordNumber","year","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","month","day","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","monthIdentified","dayIdentified","individualCount","infraspecificEpithet","class","relatedCatalogItem"
"286","2019-12-19 09:39:14-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrcia",NA,"Myrcia",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7689","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.531389","-17.880278","-42.531389","-17.880278",NA,NA,NA,NA,"DC.","05","04",NA,"832","832",NA,NA,NA,NA,NA,NA,NA
"287","2019-12-19 09:39:14-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrcia",NA,"Myrcia",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7690","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.530556","-17.881389","-42.530556","-17.881389",NA,NA,NA,NA,"DC.","05","04",NA,"828","828",NA,NA,NA,NA,NA,NA,NA
"288","2019-12-19 09:39:14-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrcia",NA,"Myrcia",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7690","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.530556","-17.881389","-42.530556","-17.881389",NA,NA,NA,NA,"DC.","05","04",NA,"828","828",NA,NA,NA,NA,NA,NA,NA
"289","2019-12-19 09:39:14-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrcia",NA,"Myrcia",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7690","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.530556","-17.881389","-42.530556","-17.881389",NA,NA,NA,NA,"DC.","05","04",NA,"828","828",NA,NA,NA,NA,NA,NA,NA
"290","2019-12-19 09:39:14-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrcia",NA,"Myrcia",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7690","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.530556","-17.881389","-42.530556","-17.881389",NA,NA,NA,NA,"DC.","05","04",NA,"828","828",NA,NA,NA,NA,NA,NA,NA
"291","2019-12-19 09:39:14-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrcia",NA,"Myrcia",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7693","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.530556","-17.881389","-42.530556","-17.881389",NA,NA,NA,NA,"DC.","05","04",NA,"828","828",NA,NA,NA,NA,NA,NA,NA
"292","2019-12-19 09:39:14-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrcia",NA,"Myrcia",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7693","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.530556","-17.881389","-42.530556","-17.881389",NA,NA,NA,NA,"DC.","05","04",NA,"828","828",NA,NA,NA,NA,NA,NA,NA
"293","2019-12-19 09:39:14-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrcia",NA,"Myrcia",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7693","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.530556","-17.881389","-42.530556","-17.881389",NA,NA,NA,NA,"DC.","05","04",NA,"828","828",NA,NA,NA,NA,NA,NA,NA
"294","2019-12-19 09:39:14-03","UFVJM","HDJF","6613","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrciaria","glanduliflora","Myrciaria glanduliflora","Faria, JEQ","2017","Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7674","2017","Southern America","Brasil","Minas Gerais","Capelinha","Reserva da Cemig em capelinha / RPPN Fartura","-42.532778","-17.878333","-42.532778","-17.878333",NA,NA,"HDJF006613",NA,"(Kiaersk.) Mattos & D.Legrand","05","03",NA,"852","852",NA,"05",NA,NA,NA,NA,NA
"295","2019-12-19 09:39:14-03","UFVJM","HDJF","6957","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrciaria","glanduliflora","Myrciaria glanduliflora","Faria, JEQ","2017","Faria, JEQ; Otoni, TJO","8024","2017","Southern America","Brasil","Minas Gerais","Capelinha","Região da Cachoeira, na margem da estrada entre Capelinha e Aricanduva, próximo a última","-42.555556","-17.810556","-42.555556","-17.810556",NA,NA,"HDJF006957",NA,"(Kiaersk.) Mattos & D.Legrand","07","15",NA,"850","850",NA,"07",NA,NA,NA,NA,NA
"296","2019-12-19 09:39:14-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrciaria","glanduliflora","Myrciaria glanduliflora","Faria, JEQ","2017","Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7674","2017","Southern America","Brasil","Minas Gerais","Capelinha","Reserva da Cemig em capelinha / RPPN Fartura","-42.532778","-17.878333","-42.532778","-17.878333",NA,NA,NA,NA,"(Kiaersk.) Mattos & D.Legrand","05","03",NA,"852","852",NA,"05",NA,NA,NA,NA,NA
"297","2019-12-19 09:39:14-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrciaria","glanduliflora","Myrciaria glanduliflora","Faria, JEQ","2017","Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7674","2017","Southern America","Brasil","Minas Gerais","Capelinha","Reserva da Cemig em capelinha / RPPN Fartura","-42.532778","-17.878333","-42.532778","-17.878333",NA,NA,NA,NA,"(Kiaersk.) Mattos & D.Legrand","05","03",NA,"852","852",NA,"05",NA,NA,NA,NA,NA
"298","2019-12-19 09:39:14-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrciaria","glanduliflora","Myrciaria glanduliflora","Faria, JEQ","2017","Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7674","2017","Southern America","Brasil","Minas Gerais","Capelinha","Reserva da Cemig em capelinha / RPPN Fartura","-42.532778","-17.878333","-42.532778","-17.878333",NA,NA,NA,NA,"(Kiaersk.) Mattos & D.Legrand","05","03",NA,"852","852",NA,"05",NA,NA,NA,NA,NA
"299","2019-12-19 09:39:14-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrciaria","glanduliflora","Myrciaria glanduliflora","Faria, JEQ","2017","Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7674","2017","Southern America","Brasil","Minas Gerais","Capelinha","Reserva da Cemig em capelinha / RPPN Fartura","-42.532778","-17.878333","-42.532778","-17.878333",NA,NA,NA,NA,"(Kiaersk.) Mattos & D.Legrand","05","03",NA,"852","852",NA,"05",NA,NA,NA,NA,NA
"300","2019-12-19 09:39:14-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrciaria","glanduliflora","Myrciaria glanduliflora","Faria, JEQ","2017","Faria, JEQ; Otoni, TJO","8024","2017","Southern America","Brasil","Minas Gerais","Capelinha","Região da Cachoeira, na margem da estrada entre Capelinha e Aricanduva, próximo a última","-42.555556","-17.810556","-42.555556","-17.810556",NA,NA,NA,NA,"(Kiaersk.) Mattos & D.Legrand","07","15",NA,"850","850",NA,"07",NA,NA,NA,NA,NA
"301","2019-12-19 09:39:14-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrciaria","glanduliflora","Myrciaria glanduliflora","Faria, JEQ","2017","Faria, JEQ; Otoni, TJO","8024","2017","Southern America","Brasil","Minas Gerais","Capelinha","Região da Cachoeira, na margem da estrada entre Capelinha e Aricanduva, próximo a última","-42.555556","-17.810556","-42.555556","-17.810556",NA,NA,NA,NA,"(Kiaersk.) Mattos & D.Legrand","07","15",NA,"850","850",NA,"07",NA,NA,NA,NA,NA
"302","2019-12-19 09:39:14-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrciaria","glanduliflora","Myrciaria glanduliflora","Faria, JEQ","2017","Faria, JEQ; Otoni, TJO","8024","2017","Southern America","Brasil","Minas Gerais","Capelinha","Região da Cachoeira, na margem da estrada entre Capelinha e Aricanduva, próximo a última","-42.555556","-17.810556","-42.555556","-17.810556",NA,NA,NA,NA,"(Kiaersk.) Mattos & D.Legrand","07","15",NA,"850","850",NA,"07",NA,NA,NA,NA,NA
"303","2019-09-13 12:00:07-03","UFVJM","HDJF","2710","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae",NA,NA,NA,NA,NA,"Machado, ELM","s.n.","2014","Southern America","Brasil","Minas Gerais","Capelinha","Zona Rural de Capelinha, próximo a Aricanduva.","-42.469444","-17.838333","-42.469444","-17.838333",NA,NA,"HDJF002710","HDJF002710_01",NA,"05","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304","2019-09-13 12:00:07-03","UFVJM","HDJF","2711","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae",NA,NA,NA,NA,NA,"Machado, ELM","s.n.","2014","Southern America","Brasil","Minas Gerais","Capelinha","Zona Rural de Capelinha, próximo a Aricanduva.","-42.469444","-17.838333","-42.469444","-17.838333",NA,NA,"HDJF002711","HDJF002711_01",NA,"05","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305","2019-09-13 12:00:07-03","UFVJM","HDJF","2712","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae",NA,NA,NA,NA,NA,"Machado, ELM","s.n.","2014","Southern America","Brasil","Minas Gerais","Capelinha","Zona Rural de Capelinha, próximo a Aricanduva.","-42.469444","-17.838333","-42.469444","-17.838333",NA,NA,"HDJF002712","HDJF002712_01",NA,"05","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","2019-09-13 12:00:07-03","UFVJM","HDJF","2713","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae",NA,NA,NA,NA,NA,"Machado, ELM","s.n.","2014","Southern America","Brasil","Minas Gerais","Capelinha","Zona Rural de Capelinha, próximo a Aricanduva.","-42.469444","-17.838333","-42.469444","-17.838333",NA,NA,"HDJF002713",NA,NA,"05","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","2019-09-13 12:00:07-03","UFVJM","HDJF","2714","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae",NA,NA,NA,NA,NA,"Machado, ELM","s.n.","2014","Southern America","Brasil","Minas Gerais","Capelinha","Zona Rural de Capelinha, próximo a Aricanduva.","-42.469444","-17.838333","-42.469444","-17.838333",NA,NA,"HDJF002714","HDJF002714_01",NA,"05","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308","2019-09-13 12:00:07-03","UFVJM","HDJF","2715","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae",NA,NA,NA,NA,NA,"Machado, ELM","s.n.","2014","Southern America","Brasil","Minas Gerais","Capelinha","Zona Rural de Capelinha, próximo a Aricanduva.","-42.469444","-17.838333","-42.469444","-17.838333",NA,NA,"HDJF002715",NA,NA,"05","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309","2019-12-19 09:39:14-03","UFVJM","HDJF","6611","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Neomitranthes",NA,"Neomitranthes",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7672","2017","Southern America","Brasil","Minas Gerais","Capelinha","Reserva da Cemig em capelinha / RPPN Fartura","-42.532778","-17.878333","-42.532778","-17.878333",NA,NA,"HDJF006611",NA,NA,"05","03",NA,"852","852",NA,NA,NA,NA,NA,NA,NA
"310","2019-12-19 09:39:17-03","UFVJM","HDJF","6960","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Ochnaceae","Ouratea",NA,"Ouratea",NA,NA,"Faria, JEQ; Otoni, TJO","8027","2017","Southern America","Brasil","Minas Gerais","Capelinha","Região da Cachoeira, na margem da estrada entre Capelinha e Aricanduva, próximo a última","-42.555556","-17.810556","-42.555556","-17.810556",NA,NA,"HDJF006960",NA,"Aubl.","07","15",NA,"850","850",NA,NA,NA,NA,NA,NA,NA
"311","2019-12-19 09:39:18-03","UFVJM","HDJF","6641","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Rubiaceae","Palicourea",NA,"Palicourea",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7702","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.528333","-17.880833","-42.528333","-17.880833",NA,NA,"HDJF006641",NA,NA,"05","04",NA,"830","830",NA,NA,NA,NA,NA,NA,NA
"312","2019-12-19 09:39:18-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Rubiaceae","Palicourea",NA,"Palicourea",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7702","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.528333","-17.880833","-42.528333","-17.880833",NA,NA,NA,NA,NA,"05","04",NA,"830","830",NA,NA,NA,NA,NA,NA,NA
"313","2019-12-19 09:39:18-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Rubiaceae","Palicourea",NA,"Palicourea",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7702","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.528333","-17.880833","-42.528333","-17.880833",NA,NA,NA,NA,NA,"05","04",NA,"830","830",NA,NA,NA,NA,NA,NA,NA
"314","2019-12-19 09:39:18-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Rubiaceae","Palicourea",NA,"Palicourea",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7702","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.528333","-17.880833","-42.528333","-17.880833",NA,NA,NA,NA,NA,"05","04",NA,"830","830",NA,NA,NA,NA,NA,NA,NA
"315","2019-12-19 09:39:14-03","UFVJM","HDJF","6642","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Pimenta","pseudocaryophyllus","Pimenta pseudocaryophyllus","Faria, JEQ","2017","Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7703","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.5275","-17.881111","-42.5275","-17.881111",NA,NA,"HDJF006642",NA,"(Gomes) Landrum","05","04",NA,"816","816",NA,"05",NA,NA,NA,NA,NA
"316","2019-12-19 09:39:14-03","UFVJM","HDJF","6967","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Pimenta","pseudocaryophyllus","Pimenta pseudocaryophyllus","Faria, JEQ","2017","Faria, JEQ; Otoni, TJO","8034","2017","Southern America","Brasil","Minas Gerais","Capelinha","Região da Cachoeira, na margem da estrada entre Capelinha e Aricanduva, próximo a última","-42.555556","-17.810556","-42.555556","-17.810556",NA,NA,"HDJF006967",NA,"(Gomes) Landrum","07","15",NA,"850","850",NA,"07",NA,NA,NA,NA,NA
"317","2019-12-19 09:39:14-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Pimenta","pseudocaryophyllus","Pimenta pseudocaryophyllus","Faria, JEQ","2017","Faria, JEQ; Otoni, TJO","8034","2017","Southern America","Brasil","Minas Gerais","Capelinha","Região da Cachoeira, na margem da estrada entre Capelinha e Aricanduva, próximo a última","-42.555556","-17.810556","-42.555556","-17.810556",NA,NA,NA,NA,"(Gomes) Landrum","07","15",NA,"850","850",NA,"07",NA,NA,NA,NA,NA
"318","2019-12-19 09:39:14-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Pimenta","pseudocaryophyllus","Pimenta pseudocaryophyllus","Faria, JEQ","2017","Faria, JEQ; Otoni, TJO","8034","2017","Southern America","Brasil","Minas Gerais","Capelinha","Região da Cachoeira, na margem da estrada entre Capelinha e Aricanduva, próximo a última","-42.555556","-17.810556","-42.555556","-17.810556",NA,NA,NA,NA,"(Gomes) Landrum","07","15",NA,"850","850",NA,"07",NA,NA,NA,NA,NA
"319","2019-12-19 09:39:14-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Pimenta","pseudocaryophyllus","Pimenta pseudocaryophyllus","Faria, JEQ","2017","Faria, JEQ; Otoni, TJO","8034","2017","Southern America","Brasil","Minas Gerais","Capelinha","Região da Cachoeira, na margem da estrada entre Capelinha e Aricanduva, próximo a última","-42.555556","-17.810556","-42.555556","-17.810556",NA,NA,NA,NA,"(Gomes) Landrum","07","15",NA,"850","850",NA,"07",NA,NA,NA,NA,NA
"320","2019-12-19 09:39:14-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Pimenta","pseudocaryophyllus","Pimenta pseudocaryophyllus","Faria, JEQ","2017","Faria, JEQ; Otoni, TJO","8034","2017","Southern America","Brasil","Minas Gerais","Capelinha","Região da Cachoeira, na margem da estrada entre Capelinha e Aricanduva, próximo a última","-42.555556","-17.810556","-42.555556","-17.810556",NA,NA,NA,NA,"(Gomes) Landrum","07","15",NA,"850","850",NA,"07",NA,NA,NA,NA,NA
"321","2019-12-19 09:39:14-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Pimenta","pseudocaryophyllus","Pimenta pseudocaryophyllus","Faria, JEQ","2017","Faria, JEQ; Otoni, TJO","8034","2017","Southern America","Brasil","Minas Gerais","Capelinha","Região da Cachoeira, na margem da estrada entre Capelinha e Aricanduva, próximo a última","-42.555556","-17.810556","-42.555556","-17.810556",NA,NA,NA,NA,"(Gomes) Landrum","07","15",NA,"850","850",NA,"07",NA,NA,NA,NA,NA
"322","2019-12-19 09:39:14-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Pimenta","pseudocaryophyllus","Pimenta pseudocaryophyllus","Faria, JEQ","2017","Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7703","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.5275","-17.881111","-42.5275","-17.881111",NA,NA,NA,NA,"(Gomes) Landrum","05","04",NA,"816","816",NA,"05",NA,NA,NA,NA,NA
"323","2019-12-19 09:39:18-03","UFVJM","HDJF","6622","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Piperaceae","Piper",NA,"Piper",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7683","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.532222","-17.879167","-42.532222","-17.879167",NA,NA,"HDJF006622",NA,NA,"05","04",NA,"834","834",NA,NA,NA,NA,NA,NA,NA
"324","2019-12-19 09:39:18-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Piperaceae","Piper",NA,"Piper",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7683","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.532222","-17.879167","-42.532222","-17.879167",NA,NA,NA,NA,NA,"05","04",NA,"834","834",NA,NA,NA,NA,NA,NA,NA
"325","2019-12-19 09:39:18-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Piperaceae","Piper",NA,"Piper",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7683","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.532222","-17.879167","-42.532222","-17.879167",NA,NA,NA,NA,NA,"05","04",NA,"834","834",NA,NA,NA,NA,NA,NA,NA
"326","2019-12-19 09:39:18-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Piperaceae","Piper",NA,"Piper",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7683","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.532222","-17.879167","-42.532222","-17.879167",NA,NA,NA,NA,NA,"05","04",NA,"834","834",NA,NA,NA,NA,NA,NA,NA
"327","2019-09-13 12:00:47-03","UFVJM","HDJF","4702","PreservedSpecimen","Plantae","Monocotyledonae",NA,"Poaceae",NA,NA,NA,NA,NA,"Vieira, AD; Santana, BID","s.n.","2014","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura, próximo à Aricanduva","-42.525","-17.877222","-42.525","-17.877222",NA,NA,"HDJF004702",NA,NA,"03",NA,NA,"1742","1742",NA,NA,NA,NA,NA,NA,NA
"328","2019-12-19 09:39:26-03","UFVJM","HDJF","6612","PreservedSpecimen","Plantae","Monocotyledonae",NA,"Poaceae",NA,NA,NA,NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7673","2017","Southern America","Brasil","Minas Gerais","Capelinha","Reserva da Cemig em capelinha / RPPN Fartura","-42.532778","-17.878333","-42.532778","-17.878333",NA,NA,"HDJF006612",NA,NA,"05","03",NA,"852","852",NA,NA,NA,NA,NA,NA,NA
"329","2019-12-19 09:39:26-03","UFVJM","HDJF","6618","PreservedSpecimen","Plantae","Monocotyledonae",NA,"Poaceae",NA,NA,NA,NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7679","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.532778","-17.879167","-42.532778","-17.879167",NA,NA,"HDJF006618",NA,NA,"05","04",NA,"841","841",NA,NA,NA,NA,NA,NA,NA
"330","2019-12-19 09:39:26-03","UFVJM","HDJF","6646","PreservedSpecimen","Plantae","Monocotyledonae",NA,"Poaceae",NA,NA,NA,NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7707","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.526389","-17.882222","-42.526389","-17.882222",NA,NA,"HDJF006646",NA,NA,"05","04",NA,"807","807",NA,NA,NA,NA,NA,NA,NA
"331","2019-12-19 09:39:26-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,"Poaceae",NA,NA,NA,NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7707","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.526389","-17.882222","-42.526389","-17.882222",NA,NA,NA,NA,NA,"05","04",NA,"807","807",NA,NA,NA,NA,NA,NA,NA
"332","2019-12-19 09:39:26-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,"Poaceae",NA,NA,NA,NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7707","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.526389","-17.882222","-42.526389","-17.882222",NA,NA,NA,NA,NA,"05","04",NA,"807","807",NA,NA,NA,NA,NA,NA,NA
"333","2019-12-19 09:39:26-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,"Poaceae",NA,NA,NA,NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7707","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.526389","-17.882222","-42.526389","-17.882222",NA,NA,NA,NA,NA,"05","04",NA,"807","807",NA,NA,NA,NA,NA,NA,NA
"334","2019-12-19 09:39:26-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,"Poaceae",NA,NA,NA,NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7707","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.526389","-17.882222","-42.526389","-17.882222",NA,NA,NA,NA,NA,"05","04",NA,"807","807",NA,NA,NA,NA,NA,NA,NA
"335","2019-12-19 09:39:26-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,"Poaceae",NA,NA,NA,NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7679","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.532778","-17.879167","-42.532778","-17.879167",NA,NA,NA,NA,NA,"05","04",NA,"841","841",NA,NA,NA,NA,NA,NA,NA
"336","2019-12-19 09:39:26-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,"Poaceae",NA,NA,NA,NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7679","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.532778","-17.879167","-42.532778","-17.879167",NA,NA,NA,NA,NA,"05","04",NA,"841","841",NA,NA,NA,NA,NA,NA,NA
"337","2019-12-19 09:39:26-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,"Poaceae",NA,NA,NA,NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7679","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.532778","-17.879167","-42.532778","-17.879167",NA,NA,NA,NA,NA,"05","04",NA,"841","841",NA,NA,NA,NA,NA,NA,NA
"338","2019-12-19 09:39:26-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,"Poaceae",NA,NA,NA,NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7673","2017","Southern America","Brasil","Minas Gerais","Capelinha","Reserva da Cemig em capelinha / RPPN Fartura","-42.532778","-17.878333","-42.532778","-17.878333",NA,NA,NA,NA,NA,"05","03",NA,"852","852",NA,NA,NA,NA,NA,NA,NA
"339","2019-09-13 12:00:47-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,"Poaceae",NA,NA,NA,NA,NA,"Vieira, AD; Santana, BID","s.n.","2014","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura, próximo à Aricanduva","-42.525","-17.877222","-42.525","-17.877222",NA,NA,NA,NA,NA,"03",NA,NA,"1742","1742",NA,NA,NA,NA,NA,NA,NA
