"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem"
"39","2020-01-28 13:11:01-03","MCN-PUC-MINAS","HPUC-MG","ANG5151","S","Plantae",NA,NA,"Asteraceae","Artemisia",NA,NA,"Artemisia",NA,"Ludivanelem A.S",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Barro preto","-43.066667","-19.45","43°04' W","19°27' S",NA,"Uso medicinal. Planta naturalizada.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-01-28 13:11:22-03","MCN-PUC-MINAS","HPUC-MG","ANG5145","S","Plantae",NA,NA,"Malphiaceae","Byrsonima","cf. intermedia",NA,"Byrsonima cf. intermedia",NA,"Ludivanelem A.S","43",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Barro preto","-43.084111","-19.45925","43°05'02.8 W","19°27'33.3 S",NA,"Folhas opostas, simples. Inflorescência tipo: cacho",NA,NA,NA,NA,"767","767",NA,NA,NA,NA,NA,NA
"41","2020-01-28 13:11:25-03","MCN-PUC-MINAS","HPUC-MG","ANG5098","S","Plantae",NA,NA,"Myrtaceae","Campomanesia","guazumifolia",NA,"Campomanesia guazumifolia",NA,"JLPR","(127) 018",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Comunidade Indaiá","-43.1124992370605","-19.4493999481201",NA,NA,NA,"Fruto comestível",NA,NA,"22502","auto",NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-01-28 13:11:33-03","MCN-PUC-MINAS","HPUC-MG","ANG5139","S","Plantae",NA,NA,"Salicaceae","Casearia","cf. sylvestris",NA,"Casearia cf. sylvestris",NA,"Swerts","(63) 37",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira",NA,"-43.084192","-19.459889","43°05'03.09 W","19°27'35.6 S",NA,"Folhas alternas, simples",NA,NA,NA,NA,"796","796",NA,NA,NA,NA,NA,NA
"43","2020-01-28 13:11:13-03","MCN-PUC-MINAS","HPUC-MG","ANG5134","S","Plantae",NA,NA,"Fabaceae","Dalbergia","cf. nigra",NA,"Dalbergia cf. nigra",NA,"JLPR","110",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Comunidade Indaiá","-43.1124992370605","-19.4493999481201",NA,NA,NA,"Folhas compostas. Usada para construção",NA,NA,"22502","auto",NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-01-28 13:11:14-03","MCN-PUC-MINAS","HPUC-MG","ANG5142","S","Plantae",NA,NA,"Fabaceae","Desmodium","cf. tortuosum",NA,"Desmodium cf. tortuosum",NA,"Ludivanelem A.S","45",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Barro preto","-43.082722","-19.4565","43°04'57.8 W","19°27'23.4 S",NA,"Uso medicinal: combate a infecção interna",NA,NA,NA,NA,"687","687",NA,NA,NA,NA,NA,NA
"45","2020-01-28 13:11:01-03","MCN-PUC-MINAS","HPUC-MG","ANG5137","S","Plantae",NA,NA,"Asteraceae","Eremanthus",NA,NA,"Eremanthus",NA,"JLPR","(134) 25",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Comunidade Indaiá","-43.055417","-19.453083","43°3'19.5 W","19°27'11.1 S",NA,"Usada para lenha",NA,NA,NA,NA,"1006","1006",NA,NA,NA,NA,NA,NA
"46","2020-01-28 13:11:10-03","MCN-PUC-MINAS","HPUC-MG","ANG5089","S","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","cf. buxus",NA,"Erythroxylum cf. buxus",NA,"JLPR","(133) 24",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Comunidade Indaiá","-43.1124992370605","-19.4493999481201",NA,NA,NA,"Frutos amarronzados",NA,NA,"22502","auto",NA,NA,NA,NA,NA,NA,NA,NA
"47","2020-01-28 13:11:25-03","MCN-PUC-MINAS","HPUC-MG","ANG5149","S","Plantae",NA,NA,"Meliaceae","Guarea",NA,NA,"Guarea",NA,"R.F.Amilton","7",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Fazenda São Marcos","-43.070278","-19.423056","43°04'13 W","19°25'23 S",NA,NA,NA,NA,NA,NA,"618","618",NA,NA,NA,NA,NA,NA
"48","2020-01-28 13:10:58-03","MCN-PUC-MINAS","HPUC-MG","ANG5110","S","Plantae",NA,NA,"Anonaceae","Guatteria Cf.",NA,NA,"Guatteria Cf.",NA,"Swerts","(64) 038",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira",NA,"-43.072667","-19.455444","43°04'21.6 W","19°27'19.6 S",NA,"Folhas com superfície abaxial pilosa ferruginosa. Usada como lenha",NA,NA,NA,NA,"794","794",NA,NA,NA,NA,NA,NA
"49","2020-01-28 13:11:06-03","MCN-PUC-MINAS","HPUC-MG","ANG5113","S","Plantae",NA,NA,"Bignoniaceae","Handroanthus",NA,NA,"Handroanthus",NA,"JLPR",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Comunidade Indaiá","-43.1124992370605","-19.4493999481201",NA,NA,NA,"Parte abaxial pilosa",NA,NA,"22502","auto",NA,NA,NA,NA,NA,NA,NA,NA
"50","2020-01-28 13:11:33-03","MCN-PUC-MINAS","HPUC-MG","ANG5099","S","Plantae",NA,NA,"Rutaceae","Hortia","cf. brasiliana",NA,"Hortia cf. brasiliana",NA,"JLPR","(131) 022",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Comunidade Indaiá","-43.1124992370605","-19.4493999481201",NA,NA,NA,"Uso medicinal: Tratamento de verme e colesterol",NA,NA,"22502","auto",NA,NA,NA,NA,NA,NA,NA,NA
"51","2020-01-28 13:11:14-03","MCN-PUC-MINAS","HPUC-MG","ANG5119","S","Plantae",NA,NA,"Fabaceae","Hymenaea","cf. courbaril",NA,"Hymenaea cf. courbaril",NA,"JLPR","10",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Comunidade Indaiá","-43.1124992370605","-19.4493999481201",NA,NA,NA,"Folhas alternas, compostas",NA,NA,"22502","auto",NA,NA,NA,NA,NA,NA,NA,NA
"52","2020-01-28 13:11:19-03","MCN-PUC-MINAS","HPUC-MG","ANG5088","S","Plantae",NA,NA,"Lamiaceae","Hyptis",NA,NA,"Hyptis",NA,"Ludivanelem A.S","46",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Comunidade Indaiá","-43.072667","-19.452639","43°04'21.6 W","19°27'9.5 S",NA,"Uso medicinal: curar frieira",NA,NA,NA,NA,"702","702",NA,NA,NA,NA,NA,NA
"53","2020-01-28 13:11:14-03","MCN-PUC-MINAS","HPUC-MG","ANG5111","S","Plantae",NA,NA,"Fabaceae","Inga",NA,NA,"Inga",NA,"JLPR","(128) 19",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Comunidade Indaiá","-43.1124992370605","-19.4493999481201",NA,NA,NA,"Fruto comestível",NA,NA,"22502","auto",NA,NA,NA,NA,NA,NA,NA,NA
"54","2020-01-28 13:11:42-03","MCN-PUC-MINAS","HPUC-MG","PTF280","S","Plantae","Pteridophyta",NA,"Lygodiaceae","Lygodium","venustum",NA,"Lygodium venustum",NA,"Swerts","71",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Comunidade Quilombola - Barro preto","-43.086056","-19.453611","43° 05' 9.8'' W","19° 27' 13'' S",NA,"Caule vóluvel. Pinas estéreis",NA,NA,NA,NA,"674","674",NA,NA,NA,NA,NA,NA
"55","2020-01-28 13:11:09-03","MCN-PUC-MINAS","HPUC-MG","ANG5147","S","Plantae",NA,NA,"Cucurbitaceae","Momordica","cf. charantia",NA,"Momordica cf. charantia",NA,"Ludivanelem A.S","68",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Barro preto - Taquaral","-43.083333","-19.433333","43°05' W","19°26' S",NA,"Fruto amarelo quando maduro. Planta medicinal",NA,NA,NA,NA,"559","559",NA,NA,NA,NA,NA,NA
"56","2020-01-28 13:11:15-03","MCN-PUC-MINAS","HPUC-MG","ANG5093","S","Plantae",NA,NA,"Fabaceae","Mucuna",NA,NA,"Mucuna",NA,"Ludivanelem A.S","72",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Barro Preto","-43.097056","-19.445667","43°05'49.4 W","19°26'44.4 S",NA,"Uso medicinal. Fruto verde e piloso",NA,NA,NA,NA,"559","559",NA,NA,NA,NA,NA,NA
"57","2020-01-28 13:11:28-03","MCN-PUC-MINAS","HPUC-MG","ANG5104","S","Plantae",NA,NA,"Phytolaccaceae","Petiveria","alliacea",NA,"Petiveria alliacea",NA,"Ludivanelem A.S","62",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Barro Preto","-43.071408","-19.456417","43°04'17.07 W","19°27'23.1 S",NA,"Botão branco",NA,NA,NA,NA,"693","693",NA,NA,NA,NA,NA,NA
"58","2020-01-28 13:11:28-03","MCN-PUC-MINAS","HPUC-MG","ANG5103","S","Plantae",NA,NA,"Piperaceae","Piper",NA,NA,"Piper",NA,"Swerts (70) 050",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Barro Preto","-43.083333","-19.457028","43°05'00 W","19°27'25.3 S",NA,"Inflorescência tipo: espiga",NA,NA,NA,NA,"693","693",NA,NA,NA,NA,NA,NA
"59","2020-01-28 13:11:28-03","MCN-PUC-MINAS","HPUC-MG","ANG5095","S","Plantae",NA,NA,"Piperaceae","Piper","umbellatum",NA,"Piper umbellatum",NA,"Swerts","44",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira",NA,"-43.083056","-19.456694","43°04'59 W","19°27'24.1 S",NA,NA,NA,NA,NA,NA,"688","688",NA,NA,NA,NA,NA,NA
"60","2020-01-28 13:11:15-03","MCN-PUC-MINAS","HPUC-MG","ANG5144","S","Plantae",NA,NA,"Fabaceae","Piptadenia","gonoacantha",NA,"Piptadenia gonoacantha",NA,"Swerts","(69) 48",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira",NA,"-43.083611","-19.457639","43°05'01 W","19°27'27.5 S",NA,"Usada como madeira para cabo de ferramenta e usada para lenha",NA,NA,NA,NA,"721","721",NA,NA,NA,NA,NA,NA
"61","2020-01-28 13:11:30-03","MCN-PUC-MINAS","HPUC-MG","ANG5143","S","Plantae",NA,NA,"Polygalaceae","Polygonum","cf. punctatum",NA,"Polygonum cf. punctatum",NA,"Ludivanelem A.S","57",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Barro preto","-43.072028","-19.454694","43°04'19.3 W","19°27'16.9 S",NA,"Folhas alternas, simples. Mata bactéria do estômago",NA,NA,NA,NA,"694","694",NA,NA,NA,NA,NA,NA
"62","2020-01-28 13:10:57-03","MCN-PUC-MINAS","HPUC-MG","ANG5146","S","Plantae",NA,NA,"Adoxaceae","Sambucus",NA,NA,"Sambucus",NA,"Ludivanelem A.S","48",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Barro preto","-43.072083","-19.454667","43°04'19.5 W","19°27'16.8 S",NA,"Folhas opostas",NA,NA,NA,NA,"696","696",NA,NA,NA,NA,NA,NA
"63","2020-01-28 13:11:15-03","MCN-PUC-MINAS","HPUC-MG","ANG5123","S","Plantae",NA,NA,"Fabaceae","Senna",NA,NA,"Senna",NA,"Ludivanelem A.S","44",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Barro preto","-43.072639","-19.455556","43°04'21.5 W","19°27'20.0 S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","2020-01-28 13:11:22-03","MCN-PUC-MINAS","HPUC-MG","ANG5140","S","Plantae",NA,NA,"Malvaceae","Sida","cf. acuta",NA,"Sida cf. acuta",NA,"Ludivanelem A.S","45",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Barro preto","-43.082722","-19.4565","43°04'57.8 W","19°27'23.4 S",NA,"Estípulascom comprimento diferente. Usada para hidratar o cabelo",NA,NA,NA,NA,"687","687",NA,NA,NA,NA,NA,NA
"65","2020-01-28 13:11:22-03","MCN-PUC-MINAS","HPUC-MG","ANG5132","S","Plantae",NA,NA,"Malvaceae","Sida","cf. cordifolia",NA,"Sida cf. cordifolia",NA,"Ludivanelem A.S","70",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Barro preto","-43.097056","-19.445667","43°05'49.4 W","19°26'44.4 S",NA,"Folhas alternas, simples, sem estípluas",NA,NA,NA,NA,"559","559",NA,NA,NA,NA,NA,NA
"66","2020-01-28 13:11:33-03","MCN-PUC-MINAS","HPUC-MG","ANG5112","S","Plantae",NA,NA,"Siparunaceae","Siparuna","guianensis",NA,"Siparuna guianensis",NA,"Ludivanelem A.S","40",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Barro Preto","-43.084139","-19.450889","43°05'2.9 W","19°27'3.2 S",NA,"Folhas opostas, simples. Infrutescência verde arroxeada",NA,NA,NA,NA,"753","753",NA,NA,NA,NA,NA,NA
"67","2020-01-28 13:11:34-03","MCN-PUC-MINAS","HPUC-MG","ANG5087","S","Plantae",NA,NA,"Solanaceae","Solanum","lycocarpum",NA,"Solanum lycocarpum",NA,"Ludivanelem A.S","41",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira",NA,"-43.083611","-19.457639","43°05'01 W","19°27'27.5 S",NA,"Planta espinhosa, não urticante",NA,NA,NA,NA,"721","721",NA,NA,NA,NA,NA,NA
"68","2020-01-28 13:11:36-03","MCN-PUC-MINAS","HPUC-MG","ANG5106","S","Plantae",NA,NA,"Verbenaceae","Stachytarpheta","cf. cayennensis",NA,"Stachytarpheta cf. cayennensis",NA,"Ludivanelem A.S","56",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Barro Preto","-43.072083","-19.454694","43°04'19.5 W","19°27'16.9 S",NA,"Fruto redondo e verde. Uso medicinal: gripe e tosse",NA,NA,NA,NA,"696","696",NA,NA,NA,NA,NA,NA
"69","2020-01-28 13:11:15-03","MCN-PUC-MINAS","HPUC-MG","ANG5108","S","Plantae",NA,NA,"Fabaceae","Stylosanthes",NA,NA,"Stylosanthes",NA,"Ludivanelem A.S","45",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Comunidade Indaiá","-43.072667","-19.455444","43°04'21.6 W","19°27'19.6 S",NA,"Uso medicinal: chá para desinteria",NA,NA,NA,NA,"702","702",NA,NA,NA,NA,NA,NA
"70","2020-01-28 13:11:03-03","MCN-PUC-MINAS","HPUC-MG","ANG5148","S","Plantae",NA,NA,"Asteraceae","Tagetes","erecta",NA,"Tagetes erecta",NA,"N.D.Barros","7",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Fazenda São Marcos","-43.070833","-19.423611","43°04'15 W","19°25'25 S",NA,NA,NA,NA,NA,NA,"621","621",NA,NA,NA,NA,NA,NA
