"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","typeStatus","continentOcean","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","verbatimLongitude","verbatimLatitude","imagecode","yearIdentified","monthIdentified","dayIdentified","infraspecificEpithet","relatedCatalogItem"
"35","2015-07-02 14:03:28-03","JBP","HPL","5784","S","Plantae",NA,NA,NA,"Nyctaginaceae","Ramisia","brasiliensis","Ramisia brasiliensis","Glaziou","E.R. Salviani & H. Lorenzi","E.R. Salviani & H. Lorenzi","143","1998","07","22","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado na Fazenda Lorenzoni.",NA,NA,NA,NA,NA,NA,NA,"1998","07","22",NA,NA
"36","2015-07-02 14:03:28-03","JBP","HPL","5786","S","Plantae",NA,NA,NA,"Nyctaginaceae","Ramisia","brasiliensis","Ramisia brasiliensis","Glaziou","G.F. Arbocz","G.F. Arbocz","384","1994","05","18","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado nas margens da rodovia para São Gabriel.",NA,NA,NA,NA,NA,NA,NA,"1994","05","18",NA,NA
"37","2015-07-02 14:00:06-03","JBP","HPL","9325","S","Plantae",NA,NA,NA,"Acanthaceae","Ruellia",NA,"Ruellia",NA,NA,"R. Tsuji","2034","2007","08","22","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado na propriedade de Ademar Lorenzoni; nas proximidades do Córrego Castelã.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2015-07-02 14:00:06-03","JBP","HPL","144","S","Plantae",NA,NA,NA,"Acanthaceae","Ruellia","bahiensis","Ruellia bahiensis","Morong","E.R. Salviani & H. Lorenzi","E.R. Salviani & H. Lorenzi","1653","2000","10","12","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletada indo em sentido para São Domingos.",NA,NA,NA,NA,NA,NA,NA,"2000","10","12",NA,NA
"39","2015-07-02 14:00:07-03","JBP","HPL","163","S","Plantae",NA,NA,NA,"Acanthaceae","Ruellia","solitaria","Ruellia solitaria","Vell.","C. Kameyama","E.R. Salviani & H. Lorenzi","473","1999","08","21","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletada na Fazenda Lorenzoni.",NA,NA,NA,NA,NA,NA,NA,"1999","12","10",NA,NA
"40","2015-07-02 14:00:07-03","JBP","HPL","216","S","Plantae",NA,NA,NA,"Acanthaceae","Ruellia","subsessilis","Ruellia subsessilis","(Nees) Lindau","H. Lorenzi","H. Lorenzi","2157","2000","01","20","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletada na Fazenda Lorenzoni.",NA,NA,NA,NA,NA,NA,NA,"2012","06","22",NA,NA
"41","2015-07-02 14:01:48-03","JBP","HPL","2953","S","Plantae",NA,NA,NA,"Euphorbiaceae","Senefeldera","verticillata","Senefeldera verticillata","(Vell.) Croitat","V.C. Souza","E.R. Salviani & H. Lorenzi","1650","2000","10","12","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado na fazenda Lorenzoni.",NA,NA,NA,NA,NA,NA,NA,"2012","11","26",NA,NA
"42","2015-07-02 14:01:53-03","JBP","HPL","4381","S","Plantae",NA,NA,NA,"Fabaceae-Caesalpinioideae","Senna","cana","Senna cana","(Nees & Martius) H.S. Irwin & Barneby","H. Lorenzi","E.R. Salviani & H. Lorenzi","1780","2000","10","11","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletada nas proximidades da cidade.",NA,NA,NA,NA,NA,NA,NA,"2000","10","11",NA,NA
"43","2015-07-02 14:02:15-03","JBP","HPL","3037","S","Plantae",NA,NA,NA,"Gesneriaceae","Sinningia","brasiliensis","Sinningia brasiliensis","(Reg. & Schmidt) A. Chautems","H. Lorenzi","H. Lorenzi","3666","2003","03","03","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletada sobre rochas expostas ao sol em pontos com matéria organica.",NA,NA,NA,NA,NA,NA,NA,"2003","03","03",NA,NA
"44","2015-07-02 14:01:39-03","JBP","HPL","2876","S","Plantae",NA,NA,NA,"Elaeocarpaceae","Sloanea",NA,"Sloanea",NA,NA,"G.F. Arbocz","2327","1996","01","27","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletada nas proximidades da cidade em mata.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2015-07-02 14:04:23-03","JBP","HPL","7851","S","Plantae",NA,NA,NA,"Solanaceae","Solanum",NA,"Solanum",NA,NA,"G.F. Arbocz","2351","1996","01","28","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado nas proximidades do município de São Gabriel da Palha.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2015-07-02 14:02:41-03","JBP","HPL","4903","S","Plantae",NA,NA,NA,"Malpighiaceae","Stigmaphyllon","tomentosum","Stigmaphyllon tomentosum","A. Juss","H. Lorenzi","H. Lorenzi","3261","2002","04","05","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletada na Fazenda Lorenzoni.",NA,NA,NA,NA,NA,NA,NA,"2002","04","05",NA,NA
"47","2015-07-02 14:04:24-03","JBP","HPL","4556","S","Plantae",NA,NA,NA,"Styracaceae","Styrax","ferrugineus","Styrax ferrugineus","Nees. & Mart","H. Lorenzi","E.R. Salviani & H. Lorenzi","148","1998","07","23","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado na área dos Lorenzoni, no cafezal a beira da estrada.",NA,NA,NA,NA,NA,NA,NA,"2000","12","10",NA,NA
"48","2015-07-02 14:02:03-03","JBP","HPL","4559","S","Plantae",NA,NA,NA,"Fabaceae-Faboideae","Swartzia","flemmingi","Swartzia flemmingi","Raddi","E.R. Salviani & H. Lorenzi","E.R. Salviani & H. Lorenzi","153","1998","07","23","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletada no caminho para Nova Venécia.",NA,NA,NA,NA,NA,NA,NA,"1998","07","23",NA,NA
"49","2015-07-02 14:55:15-03","JBP","HPL","10340","S","Plantae",NA,NA,NA,"Arecaceae","Syagrus","lorenzoniorum","Syagrus lorenzoniorum",NA,"H. Lorenzi","R. Tsuji, H. Lorenzi, L. Noblick et al","2713","2008","06","22","Brasil","ES","São Gabriel da Palha","-40.4925","-19.033861",NA,NA,NA,NA,NA,NA,"Coletado no Córrego Comprido, Sítio Pedro Castelã.","200","200",NA,NA,"40° 29' 33,0 W","19° 02' 01,9 S",NA,"2009","06","20",NA,NA
"50","2015-07-02 14:42:03-03","JBP","HPL","11232","S","Plantae",NA,NA,NA,"Arecaceae","Syagrus","lorenzoniorum","Syagrus lorenzoniorum",NA,"H. Lorenzi","H. Lorenzi","6630","2009","02","12","Brasil","ES","São Gabriel da Palha","-40.4925","-19.033861",NA,NA,NA,NA,NA,NA,"Coletada na região de Corrego Comprido, no sítio de Pedro Castelã, em área rochosa.","200","200",NA,NA,"40° 29' 33 W","19° 02' 1,9 S",NA,"2009","02","12",NA,NA
"51","2015-07-02 14:42:51-03","JBP","HPL","3225","S","Plantae",NA,NA,NA,"Poaceae",NA,NA,NA,NA,NA,"E.R. Salviani & H. Lorenzi","466","1999","08","21","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletada na fazenda Lorenzoni.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2015-07-02 14:42:51-03","JBP","HPL","3241","S","Plantae",NA,NA,NA,"Poaceae",NA,NA,NA,NA,NA,"E.R. Salviani & H. Lorenzi","468","1999","08","21","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletada na Fazenda Lorenzoni.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2015-07-02 14:02:27-03","JBP","HPL","3867","S","Plantae",NA,NA,NA,"Lauraceae",NA,NA,NA,NA,NA,"E.R. Salviani & H. Lorenzi","1648","2000","10","12","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado na Fazenda Lorenzoni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2015-07-02 14:42:51-03","JBP","HPL","3224","S","Plantae",NA,NA,NA,"Poaceae",NA,NA,NA,NA,NA,"E.R. Salviani & H. Lorenzi","467","1999","08","21","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletada na Fazenda Lorenzoni.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","2015-07-02 14:04:14-03","JBP","HPL","7216","S","Plantae",NA,NA,NA,"Sapotaceae",NA,NA,NA,NA,NA,"E.R. Salviani","1647","2000","10","12","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado na Fazenda Gabriel Lorenzoni.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2015-07-02 14:01:54-03","JBP","HPL","4638","S","Plantae",NA,NA,NA,"Fabaceae-Faboideae","Acosmium","lentiscifolium","Acosmium lentiscifolium","Schott","H. Lorenzi","E.R. Salviani & H. Lorenzi","150","1998","07","23","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletada na área da fazenda Lorenzoni.",NA,NA,NA,NA,NA,NA,NA,"1998","07","23",NA,NA
"57","2015-07-02 14:01:54-03","JBP","HPL","4640","S","Plantae",NA,NA,NA,"Fabaceae-Faboideae","Acosmium","lentiscifolium","Acosmium lentiscifolium","Schott","A.G. Ribeiro","H. Lorenzi","12","1996","07","17","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletada nas proximidades da cidade.",NA,NA,NA,NA,NA,NA,NA,"1996","07","17",NA,NA
"58","2015-07-02 14:03:56-03","JBP","HPL","12949","S","Plantae",NA,NA,NA,"Rubiaceae","Alseis","floribunda","Alseis floribunda",NA,"P.G. Delprete","E.R. Salviani & H. Lorenzi","2848","1996","10","17","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado na fazenda Ipoméia. Material anterior e erroneamente tombado como HPL-6802.",NA,NA,NA,NA,NA,NA,NA,"2011","12","26",NA,NA
