"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","identifiedBy","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","typeStatus","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class"
"1237","2020-01-17 11:17:05-03","USP","SPF","195194","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Bignonia","sciuripabula","Bignonia sciuripabula","(K.Schum.) L.G.Lohmann","Zuntini, AR","163","2007","12","15",NA,"Brasil","Espírito Santo","Sooretama","Reserva Natural da CVRDEstrada do aceiro Caliman, 1km, saindo a direita da estrada Guaribu Sabão.","-39.970983","-19.15418","-39.970983","-19.15418",NA,"Liana. BAse do cálice verde claro, escurecendo em direção ao ápice; Lacíneos verde bandeira. Corola levemente rosadas. Lábios lilás. Filete alvo, anteras creme. Pistilo branco.","SPF00195194",NA,NA,"Zuntini, AR","2007","24","24",NA,NA,NA,NA,NA,NA
"1238","2019-11-13 11:24:24-03","USP","SPF","189722","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","stipulacea","Byrsonima stipulacea","A.Juss.","Lopes, MMM","1594","2008","05","01",NA,"Brasil","Espírito Santo","Sooretama","Reserva Natural Vale. Aceiro Caliman.","-39.99375","-19.1495","-39.99375","-19.1495",NA,"Árvaore 6 m. Folhas subcoriáceas fortente discolores. Frutos imaturos verdes escuros.","SPF00189722","SPF00189722",NA,"Siqueira, GS","2008","38","38",NA,"04",NA,NA,NA,NA
"1239","2019-11-13 11:25:08-03","USP","SPF","200933","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea",NA,"Calathea",NA,"Fiaschi, P; Pirani, JR; El Ottra, JHL; Augusto, V","3450","2011","01","17",NA,"Brasil","Espírito Santo","Sooretama","Reserva Biológica de Sooretama, Barra Seca, Estrada para a Lagoa do Macuco, ca. 10 km da BR-101.","-39.948389","-19.034972","-39.948389","-19.034972",NA,"Erva rizomatosa. Folhas com face abaxial mais ou menos glauca. Inflorescência com brácteas esverdeadas. Flores com cálice levemente rosado, corola alva.; Floresta de Tabuleiro (Mata Atlântica).","SPF00200933",NA,NA,NA,NA,"47","47",NA,NA,NA,NA,NA,NA
"1240","2020-01-17 11:17:05-03","USP","SPF","195202","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Callichlamys","latifolia","Callichlamys latifolia","(Rich.) K.Schum.","Zuntini, AR","171","2007","12","17",NA,"Brasil","Espírito Santo","Sooretama","Reserva Natural da CVRDAceiro Bico da Bota","-39.959945","-19.160874","-39.959945","-19.160874",NA,"Liana. Base do cálice verde, formando um anel; resto do tubo amarelo;interior do tubo e lábios amarelo ovo. Filetes espessos bege, anteras mais escuros. Forte aroma adocicado.","SPF00195202",NA,NA,"Zuntini, AR","2007","23","23",NA,NA,NA,NA,NA,NA
"1241","2020-01-17 11:17:05-03","USP","SPF","195201","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Callichlamys","latifolia","Callichlamys latifolia","(Rich.) K.Schum.","Zuntini, AR","175","2007","12","17",NA,"Brasil","Espírito Santo","Sooretama","Reserva Natural da CVRDEstrada Flamengo, km 1,5, lado direito","-39.999125","-19.155765","-39.999125","-19.155765",NA,"Liana. Base do Cálice verde e amarelando em direção ao ápice. Corola com base creme; tubo e lábios amarelo-ovo. Filetes grossos. Estames, estigma e estilete amarelo-ovo. aroma adocicado.","SPF00195201",NA,NA,"Zuntini, AR","2007","37","37",NA,NA,NA,NA,NA,NA
"1242","2019-11-13 11:31:15-03","USP","SPF","200912","PreservedSpecimen","Plantae",NA,NA,"Salicaceae","Casearia",NA,"Casearia",NA,"Fiaschi, P","3449","2011","01","17",NA,"Brasil","Espírito Santo","Sooretama","Reserva Biológica de Sooretama","-39.948389","-19.034972","-39.948389","-19.034972",NA,NA,"SPF00200912",NA,NA,NA,NA,"47","47",NA,NA,NA,NA,NA,NA
"1243","2019-11-13 11:32:06-03","USP","SPF","189707","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Cestrum",NA,"Cestrum",NA,"Lopes, MMM","1608","2008","05","03",NA,"Brasil","Espírito Santo","Sooretama",NA,"-40.0605","-19.156417","-40.0605","-19.156417",NA,NA,"SPF00189707",NA,NA,NA,NA,"83","83",NA,NA,NA,NA,NA,NA
"1244","2019-11-13 11:26:23-03","USP","SPF","202482","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Clarisia",NA,"Clarisia",NA,"Pirani, JR","6079","2011","01","17",NA,"Brasil","Espírito Santo","Sooretama","Reserva Biológica de Sooretama","-39.948389","-19.034972","-39.948389","-19.034972",NA,NA,"SPF00202482",NA,NA,NA,NA,"47","47",NA,NA,NA,NA,NA,NA
"1245","2019-11-13 11:29:19-03","USP","SPF","200959","PreservedSpecimen","Plantae",NA,NA,"Polygonaceae","Coccoloba",NA,"Coccoloba",NA,"Fiaschi, P","3455","2011","01","17",NA,"Brasil","Espírito Santo","Sooretama","Reserva Biológica de Sooretama","-39.948389","-19.034972","-39.948389","-19.034972",NA,NA,"SPF00200959",NA,NA,NA,NA,"47","47",NA,NA,NA,NA,NA,NA
"1246","2019-11-13 11:30:42-03","USP","SPF","202484","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Conchocarpus","cuneifolius","Conchocarpus cuneifolius cuneifolius","Nees & Mart.","Pirani, JR","6077","2011","01","17",NA,"Brasil","Espírito Santo","Sooretama","Reserva Biológica de Sooretama","-39.948389","-19.034972","-39.948389","-19.034972",NA,NA,"SPF00202484",NA,"cuneifolius","Pirani, JR","2011","47","47",NA,NA,NA,NA,NA,NA
