"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","scientificNameAuthorship","recordNumber","year","month","day","locality","continentOcean","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","class","previousCatalogNumber","typeStatus","infraspecificEpithet","relatedCatalogItem"
"21","2019-12-16 18:18:12-03","NYBG","NYBG","558659","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","blepharodes","Clidemia blepharodes","R. Goldenberg","2006",NA,"M. M. Arbo","Brazil","Espírito Santo","Conceiçao do Castelo","-41.13","-20.3",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=537369 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"DC.","7735","1997","01","27","1 km W de Venda Nova do Imigrante, entrada a Alto Bananeiras, 5-7 km de la rodovia BR-262","South America","-41.13","-20.30","sheet","NY00558659","NY00558659","900","900",NA,NA,NA,NA,NA,NA
"22","2019-12-16 18:20:15-03","NYBG","NYBG","01240867","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","cuneata","Leandra cuneata",NA,NA,NA,"M. M. Arbo","Brazil","Espírito Santo","Conceiçao do Castelo","-41.13","-20.3",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1469869 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"(Mart.) Cogn.","7727","1997","01","27","1 km W de Venda Nova do Imigrante, entrada a Alto Bananeiras, 5-7 km de la rodovia BR-262","South America","-41.13","-20.30","sheet","NY01240867","NY01240867","900","900",NA,NA,NA,NA,NA,NA
"23","2019-12-16 17:51:37-03","NYBG","NYBG","583486","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Verbena",NA,"Verbena",NA,NA,NA,"M. M. Arbo","Brazil","Espírito Santo","Conceiçao do Castelo","-41.13","-20.3",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=121329 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"7734","1997","01","27","1 km W de Venda Nova do Imigrante, entrada a Alto Bananeiras, 5-7 km de la rodovia BR-262","South America","-41.13","-20.30","sheet","NY00583486","NY00583486","900","900",NA,NA,NA,NA,NA,NA
"24","2019-12-16 17:10:59-03","NYBG","NYBG","1018642","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Micropholis",NA,"Micropholis",NA,NA,NA,"M. M. Saavedra","Brazil","Espírito Santo","Conceiçao do Castelo","-39.735","-18.6158",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1261454 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"510","2007","09","07","APA de Conceição da Barra, Restinga de Guriri.","South America","-39.7350","-18.6158","sheet","NY01018642","NY01018642","3","3",NA,NA,NA,NA,NA,NA
"25","2019-12-16 19:09:20-03","NYBG","NYBG","777613","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Marantaceae","Stromanthe","tonckat","Stromanthe tonckat","B. L. Andersson","1998",NA,"M. M. Arbo","Brazil","Espírito Santo","Conceiçao do Castelo","-41.13","-20.3",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=668975 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"(Aubl.) Eichler","7738","1997","01","27","1 km W de Venda Nova do Imigrante, entrada a Alto Bananeiras, 5-7 km de la rodovia BR-262","South America","-41.13","-20.30","sheet","NY00777613","NY00777613","900","900",NA,NA,NA,NA,NA,NA
"26","2019-12-16 18:51:09-03","NYBG","NYBG","644520","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Struthanthus","concinnus","Struthanthus concinnus","M. Sugiyama","1991",NA,"G. G. Hatschbach","Brazil","Espírito Santo","Conceiçao do Castelo","-41.2439","-20.3683",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402355 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"48642","1984","12","05","Rod. BR-262","South America","-41.2439","-20.3683","sheet","NY00644520",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-12-16 16:55:31-03","NYBG","NYBG","487184","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","ramosissima","Alternanthera ramosissima","T. M. Pedersen","1998",NA,"M. M. Arbo","Brazil","Espírito Santo","Conceiçao do Castelo","-41.13","-20.3",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=125527 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"(Mart.) Chodat","7728","1997","01","27","1 km W de Venda Nova do Imigrante, entrada a Alto Bananeiras, 5-7 km de la rodovia BR-262","South America","-41.13","-20.30","sheet","NY00487184","NY00487184","900","900",NA,NA,NA,NA,NA,NA
"28","2019-12-16 18:02:05-03","NYBG","NYBG","1280141","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Caryodendron","grandifolium","Caryodendron grandifolium",NA,NA,NA,"G. G. Hatschbach","Brazil","Espírito Santo","Conceiçao do Castelo","-41.256612","-20.378333",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1596932 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"50694","1986","11","06","Alto Bananal.","South America","-41.256612","-20.378333","sheet","NY01280141","NY01280141",NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-12-16 17:10:43-03","NYBG","NYBG","374972","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Chrysophyllum","viride","Chrysophyllum viride","T. D. Pennington",NA,NA,"G. G. Hatschbach","Brazil","Espírito Santo","Conceiçao do Castelo","-41.256612","-20.378333",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=85451 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Mart. & Eichler","49925","1985","10","18","Alto Bananal","South America","-41.256612","-20.378333","sheet","NY00374972","NY00374972","800","800",NA,NA,NA,NA,NA,NA
"30","2019-12-16 16:57:25-03","NYBG","NYBG","484879","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","mosenii","Coccoloba mosenii","E. de Melo","1998",NA,"G. G. Hatschbach","Brazil","Espírito Santo","Conceiçao do Castelo","-41.2439","-20.3683",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=405579 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Lindau","49402","1985","06","14","Ribeirao do Meio","South America","-41.2439","-20.3683","sheet","NY00484879","NY00484879",NA,NA,NA,NA,NA,NA,NA,NA
