"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","coordinatePrecision","individualCount","geoFlag","class","infraspecificEpithet","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","typeStatus","relatedCatalogItem"
"5899","2016-12-19 13:51:18-02","PERD","PERD","6","S","Plantae","Annonaceae","Guatteria",NA,"Guatteria",NA,NA,NA,NA,NA,"Costa, LV; Braga, PIS; Pereira, MCA","s.n.",NA,NA,NA,"Brasil","MG","Marliéria","Parque Estadual do Rio Doce, Próxima ao restaurante","-42.7322006225586","-19.7122001647949",NA,NA,"Arbóreo 6m. Semelhante a T6.296-EBC.",NA,NA,NA,NA,"28215",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"5900","2016-12-19 13:51:18-02","PERD","PERD","8","S","Plantae","Annonaceae","Guatteria",NA,"Guatteria",NA,NA,NA,NA,NA,"Costa, LV; Braga, PIS; Pereira, MCA","s.n.",NA,NA,NA,"Brasil","MG","Marliéria","Parque Estadual do Rio Doce","-42.7322006225586","-19.7122001647949",NA,NA,"Arbóreo",NA,NA,NA,NA,"28215",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"5901","2016-12-19 13:51:18-02","PERD","PERD","105","S","Plantae","Adiantaceae","Hemionitis","tomentosa","Hemionitis tomentosa","(Lam.) Trevis.","Graçano, D","1996","08","29","Graçano, D; Azevedo, AA; Valente, GE","206","1996","08","29","Brasil","MG","Marliéria","Parque Estadual do Rio Doce, Trilha da Campolina.","-42.7322006225586","-19.7122001647949",NA,NA,"Epífita em tronco caído.",NA,NA,NA,NA,"28215",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"5902","2016-12-19 13:51:31-02","PERD","PERD","845","S","Plantae","Malvaceae","Hibiscus","bifurcatus","Hibiscus bifurcatus","Cav.","Pivari, MO","2007","12","20","Pivari, MO; Oliveira, VB","727","2007","12","20","Brasil","Minas Gerais","Marliéria","Lagoa do Jacaré","-42.647222","-19.806667","-42.647222","-19.806667","Arbusto, ca. 1,5m alt., anfíbio. Corola rosa.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"264","264",NA,NA,NA
"5903","2016-12-19 13:51:32-02","PERD","PERD","684","S","Plantae","Malvaceae","Hibiscus","rosa-sinensis","Hibiscus rosa-sinensis","L.",NA,NA,NA,NA,"Araújo, TAC; Souza, NR; Brito, FM; Gomes, NEA; Cordeiro, AM; Saturnino, GT","s.n.","2005","01","05","Brasil","MG","Marliéria","Parque Estadual do Rio Doce, Centro de Pesquisas.","-42.7322006225586","-19.7122001647949",NA,NA,"Arvoreta ca. 3m de alt., encontrada em local aberto, com flores vermelhas e botões florais.",NA,NA,NA,NA,"28215",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"5904","2016-12-19 13:51:32-02","PERD","PERD","844","S","Plantae","Malvaceae","Hibiscus","sororius","Hibiscus sororius","L.","Pivari, MO","2008","11","11","Pivari, MO; Costa, FM; Ferreira, RM","1135","2008","11","11","Brasil","Minas Gerais","Marliéria","Parque Estadual do Rio Doce - Lagoa Don Helvécio","-42.604167","-19.790278","-42.604167","-19.790278","Arbsuto, ca. 0,6m alt., em solo orgânico flutuante (histossolo). Flores roxas, frutos avermelhados.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"268","268",NA,NA,NA
"5905","2016-12-19 13:51:32-02","PERD","PERD","850","S","Plantae","Malvaceae","Hibiscus","sororius","Hibiscus sororius","L.","Pivari, MO","2009","07","25","Pivari, MO; Oliveira, VB","1393","2009","07","26","Brasil","Minas Gerais","Marliéria","Parque Estadual do Rio Doce - Lagoa Central","-42.571111","-19.631111","-42.571111","-19.631111","Arbusto, ca. 0,6m alt., em vegetação aquática flutuante às margens da lagoa. Flores roxas, frutos verdes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"260","260",NA,NA,NA
"5906","2016-12-19 13:51:20-02","PERD","PERD","709","S","Plantae","Chrysobalanaceae","Hirtella","gracilipes","Hirtella gracilipes","(Hook. f.) Prance",NA,NA,NA,NA,"?","s.n.",NA,NA,NA,"Brasil","MG","Marliéria","Parque Estadual do Rio Doce","-42.7322006225586","-19.7122001647949",NA,NA,"Planta coletada com flores e frutos.",NA,NA,NA,NA,"28215",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"5907","2016-12-19 13:51:20-02","PERD","PERD","801","S","Plantae","Chrysobalanaceae","Hirtella","gracilipes","Hirtella gracilipes","(Hook. f.) Prance","Pivari, MO","2007","12","20","Pivari, MO; Oliveira, VB","747","2007","12","20","Brasil","Minas Gerais","Marliéria","Lagoa do Jacaré","-42.647222","-19.806667","-42.647222","-19.806667","Árvore, ca. 4m alt., em vegetação ciliar. Corola branca com bordo roxo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"264","264",NA,NA,NA
"5908","2016-12-19 13:51:20-02","PERD","PERD","674","S","Plantae","Chrysobalanaceae","Hirtella","gracilipes","Hirtella gracilipes","(Hook. f.) Prance",NA,NA,NA,NA,"Adriano, GS","s.n.","2003","08","16","Brasil","MG","Marliéria","Parque Estadual do Rio Doce, Lagoa Carioca.","-42.7322006225586","-19.7122001647949",NA,NA,"Beira da lagoa. Arvoreta ca. 3m de alt., com flores de coloração arroxeada.",NA,NA,NA,NA,"28215",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
