"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","scientificName","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","specificEpithet","scientificNameAuthorship","recordNumber","locality","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","occurrenceRemarks","phylum","continentOcean","minimumElevationInMeters","maximumElevationInMeters","class","order"
"26","2019-12-06 15:20:07-03","MBM","MBM","423095","S","Plantae","Salviniaceae","Salvinia","Salvinia herzogii","Cafofo, E.; Felitto, G.; Felitto, G.","2019","03","16","Brazil","Minas Gerais","Resplendor","-41.2375","-19.343889",NA,"MBM423095",NA,NA,"herzogii","de la Sota","s.n.",NA,"Cafofo, E.","2019",NA,NA,"-41.2375","-19.343889",NA,NA,"Southern America","89","89",NA,NA
"27","2019-12-06 14:51:12-03","MBM","MBM","418924","S","Plantae","Fabaceae","Sesbania","Sesbania virgata","Marinero, F.; Nardin, E.C.; Nardin, E.C.","2019","02","15","Brazil","Minas Gerais","Resplendor","-41.220278","-19.351111",NA,"MBM418924",NA,NA,"virgata","(Cav.) Pers.","1184","Rio Doce","Cordeiro, J.; Marinero, F.","2019","03","12","-41.220278","-19.351111",NA,NA,"Southern America","89","89",NA,NA
"28","2019-12-06 14:45:59-03","MBM","MBM","418916","S","Plantae","Fabaceae","Aeschynomene","Aeschynomene denticulata","Marinero, F.; Nardin, E.C.; Nardin, E.C.","2019","02","14","Brazil","Minas Gerais","Resplendor","-41.237778","-19.343056",NA,"MBM418916",NA,NA,"denticulata","Rudd","1176","Próximo ao restaurante Bixu de pé","Marinero, F.","2019","03","13","-41.237778","-19.343056",NA,NA,"Southern America","89","89",NA,NA
"29","2019-12-06 14:24:21-03","MBM","MBM","418917","S","Plantae","Amaranthaceae","Alternanthera","Alternanthera philoxeroides","Marinero, F.; Nardin, E.C.; Nardin, E.C.","2019","02","14","Brazil","Minas Gerais","Resplendor","-41.237778","-19.343056",NA,"MBM418917",NA,NA,"philoxeroides","(Mart.) Griseb.","1177","Próximo ao restaurante Bixu de pé","Cordeiro, J.; Nardin, E.C.","2019","04","02","-41.237778","-19.343056",NA,NA,"Southern America","89","89",NA,NA
"30","2019-12-06 14:47:12-03","MBM","MBM","420736","S","Plantae","Fabaceae","Chamaecrista","Chamaecrista rotundifolia","Felitto, G.; Cafofo, E.; Cafofo, E.","2019","02","01","Brazil","Minas Gerais","Resplendor","-41.303333","-19.251389",NA,"MBM420736",NA,NA,"rotundifolia","(Pers.) Greene","s.n.","Crenaque","Felitto, G.",NA,NA,NA,"-41.303333","-19.251389",NA,NA,"Southern America","95","95",NA,NA
"31","2019-12-06 14:47:29-03","MBM","MBM","421441","S","Plantae","Fabaceae","Crotalaria","Crotalaria pallida","Felitto, G.; Cafofo, E.; Cafofo, E.","2019","02","01","Brazil","Minas Gerais","Resplendor","-41.284722","-19.266944",NA,"MBM421441",NA,NA,"pallida","Ait.","s.n.","Horácio","Felitto, G.","2019",NA,NA,"-41.284722","-19.266944",NA,NA,"Southern America","96","96",NA,NA
"32","2019-12-06 14:41:18-03","MBM","MBM","418919","S","Plantae","Cyperaceae","Cyperus","Cyperus blepharoleptos","Marinero, F.; Nardin, E.C.; Nardin, E.C.","2019","02","14","Brazil","Minas Gerais","Resplendor","-41.237778","-19.343056",NA,"MBM418919",NA,NA,"blepharoleptos","Steud.","1179","Próximo ao restaurante Bixu de pé","Marinero, F.","2019","03","19","-41.237778","-19.343056",NA,NA,"Southern America","89","89",NA,NA
"33","2019-12-06 15:14:28-03","MBM","MBM","418750","S","Plantae","Poaceae","Echinochloa","Echinochloa colona","Felitto, G.; Cafofo, E.; Cafofo, E.","2019","03","15","Brazil","Minas Gerais","Resplendor","-41.281944","-19.271111",NA,"MBM418750",NA,NA,"colona","(L.) Link","s.n.","Horácio","Marinero, F.","2019","05","13","-41.281944","-19.271111",NA,NA,"Southern America","97","97",NA,NA
"34","2019-12-06 14:41:37-03","MBM","MBM","418926","S","Plantae","Cyperaceae","Eleocharis","Eleocharis sellowiana","Marinero, F.; Nardin, E.C.; Nardin, E.C.","2019","02","15","Brazil","Minas Gerais","Resplendor","-41.220278","-19.351111",NA,"MBM418926",NA,NA,"sellowiana","Kunth","1186","Rio Doce","Marinero, F.","2019","03","19","-41.220278","-19.351111",NA,NA,"Southern America","89","89",NA,NA
"35","2019-12-06 15:03:00-03","MBM","MBM","418909","S","Plantae","Malvaceae","Gaya","Gaya domingensis","Marinero, F.; Nardin, E.C.; Nardin, E.C.","2019","02","14","Brazil","Minas Gerais","Resplendor","-41.253889","-19.301944",NA,"MBM418909",NA,NA,"domingensis","Urban","1169","Rio Doce","Marinero, F.","2019","04","06","-41.253889","-19.301944",NA,NA,"Southern America","99","99",NA,NA
