"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","phylum","continentOcean","typeStatus","preparationType","imagecode","class","order"
"11","2015-07-02 14:04:23-03","JBP","HPL","7008","S","Plantae","Solanaceae","Solanum","cernum","Solanum cernum",NA,"R. Tsuji, H. Lorenzi et al.","2007","01","28","R. Tsuji, H. Lorenzi et al.","1588","2007","01","28","Brasil","MG","Belo Oriente","Coletado na estrada não pavimentada, atrás da fábrica da CENIBRA.","-42.4836","-19.22","17433","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2015-07-02 14:55:47-03","JBP","HPL","12941","S","Plantae","Rubiaceae","Sphinctanthus",NA,"Sphinctanthus",NA,NA,NA,NA,NA,"H. Lorenzi, E.A. de Melo & M. Lacerda","7148","2012","02","22","Brasil","MG","Belo Oriente","Coletado no Vale do rio Doce, na BR-381, estrada de Ipatinga sentido Governador Valadares, cerca de 29 km de Ipatinga, na frente do posto da polícia rodoviária; em área de floresta estacional secundária, com copa de 15-25 cm de altura, sobre solo aluvial","-43.386389","-19.305833",NA,NA,"43° 23' 11 W","19° 18' 21 S","200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2015-07-02 14:02:35-03","JBP","HPL","7004","S","Plantae","Loganiaceae","Spigelia",NA,"Spigelia",NA,NA,NA,NA,NA,"R. Tsuji, H. Lorenzi et al.","1584","2007","01","28","Brasil","MG","Belo Oriente","Coletado na estrada não pavimentada, atrás da fábrica da CENIBRA.","-42.4836","-19.22","17433","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2015-07-02 14:02:09-03","JBP","HPL","6992","S","Plantae","Fabaceae-Mimosoideae","Stryphnodendron","polyphyllum","Stryphnodendron polyphyllum",NA,"R. Tsuji","2007","02","12","R. Tsuji, H. Lorenzi et al.","1572","2007","01","28","Brasil","MG","Belo Oriente","Coletado na estrada não pavimentada, atrás da fábrica da CENIBRA.","-42.4836","-19.22","17433","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2015-07-02 14:02:09-03","JBP","HPL","9356","S","Plantae","Fabaceae-Mimosoideae","Stryphnodendron","polyphyllum","Stryphnodendron polyphyllum",NA,"R. Tsuji","2007","08","26","R. Tsuji","2065","2007","08","26","Brasil","MG","Belo Oriente","Coletado nas proximidades da estrada às margens da Lagoa do Jacaré (área da CENIBRA).","-42.4836","-19.22","17433","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2015-07-02 14:02:05-03","JBP","HPL","6995","S","Plantae","Fabaceae-Mimosoideae","Anadenanthera","colubrina","Anadenanthera colubrina",NA,"R. Tsuji, H. Lorenzi et al.","2007","01","28","R. Tsuji, H. Lorenzi et al.","1575","2007","01","28","Brasil","MG","Belo Oriente","Estrada ligando a BR-381 a cidade de Belo Oriente-MG","-42.4836","-19.22","17433","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2015-07-02 14:03:09-03","JBP","HPL","11841","S","Plantae","Myrtaceae","Campomanesia","laurifolia","Campomanesia laurifolia",NA,NA,NA,NA,NA,"H. Lorenzi","6737","2009","09","09","Brasil","MG","Belo Oriente","No distrito de Brauninha","-42.4836","-19.22","17433","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2015-07-02 14:01:57-03","JBP","HPL","12132","S","Plantae","Fabaceae-Faboideae","Centrolobium","microchaete","Centrolobium microchaete",NA,"H. Lorenzi","2009","09","09","H. Lorenzi","6739","2009","09","09","Brasil","MG","Belo Oriente","Coletado no distrito de Brauninha, em mata a 250 m de altitude.","-42.4836","-19.22","17433","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2015-07-02 14:01:28-03","JBP","HPL","7002","S","Plantae","Commelinaceae","Dichorisandra",NA,"Dichorisandra",NA,NA,NA,NA,NA,"R. Tsuji, H. Lorenzi et al.","1582","2007","01","28","Brasil","MG","Belo Oriente","Coletado na estrada não pavimentada, atrás da fábrica da CENIBRA.","-42.4836","-19.22","17433","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2015-07-02 14:55:41-03","JBP","HPL","7005","S","Plantae","Polygalaceae","Diclidanthera",NA,"Diclidanthera",NA,NA,NA,NA,NA,"R. Tsuji, H. Lorenzi et al.","1585","2007","01","28","Brasil","MG","Belo Oriente","Coletado na estrada não pavimentada, atrás da fábrica da CENIBRA.","-42.4836","-19.22","17433","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
