"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","individualCount","infraspecificEpithet"
"12","2019-10-02 15:01:38-03","UFMG","BHCB","84916","PreservedSpecimen","Plantae","Dicotyledon",NA,"Podostemaceae","Apinagia",NA,"Apinagia",NA,"Philbrick, CT; Novello, AR","5732","2002","07","25","Southern America","Brasil","Minas Gerais","Coroaci","Rio Suaçuí, A small river ca. 3m wide. 10 km S of town of Coroaci, 7 km N of intersection with BR 259 (road to Sta Efigéna)","-42.248356","-18.669167","-42.248356","-18.669167","364","364",NA,"Collected in the same general location as Crenias sp and Tristicha trifaria","BHCB016311",NA,NA,"2002",NA,NA,"07","25",NA,NA
"13","2019-10-02 15:03:22-03","UFMG","BHCB","46892","PreservedSpecimen","Plantae","Dicotyledon",NA,"Siparunaceae","Siparuna","brasiliensis","Siparuna brasiliensis",NA,"Tameirão Neto, E","s.n.","1998","11","18","Southern America","Brasil","Minas Gerais","Coroaci",NA,"-42.2858009338379","-18.6219005584717",NA,NA,NA,NA,NA,"Usina de Tronqueiras, rio Tronqueiras. Arbustivo.",NA,NA,"(Spreng.) A.DC.",NA,"24192","auto",NA,NA,NA,NA
"14","2019-10-02 14:55:25-03","UFMG","BHCB","46903","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lauraceae","Ocotea","nutans","Ocotea nutans",NA,"Tameirão Neto, E","s.n.","1998","11","18","Southern America","Brasil","Minas Gerais","Coroaci",NA,"-42.2858009338379","-18.6219005584717",NA,NA,NA,NA,NA,"Arbóreo, nome vulgar: canela",NA,NA,"(Nees) Mez",NA,"24192","auto",NA,NA,NA,NA
"15","2019-10-02 14:55:23-03","UFMG","BHCB","46893","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lauraceae","Ocotea","brachybotrya","Ocotea brachybotrya",NA,"Tameirão Neto, E","s.n.","1998","11","18","Southern America","Brasil","Minas Gerais","Coroaci",NA,"-42.2858009338379","-18.6219005584717",NA,NA,NA,NA,NA,"Arbustivo.",NA,NA,"(Meisn.) Mez",NA,"24192","auto",NA,NA,NA,NA
"16","2019-10-02 14:54:05-03","UFMG","BHCB","46906","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Inga","flagelliformis","Inga flagelliformis",NA,"Tameirão Neto, E","2772","1998","11","18","Southern America","Brasil","Minas Gerais","Coroaci","Usina de Tronqueiras, Rio Tronqueiras","-42.2858009338379","-18.6219005584717",NA,NA,NA,NA,NA,"Arbóreo; Floresta Semidecidua","BHCB031230",NA,"(Vell.) Mart.","2011","24192","auto","09","28",NA,NA
"17","2019-10-02 15:08:28-03","UFMG","BHCB","46907","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Olyra","micrantha","Olyra micrantha",NA,"Tameirão Neto, E","2773","1998","11","18","Southern America","Brasil","Minas Gerais","Coroaci","Usina de Tronqueiras, Rio Tronqueiras","-42.2858009338379","-18.6219005584717",NA,NA,NA,NA,NA,"Subarbustivo; Floresta Semidecidual","BHCB039319",NA,"Kunth","2000","24192","auto","06","04",NA,NA
"18","2019-10-02 14:53:16-03","UFMG","BHCB","46889","PreservedSpecimen","Plantae","Dicotyledon",NA,"Euphorbiaceae","Manihot",NA,"Manihot",NA,"Tameirão Neto, E","2755","1998","11","18","Southern America","Brasil","Minas Gerais","Coroaci","Usina de Tronqueiras, Rio Tronqueiras.","-42.2858009338379","-18.6219005584717",NA,NA,NA,NA,NA,"Arbustivo.; Floresta Semidecidual.","BHCB013792",NA,"Mill.",NA,"24192","auto",NA,NA,NA,NA
"19","2019-10-02 14:53:06-03","UFMG","BHCB","46911","PreservedSpecimen","Plantae","Dicotyledon",NA,"Euphorbiaceae","Croton","echinocarpus","Croton echinocarpus",NA,"Tameirão Neto, E","2777","1998","11","18","Southern America","Brasil","Minas Gerais","Coroaci","Usina de Tronqueiras. Rio Tronqueiras.","-42.2858009338379","-18.6219005584717",NA,NA,NA,NA,NA,"Arbóreo.; Floresta semidecidual.","BHCB010167",NA,"Müll.Arg.","2008","24192","auto","09",NA,NA,NA
"20","2019-10-02 14:52:54-03","UFMG","BHCB","46913","PreservedSpecimen","Plantae","Dicotyledon",NA,"Erythroxylaceae","Erythroxylum","pelleterianum","Erythroxylum pelleterianum",NA,"Tameirão Neto, E","2779","1998","11","18","Southern America","Brasil","Minas Gerais","Coroaci","Usina de Tronqueiras. Rio Tronqueiras.","-42.2858009338379","-18.6219005584717",NA,NA,NA,NA,NA,"Hábito árboreo.; Floresta Semidecidual","BHCB022785",NA,"A.St.-Hil.","2015","24192","auto","03","16",NA,NA
"21","2019-10-02 14:51:01-03","UFMG","BHCB","46890","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Verbesina","glabrata","Verbesina glabrata",NA,"Tameirão Neto, E","2756","1998","11","18","Southern America","Brasil","Minas Gerais","Coroaci","Usina de Tronqueiras. Rio Tronqueiras.","-42.2858009338379","-18.6219005584717",NA,NA,NA,NA,NA,"Arbustivo.; Floresta Semidecidual.","BHCB020389",NA,"Hook. & Arn.","2000","24192","auto","04",NA,NA,NA
"22","2019-10-02 15:03:04-03","UFMG","BHCB","46899","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus",NA,"Tameirão Neto, E","2765","1998","11","18","Southern America","Brasil","Minas Gerais","Coroaci","Usina de Tronqueiras. Rio Tronqueiras.","-42.2858009338379","-18.6219005584717",NA,NA,NA,NA,NA,"Árvore; Floresta semidecidual","BHCB020982",NA,"(Miq.) Radlk.","2014","24192","auto","06","05",NA,NA
"23","2019-05-02 10:54:44-03","IBt","SP-BRYOPHYTA","134961","S","Plantae",NA,NA,"Meteoriaceae","Papillaria","hyalinotricha","Papillaria hyalinotricha",NA,"Vital, D.M.","5869","1976","03","28","Southern America","BRASIL","Minas Gerais","Coroaci",NA,"-42.285833","-18.621944","-42.285833","-18.621944","460","460",NA,"on a trunk of an isolated tree","SP071572",NA,"Müll. Hal.",NA,NA,NA,NA,NA,NA,NA
"24","2019-05-02 10:55:19-03","IBt","SP-BRYOPHYTA","134963","S","Plantae",NA,NA,"Pottiaceae",NA,NA,NA,NA,"Vital, D.M.","5872","1976","03","28","Southern America","BRASIL","Minas Gerais","Coroaci",NA,"-42.285833","-18.621944","-42.285833","-18.621944","460","460",NA,"on the edge of the bank","SP071574",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-05-02 10:53:13-03","IBt","SP-BRYOPHYTA","134962","S","Plantae",NA,NA,"Fissidentaceae","Fissidens","flaccidus","Fissidens flaccidus","Bordin, J.","Vital, D.M.","5870","1976","03","28","Southern America","BRASIL","Minas Gerais","Coroaci",NA,"-42.285833","-18.621944","-42.285833","-18.621944","460","460",NA,"on the border of a small waterfall","SP071573",NA,"Mitt.","2009",NA,NA,"11",NA,NA,NA
