"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","relatedCatalogItem","typeStatus","class"
"11","2020-03-09 08:20:39-03","UFPR","UPCB","65682","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina",NA,"Tibouchina",NA,"Saavedra, M.M.","916","2009","05","31",NA,"Brasil","Minas Gerais","Mutum","Localidade de Imbiruçu, Pedra Santa, a 6 km da BR-262. Campo de altitude alterado.","-41.433333","-20.166667","-41.433333","-20.166667",NA,"Arvoreta, ca. 2m alt., ramos ferrugíneos, folhas discolores, pecíolos vermelhos, nervuras conspícuas na face abaxial, flores roxas..","UPCB0036699","UPCB0036699",NA,NA,NA,NA,NA,NA,"1317","1317",NA,NA,NA
"12","2020-03-09 08:20:43-03","UFPR","UPCB","79744","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","heteromalla","Tibouchina heteromalla","(D.Don.) Cogn.","Saraiva, D.P. | Hmeljeviski, K.V.","60","2011","02","09",NA,"Brasil","Minas Gerais","Mutum","Localidade de São Roque. Estrada Lajinha-Mutum. Afloramento na propriedade do Sr. Vitalino. Inselbergue.","-41.495","-19.940278","-41.495000","-19.940278",NA,"Arbusto frequente no inselberg com até 1,5m alt. Folhas verdes discolores. Cálice verde. Corola roxa. Estames roxos..",NA,NA,NA,NA,"Guimarães, P.","2011",NA,NA,"289","289",NA,NA,NA
"13","2020-03-10 05:00:04-03","MNHN","RECOLNAT_GLAZIOU","P06623020","S","Plantae",NA,NA,"Malvaceae","Bombax","stenopetalum","Bombax stenopetalum","K.Schum.","Glaziou","3666","1869","7","3",NA,"Brasil","Minas Gerais","Mutum",NA,"-41.4383010864258","-19.7999992370605",NA,NA,"hb","operation de numerisation 2010-2012","P06623020","P06623020_01","45079","auto",NA,NA,NA,NA,NA,NA,"P06623020",NA,NA
"14","2020-03-10 05:00:04-03","MNHN","RECOLNAT_GLAZIOU","P06623020","S","Plantae",NA,NA,"Malvaceae","Eriotheca","candolleana","Eriotheca candolleana","(K.Schum.) A.Robyns","Glaziou","3666","1869","7","3",NA,"Brasil","Minas Gerais","Mutum",NA,"-41.4383010864258","-19.7999992370605",NA,NA,"hb",NA,"P06623020","P06623020_01","45079","auto","Carvalho-Sobrinho","10/2013",NA,NA,NA,NA,"P06623020",NA,NA
"15","2018-03-14 14:30:16-03","MBML","MBML-HERBARIO","23181",NA,"Plantae",NA,NA,"Orchidaceae","Epidendrum","josianae","Epidendrum josianae",NA,"M. Frey; et al","711","2004","11","10",NA,"Brasil","Minas Gerais","Mutum","Pedra Santa (Imbiruçu)","-41.439444","-19.814722","41W26'22","19S48'53",NA,"Ocorre num inselberg granítico de altitude aproximada de 1200 metros, evitando áreas muito vegetalizadas, consorciado com vellozias e bromélias que crescem no litosolo. Folhas verdes e flores de cor verde oliva com a coluna e a base do","MBML023181","MBML023181_1 MBML023181_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HOLOTIPO",NA
"16","2017-09-14 11:48:30-03","MBML","MBML-HERBARIO","40881",NA,"Plantae",NA,NA,"Myrsinaceae","Myrsine","gardneriana","Myrsine gardneriana",NA,"M.M. Saavedra; L.Menini Neto, R.C. Forzza & J.C. Silva","909","2009","05","31",NA,"Brasil","Minas Gerais","Mutum","Imbiruçu, Pedra Santa, a 6km da BR-262. Campo de altitude alterado","-41.434167","-20.176389","41W26'3","20S10'35",NA,"Arvoreta ca 1,5m alt., folhas discolores, flores verde claro, no campo","MBML040881",NA,NA,NA,"M.F. Freitas/2010",NA,NA,NA,"1317","1317",NA,NA,NA
"17","2020-02-19 14:10:20-03","MBML","MBML-HERBARIO","24005",NA,"Plantae",NA,NA,"Orchidaceae","Pseudolaelia","citrina","Pseudolaelia citrina",NA,"M. Frey; et al","514","2003","06","13",NA,"Brasil","Minas Gerais","Mutum","Imbiruçu, Pedra Santa","-41.439444","-19.814722","41W26'22","19S48'53",NA,"Folhas arroxeadas e flores amarelas com dorso roxo. Ocorre num inselberg granítico de altitude aproximada de 1200 metros, evitando áreas muito vegetalizadas, consorciado com vellozias e bromélias que crescem no litosolo.","MBML024005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2017-09-14 11:45:33-03","MBML","MBML-HERBARIO","39436",NA,"Plantae",NA,NA,"Gentianaceae","Schultesia","gracilis","Schultesia gracilis",NA,"M.M. Saavedra; R.C.Forzza, L.Menini Neto & J.C.Silva.","900","2009","05","31",NA,"Brasil","Minas Gerais","Mutum","Localidade de Imbiraçu, Pedra Santa, a 6km da BR-262. Campo de altitude alterado.","-41.434167","-20.176389","41W26'3","20S10'35",NA,"Erva em solo encharcado por briófitas sobre a pedra, cálice alado verde, corola amarela.","MBML039436","MBML039436",NA,NA,"J.M.A.Braga/01-X-1997",NA,NA,NA,NA,NA,NA,NA,NA
"19","2017-09-14 11:45:41-03","MBML","MBML-HERBARIO","42265",NA,"Plantae",NA,NA,"Gesneriaceae","Sinningia","brasiliensis","Sinningia brasiliensis",NA,"D.P. Saraiva; J. Silva, K.V. Hmeljeviski, R.C. Forzza & N.Vasconcelos","66","2011","02","09",NA,"Brasil","Minas Gerais","Mutum","Imbiruçú. Estrada de Imbiruçú para BR 262. Pedra Santa. Inselbergue","-41.432222","-20.175","41W25'56","20S10'30",NA,"Erva frequente no inselberg. Folhas verdes discolores. Caule e pedicelos róseos. Frutos verdes com ápice vináceo","MBML042265","MBML042265",NA,NA,NA,NA,NA,NA,"1204","1204",NA,NA,NA
"20","2017-09-14 11:45:42-03","MBML","MBML-HERBARIO","42585",NA,"Plantae",NA,NA,"Gesneriaceae","Vanhouttea",NA,"Vanhouttea",NA,"D.P. Saraiva; J. Silva, K.V. Hmeljeviski, R. C. Forzza & N.Vasconcelos","64","2011","02","09",NA,"Brasil","Minas Gerais","Mutum","Imbiruçú. Estrada de Imbiruçú para BR262. Pedra Santa. inselbergue","-41.432222","-20.175","41W25'56","20S10'30",NA,"Erva bastante frequente no inselberg. Folhas verdes discolores. Flores com cálice verde, corola vermelha e estames amarelos","MBML042585","MBML042585",NA,NA,NA,NA,NA,NA,"1204","1204",NA,NA,NA
"21","2020-01-31 11:24:09-03","CVRD","CVRD","9995","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","psammophila","Pouteria psammophila","(Mart.) Radlk.","Luz, A.A. da","370","2007","02","27","América do Sul","BRASIL","MG","Mutum",NA,"-41.4383010864258","-19.7999992370605",NA,NA,NA,"<ll>dwc_commonname:</ll> Leiteiro branco","CVRD009995",NA,"45079","auto","Geovane S. Siqueira","2007","03","19",NA,NA,NA,NA,"Magnoliopsida"
"22","2020-01-31 13:35:07-03","CVRD","CVRD","9721","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Poeppigia","procera","Poeppigia procera","C. Presl.","Luz, A.A. da","350","2006","08","18","América do Sul","BRASIL","MG","Mutum",NA,"-41.4383010864258","-19.7999992370605",NA,NA,NA,"Próximo ao córrego do bronze <ll>dwc_commonname:</ll> Côco d'óleo","CVRD009721",NA,"45079","auto","Domingos A. Folli","2006","08","18",NA,NA,NA,NA,"Magnoliopsida"
"23","2019-12-17 10:47:33-03","UFPE","UFP","77502","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","hebepetala","Myrcia hebepetala","DC.","Saavedra, M.M.; Forzza, R.C.; Menini-Neto, L. & Silva, J.C.","914","2009","05","31",NA,"Brasil","Minas Gerais","Mutum","Localidade de Imburuçu, Pedra Santa, a 6 km da BR-262.","-41.4383010864258","-19.7999992370605","-41263","-20103.8333",NA,"Árvore, cerca de 4 metros de altura, em mata nebular, folhas discolores com nervura creme na face abaxial, flores cálice ferrugíneo, corola, estames e estilete alvos.; Campo de altitude alterado.","UFP077502",NA,"45079","auto","Sobral, M.","2010",NA,NA,NA,"1317",NA,NA,NA
"24","2019-07-24 16:07:31-03","SMITHSONIAN","US","2426260","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Pterolepis","repanda","Pterolepis repanda","(DC.) Triana","E. P. Heringer","7006","1959","01","25","South America - Neotropics","Brazil","Minas Gerais","Mutum",NA,"-41.4383010864258","-19.7999992370605",NA,NA,NA,"<a href=http://n2t.net/ark:/65665/3eaca90da-e63d-4fca-801a-1a2be788bd16 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"45079","auto",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae"
"25","2019-07-24 16:25:43-03","SMITHSONIAN","US","2544298","PreservedSpecimen","Plantae",NA,"Violales","Turneraceae","Turnera","oblongifolia","Turnera oblongifolia","Cambess.","E. P. Heringer","3761","1955","03","02","South America - Neotropics","Brazil","Minas Gerais","Mutum",NA,"-41.4383010864258","-19.7999992370605",NA,NA,NA,"<a href=http://n2t.net/ark:/65665/31caf9a4a-164b-4e1c-9411-39a8262d459e target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"45079","auto",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae"
"26","2019-12-17 11:18:30-03","USP","SPF","192849","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Adenocalymma","comosum","Adenocalymma comosum","(Cham.) DC.","Saavedra, MM","918","2009","05","31",NA,"Brasil","Minas Gerais","Mutum","Imbiraçu, Pedra Santa a 6km da BR-262.","-41.441667","-20.176389","-41.441667","-20.176389",NA,"Liana, frutos verdes; Campo de altitude, na borda da mata nebular","SPF00192849",NA,NA,NA,"Fonseca, LHM","2013","08",NA,NA,NA,NA,NA,NA
"27","2019-11-13 11:30:04-03","USP","SPF","192700","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Emmeorhiza","umbellata","Emmeorhiza umbellata","(Spreng.) K.Schum.","Saavedra, MM","911","2009","05","31",NA,"Brasil","Minas Gerais","Mutum",NA,"-41.434167","-20.176389","-41.434167","-20.176389",NA,NA,"SPF00192700",NA,NA,NA,"Zappi, DC","2010",NA,NA,"1317","1317",NA,NA,NA
