"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","verbatimLongitude","verbatimLatitude","scientificNameAuthorship","monthIdentified","dayIdentified","infraspecificEpithet","individualCount","class","relatedCatalogItem"
"235","2019-12-06 15:17:11-03","MBM","MBM","422843","S","Plantae",NA,NA,"Pteridaceae","Adiantum","subcordatum","Adiantum subcordatum","Matos, F.B.","2019",NA,"Cordeiro, J.; Brotto, M.L.; Brotto, M.L.","6213","2019","04","07","Southern America","Brazil","Espírito Santo","Pancas","Pedra da Colina","-40.87","-19.231667",NA,"740","740",NA,NA,"MBM422843",NA,NA,"-40.87","-19.231667","Sw.","06",NA,NA,NA,NA,NA
"236","2019-12-06 15:25:10-03","MBM","MBM","422853","S","Plantae",NA,NA,"Violaceae","Anchietea","selloviana","Anchietea selloviana","Barboza, E.","2019",NA,"Cordeiro, J.; Brotto, M.L.; Brotto, M.L.","6223","2019","04","07","Southern America","Brazil","Espírito Santo","Pancas","Pedra da Colina","-40.87","-19.231667",NA,"740","740",NA,NA,"MBM422853",NA,NA,"-40.87","-19.231667","Cham. & Schltdl.","06","26",NA,NA,NA,NA
"237","2019-12-06 15:25:10-03","MBM","MBM","422907","S","Plantae",NA,NA,"Violaceae","Anchietea","selloviana","Anchietea selloviana","Barboza, E.","2019",NA,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.","3520","2019","04","08","Southern America","Brazil","Espírito Santo","Pancas","Pico do Vidal, cume","-40.793333","-19.187222",NA,"700","700",NA,NA,"MBM422907",NA,NA,"-40.793333","-19.187222","Cham. & Schltdl.","06","26",NA,NA,NA,NA
"238","2019-12-06 14:24:53-03","MBM","MBM","422842","S","Plantae",NA,NA,"Anemiaceae","Anemia",NA,"Anemia",NA,NA,NA,"Cordeiro, J.; Brotto, M.L.; Brotto, M.L.","6212","2019","04","07","Southern America","Brazil","Espírito Santo","Pancas","Pedra da Colina","-40.87","-19.231667",NA,"740","740",NA,NA,"MBM422842",NA,NA,"-40.87","-19.231667",NA,NA,NA,NA,NA,NA,NA
"239","2019-12-06 14:30:08-03","MBM","MBM","422878","S","Plantae",NA,NA,"Asteraceae","Baccharis","pingraea","Baccharis pingraea","Barboza, E.","2019",NA,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.","3491","2019","04","08","Southern America","Brazil","Espírito Santo","Pancas","Pico do Vidal, trilha para o pico","-40.799722","-19.178889",NA,"510","510",NA,NA,"MBM422878",NA,NA,"-40.799722","-19.178889","DC.","06","26",NA,NA,NA,NA
"240","2019-12-06 14:30:12-03","MBM","MBM","54508","S","Plantae",NA,NA,"Asteraceae","Baccharis","serrula","Baccharis serrula",NA,NA,NA,"Shepherd, G.J.; et al.; et al.","5860","1977","09","08","Southern America","Brazil","Espírito Santo","Pancas","Vale de Pancas, ca. 80 km noroeste de Colatina.","-40.8513984680176","-19.2250003814697","32475","400","400",NA,"Subarbusto de 1,5m. Beira de estrada","MBM054508","MBM054508","auto",NA,NA,"Sch. Bip.",NA,NA,NA,NA,NA,NA
"241","2019-12-06 15:01:29-03","MBM","MBM","422854","S","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis",NA,"Banisteriopsis",NA,NA,NA,"Cordeiro, J.; Brotto, M.L.; Brotto, M.L.","6224","2019","04","07","Southern America","Brazil","Espírito Santo","Pancas","Pedra da Colina","-40.87","-19.231667",NA,"740","740",NA,NA,"MBM422854",NA,NA,"-40.87","-19.231667",NA,NA,NA,NA,NA,NA,NA
"242","2019-12-06 15:15:38-03","MBM","MBM","422902","S","Plantae",NA,NA,"Polygalaceae","Bredemeyera","hebeclada","Bredemeyera hebeclada","Barboza, E.","2019",NA,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.","3515","2019","04","08","Southern America","Brazil","Espírito Santo","Pancas","Pico do Vidal, cume","-40.793333","-19.187222",NA,"700","700",NA,NA,"MBM422902",NA,NA,"-40.793333","-19.187222","(DC.) J.F.B. Pastore","06","26",NA,NA,NA,NA
"243","2019-12-06 15:01:58-03","MBM","MBM","422857","S","Plantae",NA,NA,"Malpighiaceae","Byrsonima","sericea","Byrsonima sericea","Barboza, E.","2019",NA,"Cordeiro, J.; Brotto, M.L.; Brotto, M.L.","6227","2019","04","07","Southern America","Brazil","Espírito Santo","Pancas","Pedra da Colina","-40.87","-19.231667",NA,"740","740",NA,NA,"MBM422857",NA,NA,"-40.87","-19.231667","DC.","06","26",NA,NA,NA,NA
"244","2019-12-06 15:15:41-03","MBM","MBM","422883","S","Plantae",NA,NA,"Polygalaceae","Caamembeca","laureola","Caamembeca laureola","Barboza, E.","2019",NA,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.","3496","2019","04","08","Southern America","Brazil","Espírito Santo","Pancas","Pico do Vidal, trilha para o pico","-40.799722","-19.178889",NA,"510","510",NA,NA,"MBM422883",NA,NA,"-40.799722","-19.178889","(A. St.-Hil. & Moq.) J.F.B. Pastore","06","26",NA,NA,NA,NA
