"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","specificEpithet","identifiedBy","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","class","typeStatus","minimumElevationInMeters","maximumElevationInMeters","relationshipType","relatedCatalogItem"
"17","2020-02-13 14:11:40-03","MN","R","230441","S","Plantae",NA,NA,"Mayacaceae","Mayaca","Mayaca fluviatilis","Aubl.","Lourenço, A.R.; Pavan, D. 121","30","2016","04","02",NA,"brasil","Minas Gerais","Ipatinga","MG-381 entre Ipatinga e Perpétuo Socorro","-42.5367012023926","-19.4682998657227",NA,NA,NA,NA,"R010061267","R010061267","fluviatilis","Lourenço, A.R.",NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"18","2015-07-02 14:55:42-03","JBP","HPL","9518","S","Plantae",NA,NA,"Polygalaceae","Polygala","Polygala",NA,"R. Tsuji","2359","2007","12","01",NA,"Brasil","MG","Ipatinga","Coletado nas proximidades do município de Ipatinga, na estrada para Ipaneminha.","-42.5367","-19.4683",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"19","2015-07-02 14:00:06-03","JBP","HPL","9525","S","Plantae",NA,NA,"Acanthaceae","Ruellia","Ruellia",NA,"R. Tsuji","2366","2007","12","01",NA,"Brasil","MG","Ipatinga","Coletado em frente à Associação Atlética CENIBRA (AAC).","-42.5367","-19.4683",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"20","2015-07-02 14:04:05-03","JBP","HPL","10030","S","Plantae",NA,NA,"Rubiaceae","Simira","Simira",NA,"R. Tsuji & A. Campos-Rocha","2421","2008","01","10",NA,"Brasil","MG","Ipatinga","Coletado nas proximidades do município de Ipatinga; na localidade de Achado.","-42.5367","-19.4683",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"21","2015-07-02 14:01:39-03","JBP","HPL","9516","S","Plantae",NA,NA,"Elaeocarpaceae","Sloanea","Sloanea retusa",NA,"R. Tsuji","2357","2007","12","01",NA,"Brasil","MG","Ipatinga","Coletado nas proximidades do município de Ipatinga, na estrada Ipaneminha-Achado.","-42.5367","-19.4683",NA,NA,NA,NA,NA,NA,"retusa","R. Tsuji","2007","12","19070","auto","01",NA,NA,NA,NA,NA,NA
"22","2015-07-02 14:02:09-03","JBP","HPL","9521","S","Plantae",NA,NA,"Fabaceae-Mimosoideae","Stryphnodendron","Stryphnodendron polyphyllum",NA,"R. Tsuji","2362","2007","12","01",NA,"Brasil","MG","Ipatinga","Coletado nas proximidades do município de Ipatinga, na estrada para Lagoa do Jacaré, CENIBRA.","-42.5367","-19.4683",NA,NA,NA,NA,NA,NA,"polyphyllum","R. Tsuji","2007","12","19070","auto","01",NA,NA,NA,NA,NA,NA
"23","2015-07-02 14:01:48-03","JBP","HPL","13628","S","Plantae",NA,NA,"Fabaceae","Swartzia","Swartzia oblata","R.S.Cowan","R. Tsuji","2238",NA,NA,NA,NA,"Brasil","MG","Ipatinga","CENIBRA - entre Governador Valadares e Ipatinga, logo após o trevo para Belo Oriente.","-42.5367","-19.4683",NA,NA,NA,NA,NA,NA,"oblata",NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"24","2015-07-02 14:03:25-03","JBP","HPL","10022","S","Plantae",NA,NA,"Myrtaceae","Syzigium","Syzigium jambo","(L.) Alston","R. Tsuji & A. Campos-Rocha","2413","2008","01","10",NA,"Brasil","MG","Ipatinga","Coletado nas proximidades do município de Ipatinga; sentido localidade de Achado, ca. 2,1km do entroncamento Ipaneminha-Achado.","-42.5367","-19.4683",NA,NA,NA,NA,NA,NA,"jambo","R. Tsuji","2008","01","19070","auto","10",NA,NA,NA,NA,NA,NA
"25","2015-07-02 14:41:56-03","JBP","HPL","10557","S","Plantae",NA,NA,"Apocynaceae","Tabernaemontana","Tabernaemontana",NA,"R. Tsuji","2229","2007","09","29",NA,"Brasil","MG","Ipatinga","Coletado na localidade de Ipaneminha, na estrada para Belo Oriente.","-42.5367","-19.4683",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"26","2015-07-02 14:41:56-03","JBP","HPL","9512","S","Plantae",NA,NA,"Apocynaceae","Tabernaemontana","Tabernaemontana",NA,"R. Tsuji","2353","2007","12","01",NA,"Brasil","MG","Ipatinga","Coletado nas proximidades do município de Ipatinga, na estrada para Ipaneminha.","-42.5367","-19.4683",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"27","2015-07-02 14:04:25-03","JBP","HPL","9517","S","Plantae",NA,NA,"Theophrastaceae",NA,NA,NA,"R. Tsuji","2358","2007","12","01",NA,"Brasil","MG","Ipatinga","Coletado nas proximidades do município de Ipatinga, na estrada Ipaneminha-Achado.","-42.5367","-19.4683",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"28","2015-07-02 14:01:42-03","JBP","HPL","9519","S","Plantae",NA,NA,"Euphorbiaceae","Alchornea","Alchornea triplinervis",NA,"R. Tsuji","2360","2007","12","01",NA,"Brasil","MG","Ipatinga","Coletado nas proximidades do município de Ipatinga, na estrada Ipaneminha-Achado.","-42.5367","-19.4683",NA,NA,NA,NA,NA,NA,"triplinervis","R. Tsuji","2007","12","19070","auto","01",NA,NA,NA,NA,NA,NA
"29","2015-07-02 14:00:15-03","JBP","HPL","11833","S","Plantae",NA,NA,"Annonaceae","Annona","Annona sylvatica","A. St.-Hil.","H. Lorenzi","6727","2009","09","09",NA,"Brasil","MG","Ipatinga","Coletado em Ipaneminha.","-42.5367","-19.4683",NA,NA,NA,NA,NA,NA,"sylvatica","V.C. Souza","2011","03","19070","auto","07",NA,NA,NA,NA,NA,NA
"30","2015-07-02 14:00:15-03","JBP","HPL","6970","S","Plantae",NA,NA,"Annonaceae","Annona","Annona sylvatica","A. St.-Hil.","R. Tsuji, H. Lorenzi et al.","1549","2007","01","27",NA,"Brasil","MG","Ipatinga","Coletado nas proximidades da cidade subindo em direção a Ipaneminha-ES","-42.5367","-19.4683",NA,NA,NA,NA,NA,NA,"sylvatica","V.C. Souza","2011","03","19070","auto","07",NA,NA,NA,NA,NA,NA
"31","2015-07-02 14:00:15-03","JBP","HPL","8313","S","Plantae",NA,NA,"Annonaceae","Annona","Annona sylvatica","A. St.-Hil.","R. Tsuji","1549","2007","01","27",NA,"Brasil","MG","Ipatinga","Coletado nas proximidades do município de Ipatinga; na estrada para Ipaneminha.","-42.5367","-19.4683",NA,NA,NA,NA,NA,NA,"sylvatica","V.C. Souza","2011","03","19070","auto","07",NA,NA,NA,NA,NA,NA
"32","2015-07-02 14:42:04-03","JBP","HPL","10028","S","Plantae",NA,NA,"Aristolochiaceae","Aristolochia","Aristolochia aff. chiquitensis","Duch.","R. Tsuji & A. Campos-Rocha","2419","2008","01","10",NA,"Brasil","MG","Ipatinga","Coletado nas proximidades do município de Ipatinga; na localidade de Achado, em beira de estrada de terra.","-42.5367","-19.4683",NA,NA,NA,NA,NA,NA,"aff. chiquitensis","D.S. Gissi","2011","02","19070","auto","15",NA,NA,NA,NA,NA,NA
"33","2015-07-02 14:00:19-03","JBP","HPL","6968","S","Plantae",NA,NA,"Apocynaceae","Aspidosperma","Aspidosperma",NA,"R. Tsuji, H. Lorenzi et al.","1545","2007","01","27",NA,"Brasil","MG","Ipatinga","Coletado nas proximidades da cidade subindo em direção a Ipaneminha-ES 19°25'01,7''S 42°38'20,8''W.","-42.5367","-19.4683",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"34","2015-07-02 14:03:57-03","JBP","HPL","9515","S","Plantae",NA,NA,"Rubiaceae","Bathysa","Bathysa",NA,"R. Tsuji","2356","2007","12","01",NA,"Brasil","MG","Ipatinga","Coletado nas proximidades do município de Ipatinga, na estrada para Ipaneminha.","-42.5367","-19.4683",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"35","2015-07-02 14:04:08-03","JBP","HPL","10029","S","Plantae",NA,NA,"Salicaceae","Casearia","Casearia commersoniana","Cambess.","R. Tsuji & A. Campos-Rocha","2420","2008","01","10",NA,"Brasil","MG","Ipatinga","Coletado nas proximidades do município de Ipatinga; na localidade de Achado.","-42.5367","-19.4683",NA,NA,NA,NA,NA,NA,"commersoniana","R. Tsuji","2008","01","19070","auto","10",NA,NA,NA,NA,NA,NA
"36","2015-07-02 14:04:31-03","JBP","HPL","9514","S","Plantae",NA,NA,"Vitaceae","Cissus","Cissus subrhomboidea","(Baker) Planch.","R. Tsuji","2355","2007","12","01",NA,"Brasil","MG","Ipatinga","Coletado nas proximidades do município de Ipatinga, estrada entre o bairro Ipaneminha e Achado, lado direito da estrada de terra, proximo a E. robusto-venosa.","-42.5367","-19.4683",NA,NA,NA,NA,NA,NA,"subrhomboidea","J.A. Lombardi","2012","02","19070","auto","09",NA,NA,NA,NA,NA,NA
