"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","infraspecificEpithet","individualCount","class"
"107","2019-12-20 18:46:30-03","UFSJ","HUFSJ","177","S","Plantae",NA,NA,"Brassicaceae","Brassica","rapa","Brassica rapa","L.",NA,NA,"Rezende, EFC","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","Rua Maria Elizena Vieira, 181, São Dimas","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,"São plantas herbáceas, de aproximadamente 50cm de altura, muito delicadas e frágeis. Suas flores são amarelas e pequenas, reunidas em inflorescências tipo cacho e hermafroditas. Cada planta produz muitos frutos, sendo estes secos.","HUFSJ000177",NA,NA,"15602","auto",NA,NA,NA,NA
"108","2019-12-20 18:46:51-03","UFSJ","HUFSJ","603","S","Plantae",NA,NA,"Violaceae","Viola",NA,"Viola",NA,NA,NA,"Cristino, DPC","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","Rua Monsenhor Barreto, São João","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,"Planta ornamental, cultivada em pequenos vasos. Muito delicada, possui flores muito coloridas, desde brancas até roxas. Altura aproximada de 10cm. Não apresenta cheiro, nem produz néctar.","HUFSJ000603",NA,NA,"15602","auto",NA,NA,NA,NA
"109","2017-10-03 16:59:35-03","UnB","UB","132336","S","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrcia","tomentosa","Myrcia tomentosa","(Aubl.) DC.","Proença, CEB","2005","Barreto, M","7364","1936","09","21","Southern America","Brasil","Minas Gerais","Conselheiro Lafaiete","Casa da Pedra","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,"Flor alva.; Árvore 6m.; Capoeira",NA,NA,NA,"15602","auto",NA,NA,NA,NA
"110","2020-02-06 10:42:14-03","IBt","SP","159655","S","Plantae",NA,NA,"Solanaceae","Solanum","swartzianum","Solanum swartzianum","Roem. & Schult.","Carvalho, LAF","1994","Davidse, G; D'Arcy, WG","10763","1976","02","27",NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","19 km SE de Conselheiro Lafaiete ao longo da Rodovia 135 para Barbacena","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,NA,"SP117306","SP117306",NA,"15602","auto",NA,NA,NA,NA
"111","2019-11-21 10:09:19-03","IBt","SP","159722","S","Plantae",NA,NA,"Malpighiaceae","Tetrapterys","phlomoides","Tetrapterys phlomoides","(Spreng.) Nied.","Mamede, MCH","1987","Davidse, G; D'Arcy, WG","10761","1976","02","27",NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","19 km SE of Conselheiro Lafaiete along highway 135 Barbacena","-43.7860984802246","-20.6602993011475",NA,NA,"1040","1040",NA,NA,"SP021964",NA,"04","15602","auto","02",NA,NA,NA
"112","2019-11-21 10:15:13-03","IBt","SP","159675","S","Plantae",NA,NA,"Poaceae","Dichanthelium","surrectum","Dichanthelium surrectum","(Chase ex Zuloaga & Morrone) Zuloaga",NA,NA,"Davidse, G; D'Arcy, WG","10704","1976","02","27",NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","19 km SE of Conselheiro Lafaiete along Highway 135 to Barbacena","-43.7860984802246","-20.6602993011475",NA,NA,"1040","1040",NA,NA,"SP043037","SP043037",NA,"15602","auto",NA,NA,NA,NA
"113","2019-11-21 10:16:29-03","IBt","SP","159676","S","Plantae",NA,NA,"Poaceae","Paspalum","paniculatum","Paspalum paniculatum","L.","Davidse, G",NA,"Davidse, G; D'Arcy, WG","10705","1976","02","27",NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","19 km SE of Conselheiro Lafaiete along Highway 135 to Barbacena.","-43.7860984802246","-20.6602993011475",NA,NA,"1040","1040",NA,NA,"SP036576","SP036576",NA,"15602","auto",NA,NA,NA,NA
"114","2019-11-21 10:14:56-03","IBt","SP","159677","S","Plantae",NA,NA,"Poaceae","Bambusa","vulgaris","Bambusa vulgaris","Schrad. ex J.C.Wendl.","Londoño, X","1992","Davidse, G; D'Arcy, WG","10706","1976","02","27",NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","19 km SE of Conselheiro Lafaiete along Highway 135 to Barbacena. Cultivated along roadside","-43.7860984802246","-20.6602993011475",NA,NA,"1040","1040",NA,NA,"SP042167","SP042167","02","15602","auto","29",NA,NA,NA
"115","2019-11-21 09:58:55-03","IBt","SP","159656","S","Plantae",NA,NA,"Apocynaceae","Oxypetalum","pachyglossum","Oxypetalum pachyglossum","Decne.","Fontella","1989","Davidse, G; D'Arcy, WG","10764","1976","02","27",NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","6 km SE of Conselheiro Lafaiete along highway 135 to Barbacena","-43.7860984802246","-20.6602993011475",NA,NA,"1020","1020",NA,NA,NA,NA,"10","15602","auto","25",NA,NA,NA
"116","2019-11-21 10:16:32-03","IBt","SP","159674","S","Plantae",NA,NA,"Poaceae","Paspalum","plenum","Paspalum plenum","Chase","Gomes, MJIR","1991","Davidse, G; D'Arcy, WG","10703","1976","02","27",NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","Along highway 135 to Barbacena.","-43.7860984802246","-20.6602993011475",NA,NA,"1040","1040",NA,NA,"SP036758","SP036758","11","15602","auto",NA,NA,NA,NA
"117","2019-11-21 10:10:36-03","IBt","SP","159658","S","Plantae",NA,NA,"Melastomataceae","Tibouchina","herbacea","Tibouchina herbacea","(DC.) Cogn.","D'El Rei Souza, ML","1983","Davidse, G; D'Arcy, WG","10772","1976","02","28",NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","at the intersection of highways 383 and 135, ca. 20 km N of Lafaiete","-43.7860984802246","-20.6602993011475",NA,NA,"870","870",NA,NA,NA,NA,"06","15602","auto","08",NA,NA,NA
"118","2019-11-21 10:10:22-03","IBt","SP","38611","S","Plantae",NA,NA,"Melastomataceae","Microlicia","confertiflora","Microlicia confertiflora","Naudin","Romero, R",NA,"Mello Barreto","7028","1936","09","21",NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","Casa de Pedra, Congonhas do Campo","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,NA,NA,NA,NA,"15602","auto",NA,NA,NA,NA
"119","2019-11-21 10:13:48-03","IBt","SP","37526","S","Plantae",NA,NA,"Orchidaceae","Sacoila","lanceolata","Sacoila lanceolata","(Aubl.) Garay","Mamede, MCH","2011","Mello Barreto","5181","1936","09","29",NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","Grota do Engenho. Casa de Pedra. Congonhas","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,NA,NA,NA,"05","15602","auto",NA,NA,NA,NA
"120","2019-11-21 10:10:12-03","IBt","SP","245422","S","Plantae",NA,NA,"Melastomataceae","Miconia","organensis","Miconia organensis","Gardner","Chiea, SAC","1990","Vasco; Krieger, L; Marília","11969","1972","12","09",NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","Pedra do Sino","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,NA,NA,NA,"09","15602","auto","17",NA,NA,NA
