"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","scientificNameAuthorship","verbatimLongitude","verbatimLatitude","phylum","continentOcean","barcode","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","infraspecificEpithet","imagecode","class","order","typeStatus"
"73","2019-02-27 14:03:28-03","UFSJ","HUFSJ","3167","S","Plantae","Phyllanthaceae","Phyllanthus",NA,"Phyllanthus",NA,NA,NA,NA,"Sobral, M","14574","2011","12","23","Brasil","Minas Gerais","Santana do Paraíso",NA,"-42.528333","-19.416667",NA,NA,NA,"-42.528333","-19.416667",NA,NA,"HUFSJ003167",NA,NA,"Erva em interior de mata, junto a estrada; flores creme.",NA,"HUFSJ003167_v00 HUFSJ003167_v01 HUFSJ003167_v02 HUFSJ003167_v03 HUFSJ003167_v04",NA,NA,NA
"74","2019-02-27 14:03:23-03","UFSJ","HUFSJ","3162","S","Plantae","Myrtaceae","Psidium",NA,"Psidium",NA,NA,NA,NA,"Sobral, M","14569","2011","12","23","Brasil","Minas Gerais","Santana do Paraíso","Propriedade de Fernando Dantas dos Santos","-42.528611","-19.411111",NA,NA,"(Spring) Burret","-42.528611","-19.411111",NA,NA,"HUFSJ003162",NA,NA,"Árvore 2-3 m, em interior de mata; casca rugosa; flores em botão, creme.",NA,"HUFSJ003162_v00 HUFSJ003162_v01 HUFSJ003162_v02 HUFSJ003162_v03",NA,NA,NA
"75","2016-12-19 13:51:32-02","PERD","PERD","877","S","Plantae","Melastomataceae",NA,NA,NA,NA,NA,NA,NA,"Pivari, MO; Oliveira, VB","1231","2009","02","12","Brasil","Minas Gerais","Santana do Paraíso","Cachoeira do Paraíso","-42.563333","-19.356944",NA,NA,NA,"-42.563333","-19.356944",NA,NA,NA,"350","350","Arbusto, ca. 1m alt., em meio a pedras no curso d'água. Flores rosas.",NA,NA,NA,NA,NA
"76","2016-12-19 13:51:32-02","PERD","PERD","886","S","Plantae","Melastomataceae",NA,NA,NA,NA,NA,NA,NA,"Pivari, MO; Oliveira, VB","1240","2009","02","12","Brasil","Minas Gerais","Santana do Paraíso","Cachoeira do Paraíso","-42.563333","-19.356944",NA,NA,NA,"-42.563333","-19.356944",NA,NA,NA,"350","350","Arbusto anfíbio, ca. 1m alt., em vegetação ribeirinha. Flores roxas, futos castanhos.",NA,NA,NA,NA,NA
"77","2016-12-19 13:51:18-02","PERD","PERD","883","S","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,"Pivari, MO; Oliveira, VB","1237","2009","02","12","Brasil","Minas Gerais","Santana do Paraíso","Cachoeira do Paraíso","-42.563333","-19.356944",NA,NA,NA,"-42.563333","-19.356944",NA,NA,NA,"350","350","Arvoreta, ca. 3m alt., em meio a pedras próxima ao curso d'água. Frutos marrons.",NA,NA,NA,NA,NA
"78","2016-12-19 13:51:32-02","PERD","PERD","881","S","Plantae","Melastomataceae",NA,NA,NA,NA,NA,NA,NA,"Pivari, MO; Oliveira, VB","1235","2009","02","12","Brasil","Minas Gerais","Santana do Paraíso","Cachoeira do Paraíso","-42.563333","-19.356944",NA,NA,NA,"-42.563333","-19.356944",NA,NA,NA,"350","350","Arbusto, ca. 1m alt., em meio a pedras no curso d'água. Flores rosas, frutos verdes.",NA,NA,NA,NA,NA
"79","2016-12-19 13:51:32-02","PERD","PERD","873","S","Plantae","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,"Pivari, MO; Oliveira, VB","1227","2009","02","12","Brasil","Minas Gerais","Santana do Paraíso","Cachoeira do Paraíso","-42.563333","-19.356944",NA,NA,NA,"-42.563333","-19.356944",NA,NA,NA,"350","350","Árvore, ca. 6m alt., em meio a pedras próxima ao curso d'água. Frutos marrons.",NA,NA,NA,NA,NA
"80","2016-12-19 13:51:32-02","PERD","PERD","868","S","Plantae","Poaceae","Andropogon","bicornis","Andropogon bicornis","Pivari, MO","2009","02","12","Pivari, MO; Oliveira, VB","1222","2009","02","12","Brasil","Minas Gerais","Santana do Paraíso","Cachoeira do Paraíso","-42.563333","-19.356944",NA,NA,"L.","-42.563333","-19.356944",NA,NA,NA,"350","350","Erva anfíbia em vegetação ribeirinha. Inflorescência castanha.",NA,NA,NA,NA,NA
"81","2016-12-19 13:51:35-02","PERD","PERD","872","S","Plantae","Vitaceae","Cissus","erosa","Cissus erosa","Pivari, MO","2009","02","12","Pivari, MO; Oliveira, VB","1226","2009","02","12","Brasil","Minas Gerais","Santana do Paraíso","Cachoeira do Paraíso","-42.563333","-19.356944",NA,NA,"Rich.","-42.563333","-19.356944",NA,NA,NA,"350","350","Liana em vegetação ribeirinha. Inflorescência vermelha, frutos roxos.",NA,NA,NA,NA,NA
"82","2016-12-19 13:51:31-02","PERD","PERD","869","S","Plantae","Lythraceae","Cuphea","strigulosa","Cuphea strigulosa","Pivari, MO","2009","02","12","Pivari, MO; Oliveira, VB","1223","2009","02","12","Brasil","Minas Gerais","Santana do Paraíso","Cachoeira do Paraíso","-42.563333","-19.356944",NA,NA,"Kunth","-42.563333","-19.356944",NA,NA,NA,"350","350","Erva anfíbia em vegetação ribeirinha. Flores rosas, frutos verdes.",NA,NA,NA,NA,NA
