"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","individualCount","geoFlag","recordNumber","minimumElevationInMeters","maximumElevationInMeters","class","infraspecificEpithet","continentOcean","preparationType","typeStatus","previousCatalogNumber","relatedCatalogItem"
"7432","2019-11-21 10:17:44-03","IBt","SP","396599","S","Plantae","Rubiaceae","Cordiera","elliptica","Cordiera elliptica","(Cham.) Kuntze","Zappi, D","Stehmann, JR; França, GS","2002","09","26","Brasil","Minas Gerais","Santa Bárbara","Estação Ambiental de Peti. Estrada para o Bom Será, próximo ao portão","-43.4152984619141","-19.959400177002",NA,NA,NA,NA,NA,NA,NA,"2012","10",NA,"33136",NA,"auto","3121",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7433","2019-11-21 10:17:44-03","IBt","SP","396600","S","Plantae","Rubiaceae","Cordiera","elliptica","Cordiera elliptica","(Cham.) Kuntze","Zappi, D","Stehmann, JR; França, GS","2002","09","26","Brasil","Minas Gerais","Santa Bárbara","Estação Ambiental de Peti. Estrada para o Bom Será, próximo ao portão","-43.4152984619141","-19.959400177002",NA,NA,NA,NA,NA,NA,NA,"2012","10",NA,"33136",NA,"auto","3122",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7434","2019-11-21 10:08:25-03","IBt","SP","232448","S","Plantae","Malpighiaceae","Byrsonima","ligustrifolia","Byrsonima ligustrifolia","A.Juss.","Mamede, MCH","Stehmann, JR; Pedralli, G; et al.","1988","03","08","Brasil","Minas Gerais","Santa Bárbara","Estação de Peti - Cemig","-43.4152984619141","-19.959400177002",NA,NA,NA,"SP015432",NA,NA,NA,"2002",NA,NA,"33136",NA,"auto","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7435","2019-11-21 10:08:11-03","IBt","SP","276281","S","Plantae","Malpighiaceae","Byrsonima","chrysophylla","Byrsonima chrysophylla","Kunth","Mamede, MCH","Costa, LV; et al.","1995","11","07","Brasil","Minas Gerais","Santa Bárbara","Estação Ecológica de Peti","-43.4152984619141","-19.959400177002",NA,NA,NA,"SP015984",NA,NA,NA,"2010","07",NA,"33136",NA,"auto","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7436","2019-11-21 10:09:40-03","IBt","SP","38183","S","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa stachyoides","(DC.) Cogn.","Mello Barreto","Mello Barreto","1933","04","13","Brasil","Minas Gerais","Santa Bárbara","Estrada do Caraça. Brejo","-43.4152984619141","-19.959400177002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33136",NA,"auto","6735",NA,NA,NA,"stachyoides",NA,NA,NA,NA,NA
"7437","2019-11-21 10:12:11-03","IBt","SP","347769","S","Plantae","Myrtaceae","Myrcia","hebepetala","Myrcia hebepetala","DC.","Oliveira, P","Vasconcellos, MF","2000","04","15","Brasil","Minas Gerais","Santa Bárbara","Fazenda Bocaina","-43.4152984619141","-19.959400177002",NA,NA,NA,NA,NA,NA,NA,"2013","08","15","33136",NA,"auto","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7438","2019-11-21 10:12:11-03","IBt","SP","329894","S","Plantae","Myrtaceae","Myrcia","hebepetala","Myrcia hebepetala","DC.","Oliveira, P","Vasconcellos, MF","1998","02","27","Brasil","Minas Gerais","Santa Bárbara","Fazenda Bocaina, Distrito de Brumal","-43.4152984619141","-19.959400177002",NA,NA,"BHCB 41459",NA,NA,NA,NA,"2013","08","15","33136",NA,"auto","s.n.","900","900",NA,NA,NA,NA,NA,NA,NA
"7439","2019-11-21 10:11:50-03","IBt","SP","329834","S","Plantae","Myrtaceae","Marlierea","warmingiana","Marlierea warmingiana","Kiaersk.","Kawasaki, ML","Vasconcellos, MF","1997","11","02","Brasil","Minas Gerais","Santa Bárbara","Fazenda Bocaina. Mata secundária.","-43.4152984619141","-19.959400177002",NA,NA,"Arbóreo.&nf;BHCB 40061","SP057339","SP057339",NA,NA,"1998",NA,NA,"33136",NA,"auto","s.n.","900","900",NA,NA,NA,NA,NA,NA,NA
"7440","2019-11-21 10:13:40-03","IBt","SP","5057","S","Plantae","Orchidaceae","Ornithocephalus","myrticola","Ornithocephalus myrticola","Lindl.","Brito, AT","Hoehne, FC","1921","01","21","Brasil","Minas Gerais","Santa Bárbara","Floresta","-43.4152984619141","-19.959400177002",NA,NA,NA,NA,NA,NA,NA,"1994","08",NA,"33136",NA,"auto","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7441","2019-11-21 10:13:54-03","IBt","SP","5063","S","Plantae","Orchidaceae","Wullschlaegelia","aphylla","Wullschlaegelia aphylla","(Sw.) Rchb.f.","Maas, PJM; Born, MG","Hoehne, FC","1921","01","21","Brasil","Minas Gerais","Santa Bárbara","Floresta","-43.4152984619141","-19.959400177002",NA,NA,NA,NA,NA,NA,NA,"1992",NA,NA,"33136",NA,"auto","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7442","2019-11-21 10:13:40-03","IBt","SP","9550","S","Plantae","Orchidaceae","Ornithocephalus","myrticola","Ornithocephalus myrticola","Lindl.","Brito, AT","Hoehne, FC","1924","02","10","Brasil","Minas Gerais","Santa Bárbara","Floresta","-43.4152984619141","-19.959400177002",NA,NA,NA,NA,NA,NA,NA,"1994","08",NA,"33136",NA,"auto","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7443","2019-11-21 10:03:57-03","IBt","SP","5073","S","Plantae","Euphorbiaceae","Croton",NA,"Croton",NA,NA,"Hoehne, FC","1921","01","21","Brasil","Minas Gerais","Santa Bárbara","Floresta","-43.4152984619141","-19.959400177002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33136",NA,"auto","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7444","2019-11-21 10:13:30-03","IBt","SP","48292","S","Plantae","Orchidaceae","Koellensteinia","eburnea","Koellensteinia eburnea","(Barb.Rodr.) Schltr.","Meneguzzo, TEC","Mendes Magalhães, G","1943","02","03","Brasil","Minas Gerais","Santa Bárbara","Maquiné, Catas Altas","-43.4152984619141","-19.959400177002",NA,NA,NA,NA,NA,NA,NA,"2017","01",NA,"33136",NA,"auto","2713",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7445","2019-11-21 10:09:44-03","IBt","SP","38198","S","Plantae","Melastomataceae","Leandra","amplexicaulis","Leandra amplexicaulis","DC.","Chiea, SAC","Mello Barreto","1933","04","17","Brasil","Minas Gerais","Santa Bárbara","Mata. Caraça","-43.4152984619141","-19.959400177002",NA,NA,NA,NA,NA,NA,NA,"1989","03",NA,"33136",NA,"auto","6700",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7446","2019-11-21 10:18:11-03","IBt","SP","162954","S","Plantae","Rubiaceae","Palicourea","marcgravii","Palicourea marcgravii","A.St.-Hil.","Taylor, CM","Leitão Filho, HF","1978","12","13","Brasil","Minas Gerais","Santa Bárbara","Nativo em campos e matas da Serra do Caraça","-43.4152984619141","-19.959400177002",NA,NA,NA,NA,NA,NA,NA,"1997",NA,NA,"33136",NA,"auto","9619",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7447","2019-11-21 09:59:53-03","IBt","SP","162905","S","Plantae","Asteraceae","Baccharis",NA,"Baccharis",NA,NA,"Leitão Filho, HF; et al.","1978","12","13","Brasil","Minas Gerais","Santa Bárbara","Nativo em matas e campo da Serra do Caraça","-43.4152984619141","-19.959400177002",NA,NA,"Arbusto até 1,5m., flores brancas",NA,NA,NA,NA,NA,NA,NA,"33136",NA,"auto","9651",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7448","2019-11-21 10:04:41-03","IBt","SP","162923","S","Plantae","Fabaceae","Abarema","langsdorffii","Abarema langsdorffii","(Benth.) Barneby & J.W.Grimes","Barneby, RC; Grimes, JW","Leitão Filho, HF; et al.","1978","12","13","Brasil","Minas Gerais","Santa Bárbara","Nativo em matas e campos da Serra do Caraça","-43.4152984619141","-19.959400177002",NA,NA,NA,NA,NA,NA,NA,"1989","11",NA,"33136",NA,"auto","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7449","2019-11-21 10:18:14-03","IBt","SP","162953","S","Plantae","Rubiaceae","Posoqueria","latifolia","Posoqueria latifolia","(Rudge) Roem. & Schult.","Macias, L","Leitão Filho, HF; et al.","1978","12","13","Brasil","Minas Gerais","Santa Bárbara","Nativo em matas e campos da Serra do Caraça","-43.4152984619141","-19.959400177002",NA,NA,NA,NA,NA,NA,NA,"1987","06","16","33136",NA,"auto","9635",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7450","2019-11-21 10:04:07-03","IBt","SP","162912","S","Plantae","Euphorbiaceae","Croton","timandroides","Croton timandroides","(Didr.) Müll.Arg.","Cordeiro, I","Leitão Filho, HF; et al.","1978","12","13","Brasil","Minas Gerais","Santa Bárbara","Nativo em matas e campos da Serra do Caraça.","-43.4152984619141","-19.959400177002",NA,NA,NA,NA,NA,NA,NA,"1987","09",NA,"33136",NA,"auto","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7451","2019-11-21 10:08:58-03","IBt","SP","275340","S","Plantae","Malpighiaceae","Heteropterys","umbellata","Heteropterys umbellata","A.Juss.","Mamede, MCH","Eliasaro, S","1985","11","20","Brasil","Minas Gerais","Santa Bárbara","Parque Nacional do Caraça","-43.4152984619141","-19.959400177002",NA,NA,NA,"SP019263",NA,NA,NA,"1995",NA,NA,"33136",NA,"auto","19",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7452","2019-11-21 10:08:35-03","IBt","SP","275338","S","Plantae","Malpighiaceae","Byrsonima","variabilis","Byrsonima variabilis","A.Juss.","Mamede, MCH","Eliasaro, S","1987","11","20","Brasil","Minas Gerais","Santa Bárbara","Parque Nacional do Caraça","-43.4152984619141","-19.959400177002",NA,NA,NA,"SP016454",NA,NA,NA,"2006","08",NA,"33136",NA,"auto","16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7453","2019-11-21 10:17:30-03","IBt","SP","288110","S","Plantae","Rubiaceae","Bathysa","australis","Bathysa australis","(A.St.-Hil.) K.Schum.","Germano Filho, P","Luchi, AE; Marcelli, MP",NA,NA,NA,"Brasil","Minas Gerais","Santa Bárbara","Parque Nacional do Caraça, Banho do Belchior, mata úmida de encosta de morro ao lado Rio Caraça","-43.4152984619141","-19.959400177002",NA,NA,NA,NA,NA,NA,NA,"1995","12","05","33136",NA,"auto","360","1150","1150",NA,NA,NA,NA,NA,NA,NA
