"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","scientificName","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","class","order","specificEpithet","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","individualCount","geoFlag","scientificNameAuthorship","continentOcean","typeStatus","infraspecificEpithet","preparationType"
"647","2019-10-02 14:52:13-03","UFMG","BHCB","179370","PreservedSpecimen","Plantae","Clusiaceae","Clusia","Clusia criuva","Carmo, FF","4369","2009","02","17","Brasil","Minas Gerais","Rio Acima","Serra da Gandarela","-43.683111","-20.093806","-43.683111","-20.093806","1624","1624","Coletada em capão de canga.","BHCB035900",NA,"Dicotyledon",NA,NA,"criuva",NA,"2015","10","21",NA,NA,NA,"Cambess.","Southern America",NA,NA,NA
"648","2019-10-02 14:52:13-03","UFMG","BHCB","196904","PreservedSpecimen","Plantae","Clusiaceae","Clusia","Clusia criuva","Rezende, SG; Justo, AG","6605","2018","02","22","Brasil","Minas Gerais","Rio Acima","Serra do Gandarela","-43.684722","-20.086944","-43.684722","-20.086944","1608","1608","Arbóreo; Floresta Estacional Semidecidual em Estágio Avançado de Regeneração","BHCB196904",NA,"Dicotyledon",NA,NA,"criuva",NA,NA,NA,NA,NA,NA,NA,"Cambess.","Southern America",NA,NA,NA
"649","2019-10-02 15:02:15-03","UFMG","BHCB","197024","PreservedSpecimen","Plantae","Rubiaceae","Coccocypselum","Coccocypselum","Rezende, SG; Justo, AG","6735","2018","01","15","Brasil","Minas Gerais","Rio Acima","Serra do Gandarela","-43.688889","-20.077778","-43.688889","-20.077778","1626","1626","Herbáceo; Floresta Estacional em Estágio Avançado de Regeneração - Capão de canga","BHCB197024",NA,"Dicotyledon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA
"650","2019-10-02 15:02:15-03","UFMG","BHCB","177348","PreservedSpecimen","Plantae","Rubiaceae","Coccocypselum","Coccocypselum aureum","Pivari, MOD; Paiva, JAM; Tomich, S; Nascimento, L","2187","2015","04","17","Brasil","Minas Gerais","Rio Acima","RPPN Andaime","-43.824167","-20.175","-43.824167","-20.175",NA,NA,"Prensado em álcool; Arbusto prostado; ca. 0,2m alt; face abaxial das folhas roxa; frutos imaturos verdes.; Campo Rupestre Ferruginoso",NA,NA,"Dicotyledon",NA,NA,"aureum",NA,"2015","11",NA,NA,NA,NA,"(Spreng.) Cham. & Schltdl.","Southern America",NA,NA,NA
"651","2019-10-02 15:02:15-03","UFMG","BHCB","185134","PreservedSpecimen","Plantae","Rubiaceae","Coccocypselum","Coccocypselum aureum","Rezende, SG; Justo, AG","5794","2015","04","07","Brasil","Minas Gerais","Rio Acima","Bacia do Córrego do Andaime","-43.800833","-20.172222","-43.800833","-20.172222","905","975","Herbáceo; Campo sujo","BHCB185134",NA,"Dicotyledon",NA,NA,"aureum",NA,NA,NA,NA,NA,NA,NA,"(Spreng.) Cham. & Schltdl.","Southern America",NA,NA,NA
"652","2019-10-02 15:02:15-03","UFMG","BHCB","197022","PreservedSpecimen","Plantae","Rubiaceae","Coccocypselum","Coccocypselum condalia","Rezende, SG; Justo, AG","6733","2018","01","15","Brasil","Minas Gerais","Rio Acima","Serra do Gandarela","-43.688889","-20.077778","-43.688889","-20.077778","1626","1626","Herbáceo; Floresta Estacional em Estágio Avançado de Regeneração - Capão de canga","BHCB197022",NA,"Dicotyledon",NA,NA,"condalia",NA,NA,NA,NA,NA,NA,NA,"Pers.","Southern America",NA,NA,NA
"653","2019-10-02 15:02:15-03","UFMG","BHCB","143179","PreservedSpecimen","Plantae","Rubiaceae","Coccocypselum","Coccocypselum erythrocephalum","Augsten, M; Stehmann, JR","640","2010","09","19","Brasil","Minas Gerais","Rio Acima","Serra da Gandarela","-43.687319","-20.087406","-43.687319","-20.087406","1669","1669","Erva. Corola roxa; Área de canga","BHCB013470",NA,"Dicotyledon",NA,NA,"erythrocephalum",NA,"2016","08","05",NA,NA,NA,"Cham. & Schltdl.","Southern America",NA,NA,NA
"654","2019-10-02 15:02:15-03","UFMG","BHCB","184983","PreservedSpecimen","Plantae","Rubiaceae","Coccocypselum","Coccocypselum hirsutum","Rezende, SG; Justo, AG","5643","2015","04","16","Brasil","Minas Gerais","Rio Acima","Córrego Fazenda Velha, Região do Córrego Fazenda Velha","-43.801667","-20.143611","-43.801667","-20.143611","900","980","Herbáceo; Campo sujo","BHCB184983",NA,"Dicotyledon",NA,NA,"hirsutum",NA,NA,NA,NA,NA,NA,NA,"Bartl. ex DC.","Southern America",NA,NA,NA
"655","2019-10-02 15:02:15-03","UFMG","BHCB","181493","PreservedSpecimen","Plantae","Rubiaceae","Coccocypselum","Coccocypselum lanceolatum","Tameirão Neto, E; Mansur, T","5293","2013","07","04","Brasil","Minas Gerais","Rio Acima",NA,"-43.691422","-20.098808","-43.691422","-20.098808",NA,NA,"Herbáceo; fruto roxo; Campo hidromórfico","BHCB037924",NA,"Dicotyledon",NA,NA,"lanceolatum",NA,NA,NA,NA,NA,NA,NA,"(Ruiz & Pav.) Pers.","Southern America",NA,NA,NA
"656","2019-10-02 15:02:15-03","UFMG","BHCB","181519","PreservedSpecimen","Plantae","Rubiaceae","Coccocypselum","Coccocypselum lanceolatum","Tameirão Neto, E; Mansur, T","5319","2013","07","04","Brasil","Minas Gerais","Rio Acima",NA,"-43.670836","-20.106197","-43.670836","-20.106197",NA,NA,"Herbáceo; flor arroxeada; Campo rupestre sobre canga","BHCB037925",NA,"Dicotyledon",NA,NA,"lanceolatum",NA,NA,NA,NA,NA,NA,NA,"(Ruiz & Pav.) Pers.","Southern America",NA,NA,NA
