"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","year","month","day","continentOcean","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","dayIdentified","class","relatedCatalogItem"
"3521","2018-08-02 09:42:15-03","MBML","MBML-HERBARIO","35646",NA,"Plantae",NA,NA,"Combretaceae","Terminalia","glabrescens","Terminalia glabrescens",NA,"J. Gurtler/2018",NA,NA,"A. M. Amorim; et al","7494","Brasil","Espírito Santo","Nova Venécia","Área de Proteção Ambiental da Pedra do Elefante","-40.432778","-18.7825",NA,NA,NA,NA,"2008","07","16",NA,"40W25'58","18S46'57",NA,"MBML035646","MBML035646",NA,NA,NA,NA,NA,NA,NA
"3522","2017-09-14 11:44:06-03","MBML","MBML-HERBARIO","47658",NA,"Plantae",NA,NA,"Combretaceae","Terminalia","kuhlmannii","Terminalia kuhlmannii",NA,"A. Assis",NA,NA,"A. M. Assis; M.D.S. Demuner & R. S. Cribari","2364","Brasil","Espírito Santo","Nova Venécia","APA Pedra do Elefante - Fazenda Santa Rita - trilha dos motoqueiros","-40.435833","-18.782361",NA,NA,"Árvore 10m, frutos verdes e marrons",NA,"2009","03","28",NA,"40W26'9","18S46'56,5",NA,"MBML047658","MBML047658","190","190",NA,NA,NA,NA,NA
"3523","2018-08-02 09:42:15-03","MBML","MBML-HERBARIO","36226",NA,"Plantae",NA,NA,"Combretaceae","Terminalia","mameluco","Terminalia mameluco",NA,"J. Gurtler/2018",NA,NA,"R. C. Forzza; et al","5203","Brasil","Espírito Santo","Nova Venécia","Área de Proteção Ambiental da Pedra do Elefante","-40.443889","-18.776944",NA,NA,NA,NA,"2008","07","18",NA,"40W26'38","18S46'37",NA,"MBML036226","MBML036226",NA,NA,NA,NA,NA,NA,NA
"3524","2017-09-14 11:47:25-03","MBML","MBML-HERBARIO","38678",NA,"Plantae",NA,NA,"Malpighiaceae","Tetrapterys","crispa","Tetrapterys crispa",NA,"R.F. Almeida/IX-2012",NA,NA,"R. C. Forzza; A.M.Amorim, C.N.Fraga & L.Daneu","5522","Brasil","Espírito Santo","Nova Venécia","Área de Proteção Ambiental da Pedra do Elefante. Serra de Baixo. Mata do Fuxico. Floresta Estacional Semidecidual.","-40.432778","-18.7825",NA,NA,"Liana no dossel. Flores com cálice e glândulas verde-claras; pétalas amarelas.",NA,"2009","04","14",NA,"40W25'58","18S46'57",NA,"MBML038678","MBML038678_1 MBML038678_2",NA,NA,NA,NA,NA,NA,NA
"3525","2017-09-14 11:47:26-03","MBML","MBML-HERBARIO","36128",NA,"Plantae",NA,NA,"Malpighiaceae","Tetrapterys","phlomoides","Tetrapterys phlomoides",NA,"R.F. Almeida/IX-2012",NA,NA,"A. M. Amorim; et al","7528","Brasil","Espírito Santo","Nova Venécia","Área de Proteção Ambiental da Pedra do Elefante","-40.443889","-18.776944",NA,NA,NA,NA,"2008","07","17",NA,"40W26'38","18S46'37",NA,"MBML036128",NA,NA,NA,NA,NA,NA,NA,NA
"3526","2017-09-14 11:47:38-03","MBML","MBML-HERBARIO","38677",NA,"Plantae",NA,NA,"Marantaceae","Thalia","geniculata","Thalia geniculata",NA,NA,NA,NA,"R. C. Forzza; C.N.Fraga","5552","Brasil","Espírito Santo","Nova Venécia","Área de Proteção Ambiental da Pedra do Elefante. Serra de Baixo. Banhado no meio da área de pasto. Floresta Estacional Semi-decidual.","-40.443889","-18.776944",NA,NA,"Erva ca. 2m alt. Flores com brácteas e cálice verdes. Corola e estaminódios alvos com ápice arroxeado.",NA,"2009","04","16",NA,"40W26'38","18S46'37",NA,"MBML038677","MBML038677_1 MBML038677_2",NA,NA,NA,NA,NA,NA,NA
"3527","2018-06-13 14:43:39-03","MBML","MBML-HERBARIO","36109",NA,"Plantae",NA,NA,"Araceae","Thaumatophyllum","stenolobum","Thaumatophyllum stenolobum",NA,"L.S.B. Calazans/V-2018",NA,NA,"R. C. Forzza; et al","5208","Brasil","Espírito Santo","Nova Venécia","Área de Proteção Ambiental da Pedra do Elefante","-40.443889","-18.776944",NA,NA,NA,NA,"2008","07","18",NA,"40W26'38","18S46'37",NA,"MBML036109","MBML036109","168","168",NA,NA,NA,NA,NA
"3528","2017-09-14 11:51:30-03","MBML","MBML-HERBARIO","34374",NA,"Plantae",NA,NA,"Sapindaceae","Thinouia","scandens","Thinouia scandens",NA,"M.S. Ferrucci/Fev.2010",NA,NA,"C. N. de Fraga; et al","2083","Brasil","Espírito Santo","Nova Venécia","Área de Proteção Ambiental da Pedra do Elefante","-40.45","-18.766667",NA,NA,NA,NA,"2008","05","10",NA,"40W26'60","18S46'0",NA,"MBML034374",NA,NA,NA,NA,NA,NA,NA,NA
"3529","2018-08-20 08:16:03-03","MBML","MBML-HERBARIO","36175",NA,"Plantae",NA,NA,"Sapindaceae","Thinouia","scandens","Thinouia scandens",NA,"J. Gurtler/2018",NA,NA,"R. C. Forzza; et al","5147","Brasil","Espírito Santo","Nova Venécia","Área de Proteção Ambiental da Pedra do Elefante","-40.432778","-18.7825",NA,NA,NA,NA,"2008","07","16",NA,"40W25'58","18S46'57",NA,"MBML036175",NA,NA,NA,NA,NA,NA,NA,NA
"3530","2018-08-20 08:16:03-03","MBML","MBML-HERBARIO","36781",NA,"Plantae",NA,NA,"Sapindaceae","Thinouia","scandens","Thinouia scandens",NA,"J. Gurtler/2018",NA,NA,"R. C. Forzza; et al","5089","Brasil","Espírito Santo","Nova Venécia","Área de Proteção Ambiental da Pedra do Elefante","-40.446389","-18.782778",NA,NA,NA,NA,"2008","02","18",NA,"40W26'47","18S46'58",NA,"MBML036781",NA,NA,NA,NA,NA,NA,NA,NA
