"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","typeStatus","individualCount","class","relatedCatalogItem"
"137","2020-03-10 08:29:27-03","UFV","VIC","27097","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Plathymenia","foliolosa","Plathymenia foliolosa","Benth.","Nunes, SRDFS da","Nunes, SRDFS da; et al.","76","2001","06","30",NA,"Brasil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce (PERD), Trilha da Lagoa dos Patos (Mombraça).","-42.7766990661621","-19.8428001403809",NA,NA,NA,"Árvore, c.a. de 25 metros de altura. Com frutos.","VIC027097","VIC027097",NA,"2002","31394","auto","09",NA,NA,NA,NA,NA,NA,NA
"138","2020-03-10 08:26:35-03","UFV","VIC","19235","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W. Graham","Braz, D.M.","Bortoluzzi, R.L.C.; Moraes, G.A.P.","91","1998","04","06",NA,"Brasil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce (PERD), Trilha da Mombaça.","-42.7766990661621","-19.8428001403809",NA,NA,NA,"Planta herbácea, folhas opostas cruzadas, membranáceas, glabras. Flores com brácteas arroxeadas. Ocorrência no sub-bosque.","VIC019235","VIC019235",NA,"1999","31394","auto","04","26",NA,NA,NA,NA,NA,NA
"139","2020-03-10 08:28:26-03","UFV","VIC","22458","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Actinostemon",NA,"Actinostemon",NA,NA,"Bovini, M.G.; Basílio, L.A.","1449","1998","08","14",NA,"Brasil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce (PERD), Trilha da Mombaça.","-42.7766990661621","-19.8428001403809",NA,NA,NA,"Arvoreta, c.a. de 3,5 metros de altura, semi-heliófila. Folhas cartáceas, discolores. Anteras verdes.","VIC022458","VIC022458",NA,NA,"31394","auto",NA,NA,NA,NA,NA,NA,NA,NA
"140","2020-03-10 08:27:17-03","UFV","VIC","22457","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptocarpha",NA,"Piptocarpha",NA,NA,"Bovini, M.G.; Basílio, L.A.","1448","1998","08","14",NA,"Brasil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce (PERD), Trilha da Mombaça.","-42.7766990661621","-19.8428001403809",NA,NA,NA,"Escandente, semi-heliófila. Folhas dorsalmente prateadas. Brácteas verdes.","VIC022457","VIC022457",NA,NA,"31394","auto",NA,NA,NA,NA,NA,NA,NA,NA
"141","2020-03-10 08:26:36-03","UFV","VIC","22461","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae",NA,NA,NA,NA,NA,"Bovini, M.G.; Basílio, L.A.","1455","1998","08","14",NA,"Brasil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce (PERD), Trilha da Mombaça.","-42.7766990661621","-19.8428001403809",NA,NA,NA,"Escandente heliófila. Folhas membranáceas, concolores. Flores alvo-esverdeadas.","VIC022461","VIC022461",NA,NA,"31394","auto",NA,NA,NA,NA,NA,NA,NA,NA
"142","2020-03-10 08:26:35-03","UFV","VIC","19236","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Ruellia",NA,"Ruellia",NA,NA,"Bortoluzzi, R.L.C.; Moraes, G.A.P.","94","1998","04","06",NA,"Brasil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce (PERD), Trilha da Mombaça.","-42.7766990661621","-19.8428001403809",NA,NA,NA,"Planta herbácea, ocorrendo no meio da trilha em local sombreado, corola vermelha com parte interna amarelo claro, 4 estames, 2 maiores e 2 menores, estigma e cálice pilosos.","VIC019236","VIC019236",NA,NA,"31394","auto",NA,NA,NA,NA,NA,NA,NA,NA
"143","2020-03-10 08:26:35-03","UFV","VIC","22459","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Ruellia",NA,"Ruellia",NA,NA,"Bovini, M.G.; Basílio, L.A.","1453","1998","08","14",NA,"Brasil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce (PERD), Trilha da Mombaça.","-42.7766990661621","-19.8428001403809",NA,NA,NA,"Erva umbrófila.Folhas dorsalmente vinosas. Flores lilases. Frequente.","VIC022459","VIC022459",NA,NA,"31394","auto",NA,NA,NA,NA,NA,NA,NA,NA
"144","2020-03-10 08:29:27-03","UFV","VIC","19590","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Piptadenia","gonoacantha","Piptadenia gonoacantha","(Mart.) J.F. Macbr.",NA,"Souza, P.B.","s.n.","2006","04","13",NA,"Brasil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce (PERD), Zona de Amortecimento de Parque. Mata do Mombaça.","-42.7766990661621","-19.8428001403809",NA,NA,NA,"Árvore 13m alt.","VIC019590","VIC019590",NA,NA,"31394","auto",NA,NA,NA,NA,NA,NA,NA,NA
"145","2020-03-10 08:29:10-03","UFV","VIC","19666","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Abarema","brachystachya","Abarema brachystachya","(DC.) Barneby & J.W. Grimes",NA,"Souza, P.B.","s.n.","2006","04","13",NA,"Brasil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce (PERD), Zona de Amortecimento do Parque.","-42.7766990661621","-19.8428001403809",NA,NA,NA,"Terrestre; arbórea, c.a. de 6,0 metros de altura.","VIC019666","VIC019666",NA,NA,"31394","auto",NA,NA,NA,NA,NA,NA,NA,NA
"146","2020-03-10 08:26:45-03","UFV","VIC","19589","PreservedSpecimen","Plantae",NA,NA,"Anacardiaceae","Tapirira","guianensis","Tapirira guianensis","Aubl.",NA,"Souza, P.B.; et al.","s.n.","2006","04","13",NA,"Brasil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce (PERD), Zona de Amortecimento do Parque Estadual do Rio Doce. Mata da Mombaça.","-42.7766990661621","-19.8428001403809",NA,NA,NA,"Terrestre; arbórea de 9,0 metros de altura.","VIC019589","VIC019589",NA,NA,"31394","auto",NA,NA,NA,NA,NA,NA,NA,NA
