"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","occurrenceRemarks","barcode","imagecode","dayIdentified","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","phylum","coordinatePrecision","geoFlag","continentOcean","minimumElevationInMeters","maximumElevationInMeters"
"19","2019-12-06 15:13:52-03","MBM","MBM","420707","S","Plantae","Poaceae","Acroceras","zizanioides","Acroceras zizanioides","(Kunth) Dandy","Mazziero, F.F.F.","2019","02","Mazziero, F.F.F.; Bonin Junior, P.; Bonin Junior, P.","4127","2019","01","20","Brazil","Minas Gerais","Sem Peixe",NA,NA,"MBM420707",NA,"01","-42.8025","-20.136389","-42.8025","-20.136389",NA,NA,NA,"Southern America","284","284"
"20","2019-12-06 14:44:52-03","MBM","MBM","418770","S","Plantae","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.","Marinero, F.; Nardin, E.C.","2018","11","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1030","2018","11","17","Brazil","Minas Gerais","Sem peixe","Rio Doce",NA,"MBM418770",NA,"17","-42.753611","-20.049444","-42.753611","-20.049444",NA,NA,NA,"Southern America","277","277"
"21","2019-12-06 15:01:11-03","MBM","MBM","418767","S","Plantae","Lythraceae","Cuphea","melvilla","Cuphea melvilla","Lindl.","Marinero, F.","2019","04","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1027","2018","11","17","Brazil","Minas Gerais","Sem Peixe",NA,NA,"MBM418767",NA,"12","-42.763611","-20.081667","-42.763611","-20.081667",NA,NA,NA,"Southern America","275","275"
"22","2019-12-06 15:11:18-03","MBM","MBM","421028","S","Plantae","Orchidaceae","Cycnoches","pentadactylum","Cycnoches pentadactylum","Lindl.","Molina, J.M.P.","2019","01","Molina, J.M.P.; Pujals, A.; Pujals, A.","312","2019","01","11","Brazil","Minas Gerais","Sem Peixe",NA,NA,"MBM421028",NA,"12","-42.801667","-20.136389","-42.801667","-20.136389",NA,NA,NA,"Southern America","281","281"
"23","2019-12-06 14:41:18-03","MBM","MBM","418765","S","Plantae","Cyperaceae","Cyperus","blepharoleptos","Cyperus blepharoleptos","Steud.","Marinero, F.","2019","03","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1025","2018","11","17","Brazil","Minas Gerais","Sem Peixe",NA,NA,"MBM418765",NA,"19","-42.763611","-20.081389","-42.763611","-20.081389",NA,NA,NA,"Southern America","275","275"
"24","2019-12-06 14:41:40-03","MBM","MBM","418761","S","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma","(L.) Vahl","Marinero, F.","2019","03","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1021","2018","11","17","Brazil","Minas Gerais","Sem peixe","Rio Doce",NA,"MBM418761",NA,"20","-42.786389","-20.063056","-42.786389","-20.063056",NA,NA,NA,"Southern America","278","278"
"25","2019-12-06 15:26:02-03","MBM","MBM","418754","S","Plantae","Zingiberaceae","Hedychium","coronarium","Hedychium coronarium","J. Koenig","Marinero, F.","2019","04","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1014","2018","11","16","Brazil","Minas Gerais","Sem peixe","Rio Doce",NA,"MBM418754",NA,"10","-42.759444","-20.024444","-42.759444","-20.024444",NA,NA,NA,"Southern America","283","283"
"26","2019-12-06 15:14:40-03","MBM","MBM","418763","S","Plantae","Poaceae","Hymenachne","amplexicaulis","Hymenachne amplexicaulis","(Rudge) Nees","Marinero, F.","2018","12","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1023","2018","11","17","Brazil","Minas Gerais","Sem peixe","Rio Doce",NA,"MBM418763",NA,"10","-42.763611","-20.081944","-42.763611","-20.081944",NA,NA,NA,"Southern America","275","275"
"27","2019-12-06 14:56:08-03","MBM","MBM","418760","S","Plantae","Lamiaceae","Hyptis","brevipes","Hyptis brevipes","Poit","Marinero, F.","2019","02","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1020","2018","11","17","Brazil","Minas Gerais","Sem peixe","Rio Doce",NA,"MBM418760",NA,"04","-42.786389","-20.063056","-42.786389","-20.063056",NA,NA,NA,"Southern America","288","288"
"28","2019-11-13 11:24:37-03","USP","SPF","34868","PreservedSpecimen","Plantae","Malpighiaceae","Stigmaphyllon","lalandianum","Stigmaphyllon lalandianum","A.Juss.","Mamede, MCH","1998",NA,"Garcia, MVB","s.n.","1984","03","24","Brasil","Minas Gerais","Sem-Peixe","Próx. a São Miguel do Anta.","Trepadeira. Flores amarelas.","SPF00034868","SPF00034868",NA,"-42.8394012451172","-20.1091995239258",NA,NA,NA,"13437","auto",NA,NA,NA
