"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","individualCount","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","recordNumber","class","infraspecificEpithet","continentOcean","preparationType","barcode","imagecode","typeStatus","previousCatalogNumber","relatedCatalogItem"
"240","2019-12-16 18:39:04-03","NYBG","NYBG","00919239","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Cyperus","meyenianus","Cyperus meyenianus","Kunth","G. C. Tucker","1991",NA,NA,"H. S. Irwin","1971","01","17","Brazil","Minas Gerais","Caeté","Serra do Espinhaço, ca. 55 km E. of Belo Horizonte, road (BR-31) to Antônio dos Santos","-43.57005","-19.8064",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996844 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.5700500","-19.8064000","1550","1550","30579",NA,NA,"South America","sheet","NY00919239",NA,NA,NA,NA
"241","2019-12-16 18:39:06-03","NYBG","NYBG","00926278","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Cyperus","sesquiflorus","Cyperus sesquiflorus","(Torr.) Mattf. & Kük.",NA,"2019",NA,NA,"G. M. Magalhaes","1942","11","12","Brazil","Minas Gerais","Caeté","Serra do Quibungo - União.","-43.6694","-19.88",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1002118 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.6694","-19.8800",NA,NA,"2483",NA,NA,"South America","sheet","NY00926278","NY00926278",NA,NA,NA
"242","2019-12-16 17:19:51-03","NYBG","NYBG","00984085","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dalbergia","villosa","Dalbergia villosa","(Benth.) Benth.","M. T. K. Arroyo","1973",NA,NA,"H. S. Irwin","1971","01","17","Brazil","Minas Gerais","Caeté","Serra do Espinhaço, ca. 34 km E. of Belo Horizonte, road (BR-31) to Roças Novas","-43.65505","-19.77555",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1119125 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.6550500","-19.7755500","1500","1500","30612",NA,NA,"South America","sheet","NY00984085","NY00984085",NA,NA,NA
"243","2019-12-16 18:15:20-03","NYBG","NYBG","01022623","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Thymelaeaceae","Daphnopsis","utilis","Daphnopsis utilis","Warm.","J. A. Kallunki; R. C. Barneby",NA,NA,NA,"H. S. Irwin","1971","01","17","Brazil","Minas Gerais","Caeté","Serra do Espinhaço, ca. 34 km E. of Belo Horizonte, road (BR-31) to Roças Novas","-43.65505","-19.77555",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1145089 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.6550500","-19.7755500","1500","1500","30610",NA,NA,"South America","sheet","NY01022623","NY01022623",NA,NA,NA
"244","2019-12-16 16:59:59-03","NYBG","NYBG","00972335","PreservedSpecimen","Plantae","Magnoliophyta","Dilleniales","Dilleniaceae","Davilla","rugosa","Davilla rugosa","Poir.",NA,NA,NA,NA,"H. L. de M. Barreto","1933","04","12","Brazil","Minas Gerais","Caeté",NA,"-43.6694","-19.88",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1086892 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.6694","-19.8800",NA,NA,"6119",NA,NA,"South America","sheet","NY00972335","NY00972335",NA,NA,NA
"245","2019-12-16 17:20:09-03","NYBG","NYBG","01019823","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Desmodium","incanum","Desmodium incanum","(Sw.) DC.","B. G. Schubert","1987",NA,NA,"H. S. Irwin","1971","01","17","Brazil","Minas Gerais","Caeté","Serra do Espinhaço, ca. 55 km E. of Belo Horizonte, road (BR-31) to Antônio dos Santos","-43.57005","-19.8064",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1137845 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.5700500","-19.8064000","1550","1550","30569",NA,NA,"South America","sheet","NY01019823","NY01019823",NA,NA,NA
"246","2019-12-16 17:39:11-03","NYBG","NYBG","950041","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Diodia","brasiliensis","Diodia brasiliensis","Spreng.","J. H. Kirkbride Jr.","1976",NA,NA,"H. S. Irwin","1971","01","17","Brazil","Minas Gerais","Caeté","Serra do Espinhaço, ca. 55 km E. of Belo Horizonte, road (BR-31) to Antônio dos Santos","-43.57005","-19.8064",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1048947 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.5700500","-19.8064000","1550","1550","30570",NA,NA,"South America","sheet","NY00950041","NY00950041",NA,NA,NA
"247","2019-12-16 17:00:32-03","NYBG","NYBG","01068228","PreservedSpecimen","Plantae","Magnoliophyta","Dioscoreales","Dioscoreaceae","Dioscorea","piperifolia","Dioscorea piperifolia","Humb. & Bonpl. ex Willd.","R. S. Couto","2013",NA,NA,"L. R. Landrum","1982","02","02","Brazil","Minas Gerais","Caeté","Serra da Piedade. Km 1-5 on road to top of Serra","-43.75","-19.92",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1221942 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.75","-19.92","1200","1700","4280",NA,NA,"South America","sheet","NY01068228","NY01068228",NA,NA,NA
"248","2019-12-16 18:07:27-03","NYBG","NYBG","00892930","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Diplopterys","pubipetala","Diplopterys pubipetala","(A.Juss.) W.R.Anderson & C.Cav.Davis",NA,NA,NA,NA,"C. Koczicki",NA,NA,NA,"Brazil","Minas Gerais","Caeté","Serra da Piedade.","-43.675674","-19.822323",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=963688 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.675674","-19.822323",NA,NA,"295",NA,NA,"South America","sheet","NY00892930","NY00892930",NA,NA,NA
"249","2019-12-16 18:16:27-03","NYBG","NYBG","00924055","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","virgatus","Diplusodon virgatus","Pohl",NA,NA,NA,NA,"H. L. de M. Barreto","1933","03","23","Brazil","Minas Gerais","Caeté","Caeté.","-43.6694","-19.88",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015893 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.6694","-19.8800",NA,NA,"2549",NA,NA,"South America","sheet","NY00924055","NY00924055",NA,NA,NA
"250","2019-12-16 16:49:56-03","NYBG","NYBG","00856292","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Elephantopus","mollis","Elephantopus mollis","Kunth","H. Robinson","1978",NA,NA,"H. S. Irwin","1971","01","17","Brazil","Minas Gerais","Caeté","Serra do Espinhaço, ca. 34 km E. of Belo Horizonte, road (BR-31) to Roças Novas","-43.65505","-19.77555",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938450 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.6550500","-19.7755500","1500","1500","30626",NA,NA,"South America","sheet","NY00856292","NY00856292",NA,NA,NA
"251","2019-12-16 16:49:56-03","NYBG","NYBG","00856295","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Elephantopus","mollis","Elephantopus mollis","Kunth","G. M. Barroso","1972",NA,NA,"H. S. Irwin","1971","01","17","Brazil","Minas Gerais","Caeté","Serra do Espinhaço, ca. 34 km E. of Belo Horizonte, road (BR-31) to Roças Novas","-43.65505","-19.77555",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938453 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.6550500","-19.7755500","1500","1500","27760",NA,NA,"South America","sheet","NY00856295","NY00856295",NA,NA,NA
"252","2019-12-16 18:01:12-03","NYBG","NYBG","387208","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","gonoclados","Erythroxylum gonoclados","(Mart.) O.E.Schulz","T. C. Plowman","1984",NA,NA,"L. R. Landrum","1982","02","02","Brazil","Minas Gerais","Caeté","Caeté, Serra da Piedade, km 1-5 on road to top of Serra","-43.75","-19.92",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=383315 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.75","-19.92","1200","1700","4264",NA,NA,"South America","sheet","NY00387208","NY00387208",NA,NA,NA
"253","2019-12-16 17:49:30-03","NYBG","NYBG","911633","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Orobanchaceae","Esterhazya","splendida","Esterhazya splendida","J.C.Mikan","G. Philcox","1978",NA,NA,"H. S. Irwin","1971","01","17","Brazil","Minas Gerais","Caeté","Serra do Espinhaço, ca. 34 km E. of Belo Horizonte, road (BR-31) to Roças Novas","-43.65505","-19.77555",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996185 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.6550500","-19.7755500","1500","1500","30608",NA,NA,"South America","sheet","NY00911633","NY00911633",NA,NA,NA
"254","2019-12-16 18:29:28-03","NYBG","NYBG","00907275","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","modesta","Eugenia modesta",NA,"F. F. Mazine","2007","07",NA,"L. R. Landrum","1982","02","02","Brazil","Minas Gerais","Caeté","Caeté, Serra da Piedade. Km 1-5 on road to top of Serra","-43.75","-19.92",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985203 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.75","-19.92","1200","1700","4276",NA,NA,"South America","sheet","NY00907275","NY00907275",NA,NA,NA
"255","2019-12-16 18:29:28-03","NYBG","NYBG","00907274","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","modesta","Eugenia modesta",NA,"F. F. Mazine","2007","07",NA,"L. R. Landrum","1982","02","02","Brazil","Minas Gerais","Caeté","Caeté, Serra da Piedade. Km 1-5 on road to top of Serra","-43.75","-19.92",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985201 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.75","-19.92","1200","1700","4296",NA,NA,"South America","sheet","NY00907274","NY00907274",NA,NA,NA
"256","2019-12-16 18:03:10-03","NYBG","NYBG","1028099","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia",NA,"Euphorbia","Lanj.","M. H. Nee",NA,NA,NA,"G. G. Hatschbach","1973","02","12","Brazil","Minas Gerais","Caeté",NA,"-43.6694","-19.88",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1145133 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.6694","-19.8800",NA,NA,"31468",NA,NA,"South America","sheet","NY01028099","NY01028099",NA,NA,NA
"257","2019-12-16 18:59:40-03","NYBG","NYBG","1013745","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","phyllanthoides","Evolvulus phyllanthoides","Moric.","J. I. de A. Falcao","1973",NA,NA,"G. G. Hatschbach",NA,NA,NA,"Brazil","Minas Gerais","Caeté","Caete.","-43.6694","-19.88",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102299 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.6694","-19.8800",NA,NA,"31480",NA,NA,"South America","sheet","NY01013745","NY01013745",NA,NA,NA
"258","2019-12-16 18:32:00-03","NYBG","NYBG","01066559","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Onagraceae","Fuchsia","coccinea","Fuchsia coccinea","Dryand. in Aiton","P. E. Berry","1991",NA,NA,"R. M. Harley","1988","11","03","Brazil","Minas Gerais","Caeté","Serra da Piedade","-43.57","-19.92",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1203493 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.57","-19.92","1746","1746","25497",NA,NA,"South America","sheet","NY01066559","NY01066559",NA,NA,NA
"259","2019-12-16 17:03:03-03","NYBG","NYBG","00943150","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaultheria","eriophylla","Gaultheria eriophylla eriophylla","(Pers.) Sleumer ex B.L.Burtt","J. L. Luteyn","1999",NA,NA,"J. C. de Siqueira","1985","04","15","Brazil","Minas Gerais","Caeté","Serra da Piedade.","-43.675674","-19.822323",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1064934 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.675674","-19.822323",NA,NA,"1642",NA,"eriophylla","South America","sheet","NY00943150","NY00943150",NA,NA,NA
"260","2019-12-16 17:03:34-03","NYBG","NYBG","03474795","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaylussacia",NA,"Gaylussacia",NA,NA,NA,NA,NA,"A. P. Duarte","1969","09","21","Brazil","Minas Gerais","Caeté","Serra da Piedade","-43.6697006225586","-19.8799991607666","22051","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4168305 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto",NA,NA,NA,NA,NA,"11798",NA,NA,"South America","sheet","NY03474795","NY03474795",NA,NA,NA
"261","2019-12-16 17:03:36-03","NYBG","NYBG","00943285","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaylussacia","gardneri","Gaylussacia gardneri","Meisn.","J. W. Floyd","1999",NA,NA,"Collector unknown","1942",NA,NA,"Brazil","Minas Gerais","Caeté",NA,"-43.6694","-19.88",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1068821 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.6694","-19.8800",NA,NA,"515",NA,NA,"South America","sheet","NY00943285","NY00943285",NA,NA,NA
"262","2019-12-16 17:03:36-03","NYBG","NYBG","00994625","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaylussacia","montana","Gaylussacia montana",NA,"J. W. Floyd","1999",NA,NA,"L. R. Landrum","1982","02","02","Brazil","Minas Gerais","Caeté","Serra da Piedade, km 1-5 on road to top of Serra.","-43.75","-19.92",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1069049 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.75","-19.92","1200","1700","4292",NA,NA,"South America","sheet","NY00994625","NY00994625",NA,NA,NA
"263","2019-12-16 17:03:36-03","NYBG","NYBG","00994722","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaylussacia","rugosa","Gaylussacia rugosa","Cham. & Schltdl.","J. W. Floyd","1999",NA,NA,"Collector unknown","1942",NA,NA,"Brazil","Minas Gerais","Caeté",NA,"-43.6694","-19.88",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1070385 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.6694","-19.8800",NA,NA,"514",NA,NA,"South America","sheet","NY00994722","NY00994722",NA,NA,NA
"264","2019-12-16 17:03:36-03","NYBG","NYBG","00994730","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaylussacia","salicifolia","Gaylussacia salicifolia","Cham. & Schltdl.","T. S. M. Grandi",NA,NA,NA,"P. Siquiera","1985","08","28","Brazil","Minas Gerais","Caeté","S. da Piedade.","-43.6694","-19.88",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1070411 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.6694","-19.8800","1700","1700","1918",NA,NA,"South America","sheet","NY00994730","NY00994730",NA,NA,NA
"265","2019-12-16 17:55:46-03","NYBG","NYBG","00836711","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Guatteria","sellowiana","Guatteria sellowiana","Schltdl.","P. J. M. Maas; H. Maas-van de Kamer; R. H. J. Erkens","2012",NA,NA,"L. R. Landrum","1982","02","02","Brazil","Minas Gerais","Caeté","Serra da Piedade. Km 1-5 on road to top of Serra","-43.75","-19.92",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=923182 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.75","-19.92","1200","1700","4288",NA,NA,"South America","sheet","NY00836711","NY00836711",NA,NA,NA
"266","2019-12-16 17:55:46-03","NYBG","NYBG","00836871","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Guatteria","sellowiana","Guatteria sellowiana","Schltdl.","R. de Mello-Silva","1997","05",NA,"R. de Mello-Silva","1997","05","27","Brazil","Minas Gerais","Caeté","Serra da Piedade","-43.6741667","-19.8175",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=923801 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.6741667","-19.81750000","1620","1620","1385",NA,NA,"South America","sheet","NY00836871","NY00836871",NA,NA,NA
"267","2019-12-16 17:55:46-03","NYBG","NYBG","00836897","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Guatteria","sellowiana","Guatteria sellowiana","Schltdl.","R. de Mello-Silva","1990","05",NA,"R. de Mello-Silva","1990","05","14","Brazil","Minas Gerais","Caeté","Serra da Piedade","-43.6694","-19.88",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=923802 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.6694","-19.8800","1480","1650","224",NA,NA,"South America","sheet","NY00836897","NY00836897",NA,NA,NA
"268","2019-12-16 16:46:59-03","NYBG","NYBG","1144993","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","gracilis","Habenaria gracilis","Lindl.","G. F. J. Pabst","1977",NA,NA,"H. S. Irwin","1971","01","17","Brazil","Minas Gerais","Caeté","Serra do Espinhaço, ca. 34 km E. of Belo Horizonte, road (BR-31) to Roças Novas","-43.65505","-19.77555",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1301833 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.6550500","-19.7755500","1500","1500","30624",NA,NA,"South America","sheet","NY01144993","NY01144993",NA,NA,NA
"269","2019-12-16 16:54:26-03","NYBG","NYBG","00858171","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Heliotropium","filiforme","Heliotropium filiforme","Lehm.","S. R. Hill","1974","07",NA,"G. G. Hatschbach","1973","02","12","Brazil","Minas Gerais","Caeté","Caete.","-43.6694","-19.88",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=953399 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.6694","-19.8800",NA,NA,"31466",NA,NA,"South America","sheet","NY00858171","NY00858171",NA,NA,NA
"270","2019-12-16 16:50:42-03","NYBG","NYBG","859909","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Hoehnephytum","trixoides","Hoehnephytum trixoides",NA,NA,NA,NA,NA,"L. Riedel","1824","09","20","Brazil","Minas Gerais","Caeté",NA,"-43.6694","-19.88",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=960349 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.6694","-19.8800",NA,NA,"573",NA,NA,"South America","sheet","NY00859909","NY00859909",NA,NA,NA
"271","2019-12-16 16:45:53-03","NYBG","NYBG","910788","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Hypoxidaceae","Hypoxis","decumbens","Hypoxis decumbens","L.","P. F. Ravenna","1972",NA,NA,"H. S. Irwin","1971","01","17","Brazil","Minas Gerais","Caeté","Serra do Espinhaço, ca. 55 km E. of Belo Horizonte, road (BR-31) to Antônio dos Santos","-43.57005","-19.8064",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987688 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.5700500","-19.8064000","1550","1550","30562",NA,NA,"South America","sheet","NY00910788","NY00910788",NA,NA,NA
"272","2019-12-16 16:42:18-03","NYBG","NYBG","01023385","PreservedSpecimen","Plantae","Magnoliophyta","Aquifoliales","Aquifoliaceae","Ilex","theezans","Ilex theezans theezans","Mart.","S. M. Andrews",NA,NA,NA,"J. R. Pirani","1987","07","20","Brazil","Minas Gerais","Caeté","Caeté. Serra da Piedade.","-43.67","-20.6675",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190931 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.67","-20.6675","1600","1600","CFCR11168",NA,"theezans","South America","sheet","NY01023385","NY01023385",NA,NA,NA
"273","2019-12-16 16:50:42-03","NYBG","NYBG","00924534","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Isostigma","peucedanifolium","Isostigma peucedanifolium peucedanifolium","(Spreng.) Less.","G. Peter","2006",NA,NA,"G. M. Felippe","1961","10","08","Brazil","Minas Gerais","Caeté","Fazenda Geriza","-43.7","-19.95",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1003972 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.70","-19.95","950","950","30",NA,"peucedanifolium","South America","sheet","NY00924534","NY00924534",NA,NA,NA
"274","2019-12-16 18:39:55-03","NYBG","NYBG","00926361","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Lagenocarpus","minarum","Lagenocarpus minarum","(Nees) Kuntze","T. M. Koyama","2003","11",NA,"L. P. Roth","1957","07","20","Brazil","Minas Gerais","Caeté","Serra da Piedade.","-43.675674","-19.822323",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1002707 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.675674","-19.822323",NA,NA,"18803",NA,NA,"South America","sheet","NY00926361","NY00926361",NA,NA,NA
"275","2019-12-16 18:39:55-03","NYBG","NYBG","00926372","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Lagenocarpus","minarum","Lagenocarpus minarum","(Nees) Kuntze","T. M. Koyama","1977",NA,NA,"J. P. Lanna Sobrinho","1971","10","29","Brazil","Minas Gerais","Caeté","Serra da Piedade.","-43.675674","-19.822323",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1002795 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.675674","-19.822323",NA,NA,"1939",NA,NA,"South America","sheet","NY00926372","NY00926372",NA,NA,NA
"276","2019-12-16 18:39:55-03","NYBG","NYBG","00926375","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Lagenocarpus","minarum","Lagenocarpus minarum","(Nees) Kuntze",NA,NA,NA,NA,"C. Kocziki","1973","10","20","Brazil","Minas Gerais","Caeté","Serra da Piedade.","-43.675674","-19.822323",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1002803 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.675674","-19.822323",NA,NA,"302",NA,NA,"South America","sheet","NY00926375","NY00926375",NA,NA,NA
"277","2019-12-16 17:50:50-03","NYBG","NYBG","00955825","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lantana","hypoleuca","Lantana hypoleuca","Briq.","H. N. Moldenke",NA,NA,NA,"J. P. Lanna Sobrinho","1971","10","29","Brazil","Minas Gerais","Caeté","Serra de Piedade.","-43.6694","-19.88",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1044635 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.6694","-19.8800",NA,NA,"1924",NA,NA,"South America","sheet","NY00955825","NY00955825",NA,NA,NA
"278","2019-12-16 17:50:50-03","NYBG","NYBG","00955833","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lantana","lundiana","Lantana lundiana","Schauer","H. N. Moldenke",NA,NA,NA,"G. M. Magalhaes","1942","11","12","Brazil","Minas Gerais","Caeté","Serra do Quibungo","-43.6694","-19.88",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1044706 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.6694","-19.8800",NA,NA,"2735",NA,NA,"South America","sheet","NY00955833","NY00955833",NA,NA,NA
"279","2019-12-16 18:41:54-03","NYBG","NYBG","00860664","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Leiothrix","curvifolia","Leiothrix curvifolia curvifolia","(Bong.) Ruhland","A. M. Giulietti","1993","12","02","G. M. Magalhaes","1942","11","20","Brazil","Minas Gerais","Caeté","Serra do corrego das congonhas","-43.6694","-19.88",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=958763 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.6694","-19.8800",NA,NA,"2543",NA,"curvifolia","South America","sheet","NY00860664","NY00860664",NA,NA,NA
"280","2019-12-16 18:41:55-03","NYBG","NYBG","00860532","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Leiothrix","flavescens","Leiothrix flavescens flavescens","(Bong.) Ruhland","A. M. Giulietti","1993","12","02","G. M. Magalhaes","1942","11","26","Brazil","Minas Gerais","Caeté","Serra da Pedra Redonda","-43.6694","-19.88",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=960552 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.6694","-19.8800",NA,NA,"2538",NA,"flavescens","South America","sheet","NY00860532","NY00860532",NA,NA,NA
"281","2019-12-16 18:42:09-03","NYBG","NYBG","00860428","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Leiothrix","longipes","Leiothrix longipes","Silveira","H. N. Moldenke","1948","04",NA,"G. M. Magalhaes","1942","11","25","Brazil","Minas Gerais","Caeté","Serra Cabeça de Boi","-43.6694","-19.88",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=960756 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"-43.6694","-19.8800",NA,NA,"2421",NA,NA,"South America","sheet","NY00860428","NY00860428",NA,NA,NA
