"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","individualCount","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","recordNumber","class","infraspecificEpithet","continentOcean","preparationType","barcode","imagecode","typeStatus","previousCatalogNumber","relatedCatalogItem"
"3183","2019-10-02 14:56:07-03","UFMG","BHCB","67552","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Heteropterys","anoptera","Heteropterys anoptera","A.Juss.",NA,NA,NA,NA,"Magalhães, GM",NA,NA,NA,"Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051",NA,"auto",NA,NA,NA,NA,NA,"2285",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"3184","2019-10-02 14:50:56-03","UFMG","BHCB","55793","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Symphyotrichum","squamatum","Symphyotrichum squamatum","(Spreng.) Nesom",NA,NA,NA,NA,"Magalhães, GM","1943","03","24","Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051","Várzea perto de córrego. Muito frequente. Arbustivo, 1m. Flor alva.","auto",NA,NA,NA,NA,NA,"4379",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"3185","2019-10-02 14:55:35-03","UFMG","BHCB","67514","PreservedSpecimen","Plantae","Dicotyledon",NA,"Loganiaceae","Spigelia","lundiana","Spigelia lundiana","A.DC.",NA,NA,NA,NA,"Barreto, HLM",NA,NA,NA,"Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051",NA,"auto",NA,NA,NA,NA,NA,"5187",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"3186","2019-10-02 14:55:48-03","UFMG","BHCB","67872","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lythraceae","Diplusodon","virgatus","Diplusodon virgatus","Pohl",NA,NA,NA,NA,"Barreto, HLM",NA,NA,NA,"Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051",NA,"auto",NA,NA,NA,NA,NA,"3361",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"3187","2019-10-02 14:55:35-03","UFMG","BHCB","67504","PreservedSpecimen","Plantae","Dicotyledon",NA,"Loganiaceae","Spigelia","lundiana","Spigelia lundiana","A.DC.",NA,NA,NA,NA,"Barreto, HLM","1933","11","30","Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051","Arbusto 0,3m; Campo","auto",NA,NA,NA,NA,NA,"5188",NA,NA,"Southern America",NA,"BHCB047639",NA,NA,NA,NA
"3188","2019-10-02 15:00:39-03","UFMG","BHCB","72838","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Myrcia","splendens","Myrcia splendens","(Sw.) DC.",NA,NA,NA,NA,"Barreto, HLM",NA,NA,NA,"Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051",NA,"auto",NA,NA,NA,NA,NA,"7378",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"3189","2019-10-02 14:56:58-03","UFMG","BHCB","67924","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.",NA,NA,NA,NA,"Barreto, HLM",NA,NA,NA,"Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051",NA,"auto",NA,NA,NA,NA,NA,"6675",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"3190","2019-10-02 14:57:20-03","UFMG","BHCB","71833","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Microlicia","decussata","Microlicia decussata","Naudin",NA,NA,NA,NA,"Magalhães, GM",NA,NA,NA,"Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051",NA,"auto",NA,NA,NA,NA,NA,"6991",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"3191","2019-10-02 15:02:15-03","UFMG","BHCB","72193","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rubiaceae","Coccocypselum","lanceolatum","Coccocypselum lanceolatum","(Ruiz & Pav.) Pers.",NA,"1933",NA,NA,"Barreto, HLM","1933","07","06","Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051","Herbácea reptante; flor violácea; muito frequente; Capoeira","auto",NA,NA,NA,NA,NA,"3509",NA,NA,"Southern America",NA,"BHCB043812","BHCB043812",NA,NA,NA
"3192","2019-10-02 14:54:15-03","UFMG","BHCB","53587","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Macroptilium","atropurpureum","Macroptilium atropurpureum","(Sessé & Moc. ex DC.) Urb.",NA,NA,NA,NA,"Mendonça Filho, CV","2000","08","23","Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051","Descampado. Arbusto sarmentoso, ca. 0,5 m alt.. Frutos imaturos verdes","auto",NA,NA,NA,NA,NA,"563",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
